Country,2007/2017
AFG,0.04159794759025105
ALB,0.0012827560930914422
DZA,0.0010995052226498076
AGO,0.06670331684075499
ATG,0.24115814550119113
ARG,0.002748763056624519
ARM,0.0
AUS,0.005497526113249038
AUT,0.0
AZE,0.012461059190031152
BHS,0.0
BHR,0.0
BGD,0.024005864027854134
BRB,0.0
BLR,0.0
BEL,0.0
BLZ,0.0
BEN,0.26223199560197913
BTN,0.0
BOL,0.008246289169873557
BIH,0.0
BWA,0.0
BRA,0.01392706615356423
BRN,0.0
BGR,0.0029320139270661537
BFA,0.060472787245739415
BDI,0.0725673446948873
CPV,0.0
KHM,0.06523730987722191
CMR,0.036466923217885285
CAN,0.003298515667949423
CAF,0.07934762690122778
TCD,0.01594282572842221
CHL,0.8273776800439802
CHN,0.02748763056624519
COL,0.0056807769836906725
COM,0.0
COG,0.04507971412864211
COD,0.0056807769836906725
CRI,0.0
HRV,0.0
CUB,0.23804288070368335
CYP,0.0
CZE,0.0
CIV,0.007696536558548653
DNK,0.0
DJI,0.0
DMA,0.1546637346527396
DOM,0.022906358805204325
ECU,0.015759574857980574
EGY,0.0001832508704416346
SLV,0.04782847718526663
GNQ,0.0
ERI,0.0
EST,0.0
SWZ,0.0
ETH,0.0003665017408832692
FJI,0.0
FIN,0.0
FRA,0.0001832508704416346
GAB,0.007513285688107018
GMB,0.003665017408832692
GEO,0.024189114898295765
DEU,0.0
GHA,0.003298515667949423
GRC,0.006047278724573941
GRD,0.0
GTM,0.06743632032252153
GIN,0.005864027854132307
GNB,0.007513285688107018
GUY,0.0
HTI,0.15924500641378048
HND,0.019424592266813267
HKG,0.0
HUN,0.0
ISL,0.0
IND,0.08447865127359355
IDN,0.005864027854132307
IRN,0.004947773501924134
IRQ,0.0012827560930914422
IRL,0.0
ISR,0.0
ITA,0.02125710097122961
JAM,0.006963533076782115
JPN,0.008429540040315191
JOR,0.0
KAZ,0.008612790910756826
KEN,0.0021990104452996153
KIR,0.013377313542239326
PRK,0.17024005864027855
KOR,0.000916254352208173
KWT,0.0
KGZ,0.019058090525929997
LAO,0.0001832508704416346
LVA,0.0
LBN,0.0
LSO,0.02070734835990471
LBR,0.015393073117097306
LBY,0.0
LTU,0.0
LUX,0.0
MDG,0.3333333333333333
MWI,0.02712112882536192
MYS,0.016492578339747113
MDV,0.0
MLI,0.05057724024189115
MHL,0.0
MRT,0.009895547003848268
MUS,0.0
MEX,0.010995052226498075
FSM,0.0
MDA,0.0
MNG,0.0
MNE,0.0
MAR,0.0
MOZ,0.04489646325820048
MMR,0.00678028220634048
NAM,0.0
NPL,0.0025655121861828845
NLD,0.0
NZL,0.0010995052226498076
NIC,0.0003665017408832692
NER,0.035184167124793844
NGA,0.0012827560930914422
NOR,0.0
OMN,0.0
PAK,0.013194062671797692
PLW,1.0
PSE,0.0020157595748579804
PAN,0.0
PNG,0.0
PRY,0.005131024372365769
PER,0.03426791277258567
PHL,0.025288620120945574
POL,0.0
PRT,0.005131024372365769
ROU,0.0
RUS,0.0016492578339747114
RWA,0.015209822246655671
KNA,0.0
LCA,0.0
VCT,0.09144218435037567
WSM,0.0
STP,0.0
SAU,0.0056807769836906725
SEN,0.0
SRB,0.002748763056624519
SYC,0.0
SLE,0.005497526113249038
SGP,0.0
SVK,0.0
SVN,0.008429540040315191
SLB,0.029869891881986438
SOM,0.028953637529778267
ZAF,0.004581271761040865
SSD,0.0
ESP,0.005314275242807403
LKA,0.9750778816199377
SDN,0.15924500641378048
SUR,0.0
SWE,0.0
CHE,0.0
SYR,0.0
TJK,0.0034817665383910573
TZA,0.009345794392523364
THA,0.0043980208905992305
MKD,0.0
TLS,0.028587135788894998
TGO,0.032435404068169325
TON,0.0
TTO,0.0
TUN,0.0
TUR,0.007513285688107018
TKM,0.0
TUV,0.0
UGA,0.13157412497709364
UKR,0.0012827560930914422
ARE,0.0
GBR,0.007879787428990287
USA,0.009345794392523364
URY,0.04911123327835807
UZB,0.0
VUT,0.0
VEN,0.0010995052226498076
VNM,0.0879604178119846
YEM,0.0007330034817665384
ZMB,0.02272310793476269
ZWE,0.015026571376214036
