"Inequality-adjusted education index"
"HDI Rank (2017)","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"125"," Cabo Verde","0.355","","0.362","","","","0.440","","0.444","","0.449","","0.428","","0.423",""
"146"," Cambodia","0.310","","0.317","","0.335","","0.340","","0.343","","0.349","","0.351","","0.354",""
"151"," Cameroon","0.303","","0.314","","0.330","","0.343","","0.350","","0.354","","0.357","","0.367",""
"12"," Canada","0.832","","0.835","","0.839","","0.836","","0.852","","0.856","","0.875","","0.887",""
"188"," Central African Republic","0.167","","0.171","","0.174","","0.178","","0.219","","0.222","","0.223","","0.223",""
"186"," Chad","0.155","","0.152","","0.157","","0.162","","0.170","","0.173","","0.170","","0.170",""
"44"," Chile","0.648","","0.650","","0.652","","0.669","","0.685","","0.731","","0.734","","0.741",""
"86"," China","0.463","","0.468","","0.474","","","","","","","","","","0.571",""
"90"," Colombia","0.490","","0.503","","0.508","","0.517","","0.524","","0.553","","0.561","","0.545",""
"165"," Comoros","0.228","","0.234","","0.241","","0.246","","0.247","","0.248","","0.248","","0.248",""
"137"," Congo","0.350","","0.373","","0.373","","0.379","","0.404","","0.409","","0.413","","0.413",""
"176"," Congo (Democratic Republic of the)","0.301","","0.303","","0.304","","0.321","","0.337","","0.346","","0.351","","0.365",""
"63"," Costa Rica","0.535","","0.542","","0.577","","0.582","","0.590","","0.624","","0.627","","0.634",""
"46"," Croatia","0.681","","0.691","","0.697","","0.706","","0.758","","0.758","","0.752","","0.752",""
"73"," Cuba","","","","","","","0.676","","0.680","","0.684","","0.690","","0.695",""
"32"," Cyprus","0.647","","0.655","","0.651","","0.678","","0.689","","0.694","","0.706","","0.714",""
"27"," Czechia","0.847","","0.852","","0.848","","0.869","","0.880","","0.879","","0.879","","0.879",""
"170"," Côte d'Ivoire","0.207","","0.219","","0.223","","0.218","","0.216","","0.226","","0.231","","0.223",""
"11"," Denmark","0.868","","0.896","","0.897","","0.912","","0.899","","0.890","","0.880","","0.880",""
"172"," Djibouti","0.157","","0.159","","0.160","","0.162","","0.163","","0.163","","0.164","","0.164",""
"94"," Dominican Republic","0.471","","0.447","","0.451","","0.471","","0.481","","0.515","","0.507","","0.520",""
"86"," Ecuador","0.494","","0.497","","0.500","","0.514","","0.530","","0.571","","0.596","","0.601",""
"115"," Egypt","0.311","","0.329","","0.338","","0.344","","0.346","","0.390","","0.381","","0.381",""
"121"," El Salvador","0.396","","0.385","","0.390","","0.402","","0.397","","0.419","","0.404","","0.404",""
"141"," Equatorial Guinea","0.310","","0.310","","","","","","","","","","","","",""
"30"," Estonia","0.845","","0.852","","0.854","","0.853","","0.849","","0.848","","0.848","","0.849",""
"144"," Eswatini (Kingdom of)","0.309","","0.357","","0.362","","0.382","","0.387","","0.387","","0.401","","0.401",""
"173"," Ethiopia","0.188","","0.193","","0.194","","0.178","","0.179","","0.204","","0.206","","0.185",""
"92"," Fiji","0.655","","","","","","0.685","","0.689","","0.703","","","","",""
"15"," Finland","0.838","","0.866","","0.866","","0.880","","0.884","","0.885","","0.887","","0.887",""
"24"," France","0.736","","0.739","","0.740","","0.751","","0.767","","0.777","","0.767","","0.768",""
"110"," Gabon","0.556","","0.560","","0.564","","0.473","","0.473","","0.473","","0.476","","0.481",""
"174"," Gambia","0.186","","","","","","","","","","","","0.186","","0.189",""
"70"," Georgia","0.739","","0.753","","0.764","","0.777","","0.789","","0.813","","0.826","","0.826",""
"5"," Germany","0.906","","0.915","","0.918","","0.911","","0.913","","0.916","","0.916","","0.915",""
"140"," Ghana","0.487","","0.315","","0.320","","0.353","","0.342","","0.362","","0.363","","0.363",""
"31"," Greece","0.747","","0.681","","0.714","","0.721","","0.734","","0.735","","0.719","","0.728",""
"127"," Guatemala","0.292","","0.300","","0.288","","0.289","","0.325","","0.325","","0.335","","0.335",""
"175"," Guinea","0.165","","0.179","","0.187","","0.193","","0.175","","0.175","","0.175","","0.175",""
"177"," Guinea-Bissau","0.215","","0.221","","0.225","","0.229","","0.232","","0.232","","0.228","","0.228",""
"125"," Guyana","0.519","","0.522","","0.529","","0.531","","0.533","","0.534","","0.532","","0.532",""
"168"," Haiti","0.237","","0.241","","0.244","","0.248","","0.260","","0.263","","0.264","","0.267",""
"133"," Honduras","0.329","","0.327","","0.340","","0.337","","0.356","","0.373","","0.386","","0.388",""
"7"," Hong Kong, China (SAR)","","","","","","","","","","","","","0.760","","0.768",""
"45"," Hungary","0.786","","0.790","","0.797","","0.805","","0.795","","0.792","","0.791","","0.789",""
"6"," Iceland","0.831","","0.845","","0.861","","0.875","","0.885","","0.884","","0.889","","0.889",""
"130"," India","0.284","","0.294","","0.292","","0.298","","0.308","","0.329","","0.337","","0.341",""
"116"," Indonesia","0.461","","0.476","","0.483","","0.472","","0.487","","0.488","","0.492","","0.520",""
"60"," Iran (Islamic Republic of)","","","","","","","0.463","","0.463","","0.465","","","","0.705",""
"120"," Iraq","","","","","0.339","","0.351","","0.348","","0.348","","0.353","","0.389",""
"4"," Ireland","0.878","","0.834","","0.850","","0.848","","0.861","","0.883","","0.891","","0.891",""
"22"," Israel","0.792","","0.799","","0.801","","0.801","","0.788","","0.802","","0.800","","0.813",""
"28"," Italy","0.686","","0.698","","0.684","","0.701","","0.705","","0.713","","0.700","","0.708",""
"97"," Jamaica","0.598","","0.601","","0.596","","0.607","","0.645","","0.648","","0.652","","0.652",""
"19"," Japan","","","","","","","0.666","","0.672","","0.672","","0.679","","0.835",""
"95"," Jordan","0.513","","0.528","","0.531","","0.533","","0.579","","0.587","","0.591","","0.591",""
"58"," Kazakhstan","0.740","","0.749","","0.745","","0.755","","0.758","","0.758","","0.783","","0.788",""
"142"," Kenya","0.355","","0.352","","0.357","","0.362","","0.391","","0.412","","0.419","","0.425",""
"134"," Kiribati","","","","","","","0.490","","0.488","","0.488","","0.488","","0.488",""
"22"," Korea (Republic of)","0.641","","0.643","","0.641","","0.619","","0.642","","0.642","","0.703","","0.703",""
"56"," Kuwait","","","","","","","","","","","","","0.511","","0.510",""
"122"," Kyrgyzstan","0.619","","0.620","","0.664","","0.673","","0.691","","0.692","","0.698","","0.698",""
"139"," Lao People's Democratic Republic","0.298","","0.311","","0.316","","0.310","","0.314","","0.319","","0.319","","0.320",""
"41"," Latvia","0.822","","0.816","","0.813","","0.828","","0.835","","0.833","","0.834","","0.834",""
"80"," Lebanon","","","0.483","","0.470","","0.473","","0.475","","0.479","","0.595","","0.598",""
"159"," Lesotho","0.369","","0.377","","0.383","","0.378","","0.380","","0.377","","0.392","","0.392",""
"181"," Liberia","0.215","","0.218","","0.222","","0.225","","0.228","","0.243","","0.246","","0.248",""
"35"," Lithuania","0.817","","0.815","","0.802","","0.796","","0.829","","0.830","","0.832","","0.840",""
"21"," Luxembourg","0.732","","0.731","","0.730","","0.732","","0.736","","0.742","","0.728","","0.718",""
"161"," Madagascar","0.335","","0.338","","0.342","","0.344","","0.321","","0.324","","0.324","","0.324",""
"171"," Malawi","0.279","","0.283","","0.306","","0.309","","0.311","","0.320","","0.322","","0.323",""
"57"," Malaysia","","","","","","","","","","","","","","","0.607",""
"101"," Maldives","0.438","","0.302","","0.309","","0.316","","0.331","","0.337","","0.336","","0.336",""
"182"," Mali","0.175","","0.179","","0.179","","0.176","","0.166","","0.167","","0.168","","0.158",""
"29"," Malta","","","","","0.735","","0.744","","0.739","","0.762","","0.763","","0.762",""
"159"," Mauritania","0.192","","0.196","","0.208","","0.201","","0.225","","0.225","","0.228","","0.230",""
"65"," Mauritius","","","0.589","","0.604","","0.613","","0.632","","0.626","","0.633","","0.633",""
"74"," Mexico","0.511","","0.498","","0.508","","0.509","","0.526","","0.535","","0.562","","0.562",""
"131"," Micronesia (Federated States of)","0.438","","0.444","","","","","","","","","","","","",""
"112"," Moldova (Republic of)","0.644","","0.656","","0.666","","0.672","","0.662","","0.657","","0.658","","0.658",""
"92"," Mongolia","0.680","","0.692","","0.674","","0.706","","0.680","","0.683","","0.675","","0.675",""
"50"," Montenegro","0.712","","0.768","","0.771","","0.771","","0.732","","0.732","","0.732","","0.732",""
"123"," Morocco","0.257","","0.251","","0.260","","0.268","","0.273","","0.276","","","","",""
"180"," Mozambique","0.268","","0.301","","0.299","","0.313","","0.253","","0.255","","0.255","","0.255",""
"148"," Myanmar","","","","","","","0.344","","0.348","","0.351","","0.322","","0.324",""
"129"," Namibia","0.388","","0.397","","0.402","","0.405","","0.408","","0.424","","0.427","","0.428",""
"149"," Nepal","0.251","","0.254","","0.268","","0.271","","0.286","","0.278","","0.281","","0.297",""
"10"," Netherlands","0.836","","0.861","","0.860","","0.862","","0.865","","0.865","","0.863","","0.858",""
"16"," New Zealand","","","","","","","","","","","","","0.893","","0.901",""
"124"," Nicaragua","0.347","","0.350","","0.353","","0.357","","0.390","","0.390","","0.415","","0.415",""
"189"," Niger","0.123","","0.115","","0.121","","0.123","","0.134","","0.135","","0.138","","0.139",""
"157"," Nigeria","0.220","","0.236","","0.254","","0.260","","0.269","","0.270","","0.271","","0.299",""
"1"," Norway","0.890","","0.894","","0.887","","0.892","","0.886","","0.886","","0.867","","0.859",""
"150"," Pakistan","0.196","","0.198","","0.206","","0.208","","0.220","","0.221","","0.229","","0.221",""
"60"," Palau","","","","","","","0.713","","0.720","","0.726","","0.736","","0.828",""
"119"," Palestine, State of","","","","","","","0.609","","0.547","","0.548","","0.572","","0.567",""
"66"," Panama","0.599","","0.544","","0.549","","0.564","","0.568","","0.589","","0.597","","0.605",""
"153"," Papua New Guinea","","","","","","","0.376","","0.372","","0.379","","0.380","","0.381",""
"110"," Paraguay","0.480","","0.486","","","","0.520","","0.528","","0.548","","0.544","","0.525",""
