"Remittances, inflows (% of GDP)"
"171"," Malawi","","","0.04","","0.04","","0.62","","0.31","","0.32","","0.47","","0.62","","0.64","","0.65","","0.63","","0.65",""
"57"," Malaysia","0.42","","0.13","","0.36","","0.78","","0.43","","0.41","","0.41","","0.44","","0.47","","0.56","","0.54","","0.52",""
"101"," Maldives","0.79","","0.59","","0.35","","0.19","","0.12","","0.11","","0.11","","0.10","","0.09","","0.09","","0.09","","0.09",""
"182"," Mali","3.99","","4.14","","2.48","","2.84","","4.43","","6.04","","6.65","","6.75","","6.40","","7.03","","6.67","","6.80",""
"29"," Malta","2.29","","0.44","","0.41","","3.48","","2.63","","2.39","","2.17","","2.42","","2.25","","2.13","","2.00","","1.88",""
"106"," Marshall Islands","","","","","","","17.21","","13.47","","12.78","","12.55","","12.87","","14.24","","15.21","","14.57","","14.76",""
"159"," Mauritania","1.34","","0.39","","","","","","","","","","","","","","","","","","","","1.54",""
"65"," Mauritius","","","3.27","","3.86","","0.01","","0.01","","0.01","","0.01","","0.01","","0.01","","0.01","","0.01","","0.01",""
"74"," Mexico","1.18","","1.21","","1.06","","2.59","","2.09","","1.99","","1.93","","1.82","","1.89","","2.24","","2.66","","2.66",""
"131"," Micronesia (Federated States of)","","","","","","","","","6.09","","6.26","","6.38","","6.98","","7.34","","7.41","","7.08","","7.13",""
"112"," Moldova (Republic of)","","","0.06","","13.78","","30.62","","30.16","","25.84","","27.27","","27.45","","26.00","","23.65","","21.55","","20.17",""
"92"," Mongolia","","","","","0.10","","7.01","","3.70","","2.40","","2.63","","2.04","","2.09","","2.22","","2.32","","2.38",""
"50"," Montenegro","","","","","","","","","8.10","","8.85","","9.73","","9.48","","9.40","","9.40","","9.06","","9.09",""
"123"," Morocco","6.65","","5.05","","5.56","","7.36","","6.89","","7.16","","6.62","","6.44","","7.09","","6.86","","6.84","","6.27",""
"180"," Mozambique","2.80","","2.34","","0.73","","0.76","","1.14","","0.99","","1.20","","0.95","","0.92","","0.97","","0.85","","1.39",""
"148"," Myanmar","","","","","1.15","","1.08","","0.23","","0.21","","0.46","","2.73","","2.85","","3.36","","3.71","","3.70",""
"129"," Namibia","0.48","","0.40","","0.23","","0.24","","0.61","","0.64","","0.61","","0.51","","0.63","","0.40","","0.59","","0.31",""
"149"," Nepal","","","1.29","","2.03","","14.90","","21.65","","22.30","","25.43","","29.00","","29.44","","31.43","","31.29","","28.31",""
"10"," Netherlands","0.23","","0.15","","0.10","","0.19","","0.21","","0.20","","0.20","","0.19","","0.17","","0.17","","0.17","","0.18",""
"16"," New Zealand","1.67","","2.58","","0.41","","0.31","","0.25","","0.27","","0.26","","0.24","","0.23","","0.24","","0.22","","0.23",""
"124"," Nicaragua","","","1.81","","6.27","","9.74","","9.42","","9.35","","9.65","","9.85","","9.60","","9.50","","9.62","","10.10",""
"189"," Niger","0.56","","0.41","","0.80","","1.95","","2.35","","2.59","","2.19","","1.90","","2.66","","2.37","","2.32","","2.44",""
"157"," Nigeria","0.03","","0.88","","3.00","","13.04","","5.35","","5.01","","4.46","","4.04","","3.66","","4.40","","4.86","","5.86",""
"1"," Norway","0.13","","0.16","","0.16","","0.16","","0.16","","0.15","","0.15","","0.15","","0.15","","0.16","","0.16","","0.15",""
"48"," Oman","0.33","","0.28","","0.20","","0.13","","0.07","","0.06","","0.05","","0.05","","0.05","","0.06","","0.06","","0.06",""
"150"," Pakistan","5.01","","2.82","","1.45","","3.91","","5.46","","5.74","","6.24","","6.33","","7.06","","7.14","","7.11","","6.46",""
"60"," Palau","","","","","","","0.80","","0.92","","1.02","","1.10","","1.05","","0.90","","0.78","","0.78","","0.83",""
"119"," Palestine, State of","","","17.73","","20.02","","7.83","","10.40","","10.91","","15.40","","12.01","","14.19","","14.41","","15.61","","14.78",""
"66"," Panama","1.71","","1.17","","0.13","","0.79","","1.39","","1.06","","1.02","","1.01","","1.51","","1.02","","0.87","","0.86",""
"153"," Papua New Guinea","0.17","","0.34","","0.20","","0.14","","0.03","","0.09","","0.07","","0.07","","0.04","","0.05","","0.01","","0.01",""
"110"," Paraguay","0.59","","1.49","","1.85","","1.85","","2.05","","2.15","","2.58","","2.15","","1.64","","2.03","","2.40","","2.37",""
"89"," Peru","0.33","","1.12","","1.39","","1.89","","1.72","","1.57","","1.45","","1.34","","1.31","","1.44","","1.50","","1.44",""
"113"," Philippines","3.31","","7.23","","8.54","","13.32","","10.80","","10.29","","9.84","","9.83","","10.08","","10.18","","10.21","","10.46",""
"33"," Poland","","","0.51","","0.87","","2.11","","1.60","","1.46","","1.40","","1.41","","1.36","","1.42","","1.42","","1.31",""
"41"," Portugal","5.69","","3.35","","0.22","","0.20","","0.22","","0.22","","0.21","","0.20","","0.19","","0.18","","0.21","","0.21",""
