Country,1990,1995,2000,2005,2010,2015
AFG,-1.2273471366016582,-1.215085264304031,-1.2518708811969121,-1.202823392006404,-1.215085264304031,-1.055680924434881
ALB,-0.2218736081962493,-0.14830237441048796,0.14598256073255875,0.40348187898272414,0.7835999202091588,1.26181293981661
DZA,-0.9698478183514925,-0.7981816061847156,-0.516158543339296,-0.2218736081962493,0.011101965458662289,0.1950300499230663
AGO,-1.239609008899285,-1.215085264304031,-1.1905615197087773,-1.1782996474111502,-1.1782996474111502,-1.1660377751135236
ATG,-0.18508799130336884,0.08467319924442407,0.2931250283040819,0.31764877289933563,0.41574375128035124,0.5874099634471281
ARG,0.15824443303018543,0.1827681776254392,0.24407753911357388,0.34217251749458943,0.4893149850661126,0.5996718357447552
ARM,0.15824443303018543,0.4280056235779779,0.5751480911495015,0.7222905587210245,0.8571711539949206,0.9797898769711899
AUS,0.7590761756139055,0.9430042600783095,1.163717961435594,1.3108604290071175,1.347646045899998,1.4089554073881327
AUT,1.2985985567094904,1.2740748121142362,1.5070503857691486,1.7277640871264333,1.9607396607813448,2.1201440006504955
AZE,-0.2218736081962493,-0.16056424670811462,-0.037945523731845274,0.14598256073255875,0.34217251749458943,0.5383624742566205
BHS,-0.28318296968438395,-0.11151675751760706,0.13372068843493162,0.39122000668509743,0.6119337080423819,0.808123664804413
BHR,-0.062469268327099495,0.060149454649169855,0.08467319924442407,0.2318156668159472,0.5138387296613668,0.6487193249352629
BGD,-0.8962765845657307,-0.7859197338870885,-0.6142535217203116,-0.43032543725590755,-0.24639735279150352,-0.037945523731845274
BRB,0.2931250283040819,0.6364574526376361,0.9307423877806824,1.1391942168403406,1.359907918197625,1.543836002662029
BLR,0.8816948985901748,1.077884855352206,1.2985985567094904,1.4947885134715215,1.5928834918525367,1.6787165979359255
BEL,1.2985985567094904,1.433479151983387,1.6051453641501638,1.7645497040193137,1.8381209378050754,1.8871684269955828
BLZ,-0.9821096906491196,-0.920800329160985,-0.8227053507799693,-0.7000866278037,-0.4916347987440422,-0.2954448419820111
BEN,-1.0802046690301348,-1.0679427967325081,-1.055680924434881,-1.018895307542,-0.9821096906491196,-0.9453240737562387
BTN,-0.9821096906491196,-1.018895307542,-0.8717528399704769,-0.5529441602321769,-0.2586592250891302,0.04788758235154318
BOL,-0.8349672230775961,-0.7613959892918347,-0.6633010109108192,-0.5284204156369227,-0.38127794806539955,-0.2218736081962493
BIH,0.4770531127684859,0.8694330262925477,1.1024085999474593,1.347646045899998,1.5928834918525367,1.8503828101027024
BWA,-1.031157179839627,-0.8717528399704769,-0.7123485001013267,-0.5406822879345498,-0.35675420347014575,-0.18508799130336884
BRA,-0.43032543725590755,-0.2709210973867573,-0.09925488521997995,0.13372068843493162,0.37895813438747034,0.66098119723289
BRN,-0.332230458874892,-0.23413548049387642,-0.050207396029472384,0.10919694383967786,0.1950300499230663,0.5015768573637397
BGR,1.2985985567094904,1.5070503857691486,1.6909784702335526,1.8749065546979566,2.0220490222694796,2.156929617543376
BFA,-1.1782996474111502,-1.1782996474111502,-1.1660377751135236,-1.1415140305182694,-1.1292521582206427,-1.0924665413277619
BDI,-1.1660377751135236,-1.3009183703874196,-1.3009183703874196,-1.1292521582206427,-1.018895307542,-1.018895307542
CPV,-1.104728413625389,-1.0679427967325081,-0.9698478183514925,-0.7613959892918347,-0.4793729264464151,-0.2586592250891302
KHM,-0.9821096906491196,-1.055680924434881,-0.9575859460538654,-0.6755628832084463,-0.39353982036302665,-0.24639735279150352
CMR,-1.1169902859230156,-1.104728413625389,-1.055680924434881,-1.0066334352443733,-0.9698478183514925,-0.9330622014586116
CAN,0.8571711539949206,1.0901467276498322,1.3353841736023708,1.5560978749596563,1.6909784702335526,1.7890734486145679
CAF,-0.920800329160985,-0.8962765845657307,-0.8962765845657307,-0.8962765845657307,-0.9085384568633578,-0.9943715629467462
TCD,-1.1782996474111502,-1.2273471366016582,-1.264132753494539,-1.2886564980897928,-1.264132753494539,-1.202823392006404
CHL,-0.037945523731845274,0.14598256073255875,0.36669626208984324,0.5751480911495015,0.7590761756139055,0.9552661323759366
CHN,-0.12377862981523417,0.17050630532781252,0.5138387296613668,0.8326474093996673,1.1391942168403406,1.359907918197625
COL,-0.5284204156369227,-0.35675420347014575,-0.18508799130336884,0.023363837756289398,0.256339411411201,0.5138387296613668
COM,-1.0924665413277619,-1.0802046690301348,-1.0066334352443733,-0.920800329160985,-0.8349672230775961,-0.7613959892918347
COG,-0.9821096906491196,-0.9085384568633578,-0.8472290953752232,-0.8349672230775961,-0.8104434784823422,-0.8594909676728503
COD,-1.0434190521372542,-1.0679427967325081,-1.0802046690301348,-1.0924665413277619,-1.104728413625389,-1.1169902859230156
CRI,-0.34449233117251865,-0.19734986360099552,-0.037945523731845274,0.1827681776254392,0.40348187898272414,0.6732430695305166
HRV,1.2127654506261016,1.4702647688762673,1.5928834918525367,1.7890734486145679,1.9362159161860915,2.0465727668647338
CUB,0.21955379451832008,0.5261006019589934,0.8449092816972935,1.188241706030848,1.543836002662029,1.8626446824003295
CYP,0.4893149850661126,0.624195580340009,0.7222905587210245,0.8571711539949206,0.9797898769711899,1.1024085999474593
CZE,1.1514560891379668,1.249551067518983,1.4212172796857598,1.5683597472572834,1.6787165979359255,1.8994302992932102
CIV,-1.031157179839627,-0.9821096906491196,-0.9698478183514925,-0.9943715629467462,-0.9821096906491196,-0.9330622014586116
DNK,1.3721697904952521,1.445741024281014,1.531574130364402,1.6787165979359255,1.801335320912195,1.9239540438884644
