Country,2008-2013
ALB,0.8115462947702335
DZA,-0.3388874637502076
AND,0.9185633885860885
ATG,0.5975121071385235
ARG,-0.7937101124675913
ARM,0.9185633885860885
AUT,0.9185633885860885
AZE,-1.034498573553265
BHR,0.9185633885860885
BGD,-1.6230925895404675
BRB,0.9185633885860885
BLR,-0.12485327611849761
BEL,0.9185633885860885
BTN,-0.6064301982898451
BIH,0.9185633885860885
BWA,-1.14151566736912
BRA,-0.5261673779279539
BRN,0.9185633885860885
KHM,-1.56958404263254
CHL,0.3299693725988861
COL,0.14268945842113986
CRI,-0.7134472921057001
HRV,0.9185633885860885
CYP,0.9185633885860885
CZE,0.9185633885860885
DNK,0.9185633885860885
DMA,0.14268945842113986
DOM,-1.6230925895404675
ECU,-1.1682699408230839
EGY,-0.4459045575660626
SLV,-1.1147613939151564
EST,0.8918091151321248
ETH,-1.7033554099023587
FIN,0.9185633885860885
GEO,0.9185633885860885
GRD,-0.12485327611849761
GUY,-1.6498468629944312
HKG,0.9185633885860885
HUN,0.8918091151321248
IDN,-0.6331844717438089
IRN,0.5707578336845598
JAM,0.7312834744083423
JPN,0.8918091151321248
JOR,0.5172492867766323
KAZ,0.8383005682241973
KOR,0.9185633885860885
KGZ,-1.5963383160865037
LVA,0.9185633885860885
LSO,-1.4893212222706487
LTU,0.9185633885860885
MYS,0.6777749275004148
MDV,0.9185633885860885
MLT,0.9185633885860885
MUS,0.5172492867766323
MEX,-1.4358126753627212
MNG,0.6777749275004148
MAR,-1.676601136448395
NPL,-1.6230925895404675
NIC,-1.5963383160865037
NOR,0.9185633885860885
OMN,0.651020654046451
PSE,-0.9542357531913738
PAN,-1.1682699408230839
PRY,-1.5160754957246125
PHL,-1.4358126753627212
POL,0.41023219296077734
QAT,-0.3388874637502076
RUS,0.3834779195068136
KNA,0.9185633885860885
LCA,0.9185633885860885
VCT,0.06242663805924862
SEN,-1.6230925895404675
SGP,0.9185633885860885
ESP,0.9185633885860885
LKA,-1.2752870346389389
SDN,-1.6498468629944312
SUR,-1.5963383160865037
SWE,0.9185633885860885
THA,0.865054841678161
TTO,-0.25862464338831637
TUN,0.41023219296077734
TUR,0.544003560230596
GBR,0.9185633885860885
URY,0.8115462947702335
