Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Gender] Female share of employment in senior and middle management (%),"[Gender] Share of employment in nonagriculture, female (% of total employment in nonagriculture)",[Gender] Total unemployment rate (female to male ratio),[Gender] Youth unemployment rate (female to male ratio),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,"[Work, employment and vulnerability] Employment in agriculture (% of total employment)","[Work, employment and vulnerability] Employment in services (% of total employment)","[Work, employment and vulnerability] Employment to population ratio (% ages 15 and older)","[Work, employment and vulnerability] Unemployment, total (% of labour force)","[Work, employment and vulnerability] Unemployment, youth (% ages 15–24)","[Work, employment and vulnerability] Vulnerable employment (% of total employment)"
CIV,0.387,0.23800000000000002,6.0,2.1,,35.0,1.66,1.32,0.494,52.1,2638.0,0.494,51.9,42.4,63.1,6.7,9.4,78.7
CMR,0.436,0.342,8.0,3.6,,40.4,1.44,1.18,0.49,51.8,2658.0,0.496,68.9,23.3,71.5,8.0,14.2,80.5
COD,0.353,0.266,6.7,2.4,,33.4,1.4,1.09,0.45,49.2,1135.0,0.3670000000000001,85.8,7.2,69.3,3.6,7.2,60.9
COG,0.535,0.455,11.0,4.5,,46.2,1.11,0.97,0.546,55.5,5854.0,0.615,38.7,38.9,54.3,20.5,40.2,79.9
COL,0.595,0.43799999999999994,9.1,5.6,,35.0,1.68,1.16,0.745,68.4,7255.0,0.647,26.7,52.4,48.4,10.1,19.2,48.5
COM,,,8.0,,,29.3,1.09,0.89,0.5720000000000001,57.2,1467.0,0.406,56.6,28.9,40.8,4.8,10.1,68.6
CPV,,,,,,25.0,1.2,1.09,0.695,65.2,2662.0,0.496,80.3,10.4,54.5,11.8,17.6,51.8
CRI,0.6609999999999999,0.515,10.1,7.0,,35.9,1.56,1.12,0.8590000000000001,75.8,7586.0,0.654,25.7,47.7,55.1,5.4,11.3,25.5
CUB,0.67,0.626,12.2,8.6,,39.2,1.33,1.0,0.8420000000000001,74.7,4359.0,0.57,22.3,57.5,45.4,9.7,18.5,7.2
CYP,0.735,0.5529999999999999,9.3,8.8,,38.9,0.9,1.05,0.872,76.7,23263.0,0.823,6.6,63.7,58.6,2.8,6.3,24.0
CZE,0.726,0.609,11.8,8.4,,45.3,0.8,0.9,0.802,72.1,17801.0,0.7829999999999999,7.1,45.0,59.9,2.3,4.7,6.9
DEU,0.809,0.705,14.7,8.9,,41.5,1.48,1.06,0.857,75.7,32995.0,0.8759999999999999,4.1,55.0,56.5,5.3,5.5,5.2
DJI,,,2.7,,,36.8,1.29,1.04,0.5670000000000001,56.8,1925.0,0.447,31.0,44.8,59.0,6.9,11.3,45.2
DMA,,,11.5,,,,,,0.86,75.9,6453.0,0.629,,,,,,
DNK,0.804,0.7,14.2,9.2,,47.5,1.21,1.07,0.847,75.0,33319.0,0.877,5.7,67.3,61.1,9.1,11.5,6.5
DOM,0.603,0.493,11.6,5.1,,41.0,2.04,1.28,0.7440000000000001,68.3,5212.0,0.597,24.3,48.6,59.0,7.6,14.1,38.2
DZA,0.581,0.395,9.7,3.8,,10.5,2.47,1.17,0.723,67.0,9384.0,0.6859999999999999,22.5,51.4,35.3,20.6,38.8,33.0
ECU,0.6459999999999999,0.5489999999999999,11.7,6.7,,39.6,1.8,1.24,0.7609999999999999,69.5,7118.0,0.644,35.4,45.2,60.2,5.8,12.0,36.5
EGY,0.55,0.392,9.8,3.6,,17.8,3.6,1.41,0.6920000000000001,65.0,5776.0,0.613,31.3,43.8,42.2,9.6,26.3,28.8
ERI,,,,,,28.9,1.14,1.05,0.462,50.0,994.0,0.34700000000000003,85.2,7.7,77.2,6.7,11.4,56.2
ESP,0.764,0.609,14.3,6.4,,32.7,1.93,1.21,0.883,77.4,24144.0,0.8290000000000001,10.3,56.2,42.1,15.9,30.7,21.4
EST,0.728,0.6759999999999999,12.9,9.5,,50.4,1.07,1.13,0.755,69.1,14863.0,0.7559999999999999,19.3,43.7,62.1,1.5,3.4,6.4
ETH,,,2.8,,,50.5,2.67,1.57,0.423,47.5,581.0,0.266,90.2,7.7,75.6,3.1,4.4,91.4
FIN,0.787,0.68,15.2,7.7,,49.1,0.64,0.92,0.853,75.5,26110.0,0.841,8.9,62.3,59.6,6.5,15.0,14.9
FJI,0.6509999999999999,0.635,12.5,8.7,,31.4,1.73,1.24,0.7040000000000001,65.7,5920.0,0.616,53.2,35.1,56.7,5.9,14.0,41.0
FRA,0.7879999999999999,0.65,14.4,7.5,,42.6,1.59,1.15,0.8740000000000001,76.8,29935.0,0.861,5.3,65.5,50.2,9.1,19.4,10.5
FSM,,,,,,,,,0.713,66.3,3269.0,0.527,,,,,,
GAB,0.625,0.48,11.9,4.5,,26.8,0.79,0.99,0.634,61.2,20003.0,0.8,44.4,46.1,38.8,17.7,42.0,50.1
GBR,0.7879999999999999,0.675,13.9,8.6,,44.4,0.79,0.87,0.86,75.9,26316.0,0.8420000000000001,2.3,66.5,56.9,8.6,13.9,9.9
GEO,,,12.4,,,49.7,0.78,1.04,0.773,70.2,6014.0,0.619,35.8,52.7,60.1,9.7,23.8,35.8
GHA,0.46,0.381,7.6,5.1,,49.7,1.21,1.1,0.5720000000000001,57.2,1944.0,0.44799999999999995,56.0,29.5,71.9,4.7,9.1,81.4
GIN,0.28,0.125,3.0,1.2,,42.9,0.62,0.82,0.47,50.6,1176.0,0.3720000000000001,71.1,23.5,62.7,4.5,5.5,91.2
GMB,0.337,0.188,5.2,1.4,,31.8,1.88,1.41,0.5,52.5,1491.0,0.408,33.8,50.2,52.3,9.1,12.8,73.4
GNB,,,4.0,,,27.8,1.19,1.05,0.45299999999999996,49.4,1311.0,0.389,86.0,8.0,68.7,6.4,11.5,71.1
GNQ,,,,,,32.0,1.19,1.04,0.441,48.7,1118.0,0.365,82.7,7.7,57.9,5.7,11.3,61.4
GRC,0.763,0.624,12.9,7.9,,30.9,2.61,1.42,0.875,76.9,21554.0,0.812,22.2,52.2,46.1,7.7,23.2,40.5
GRD,,,12.8,,,,,,0.75,68.8,7097.0,0.644,,,,,,
GTM,0.483,0.289,6.6,3.2,,35.8,1.84,1.34,0.6579999999999999,62.8,5105.0,0.594,13.6,53.4,60.2,3.2,5.9,64.4
GUY,0.5329999999999999,0.512,10.2,6.9,,35.4,2.12,1.27,0.6679999999999999,63.4,1878.0,0.44299999999999995,36.5,41.0,52.2,12.5,28.3,38.4
HKG,0.7859999999999999,0.645,12.9,8.6,,37.8,0.84,0.89,0.888,77.7,27273.0,0.847,0.8,64.3,62.6,1.8,4.1,5.5
HND,0.509,0.35700000000000004,8.6,3.5,,50.0,1.73,1.39,0.726,67.2,2887.0,0.508,38.0,40.7,62.7,4.6,7.9,51.3
HRV,0.665,0.508,10.8,6.3,,42.1,1.01,0.97,0.8079999999999999,72.5,11312.0,0.7140000000000001,18.7,45.0,51.2,11.1,40.7,14.4
HTI,0.409,0.294,7.2,2.8,,59.0,1.36,1.17,0.5379999999999999,55.0,1756.0,0.433,52.7,38.2,62.0,7.7,17.6,84.3
HUN,0.701,0.609,11.1,9.0,,48.0,0.79,0.85,0.759,69.4,14012.0,0.747,11.4,53.2,49.2,9.8,18.1,18.4
IDN,0.5329999999999999,0.391,9.9,3.5,,35.8,1.21,1.04,0.6709999999999999,63.6,4604.0,0.578,54.0,31.4,62.5,2.6,7.1,65.4
IND,0.4320000000000001,0.317,7.7,3.1,,18.4,1.05,0.98,0.591,58.4,1712.0,0.429,63.6,21.6,58.3,3.8,8.5,84.3
IRL,0.767,0.6659999999999999,12.1,9.9,,38.6,1.08,0.94,0.846,75.0,20215.0,0.802,14.0,58.0,44.9,15.8,23.1,18.2
IRN,0.594,0.414,9.6,4.4,,10.5,1.97,1.1,0.6940000000000001,65.1,12563.0,0.73,26.9,43.7,40.5,11.1,21.6,45.0
IRQ,0.527,0.377,9.5,3.4,,5.8,1.58,1.06,0.7190000000000001,66.7,3540.0,0.539,34.2,48.1,34.9,17.6,33.0,37.3
ISL,0.815,0.71,15.3,8.6,,48.4,1.26,0.84,0.8959999999999999,78.2,27715.0,0.85,10.2,63.9,72.4,2.6,4.9,12.8
ISR,0.8,0.7290000000000001,13.1,11.0,,39.4,1.46,1.1,0.8740000000000001,76.8,20262.0,0.802,3.5,67.7,51.2,13.4,22.1,7.7
ITA,0.774,0.609,13.0,7.4,,34.2,2.32,1.18,0.879,77.2,31124.0,0.867,8.5,56.5,45.5,10.1,28.5,27.5
JAM,0.639,0.513,11.4,5.9,,49.0,1.65,1.18,0.8009999999999999,72.0,6710.0,0.635,26.4,53.0,58.1,15.7,34.2,42.4
JOR,0.627,0.527,11.9,5.9,,10.1,1.98,1.12,0.7709999999999999,70.1,5577.0,0.607,6.0,74.7,33.0,19.9,41.7,13.6
JPN,0.821,0.6970000000000001,13.4,9.7,,40.1,1.1,0.94,0.91,79.2,31791.0,0.87,6.7,58.7,62.6,2.1,4.5,20.8
