Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Gender] Share of seats in parliament (% held by women),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
CHL,0.741,0.64,12.8,8.6,7.2,0.861,76.0,13264.0,0.738
CHN,0.568,0.457,9.2,6.0,,0.7809999999999999,70.7,2987.0,0.513
CIV,0.391,0.273,6.5,2.8,8.0,0.431,48.0,2860.0,0.507
CMR,0.42200000000000004,0.34700000000000003,7.2,4.4,5.6,0.455,49.5,2354.0,0.47700000000000004
COD,0.33399999999999996,0.29,6.8,3.1,,0.447,49.1,664.0,0.28600000000000003
COG,0.505,0.45799999999999996,10.1,5.3,,0.495,52.2,4340.0,0.57
COL,0.642,0.512,10.9,6.3,9.8,0.7709999999999999,70.1,8474.0,0.6709999999999999
COM,,,8.1,,0.1,0.602,59.2,1400.0,0.39899999999999997
CPV,,,,,11.1,0.735,67.8,3294.0,0.528
CRI,0.6970000000000001,0.5670000000000001,11.2,7.7,15.8,0.8759999999999999,76.9,9044.0,0.68
CUB,0.669,0.64,11.8,9.4,22.8,0.861,76.0,3637.0,0.5429999999999999
CYP,0.792,0.6679999999999999,12.6,9.5,5.4,0.8859999999999999,77.6,25901.0,0.8390000000000001
CZE,0.774,0.6990000000000001,13.3,9.9,13.9,0.831,74.0,19739.0,0.7979999999999999
DEU,0.8440000000000001,0.775,15.9,10.0,25.5,0.879,77.2,34311.0,0.882
DJI,0.35700000000000004,0.17800000000000002,2.9,2.9,,0.57,57.0,1966.0,0.45
DMA,,,11.9,,9.4,0.867,76.3,7147.0,0.645
DNK,0.843,0.774,15.6,10.2,33.0,0.862,76.0,38678.0,0.9
DOM,0.6409999999999999,0.537,12.0,6.1,10.0,0.77,70.0,6809.0,0.638
DZA,0.617,0.45799999999999996,10.3,5.2,3.2,0.753,68.9,9038.0,0.68
ECU,0.6679999999999999,0.57,12.2,6.9,3.7,0.799,72.0,7601.0,0.654
EGY,0.591,0.442,10.7,4.3,2.0,0.7340000000000001,67.7,6797.0,0.637
ERI,,,3.7,,21.0,0.516,53.5,1817.0,0.43799999999999994
ESP,0.81,0.701,15.6,8.0,19.9,0.902,78.6,26307.0,0.8420000000000001
EST,0.7509999999999999,0.747,13.7,11.0,10.9,0.757,69.2,14174.0,0.748
ETH,,,3.2,,,0.467,50.3,630.0,0.278
FIN,0.8320000000000001,0.762,16.8,8.9,33.5,0.877,77.0,29720.0,0.86
FJI,0.675,0.684,12.9,9.7,5.8,0.723,67.0,6166.0,0.623
FRA,0.8340000000000001,0.7440000000000001,15.7,9.2,9.0,0.895,78.2,32283.0,0.873
FSM,,,,,0.1,0.723,67.0,2860.0,0.507
GAB,0.637,0.523,12.1,5.6,9.6,0.617,60.1,19896.0,0.8
GBR,0.8490000000000001,0.809,15.3,11.5,11.6,0.878,77.1,30308.0,0.863
GEO,,,11.2,,6.9,0.784,71.0,3043.0,0.516
GHA,0.47600000000000003,0.409,7.7,5.8,9.0,0.5720000000000001,57.2,2112.0,0.461
GIN,0.307,0.158,4.0,1.4,7.0,0.486,51.6,1207.0,0.376
GMB,0.364,0.228,5.9,1.9,2.0,0.5329999999999999,54.7,1394.0,0.39799999999999996
GNB,,,5.8,,10.0,0.486,51.6,1448.0,0.40399999999999997
GNQ,,,,,8.8,0.485,51.5,6320.0,0.626
GRC,0.777,0.639,13.0,8.3,6.3,0.893,78.1,23101.0,0.8220000000000001
GRD,,,13.8,,,0.765,69.7,7406.0,0.65
GTM,0.523,0.33,7.6,3.6,12.5,0.7120000000000001,66.3,5670.0,0.61
GUY,0.594,0.545,10.7,7.4,,0.684,64.5,4123.0,0.562
HKG,0.816,0.6729999999999999,13.7,8.8,,0.919,79.7,33624.0,0.879
HND,0.541,0.396,9.4,4.0,,0.764,69.7,3206.0,0.524
HRV,0.7190000000000001,0.5920000000000001,11.5,8.2,7.2,0.836,74.3,14553.0,0.752
HTI,0.431,0.32799999999999996,7.7,3.4,,0.568,56.9,1735.0,0.431
HUN,0.747,0.706,13.1,10.3,11.4,0.78,70.7,14972.0,0.757
IDN,0.59,0.467,10.5,5.2,11.4,0.7020000000000001,65.6,6427.0,0.629
IND,0.473,0.358,8.2,3.9,7.3,0.636,61.3,2177.0,0.465
IRL,0.809,0.7240000000000001,13.4,10.6,13.7,0.861,76.0,27658.0,0.8490000000000001
IRN,0.653,0.504,11.4,5.6,4.9,0.755,69.1,12670.0,0.731
IRQ,0.5820000000000001,0.396,8.8,4.5,6.4,0.754,69.0,7934.0,0.6609999999999999
ISL,0.84,0.758,16.3,9.1,25.4,0.909,79.1,29415.0,0.8590000000000001
ISR,0.835,0.7859999999999999,14.2,11.8,7.5,0.895,78.2,23915.0,0.8270000000000001
ITA,0.8140000000000001,0.6779999999999999,14.6,8.2,10.0,0.902,78.7,34007.0,0.8809999999999999
JAM,0.6609999999999999,0.545,11.4,6.9,12.3,0.8009999999999999,72.1,8074.0,0.6629999999999999
JOR,0.6890000000000001,0.655,12.3,9.4,1.7,0.7879999999999999,71.2,6682.0,0.635
JPN,0.848,0.745,14.4,10.4,7.7,0.929,80.4,34084.0,0.8809999999999999
KAZ,0.669,0.66,12.1,9.8,11.4,0.6659999999999999,63.3,9160.0,0.682
KEN,0.45299999999999996,0.39899999999999997,8.6,4.8,3.0,0.501,52.6,2151.0,0.46399999999999997
KGZ,0.5760000000000001,0.612,10.7,9.4,4.8,0.708,66.0,1846.0,0.44
KHM,0.397,0.305,7.3,3.1,5.8,0.557,56.2,1133.0,0.3670000000000001
KIR,,,10.7,,0.1,0.664,63.2,2245.0,0.47
KNA,,,13.0,,13.3,0.757,69.2,17358.0,0.779
KOR,0.8,0.772,15.5,10.2,3.0,0.8420000000000001,74.8,18400.0,0.7879999999999999
KWT,0.775,0.5720000000000001,13.4,6.0,0.1,0.8140000000000001,72.9,93696.0,1.0
LAO,0.44799999999999995,0.336,7.7,3.7,,0.573,57.2,2195.0,0.467
LBN,,,13.4,,2.3,0.815,73.0,12802.0,0.733
LBR,,,,3.2,,0.48700000000000004,51.6,432.0,0.221
LBY,0.715,0.589,15.2,5.0,,0.7709999999999999,70.1,20641.0,0.805
LCA,,,13.0,,14.3,0.787,71.2,10163.0,0.698
LIE,,,,9.7,4.0,0.8859999999999999,77.6,91939.0,1.0
LKA,0.662,0.652,12.1,9.4,5.3,0.76,69.4,4814.0,0.585
LSO,0.48,0.429,9.8,4.7,11.2,0.517,53.6,2740.0,0.5
LTU,0.7240000000000001,0.6990000000000001,12.9,10.2,17.5,0.7709999999999999,70.1,10616.0,0.705
LUX,0.826,0.6679999999999999,12.4,9.7,20.0,0.875,76.9,58618.0,0.963
LVA,0.6920000000000001,0.645,12.3,9.1,9.0,0.745,68.4,9506.0,0.688
MAR,0.503,0.31,7.6,3.0,0.7,0.731,67.5,4104.0,0.561
MCO,,,,,5.6,,,,
MDA,0.593,0.59,10.7,8.8,4.8,0.7190000000000001,66.7,2571.0,0.49
MDG,,,7.6,,3.7,0.5579999999999999,56.2,1358.0,0.39399999999999996
MDV,0.568,0.384,9.8,3.3,6.3,0.727,67.3,7624.0,0.655
MEX,0.6829999999999999,0.523,11.0,6.5,13.9,0.823,73.5,13539.0,0.741
MHL,,,,,,,,3673.0,0.544
MKD,,,11.4,,3.3,0.8079999999999999,72.5,7665.0,0.655
MLI,0.281,0.136,3.7,1.0,12.2,0.413,46.8,1374.0,0.396
MLT,0.768,0.631,13.5,7.7,5.8,0.884,77.4,21667.0,0.812
MMR,0.41,0.305,7.6,2.9,,0.633,61.1,1052.0,0.35600000000000004
MNE,,,,,,0.825,73.6,9866.0,0.6940000000000001
MNG,0.568,0.495,8.3,8.0,7.9,0.642,61.7,4511.0,0.575
MOZ,0.266,0.191,4.7,1.9,25.2,0.41100000000000003,46.7,486.0,0.239
MRT,0.4270000000000001,0.253,5.8,2.8,0.7,0.611,59.7,2796.0,0.503
MUS,0.6559999999999999,0.527,11.5,6.2,7.6,0.777,70.5,9612.0,0.69
MWI,0.40399999999999997,0.387,10.5,2.8,5.7,0.40700000000000003,46.4,1618.0,0.42100000000000004
MYS,0.706,0.574,11.1,8.0,10.3,0.8029999999999999,72.2,15589.0,0.763
NAM,0.575,0.517,11.9,5.6,17.3,0.5920000000000001,58.5,6062.0,0.62
NER,0.23800000000000002,0.105,2.6,1.0,1.2,0.43,48.0,726.0,0.3
NGA,,,7.4,,,0.39899999999999997,45.9,2669.0,0.496
NIC,0.5429999999999999,0.42200000000000004,9.5,4.8,10.8,0.7440000000000001,68.3,2933.0,0.51
NLD,0.865,0.8140000000000001,16.6,10.6,28.4,0.889,77.8,37458.0,0.895
NOR,0.894,0.841,16.0,11.9,36.4,0.895,78.2,54210.0,0.951
NPL,0.426,0.315,8.6,2.3,4.5,0.617,60.1,1393.0,0.39799999999999996
NRU,,,,,,,,,
NZL,0.86,0.867,17.3,11.6,29.2,0.885,77.5,24415.0,0.83
OMN,,,10.0,,,0.78,70.7,41153.0,0.909
PAK,0.4370000000000001,0.243,5.2,3.0,2.6,0.6459999999999999,62.0,3358.0,0.531
PAN,0.7,0.596,11.6,8.2,9.7,0.838,74.5,9465.0,0.687
PER,0.654,0.59,12.2,7.5,10.8,0.754,69.0,6462.0,0.63
