Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
AFG,0.429,0.336,8.7,2.9,0.611,59.7,1289.0,0.386
AGO,0.4920000000000001,0.376,8.1,4.5,0.54,55.1,4873.0,0.5870000000000001
ALB,0.72,0.642,12.0,9.2,0.856,75.7,8963.0,0.679
AND,0.8290000000000001,0.647,11.2,10.1,0.93,80.5,52786.0,0.9470000000000001
ARE,0.835,0.677,13.1,9.4,0.8590000000000001,75.8,81797.0,1.0
ARG,0.792,0.7509999999999999,16.3,8.9,0.848,75.1,17462.0,0.78
ARM,0.72,0.7070000000000001,12.3,11.0,0.813,72.8,7409.0,0.65
ATG,0.778,0.6759999999999999,13.3,9.2,0.845,74.9,23421.0,0.8240000000000001
AUS,0.915,0.9009999999999999,19.1,12.0,0.9440000000000001,81.4,38971.0,0.9009999999999999
AUT,0.8809999999999999,0.8059999999999999,15.1,11.6,0.9229999999999999,80.0,43896.0,0.919
AZE,0.7090000000000001,0.662,11.6,10.2,0.7659999999999999,69.8,10495.0,0.703
BDI,0.361,0.301,7.9,2.4,0.515,53.5,745.0,0.303
BEL,0.899,0.871,19.0,11.1,0.914,79.4,42179.0,0.9129999999999999
BEN,0.455,0.366,9.9,2.8,0.589,58.3,1791.0,0.436
BFA,0.344,0.19399999999999998,5.4,1.3,0.536,54.8,1340.0,0.392
BGD,0.52,0.395,8.6,4.7,0.752,68.9,2290.0,0.473
BGR,0.764,0.738,14.0,10.5,0.8170000000000001,73.1,13454.0,0.74
BHR,0.7959999999999999,0.644,13.1,8.4,0.856,75.6,42694.0,0.915
BHS,0.789,0.7140000000000001,12.6,10.9,0.8340000000000001,74.2,23688.0,0.826
BIH,0.7120000000000001,0.615,13.1,7.5,0.8540000000000001,75.5,9559.0,0.6890000000000001
BLR,0.757,0.774,15.1,10.6,0.7559999999999999,69.1,13507.0,0.741
BLZ,0.6990000000000001,0.701,12.8,10.4,0.76,69.4,6936.0,0.64
BOL,0.631,0.624,14.0,7.1,0.688,64.7,4802.0,0.585
BRA,0.705,0.588,13.3,6.5,0.812,72.8,12956.0,0.735
BRB,0.777,0.732,15.3,9.3,0.838,74.5,15869.0,0.765
BRN,0.84,0.68,14.2,8.6,0.87,76.6,85384.0,1.0
BTN,0.535,0.358,10.1,2.3,0.711,66.2,5373.0,0.602
BWA,0.625,0.619,12.1,8.5,0.5429999999999999,55.3,12313.0,0.727
CAF,0.331,0.28800000000000003,6.3,3.4,0.39299999999999996,45.6,840.0,0.321
CAN,0.897,0.852,15.8,12.4,0.9329999999999999,80.7,41040.0,0.909
CHE,0.915,0.8440000000000001,15.3,12.6,0.948,81.7,56420.0,0.9570000000000001
CHL,0.795,0.7290000000000001,14.9,9.4,0.893,78.1,16439.0,0.7709999999999999
CHN,0.675,0.565,12.0,7.0,0.8390000000000001,74.6,7302.0,0.648
CIV,0.424,0.35200000000000004,8.0,3.9,0.442,48.7,2560.0,0.49
CMR,0.484,0.428,9.2,5.2,0.524,54.0,2843.0,0.506
COD,0.379,0.371,7.7,4.8,0.54,55.1,602.0,0.271
COG,0.52,0.47600000000000003,10.0,5.9,0.5710000000000001,57.1,3052.0,0.516
COL,0.7040000000000001,0.618,13.6,7.2,0.812,72.7,9949.0,0.695
COM,0.466,0.39899999999999997,10.2,3.5,0.627,60.7,1456.0,0.405
CPV,0.619,0.49,12.1,4.6,0.7979999999999999,71.9,5516.0,0.606
CRI,0.742,0.628,12.9,8.1,0.898,78.4,12120.0,0.725
CUB,0.77,0.815,16.9,10.4,0.9,78.5,6150.0,0.622
CYP,0.846,0.755,13.7,11.2,0.9059999999999999,78.9,34934.0,0.885
CZE,0.85,0.83,15.3,12.2,0.875,76.8,26959.0,0.845
DEU,0.915,0.917,16.6,13.7,0.917,79.6,41080.0,0.909
DJI,0.426,0.267,5.0,3.9,0.598,58.8,2488.0,0.486
DMA,0.715,0.61,12.6,7.8,0.879,77.1,9050.0,0.6809999999999999
DNK,0.904,0.884,16.8,12.5,0.9,78.5,46609.0,0.9279999999999999
DOM,0.691,0.595,12.8,7.2,0.8009999999999999,72.1,9757.0,0.6920000000000001
DZA,0.7070000000000001,0.588,12.6,7.2,0.825,73.6,12358.0,0.728
ECU,0.698,0.602,13.0,7.3,0.838,74.5,8539.0,0.672
EGY,0.65,0.529,11.9,6.0,0.7659999999999999,69.8,8918.0,0.6779999999999999
ERI,0.41100000000000003,0.271,5.2,3.8,0.619,60.2,1554.0,0.414
ESP,0.853,0.7509999999999999,16.1,9.1,0.94,81.1,33494.0,0.878
EST,0.8390000000000001,0.856,16.1,12.2,0.825,73.6,25555.0,0.8370000000000001
ETH,0.37799999999999995,0.281,7.6,2.1,0.5920000000000001,58.5,858.0,0.325
FIN,0.9009999999999999,0.8740000000000001,17.1,12.0,0.914,79.4,42604.0,0.915
FJI,0.7020000000000001,0.7140000000000001,14.5,9.3,0.75,68.7,7185.0,0.6459999999999999
FRA,0.8759999999999999,0.802,16.1,10.7,0.9329999999999999,80.7,38565.0,0.9
FSM,0.5920000000000001,0.527,11.2,6.5,0.742,68.3,3351.0,0.531
GAB,0.652,0.585,12.4,7.2,0.63,61.0,14551.0,0.752
GBR,0.892,0.861,15.9,12.6,0.917,79.6,38639.0,0.9
GEO,0.73,0.77,13.1,12.1,0.8109999999999999,72.7,6206.0,0.624
GHA,0.53,0.4920000000000001,9.8,6.5,0.61,59.7,2663.0,0.496
GIN,0.39,0.272,7.9,1.6,0.535,54.8,1474.0,0.406
GMB,0.4270000000000001,0.324,8.6,2.5,0.595,58.6,1459.0,0.405
GNB,0.409,0.33399999999999996,9.2,2.3,0.523,54.0,1343.0,0.392
GNQ,0.585,0.433,9.1,5.4,0.536,54.9,29863.0,0.861
GRC,0.8490000000000001,0.764,15.5,10.0,0.922,79.9,31243.0,0.868
GRD,0.735,0.695,15.4,8.0,0.799,71.9,11391.0,0.715
GTM,0.59,0.419,10.4,3.9,0.7759999999999999,70.4,6552.0,0.632
GUY,0.618,0.561,10.6,8.0,0.7040000000000001,65.7,5208.0,0.597
HKG,0.887,0.7829999999999999,15.1,10.9,0.9590000000000001,82.4,47452.0,0.9309999999999999
HND,0.593,0.474,11.1,5.0,0.799,71.9,3868.0,0.552
