Country,Human Development Index (HDI),[Demography] Median age (years),[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),"[Demography] Population, ages 15–64 (millions)","[Demography] Population, ages 65 and older (millions)","[Demography] Population, total (millions)","[Demography] Population, under age 5 (millions)","[Demography] Population, urban (%)",[Demography] Sex ratio at birth (male to female births),[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),[Education] Education Index,[Education] Expected years of schooling (years),"[Education] Expected years of schooling, female (years)","[Education] Expected years of schooling, male (years)",[Education] Government expenditure on education (% of GDP),"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)","[Education] Gross enrolment ratio, primary (% of primary school-age population)","[Education] Gross enrolment ratio, secondary (% of secondary school-age population)","[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)","[Education] Literacy rate, adult (% ages 15 and older)",[Education] Mean years of schooling (years),"[Education] Mean years of schooling, female (years)","[Education] Mean years of schooling, male (years)",[Education] Population with at least some secondary education (% ages 25 and older),"[Education] Population with at least some secondary education, female (% ages 25 and older)","[Education] Population with at least some secondary education, male (% ages 25 and older)",[Education] Primary school dropout rate (% of primary school cohort),[Education] Primary school teachers trained to teach (%),"[Education] Pupil-teacher ratio, primary school (number of pupils per teacher)",[Education] Survival rate to the last grade of lower secondary general education (%),[Environmental Sustainability] Carbon dioxide emissions (kg per 2011 PPP $ of GDP),[Environmental Sustainability] Carbon dioxide emissions per capita (tonnes),[Environmental Sustainability] Forest area (% of total land area),[Environmental Sustainability] Fossil fuel energy consumption (% of total energy consumption),[Environmental Sustainability] Fresh water withdrawals (% of total renewable water resources),[Environmental Sustainability] Renewable energy consumption (% of total final energy consumption),"[Gender] Adolescent birth rate (births per 1,000 women ages 15-19)","[Gender] Antenatal care coverage, at least one visit (%)","[Gender] Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)","[Gender] Estimated gross national income per capita, female (2011 PPP$)","[Gender] Estimated gross national income per capita, male (2011 PPP$)",[Gender] Female share of employment in senior and middle management (%),[Gender] Gender Development Index (GDI),[Gender] Gender Inequality Index (GII),"[Gender] Human Development Index (HDI), female","[Gender] Human Development Index (HDI), male","[Gender] Maternal mortality ratio (deaths per 100,000 live births)",[Gender] Proportion of births attended by skilled health personnel (%),"[Gender] Share of employment in nonagriculture, female (% of total employment in nonagriculture)",[Gender] Share of seats in parliament (% held by women),[Gender] Total unemployment rate (female to male ratio),"[Gender] Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",[Gender] Youth unemployment rate (female to male ratio),[Health] Current health expenditure (% of GDP),"[Health] HIV prevalence, adult (% ages 15-49), total","[Health] Infants lacking immunization, DTP (% of one-year-olds)","[Health] Infants lacking immunization, measles (% of one-year-olds)",[Health] Life expectancy Index,[Health] Life expectancy at birth (years),"[Health] Life expectancy at birth, female (years)","[Health] Life expectancy at birth, male (years)","[Health] Malaria incidence (per 1,000 people at risk)","[Health] Mortality rate, female adult (per 1,000 people)","[Health] Mortality rate, infant (per 1,000 live births)","[Health] Mortality rate, male adult (per 1,000 people)","[Health] Mortality rate, under-five (per 1,000 live births)","[Health] Tuberculosis incidence (per 100,000 people)","[Human Security] Homicide rate (per 100,000 people)","[Human Security] Suicide rate, female (per 100,000 people)","[Human Security] Suicide rate, male (per 100,000 people)",[Income_composition of resources] Domestic credit provided by financial sector (% of GDP),[Income_composition of resources] Gross domestic product (GDP) per capita (2011 PPP $),"[Income_composition of resources] Gross domestic product (GDP), total (2011 PPP $ billions)",[Income_composition of resources] Gross fixed capital formation (% of GDP),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,[Mobility and communication] International inbound tourists (thousands),[Mobility and communication] International student mobility (% of total tertiary enrolment),"[Mobility and communication] Internet users, total (% of population)",[Mobility and communication] Mobile phone subscriptions (per 100 people),"[Mobility and communication] Net migration rate (per 1,000 people)",[Socio-economic sustainability] Adjusted net savings (% of GNI),[Socio-economic sustainability] Gross capital formation (% of GDP),[Socio-economic sustainability] Population using improved drinking-water sources (%),[Socio-economic sustainability] Population using improved sanitation facilities (%),[Socio-economic sustainability] Ratio of education and health expenditure to military expenditure,[Socio-economic sustainability] Research and development expenditure (% of GDP),[Socio-economic sustainability] Rural population with access to electricity (%),[Socio-economic sustainability] Skilled labour force (% of labour force),"[Socio-economic sustainability] Total debt service (% of exports of goods, services and primary income)",[Trade and financial flows] Exports and imports (% of GDP),"[Trade and financial flows] Foreign direct investment, net inflows (% of GDP)",[Trade and financial flows] Net official development assistance received (% of GNI),[Trade and financial flows] Private capital flows (% of GDP),"[Trade and financial flows] Remittances, inflows (% of GDP)","[Work, employment and vulnerability] Employment in agriculture (% of total employment)","[Work, employment and vulnerability] Employment in services (% of total employment)","[Work, employment and vulnerability] Employment to population ratio (% ages 15 and older)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), female","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), male","[Work, employment and vulnerability] Unemployment, total (% of labour force)","[Work, employment and vulnerability] Unemployment, youth (% ages 15–24)","[Work, employment and vulnerability] Vulnerable employment (% of total employment)","[Work, employment and vulnerability] Youth not in school or employment (% ages 15-24)"
AZE,0.679,27.1,9.8,5.7,0.6,8.5,0.6,52.4,1.17,39.0,0.652,10.7,11.2,11.6,3.0,25.0,96.0,,,,10.7,10.1,11.3,92.7,90.0,95.8,3.1,100.0,13.0,97.0,0.51,4.1,10.6,97.1,35.2,3.4,32.6,,,4579.0,9372.0,,0.929,0.319,0.6579999999999999,0.708,34.0,94.4,45.8,13.0,1.39,,1.09,7.4,0.1,19.0,33.0,0.75,68.8,71.8,65.7,2.9,103.0,44.1,198.0,51.9,88.0,2.2,1.4,6.0,11.2,8052.0,67.6,41.3,6940.0,0.64,693.0,,8.0,26.3,0.9,14.5,41.5,79.1,73.7,4.5,0.2,98.7,,2.9,115.8,33.8,1.8,-3.7,4.71,40.5,46.9,58.8,63.5,61.1,66.0,7.3,17.7,72.8,
BDI,0.33,16.7,5.6,3.8,0.2,7.4,1.3,9.4,1.03,89.0,0.24,5.9,5.5,6.9,3.6,2.0,82.0,13.0,3.0,,2.3,1.7,2.9,5.7,4.0,7.7,,88.0,49.0,75.0,0.03,0.0,7.0,,,97.3,36.3,92.4,9.1,627.0,802.0,,0.8490000000000001,0.526,0.306,0.361,863.0,31.8,22.1,31.7,0.55,,0.69,9.4,2.3,4.0,13.0,0.504,52.7,54.4,51.1,284.3,321.0,77.9,372.0,123.9,195.0,,6.9,21.7,23.4,724.0,5.4,22.4,713.0,0.297,148.0,,0.5,2.1,1.5,-25.5,22.4,53.6,44.7,2.9,,1.0,,40.5,41.6,0.1,33.2,-0.1,0.01,91.8,5.6,79.8,81.1,82.1,80.2,1.7,2.9,93.3,
BEL,0.889,40.3,26.4,6.9,1.8,10.5,0.6,97.4,1.05,26.2,0.856,18.7,19.5,17.9,5.8,119.0,100.0,160.0,61.0,,10.7,10.4,11.0,80.0,74.1,79.3,,,11.0,96.0,0.26,10.4,22.3,74.8,,2.5,10.9,,,29282.0,51701.0,30.2,0.9670000000000001,0.10400000000000001,0.873,0.903,8.0,,43.7,35.7,1.25,,1.02,9.0,,2.0,12.0,0.907,79.0,81.8,76.1,,62.0,4.1,114.0,5.0,12.0,2.1,8.7,24.8,100.8,39803.0,417.1,22.2,40281.0,0.9059999999999999,6747.0,2.8,55.8,91.1,4.2,14.1,23.6,100.0,99.5,13.6,1.8,100.0,74.3,,143.4,8.7,,11.2,1.78,2.0,73.3,48.7,53.2,45.5,61.3,8.4,21.5,10.6,13.0
BEN,0.44,17.6,6.0,4.2,0.3,8.0,1.4,40.5,1.04,84.8,0.344,9.1,7.0,10.4,3.6,6.0,101.0,,6.0,,2.8,1.8,4.1,16.3,9.5,23.5,,,47.0,63.0,0.17,0.3,42.7,31.1,,59.2,115.7,,,1406.0,2059.0,,0.789,0.6559999999999999,0.384,0.48700000000000004,502.0,,55.5,7.2,0.8,,1.17,4.0,1.3,16.0,39.0,0.575,57.4,58.8,55.9,411.3,246.0,78.2,296.0,124.4,73.0,7.2,8.2,22.9,10.2,1736.0,13.9,19.7,1730.0,0.431,176.0,,1.3,7.5,0.7,-0.4,17.8,62.4,11.2,8.2,,9.2,,6.0,45.8,-0.2,7.3,-1.5,3.06,47.5,40.6,71.2,71.9,67.3,76.6,0.9,1.4,90.6,
BFA,0.324,16.6,5.0,6.8,0.3,13.4,2.5,21.5,1.05,91.3,0.17300000000000001,4.7,4.0,5.3,4.4,,58.0,14.0,2.0,23.6,1.3,0.9,1.8,7.9,5.0,11.2,35.6,88.0,47.0,64.0,0.07,0.1,21.7,,6.1,86.5,137.1,,,921.0,1621.0,,0.787,0.645,0.28300000000000003,0.36,468.0,36.7,38.3,11.7,1.13,,1.07,4.4,1.5,9.0,16.0,0.512,53.3,54.0,52.4,526.9,286.0,81.4,326.0,154.6,64.0,0.5,8.8,25.0,15.5,1266.0,17.0,19.7,1266.0,0.384,245.0,-8.0,0.5,4.7,-2.0,2.1,24.1,48.8,13.5,6.6,0.2,2.4,,7.9,35.5,0.6,12.8,-0.5,1.04,82.0,12.9,71.2,74.2,62.4,86.8,4.0,5.8,89.7,
BGD,0.505,22.4,7.0,87.9,6.1,143.4,16.7,26.8,1.05,56.2,0.385,8.4,8.5,8.3,,11.0,98.0,45.0,6.0,,4.5,3.8,5.1,30.6,25.6,34.8,,53.0,47.0,75.0,0.14,0.3,11.2,63.3,,50.8,106.5,,,784.0,3208.0,,0.7909999999999999,0.634,0.431,0.544,319.0,,14.2,14.8,2.06,,1.16,2.8,0.1,3.0,12.0,0.738,67.9,68.7,67.3,11.1,140.0,50.6,167.0,66.5,221.0,2.5,9.2,5.2,47.7,1930.0,276.8,25.8,2018.0,0.45399999999999996,208.0,-4.6,0.2,6.3,-2.2,21.6,25.8,95.6,32.7,,,31.2,,7.2,34.4,1.1,1.8,-1.1,6.68,48.1,37.4,55.2,57.6,28.0,86.2,4.3,8.8,63.9,31.0
BGR,0.75,41.2,25.1,5.3,1.3,7.7,0.3,70.6,1.06,19.7,0.715,13.5,13.5,13.5,4.1,85.0,103.0,89.0,45.0,,10.2,9.8,10.4,91.3,88.2,93.1,5.2,,16.0,65.0,0.5,6.3,33.6,73.0,,9.9,40.9,,64.4,9995.0,15063.0,40.6,0.975,0.25,0.7390000000000001,0.758,15.0,99.4,47.2,22.1,0.95,,0.96,6.9,0.1,3.0,4.0,0.81,72.7,76.2,69.2,,92.0,11.0,220.0,13.3,52.0,2.6,5.6,19.9,39.3,12420.0,95.1,25.9,12461.0,0.7290000000000001,4837.0,-7.2,20.0,81.3,-2.2,2.2,27.9,99.7,85.9,4.7,0.4,100.0,80.0,25.3,100.5,13.8,,-9.1,5.44,8.9,56.8,45.3,50.4,44.7,56.4,10.1,22.3,10.3,25.1
BHR,0.7909999999999999,27.8,3.1,0.6,0.0,0.9,0.1,88.4,1.04,35.6,0.637,12.8,14.4,13.2,,38.0,96.0,96.0,24.0,,8.4,7.9,8.1,56.9,56.5,57.1,,,,93.0,0.5,21.6,0.6,100.0,,0.0,16.8,,,25456.0,54124.0,,0.9520000000000001,0.325,0.7709999999999999,0.81,20.0,97.5,17.4,7.5,7.21,,1.91,3.0,0.1,1.0,1.0,0.851,75.3,76.3,74.6,,69.0,9.1,86.0,10.6,36.0,0.5,3.4,10.2,41.8,43202.0,38.4,25.7,42678.0,0.915,6313.0,-15.4,21.3,86.3,40.0,25.8,26.7,99.9,99.9,,,100.0,,,148.3,6.6,,29.4,,1.3,68.0,63.2,68.6,38.9,86.2,7.8,29.0,2.2,
BHS,0.7859999999999999,29.1,9.1,0.2,0.0,0.3,0.0,82.2,1.06,37.5,0.71,12.4,,,,,109.0,89.0,,,10.9,11.6,11.3,88.9,89.8,87.6,18.6,,,91.0,0.16,5.3,51.4,0.0,,1.8,44.0,,,18935.0,28556.0,,,0.359,,,74.0,,49.4,26.8,1.18,,1.18,5.9,2.9,1.0,15.0,0.828,73.8,76.8,70.7,,135.0,13.3,222.0,16.2,17.0,15.8,0.2,1.1,59.5,32401.0,10.7,26.1,23631.0,0.826,1608.0,,25.0,69.2,9.9,18.3,27.3,98.1,90.0,,,99.9,,,81.4,5.7,,,,3.5,78.7,67.8,75.5,69.9,81.6,10.2,20.2,12.8,
BIH,0.7,36.9,19.6,2.6,0.5,3.8,0.2,44.0,1.07,25.7,0.599,12.7,13.1,12.4,,,,,,,7.4,6.4,8.5,,,,,,,,0.52,4.3,42.7,88.5,0.9,19.7,18.9,,,5641.0,11761.0,,0.922,,0.6679999999999999,0.725,14.0,99.9,35.9,12.3,1.19,,1.03,9.1,,5.0,10.0,0.85,75.2,77.8,72.5,,74.0,7.7,146.0,8.8,70.0,1.9,2.6,11.1,38.9,8312.0,31.4,27.1,8648.0,0.674,217.0,,21.3,42.2,-0.3,,27.2,96.7,94.9,,0.0,99.1,,7.3,103.2,5.6,4.6,-5.4,18.15,24.6,47.1,34.3,48.9,37.9,60.5,29.8,60.3,22.8,
