Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
AFG,,0.156,3.6,1.7,0.4920000000000001,52.0,,
AGO,,,3.7,,0.344,42.3,1439.0,0.40299999999999997
ALB,0.613,0.5429999999999999,10.2,7.8,0.7979999999999999,71.9,3361.0,0.531
AND,,,10.8,,0.877,77.0,36337.0,0.8909999999999999
ARE,0.748,0.52,10.9,6.5,0.8059999999999999,72.4,91853.0,1.0
ARG,0.725,0.636,13.1,8.1,0.804,72.3,13713.0,0.743
ARM,0.588,0.642,10.8,10.3,0.742,68.2,1684.0,0.4270000000000001
ATG,,,,,0.8,72.0,16271.0,0.769
AUS,0.872,0.875,17.3,11.8,0.889,77.8,28178.0,0.852
AUT,0.807,0.6940000000000001,14.4,8.8,0.866,76.3,32368.0,0.873
AZE,,,10.4,,0.6890000000000001,64.8,,
BDI,0.299,0.18100000000000002,4.7,1.5,0.429,47.9,975.0,0.344
BEL,0.8390000000000001,0.7809999999999999,16.6,9.6,0.8690000000000001,76.5,31564.0,0.8690000000000001
BEN,0.365,0.222,5.7,1.9,0.539,55.0,1470.0,0.406
BFA,,,2.8,,0.452,49.4,879.0,0.32799999999999996
BGD,0.409,0.276,6.2,3.1,0.622,60.4,1416.0,0.4
BGR,0.69,0.635,11.9,9.1,0.785,71.0,7880.0,0.66
BHR,0.765,0.599,13.5,6.7,0.815,73.0,43614.0,0.9179999999999999
BHS,,,11.9,,0.787,71.1,25872.0,0.8390000000000001
BIH,,,,,0.78,70.7,1415.0,0.4
BLR,,,12.4,,0.757,69.2,6922.0,0.64
BLZ,0.6609999999999999,0.6,11.1,8.8,0.774,70.3,6187.0,0.623
BOL,0.557,0.555,11.8,6.8,0.565,56.7,3784.0,0.5489999999999999
BRA,0.63,0.499,12.8,4.3,0.7170000000000001,66.6,10289.0,0.7
BRB,0.721,0.6459999999999999,13.2,8.4,0.8009999999999999,72.1,12118.0,0.725
BRN,0.797,0.613,12.7,7.8,0.825,73.7,84742.0,1.0
BTN,,,6.0,,0.541,55.1,2183.0,0.466
BWA,0.585,0.493,10.3,6.2,0.596,58.7,8968.0,0.679
CAF,0.299,0.196,4.3,2.3,0.42100000000000004,47.4,860.0,0.325
CAN,0.8540000000000001,0.815,16.8,10.5,0.889,77.8,29600.0,0.86
CHE,0.841,0.716,14.1,9.7,0.894,78.1,47069.0,0.93
CHL,0.713,0.613,12.1,8.3,0.8420000000000001,74.7,10417.0,0.7020000000000001
CHN,0.531,0.4270000000000001,8.9,5.3,0.765,69.8,2084.0,0.45899999999999996
CIV,0.386,0.248,6.2,2.3,0.47700000000000004,51.0,2519.0,0.48700000000000004
CMR,0.426,0.344,7.7,3.9,0.47600000000000003,50.9,2274.0,0.47200000000000003
COD,0.34,0.273,6.7,2.7,0.451,49.3,833.0,0.32
COG,0.528,0.45799999999999996,10.7,4.8,0.53,54.4,5486.0,0.605
COL,0.612,0.466,9.8,5.8,0.752,68.9,7608.0,0.654
COM,,,8.0,,0.585,58.0,1561.0,0.415
CPV,,,,,0.706,65.9,2786.0,0.503
