Country,Human Development Index (HDI),[Demography] Median age (years),[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),"[Demography] Population, ages 15–64 (millions)","[Demography] Population, ages 65 and older (millions)","[Demography] Population, total (millions)","[Demography] Population, under age 5 (millions)","[Demography] Population, urban (%)",[Demography] Sex ratio at birth (male to female births),[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),[Education] Education Index,[Education] Expected years of schooling (years),"[Education] Expected years of schooling, female (years)","[Education] Expected years of schooling, male (years)",[Education] Government expenditure on education (% of GDP),"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)","[Education] Gross enrolment ratio, primary (% of primary school-age population)","[Education] Gross enrolment ratio, secondary (% of secondary school-age population)","[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)","[Education] Literacy rate, adult (% ages 15 and older)",[Education] Mean years of schooling (years),"[Education] Mean years of schooling, female (years)","[Education] Mean years of schooling, male (years)",[Education] Population with at least some secondary education (% ages 25 and older),"[Education] Population with at least some secondary education, female (% ages 25 and older)","[Education] Population with at least some secondary education, male (% ages 25 and older)",[Education] Primary school dropout rate (% of primary school cohort),[Education] Primary school teachers trained to teach (%),"[Education] Pupil-teacher ratio, primary school (number of pupils per teacher)",[Education] Survival rate to the last grade of lower secondary general education (%),[Environmental Sustainability] Carbon dioxide emissions (kg per 2011 PPP $ of GDP),[Environmental Sustainability] Carbon dioxide emissions per capita (tonnes),[Environmental Sustainability] Forest area (% of total land area),[Environmental Sustainability] Fossil fuel energy consumption (% of total energy consumption),[Environmental Sustainability] Fresh water withdrawals (% of total renewable water resources),[Environmental Sustainability] Renewable energy consumption (% of total final energy consumption),"[Gender] Adolescent birth rate (births per 1,000 women ages 15-19)","[Gender] Antenatal care coverage, at least one visit (%)","[Gender] Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)","[Gender] Estimated gross national income per capita, female (2011 PPP$)","[Gender] Estimated gross national income per capita, male (2011 PPP$)",[Gender] Female share of employment in senior and middle management (%),[Gender] Gender Development Index (GDI),[Gender] Gender Inequality Index (GII),"[Gender] Human Development Index (HDI), female","[Gender] Human Development Index (HDI), male","[Gender] Maternal mortality ratio (deaths per 100,000 live births)",[Gender] Proportion of births attended by skilled health personnel (%),"[Gender] Share of employment in nonagriculture, female (% of total employment in nonagriculture)",[Gender] Share of seats in parliament (% held by women),[Gender] Total unemployment rate (female to male ratio),"[Gender] Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",[Gender] Youth unemployment rate (female to male ratio),[Health] Current health expenditure (% of GDP),"[Health] HIV prevalence, adult (% ages 15-49), total","[Health] Infants lacking immunization, DTP (% of one-year-olds)","[Health] Infants lacking immunization, measles (% of one-year-olds)",[Health] Life expectancy Index,[Health] Life expectancy at birth (years),"[Health] Life expectancy at birth, female (years)","[Health] Life expectancy at birth, male (years)","[Health] Malaria incidence (per 1,000 people at risk)","[Health] Mortality rate, female adult (per 1,000 people)","[Health] Mortality rate, infant (per 1,000 live births)","[Health] Mortality rate, male adult (per 1,000 people)","[Health] Mortality rate, under-five (per 1,000 live births)","[Health] Tuberculosis incidence (per 100,000 people)","[Human Security] Homicide rate (per 100,000 people)","[Human Security] Suicide rate, female (per 100,000 people)","[Human Security] Suicide rate, male (per 100,000 people)",[Income_composition of resources] Domestic credit provided by financial sector (% of GDP),[Income_composition of resources] Gross domestic product (GDP) per capita (2011 PPP $),"[Income_composition of resources] Gross domestic product (GDP), total (2011 PPP $ billions)",[Income_composition of resources] Gross fixed capital formation (% of GDP),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,[Mobility and communication] International inbound tourists (thousands),[Mobility and communication] International student mobility (% of total tertiary enrolment),"[Mobility and communication] Internet users, total (% of population)",[Mobility and communication] Mobile phone subscriptions (per 100 people),"[Mobility and communication] Net migration rate (per 1,000 people)",[Socio-economic sustainability] Adjusted net savings (% of GNI),[Socio-economic sustainability] Gross capital formation (% of GDP),[Socio-economic sustainability] Population using improved drinking-water sources (%),[Socio-economic sustainability] Population using improved sanitation facilities (%),[Socio-economic sustainability] Ratio of education and health expenditure to military expenditure,[Socio-economic sustainability] Research and development expenditure (% of GDP),[Socio-economic sustainability] Rural population with access to electricity (%),"[Socio-economic sustainability] Total debt service (% of exports of goods, services and primary income)",[Trade and financial flows] Exports and imports (% of GDP),"[Trade and financial flows] Foreign direct investment, net inflows (% of GDP)",[Trade and financial flows] Net official development assistance received (% of GNI),[Trade and financial flows] Private capital flows (% of GDP),"[Trade and financial flows] Remittances, inflows (% of GDP)","[Work, employment and vulnerability] Employment in agriculture (% of total employment)","[Work, employment and vulnerability] Employment in services (% of total employment)","[Work, employment and vulnerability] Employment to population ratio (% ages 15 and older)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), female","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), male","[Work, employment and vulnerability] Unemployment, total (% of labour force)","[Work, employment and vulnerability] Unemployment, youth (% ages 15–24)","[Work, employment and vulnerability] Vulnerable employment (% of total employment)"
AZE,0.64,25.6,9.3,5.1,0.5,8.1,0.7,51.4,1.13,49.4,0.64,10.4,10.4,10.3,3.9,19.0,97.0,,,,10.6,10.0,11.2,92.8,90.0,96.0,4.0,100.0,19.0,93.0,0.82,3.7,10.6,98.3,,2.1,42.3,66.0,55.1,3383.0,5288.0,,0.951,,0.623,0.655,48.0,80.7,44.8,,1.4,,1.09,3.8,0.1,17.0,33.0,0.7190000000000001,66.8,69.9,63.6,19.2,118.0,60.8,221.0,74.3,80.0,2.8,1.0,4.8,9.6,4459.0,35.9,23.1,4314.0,0.569,,,0.1,5.2,-2.8,-29.1,20.7,76.4,65.6,3.4,0.3,97.8,6.4,77.4,2.5,2.8,,1.08,41.4,48.7,55.8,63.3,57.0,70.3,11.8,27.8,68.6
BDI,0.303,15.3,6.4,3.0,0.2,6.4,1.2,8.2,1.03,103.5,0.187,4.5,4.6,5.9,2.6,1.0,59.0,,1.0,59.3,1.8,1.3,2.5,4.6,3.1,6.4,46.2,,55.0,,0.06,0.0,7.7,,2.3,93.2,47.2,78.0,15.7,676.0,860.0,,0.836,0.593,0.28600000000000003,0.342,954.0,25.2,21.4,14.4,0.52,,0.71,6.8,3.4,12.0,28.0,0.485,51.5,53.2,49.8,442.7,328.0,92.8,382.0,151.0,290.0,,6.2,20.3,21.6,754.0,4.8,2.8,766.0,0.308,29.0,-12.5,0.1,0.3,-14.4,-29.2,2.8,52.4,41.5,1.9,,,40.9,22.6,1.3,10.5,-1.3,,92.3,5.5,82.3,83.7,84.3,83.0,1.7,3.0,93.6
BEL,0.873,39.0,25.7,6.7,1.7,10.3,0.6,97.1,1.04,26.8,0.833,17.9,18.5,17.4,,110.0,105.0,145.0,58.0,,10.0,10.0,10.6,76.7,74.5,76.8,,,12.0,,0.3,11.2,22.0,75.9,,1.4,10.2,,,27007.0,49768.0,24.5,0.972,0.122,0.8590000000000001,0.884,9.0,,42.5,24.9,1.57,,1.19,7.9,,3.0,18.0,0.89,77.9,81.0,74.7,,69.0,4.9,130.0,5.9,14.0,2.1,10.4,28.2,,37189.0,381.2,22.5,38152.0,0.898,6457.0,8.1,29.4,54.7,1.0,,23.8,100.0,99.5,,1.9,100.0,,141.1,,,,1.68,1.8,71.9,48.8,52.2,43.6,61.4,6.6,15.3,11.5
BEN,0.39799999999999996,17.3,6.3,3.5,0.2,6.9,1.2,38.3,1.04,87.5,0.273,6.7,4.9,8.3,2.9,6.0,83.0,22.0,4.0,,2.6,1.5,3.8,14.4,8.4,20.5,24.3,65.0,53.0,77.0,0.14,0.2,44.9,25.5,,70.3,122.8,,,1271.0,2058.0,,0.747,0.6779999999999999,0.336,0.45,572.0,,53.5,6.0,0.36,,0.77,4.3,1.4,11.0,30.0,0.544,55.4,57.0,53.7,298.8,257.0,89.2,315.0,144.4,86.0,7.3,7.9,21.8,7.4,1666.0,11.4,24.6,1659.0,0.424,96.0,,0.2,0.8,-0.1,-2.6,23.6,60.1,10.0,12.7,,5.1,13.6,56.0,-0.5,9.6,-2.3,3.33,48.3,39.0,71.6,72.2,63.9,81.1,0.8,1.0,90.6
BFA,0.28600000000000003,16.4,5.5,5.9,0.3,11.6,2.2,17.8,1.05,92.7,0.139,3.5,2.9,4.2,,,45.0,10.0,,,1.2,,,,,,38.7,,49.0,56.0,0.08,0.1,22.8,,,85.4,142.6,,,815.0,1331.0,,,,,,547.0,36.5,39.4,10.5,1.12,,1.09,3.3,2.5,3.0,52.0,0.469,50.5,51.7,49.1,563.9,299.0,91.6,359.0,180.6,70.0,,8.5,25.9,14.3,1075.0,12.5,21.2,1069.0,0.358,126.0,,0.1,0.2,-2.5,,20.1,46.7,9.6,,,2.3,19.0,34.5,0.9,6.9,,2.56,85.7,10.3,75.7,77.7,68.0,88.3,2.6,3.8,89.8
BGD,0.46799999999999997,20.9,6.5,77.8,5.0,131.6,16.8,23.6,1.05,62.7,0.344,7.5,7.2,7.7,2.1,17.0,,48.0,5.0,,4.1,3.5,4.8,26.7,22.0,31.7,,,,81.0,0.13,0.2,11.3,57.9,,59.0,121.6,39.7,54.3,626.0,2726.0,,0.753,0.68,0.38799999999999996,0.515,399.0,12.1,13.7,9.1,0.85,18.2,0.99,2.4,0.1,8.0,26.0,0.6970000000000001,65.3,65.7,65.0,11.0,165.0,64.0,176.0,87.4,221.0,2.5,8.6,6.6,30.2,1642.0,216.1,23.8,1698.0,0.428,199.0,,0.1,0.2,-1.2,17.1,23.8,94.6,25.3,3.1,,20.5,10.6,29.3,0.5,2.1,-0.5,3.69,64.8,24.5,55.6,57.5,26.7,87.0,3.3,9.5,64.9
BGR,0.7120000000000001,39.7,24.5,5.4,1.3,8.0,0.3,68.9,1.06,23.1,0.677,12.9,13.2,12.7,,70.0,103.0,93.0,44.0,,9.5,9.3,9.9,87.6,81.5,89.5,5.3,,17.0,,0.6,5.3,30.5,72.4,,8.0,48.2,,,6604.0,10785.0,37.5,0.9740000000000001,0.336,0.7020000000000001,0.722,21.0,99.8,47.5,10.8,0.95,,0.93,5.9,0.1,5.0,11.0,0.792,71.5,75.1,68.1,,99.0,14.3,225.0,17.5,52.0,4.2,7.8,24.4,,8833.0,72.2,16.8,8642.0,0.674,2785.0,-5.1,5.4,9.2,-3.3,-1.7,19.2,99.7,85.8,,0.5,100.0,17.5,78.3,7.6,,-6.2,0.44,13.2,54.0,41.8,49.9,44.3,55.9,16.2,33.3,14.1
BHR,0.792,26.6,3.6,0.4,0.0,0.7,0.1,88.4,1.04,44.7,0.643,13.2,13.9,12.9,,34.0,105.0,98.0,,,8.3,6.9,7.3,68.3,56.6,60.6,7.7,,,90.0,0.62,28.1,0.5,100.0,,0.0,18.8,,,21784.0,61302.0,,0.932,,0.742,0.7959999999999999,21.0,97.7,20.5,,2.52,,1.16,3.4,0.1,2.0,2.0,0.838,74.4,75.4,73.7,,78.0,10.8,99.0,12.5,36.0,,3.5,9.0,33.9,44942.0,29.9,16.4,44452.0,0.9209999999999999,3869.0,,6.2,31.0,12.8,13.5,16.6,99.9,99.8,,,,,135.8,4.0,0.7,-6.0,,1.7,71.1,62.1,65.8,34.8,86.7,5.6,20.6,1.7
BHS,0.7759999999999999,27.0,8.2,0.2,0.0,0.3,0.0,82.0,1.06,44.9,0.7,12.1,12.4,11.7,2.9,16.0,,,,,10.9,11.1,10.7,89.6,91.2,87.6,,,,,0.17,5.6,51.4,,,0.0,61.9,,,19283.0,29213.0,,0.9990000000000001,0.38799999999999996,0.774,0.775,61.0,99.0,48.2,19.6,1.46,,1.34,5.1,2.9,1.0,7.0,0.8059999999999999,72.4,75.5,69.2,,142.0,13.3,239.0,16.1,32.0,24.8,1.0,2.5,52.7,32991.0,9.8,28.0,24120.0,0.8290000000000001,1544.0,,8.0,10.6,-2.1,22.1,30.1,98.4,88.6,,,94.9,,79.6,3.1,,,,4.1,78.2,69.7,75.1,69.2,81.5,7.2,14.8,13.8
BIH,0.672,34.9,16.0,2.6,0.4,3.8,0.2,42.4,1.07,30.3,0.557,11.6,,,,,,,21.0,96.7,7.0,,,,,,,,,,0.58,3.7,42.7,87.9,,19.4,25.2,99.2,47.5,4910.0,10061.0,,,,,,17.0,98.9,36.4,,1.21,,1.04,7.1,,10.0,20.0,0.8370000000000001,74.4,76.9,71.8,,81.0,8.7,161.0,9.9,82.0,2.6,3.5,14.7,37.4,6325.0,23.8,20.6,7440.0,0.6509999999999999,171.0,,1.1,2.5,-8.4,,20.6,96.4,94.9,,,98.6,14.2,104.2,2.7,12.1,-2.7,28.71,27.7,44.6,36.9,49.5,38.7,60.9,25.4,53.1,24.4
