Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
AFG,,0.168,3.9,1.8,0.501,52.5,,
AGO,,,3.8,,0.349,42.7,1102.0,0.363
ALB,0.619,0.542,10.1,7.8,0.8,72.0,3742.0,0.547
AND,,,10.8,,0.88,77.2,36190.0,0.89
ARE,0.7559999999999999,0.534,11.1,6.8,0.81,72.7,96179.0,1.0
ARG,0.728,0.639,13.1,8.2,0.8079999999999999,72.5,14306.0,0.75
ARM,0.599,0.636,10.4,10.4,0.747,68.5,1990.0,0.452
ATG,,,,,0.8029999999999999,72.2,16887.0,0.775
AUS,0.875,0.875,17.3,11.8,0.893,78.0,29123.0,0.857
AUT,0.813,0.705,14.8,8.8,0.87,76.6,32951.0,0.8759999999999999
AZE,,,10.1,,0.6920000000000001,65.0,3893.0,0.5529999999999999
BDI,0.298,0.18100000000000002,4.6,1.6,0.435,48.3,927.0,0.336
BEL,0.845,0.7909999999999999,16.9,9.7,0.872,76.7,32720.0,0.875
BEN,0.368,0.228,5.8,2.0,0.541,55.2,1443.0,0.40299999999999997
BFA,,,2.9,,0.452,49.4,865.0,0.326
BGD,0.41700000000000004,0.284,6.4,3.2,0.633,61.1,1445.0,0.40299999999999997
BGR,0.691,0.635,11.8,9.2,0.784,71.0,8036.0,0.6629999999999999
BHR,0.769,0.609,13.6,6.9,0.8190000000000001,73.2,41408.0,0.91
BHS,,,11.8,,0.7879999999999999,71.2,26217.0,0.841
BIH,,,,,0.7859999999999999,71.1,1628.0,0.42100000000000004
BLR,,,12.4,,0.75,68.7,6108.0,0.621
BLZ,0.6609999999999999,0.609,11.2,8.9,0.768,69.9,6008.0,0.619
BOL,0.564,0.565,12.0,7.0,0.574,57.3,3904.0,0.5539999999999999
BRA,0.64,0.511,13.0,4.5,0.725,67.1,10807.0,0.7070000000000001
BRB,0.727,0.653,13.3,8.5,0.804,72.3,12540.0,0.73
BRN,0.8009999999999999,0.62,12.8,8.0,0.8290000000000001,73.9,85060.0,1.0
BTN,,,6.2,,0.552,55.9,2421.0,0.48100000000000004
BWA,0.575,0.499,10.2,6.5,0.5720000000000001,57.2,8127.0,0.664
CAF,0.301,0.20199999999999999,4.4,2.4,0.41200000000000003,46.8,872.0,0.327
CAN,0.8590000000000001,0.821,16.9,10.6,0.892,78.0,30582.0,0.8640000000000001
CHE,0.8440000000000001,0.721,14.2,9.8,0.897,78.3,46935.0,0.929
CHL,0.718,0.62,12.3,8.3,0.847,75.1,10716.0,0.706
CHN,0.541,0.4320000000000001,8.9,5.5,0.768,69.9,2333.0,0.47600000000000003
CIV,0.386,0.253,6.2,2.4,0.466,50.3,2536.0,0.488
CMR,0.423,0.344,7.6,4.0,0.46799999999999997,50.4,2246.0,0.47
COD,0.33399999999999996,0.27699999999999997,6.6,2.8,0.45,49.2,729.0,0.3
COG,0.524,0.45899999999999996,10.6,5.0,0.521,53.8,5323.0,0.6
COL,0.619,0.474,9.9,6.0,0.7559999999999999,69.1,8045.0,0.6629999999999999
COM,,,8.0,,0.591,58.4,1430.0,0.402
CPV,,,,,0.7120000000000001,66.3,2892.0,0.508
CRI,0.682,0.542,10.7,7.3,0.867,76.4,8741.0,0.675
CUB,0.652,0.619,11.4,9.1,0.8490000000000001,75.2,3256.0,0.526
CYP,0.7809999999999999,0.648,12.4,9.1,0.879,77.2,25126.0,0.835
CZE,0.7440000000000001,0.642,12.2,9.1,0.815,73.0,18138.0,0.7859999999999999
DEU,0.8290000000000001,0.75,15.6,9.5,0.867,76.4,33196.0,0.877
DJI,,,2.7,,0.57,57.1,1990.0,0.452
DMA,,,11.7,,0.866,76.3,6627.0,0.633
DNK,0.8240000000000001,0.7390000000000001,14.9,9.7,0.853,75.5,35843.0,0.888
