Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,[Socio-economic sustainability] Research and development expenditure (% of GDP)
COG,0.504,0.45899999999999996,10.3,5.2,0.503,52.7,3893.0,0.5529999999999999,
COL,0.634,0.498,10.5,6.2,0.765,69.8,8331.0,0.6679999999999999,0.3
COM,,,8.1,,0.6,59.0,1383.0,0.397,
CPV,,,,,0.726,67.2,3128.0,0.52,
CRI,0.691,0.5589999999999999,11.1,7.5,0.873,76.8,8778.0,0.6759999999999999,0.3
CUB,0.665,0.636,11.8,9.3,0.857,75.7,3551.0,0.539,0.3
CYP,0.789,0.662,12.6,9.4,0.884,77.5,25798.0,0.8390000000000001,
CZE,0.768,0.685,13.1,9.6,0.826,73.7,19829.0,0.799,0.9
DEU,0.8390000000000001,0.767,15.8,9.8,0.875,76.9,33807.0,0.88,2.1
DJI,0.353,0.17300000000000001,2.8,2.8,0.57,57.0,1931.0,0.447,
DMA,,,11.8,,0.866,76.3,6856.0,0.639,
DNK,0.8370000000000001,0.763,15.4,10.1,0.8590000000000001,75.8,37657.0,0.8959999999999999,1.8
DOM,0.635,0.531,12.0,6.0,0.767,69.8,6467.0,0.63,
DZA,0.608,0.44299999999999995,10.0,5.0,0.746,68.5,9007.0,0.68,
ECU,0.664,0.5670000000000001,12.1,6.9,0.794,71.6,7408.0,0.65,0.1
EGY,0.584,0.433,10.6,4.2,0.727,67.3,6536.0,0.631,0.2
ERI,,,3.8,,0.507,52.9,1697.0,0.428,
ESP,0.8059999999999999,0.6970000000000001,15.6,7.9,0.898,78.4,25463.0,0.8370000000000001,0.8
EST,0.738,0.726,13.2,10.7,0.752,68.9,12993.0,0.735,
ETH,,,2.9,,0.45899999999999996,49.8,,,
FIN,0.823,0.752,16.5,8.8,0.873,76.7,27824.0,0.85,2.5
FJI,0.6759999999999999,0.6829999999999999,12.9,9.8,0.72,66.8,6401.0,0.628,
FRA,0.83,0.738,15.8,9.0,0.892,78.0,31550.0,0.8690000000000001,2.2
FSM,,,,,0.721,66.9,3155.0,0.521,
GAB,0.634,0.516,12.1,5.4,0.621,60.4,19437.0,0.7959999999999999,
GBR,0.8440000000000001,0.8009999999999999,15.1,11.4,0.875,76.9,29200.0,0.858,1.6
GEO,,,10.9,,0.78,70.7,2562.0,0.49,0.3
GHA,0.474,0.405,7.7,5.8,0.575,57.3,2077.0,0.45799999999999996,
GIN,0.299,0.147,3.7,1.4,0.488,51.7,1184.0,0.373,
GMB,0.36,0.21899999999999997,5.7,1.8,0.527,54.3,1444.0,0.40299999999999997,
GNB,,,5.5,,0.48200000000000004,51.3,1370.0,0.395,
GNQ,,,,,0.478,51.1,2419.0,0.48100000000000004,
GRC,0.772,0.632,12.9,8.3,0.8909999999999999,77.9,22203.0,0.816,
GRD,,,13.6,,0.763,69.6,7084.0,0.644,
GTM,0.515,0.32,7.3,3.5,0.703,65.7,5550.0,0.607,
GUY,0.589,0.539,10.6,7.3,0.682,64.3,3979.0,0.556,
HKG,0.8109999999999999,0.669,13.6,8.8,0.9129999999999999,79.4,31988.0,0.871,
HND,0.534,0.389,9.3,3.9,0.758,69.3,3073.0,0.517,
HRV,0.7090000000000001,0.575,11.4,7.8,0.831,74.0,13846.0,0.745,
HTI,0.4270000000000001,0.322,7.6,3.3,0.564,56.6,1723.0,0.43,
HUN,0.746,0.71,13.2,10.3,0.774,70.3,14697.0,0.754,0.6
IDN,0.5770000000000001,0.441,10.2,4.7,0.698,65.3,6243.0,0.624,
IND,0.467,0.35100000000000003,8.2,3.7,0.629,60.9,2130.0,0.462,0.6
IRL,0.8009999999999999,0.7140000000000001,13.1,10.5,0.858,75.8,25753.0,0.8390000000000001,1.3
IRN,0.647,0.493,11.2,5.5,0.75,68.7,12731.0,0.732,
IRQ,0.573,0.39299999999999996,8.9,4.3,0.75,68.8,6754.0,0.636,
ISL,0.831,0.742,15.9,9.0,0.9059999999999999,78.9,28218.0,0.852,
ISR,0.828,0.769,13.7,11.7,0.892,78.0,23756.0,0.826,2.6
ITA,0.8059999999999999,0.665,14.3,8.1,0.898,78.4,33237.0,0.877,1.0
JAM,0.66,0.54,11.4,6.7,0.8,72.0,8171.0,0.665,
JOR,0.6859999999999999,0.65,12.2,9.3,0.785,71.1,6533.0,0.631,
JPN,0.845,0.74,14.3,10.3,0.9259999999999999,80.2,33768.0,0.879,2.7
KAZ,0.6659999999999999,0.6509999999999999,12.0,9.5,0.67,63.5,8893.0,0.6779999999999999,
KEN,0.455,0.396,8.6,4.7,0.511,53.2,2191.0,0.466,
KGZ,0.568,0.603,10.6,9.2,0.708,66.0,1728.0,0.43,
KHM,0.391,0.301,7.2,3.0,0.5489999999999999,55.7,1106.0,0.363,
KIR,,,11.0,,0.659,62.9,1780.0,0.435,
KNA,,,13.0,,0.753,68.9,16518.0,0.7709999999999999,
