Country,Human Development Index (HDI),[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),"[Demography] Population, ages 15–64 (millions)","[Demography] Population, ages 65 and older (millions)","[Demography] Population, total (millions)","[Demography] Population, under age 5 (millions)","[Demography] Population, urban (%)",[Demography] Sex ratio at birth (male to female births),[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),[Education] Education Index,[Education] Expected years of schooling (years),"[Education] Expected years of schooling, female (years)","[Education] Expected years of schooling, male (years)",[Education] Government expenditure on education (% of GDP),"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)","[Education] Gross enrolment ratio, primary (% of primary school-age population)","[Education] Gross enrolment ratio, secondary (% of secondary school-age population)","[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)",[Education] Mean years of schooling (years),"[Education] Mean years of schooling, female (years)","[Education] Mean years of schooling, male (years)",[Education] Population with at least some secondary education (% ages 25 and older),"[Education] Population with at least some secondary education, female (% ages 25 and older)","[Education] Population with at least some secondary education, male (% ages 25 and older)",[Education] Primary school teachers trained to teach (%),"[Education] Pupil-teacher ratio, primary school (number of pupils per teacher)","[Gender] Adolescent birth rate (births per 1,000 women ages 15-19)","[Gender] Antenatal care coverage, at least one visit (%)","[Gender] Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)","[Gender] Estimated gross national income per capita, female (2011 PPP$)","[Gender] Estimated gross national income per capita, male (2011 PPP$)",[Gender] Female share of employment in senior and middle management (%),[Gender] Gender Development Index (GDI),[Gender] Gender Inequality Index (GII),"[Gender] Human Development Index (HDI), female","[Gender] Human Development Index (HDI), male",[Gender] Mandatory paid maternity leave (days),[Gender] Proportion of births attended by skilled health personnel (%),"[Gender] Share of employment in nonagriculture, female (% of total employment in nonagriculture)",[Gender] Share of seats in parliament (% held by women),[Gender] Total unemployment rate (female to male ratio),"[Gender] Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",[Gender] Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),[Gender] Youth unemployment rate (female to male ratio),"[Health] Infants lacking immunization, DTP (% of one-year-olds)","[Health] Infants lacking immunization, measles (% of one-year-olds)",[Health] Life expectancy Index,[Health] Life expectancy at birth (years),"[Health] Life expectancy at birth, female (years)","[Health] Life expectancy at birth, male (years)",[Human Security] Refugees by country of origin (thousands),[Income_composition of resources] Domestic credit provided by financial sector (% of GDP),[Income_composition of resources] Gross domestic product (GDP) per capita (2011 PPP $),"[Income_composition of resources] Gross domestic product (GDP), total (2011 PPP $ billions)",[Income_composition of resources] Gross fixed capital formation (% of GDP),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,[Inequality] Coefficient of Human Inequality,[Inequality] Inequality in education (%),[Inequality] Inequality in income (%),[Inequality] Inequality in life expectancy (%),[Inequality] Inequality-adjusted HDI (IHDI),[Inequality] Inequality-adjusted education index,[Inequality] Inequality-adjusted income index,[Inequality] Inequality-adjusted life expectancy index,[Inequality] Overall loss in HDI due to inequality (%),[Mobility and communication] International student mobility (% of total tertiary enrolment),[Socio-economic sustainability] Gross capital formation (% of GDP),[Socio-economic sustainability] Skilled labour force (% of labour force),[Trade and financial flows] Exports and imports (% of GDP),"[Trade and financial flows] Foreign direct investment, net inflows (% of GDP)",[Trade and financial flows] Private capital flows (% of GDP),"[Trade and financial flows] Remittances, inflows (% of GDP)","[Work, employment and vulnerability] Employment in agriculture (% of total employment)","[Work, employment and vulnerability] Employment in services (% of total employment)","[Work, employment and vulnerability] Employment to population ratio (% ages 15 and older)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), female","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), male","[Work, employment and vulnerability] Unemployment, total (% of labour force)","[Work, employment and vulnerability] Unemployment, youth (% ages 15–24)","[Work, employment and vulnerability] Vulnerable employment (% of total employment)","[Work, employment and vulnerability] Youth not in school or employment (% ages 15-24)"
AZE,0.757,8.5,6.9,0.6,9.8,0.9,55.3,1.13,32.9,0.7090000000000001,12.7,12.6,12.7,,,,,,10.7,10.4,11.0,95.6,93.8,97.5,,,53.5,,,10089.0,21152.0,,0.9490000000000001,0.318,0.7340000000000001,0.773,126.0,,43.8,16.8,1.29,,27.7,1.01,3.0,2.0,0.802,72.1,75.2,69.1,10.3,29.5,15847.0,156.3,23.6,15600.0,0.763,9.9,3.8,8.9,17.0,0.6809999999999999,0.682,0.695,0.6659999999999999,10.0,,24.1,,90.7,7.0,-7.3,2.78,37.4,48.5,62.8,66.1,62.9,69.5,5.0,13.7,56.1,
BDI,0.41700000000000004,4.9,5.7,0.3,10.9,2.0,12.7,1.03,85.8,0.424,11.7,11.3,12.1,,,,,,3.0,2.7,3.7,9.3,7.5,10.5,,,26.8,99.2,28.5,807.0,594.0,,1.002,0.47100000000000003,0.419,0.418,84.0,85.1,21.7,37.8,0.55,29.7,6.7,0.69,6.0,10.0,0.5820000000000001,57.9,59.9,55.9,439.3,32.8,702.0,7.6,,702.0,0.294,32.8,39.5,20.9,38.1,0.278,0.256,0.233,0.361,33.3,,,,,,,0.96,91.5,6.1,77.7,78.9,80.2,77.5,1.6,2.9,92.4,
BEL,0.9159999999999999,28.9,7.4,2.1,11.4,0.6,98.0,1.05,26.6,0.893,19.8,20.8,18.8,,,,,,11.8,11.6,11.9,84.4,82.2,86.7,,,4.9,,,33260.0,51302.0,,0.971,0.048,0.9009999999999999,0.9279999999999999,105.0,,46.3,41.4,0.93,,98.8,0.93,1.0,4.0,0.943,81.3,83.6,78.9,0.1,135.7,42659.0,485.1,23.3,42156.0,0.9129999999999999,8.7,8.7,13.7,3.6,0.836,0.815,0.7879999999999999,0.909,8.7,,24.6,83.3,169.4,-6.3,7.5,2.13,1.3,77.4,49.3,53.2,47.8,58.7,7.4,19.0,10.8,
BEN,0.515,6.0,6.0,0.4,11.2,1.8,46.8,1.04,78.9,0.47100000000000003,12.6,11.1,14.0,,,,,,3.6,3.0,4.3,25.4,18.2,32.7,,,86.1,,,1795.0,2329.0,,0.875,0.611,0.479,0.547,98.0,,55.7,7.2,1.17,,28.6,1.11,14.0,26.0,0.633,61.2,62.7,59.6,0.6,25.9,2064.0,23.1,28.6,2061.0,0.457,36.3,43.7,30.3,35.0,0.326,0.265,0.319,0.41200000000000003,36.6,,28.6,,79.4,,,2.87,43.2,38.3,69.1,70.9,68.7,73.1,2.5,5.2,88.0,
BFA,0.423,4.6,10.1,0.5,19.2,3.3,28.7,1.05,86.2,0.28600000000000003,8.5,8.3,8.8,,,,,,1.5,1.0,2.0,8.5,6.0,11.7,,,104.3,,25.4,1289.0,2014.0,,0.87,0.61,0.39299999999999996,0.452,98.0,,48.3,11.0,2.22,29.1,34.5,1.56,5.0,12.0,0.627,60.8,61.4,60.0,2.7,31.6,1703.0,32.7,24.6,1650.0,0.423,31.8,39.2,24.2,32.0,0.28800000000000003,0.174,0.321,0.4270000000000001,32.1,,25.5,,62.8,,,3.45,28.3,39.8,62.3,66.5,58.2,75.2,6.3,8.6,87.2,
BGD,0.608,7.7,109.6,8.4,164.7,15.2,35.9,1.05,42.6,0.508,11.4,11.7,11.3,,,,,,5.8,5.2,6.7,45.5,44.0,48.2,,,83.5,,,2041.0,5285.0,,0.8809999999999999,0.542,0.5670000000000001,0.644,112.0,,18.4,20.3,2.12,,35.8,1.11,1.0,6.0,0.812,72.8,74.6,71.2,16.8,63.7,3524.0,580.3,30.5,3677.0,0.545,23.4,37.3,15.7,17.3,0.462,0.319,0.45899999999999996,0.672,24.1,,30.5,27.2,35.3,0.9,-0.7,5.41,39.1,39.9,54.0,56.5,33.0,79.8,4.4,11.4,57.5,
BGR,0.813,32.0,4.6,1.5,7.1,0.3,74.7,1.06,21.9,0.805,14.8,15.0,14.6,,,,,,11.8,11.9,11.8,94.8,93.7,96.1,,,39.5,,,14777.0,22930.0,,0.99,0.217,0.8079999999999999,0.816,410.0,,47.8,23.8,0.87,,73.6,0.99,4.0,6.0,0.8440000000000001,74.9,78.4,71.5,0.7,55.3,18563.0,131.4,19.2,18740.0,0.7909999999999999,12.3,6.5,23.6,6.7,0.71,0.753,0.604,0.7879999999999999,12.7,,20.9,87.6,131.1,2.9,4.0,3.88,6.3,64.5,50.1,53.4,47.8,59.6,6.3,14.4,8.2,
BHR,0.846,3.0,1.2,0.0,1.5,0.1,89.2,1.04,25.3,0.758,16.0,16.6,15.6,,,,,,9.4,9.3,9.5,59.2,63.7,57.1,,,13.4,,,18774.0,55130.0,,0.9309999999999999,0.222,0.805,0.865,60.0,,20.6,15.0,8.6,,75.4,2.0,2.0,1.0,0.878,77.0,78.1,76.2,0.5,,43291.0,64.6,,41580.0,0.9109999999999999,,19.0,,5.6,,0.614,,0.828,,,,,,1.5,9.9,,1.0,63.9,71.3,72.2,44.0,87.0,1.3,5.8,1.8,
BHS,0.807,12.8,0.3,0.0,0.4,0.0,82.9,1.06,29.0,0.726,12.8,,,,,,,,11.1,11.5,10.5,87.5,87.4,87.6,,,26.7,,,22156.0,31397.0,,,0.34,,,91.0,,48.0,21.8,1.2,,,1.18,2.0,10.0,0.8590000000000001,75.8,78.8,72.7,0.4,72.4,27718.0,11.0,26.3,26681.0,0.8440000000000001,,6.3,,8.7,,0.68,,0.784,,,27.0,,75.5,,,,4.0,84.3,66.3,75.8,70.0,82.0,12.6,25.7,14.6,
BIH,0.768,23.9,2.4,0.6,3.5,0.2,47.9,1.06,20.4,0.718,14.2,14.9,14.5,,,,,,9.7,8.6,10.9,79.9,71.7,88.7,,,10.0,,,7723.0,15856.0,,0.924,0.166,0.7390000000000001,0.8,365.0,,32.7,19.3,2.09,,54.7,1.23,8.0,31.0,0.878,77.1,79.6,74.6,17.7,56.8,11714.0,41.1,16.8,11716.0,0.72,15.3,19.8,20.2,5.9,0.649,0.5760000000000001,0.575,0.826,15.5,,20.5,,86.9,2.4,-1.6,10.99,19.1,48.7,34.7,46.6,35.2,58.7,25.6,55.4,20.9,
