Country,Human Development Index (HDI),[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),"[Demography] Population, ages 15–64 (millions)","[Demography] Population, ages 65 and older (millions)","[Demography] Population, total (millions)","[Demography] Population, under age 5 (millions)","[Demography] Population, urban (%)",[Demography] Sex ratio at birth (male to female births),[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),[Education] Education Index,[Education] Expected years of schooling (years),"[Education] Expected years of schooling, female (years)","[Education] Expected years of schooling, male (years)",[Education] Government expenditure on education (% of GDP),"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)","[Education] Gross enrolment ratio, primary (% of primary school-age population)","[Education] Gross enrolment ratio, secondary (% of secondary school-age population)","[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)",[Education] Mean years of schooling (years),"[Education] Mean years of schooling, female (years)","[Education] Mean years of schooling, male (years)",[Education] Population with at least some secondary education (% ages 25 and older),"[Education] Population with at least some secondary education, female (% ages 25 and older)","[Education] Population with at least some secondary education, male (% ages 25 and older)",[Education] Primary school teachers trained to teach (%),"[Education] Pupil-teacher ratio, primary school (number of pupils per teacher)","[Gender] Adolescent birth rate (births per 1,000 women ages 15-19)","[Gender] Antenatal care coverage, at least one visit (%)","[Gender] Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)","[Gender] Estimated gross national income per capita, female (2011 PPP$)","[Gender] Estimated gross national income per capita, male (2011 PPP$)",[Gender] Female share of employment in senior and middle management (%),[Gender] Gender Development Index (GDI),[Gender] Gender Inequality Index (GII),"[Gender] Human Development Index (HDI), female","[Gender] Human Development Index (HDI), male",[Gender] Mandatory paid maternity leave (days),[Gender] Proportion of births attended by skilled health personnel (%),"[Gender] Share of employment in nonagriculture, female (% of total employment in nonagriculture)",[Gender] Share of seats in parliament (% held by women),[Gender] Total unemployment rate (female to male ratio),"[Gender] Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",[Gender] Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),[Gender] Youth unemployment rate (female to male ratio),"[Health] Infants lacking immunization, DTP (% of one-year-olds)","[Health] Infants lacking immunization, measles (% of one-year-olds)",[Health] Life expectancy Index,[Health] Life expectancy at birth (years),"[Health] Life expectancy at birth, female (years)","[Health] Life expectancy at birth, male (years)",[Human Security] Refugees by country of origin (thousands),[Income_composition of resources] Domestic credit provided by financial sector (% of GDP),[Income_composition of resources] Gross domestic product (GDP) per capita (2011 PPP $),"[Income_composition of resources] Gross domestic product (GDP), total (2011 PPP $ billions)",[Income_composition of resources] Gross fixed capital formation (% of GDP),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,[Inequality] Coefficient of Human Inequality,[Inequality] Inequality in education (%),[Inequality] Inequality in income (%),[Inequality] Inequality in life expectancy (%),[Inequality] Inequality-adjusted HDI (IHDI),[Inequality] Inequality-adjusted education index,[Inequality] Inequality-adjusted income index,[Inequality] Inequality-adjusted life expectancy index,[Inequality] Overall loss in HDI due to inequality (%),[Mobility and communication] International student mobility (% of total tertiary enrolment),[Socio-economic sustainability] Gross capital formation (% of GDP),[Socio-economic sustainability] Skilled labour force (% of labour force),[Trade and financial flows] Exports and imports (% of GDP),"[Trade and financial flows] Foreign direct investment, net inflows (% of GDP)",[Trade and financial flows] Private capital flows (% of GDP),"[Trade and financial flows] Remittances, inflows (% of GDP)","[Work, employment and vulnerability] Employment in agriculture (% of total employment)","[Work, employment and vulnerability] Employment in services (% of total employment)","[Work, employment and vulnerability] Employment to population ratio (% ages 15 and older)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), female","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), male","[Work, employment and vulnerability] Unemployment, total (% of labour force)","[Work, employment and vulnerability] Unemployment, youth (% ages 15–24)","[Work, employment and vulnerability] Vulnerable employment (% of total employment)","[Work, employment and vulnerability] Youth not in school or employment (% ages 15-24)"
BLR,0.8079999999999999,21.6,6.5,1.4,9.5,0.6,78.1,1.06,24.5,0.838,15.5,15.9,15.1,,,,,,12.3,12.2,12.4,91.9,87.0,92.2,,,17.2,,,13479.0,19592.0,,1.02,0.13,0.8140000000000001,0.799,126.0,,51.5,33.1,1.0,,81.3,1.1,3.0,3.0,0.816,73.1,78.5,67.5,3.7,41.9,17168.0,163.2,25.0,16323.0,0.77,6.5,3.7,10.8,4.9,0.755,0.807,0.6859999999999999,0.7759999999999999,6.5,,26.2,,133.6,2.3,-4.6,2.21,9.9,59.0,63.7,64.0,58.4,70.7,0.5,1.1,2.7,
BLZ,0.708,6.0,0.2,0.0,0.4,0.0,45.6,1.03,48.5,0.705,12.8,13.0,12.7,7.4,,,,,10.5,10.5,10.4,78.6,78.9,78.4,,,63.5,,,5689.0,8655.0,,0.9790000000000001,0.386,0.6990000000000001,0.7140000000000001,98.0,,43.3,11.1,3.25,,52.3,1.6,11.0,10.0,0.778,70.6,73.6,67.9,0.1,71.9,7824.0,2.9,18.6,7166.0,0.645,21.3,15.9,37.9,10.1,0.55,0.594,0.401,0.7,22.3,,19.0,,112.8,1.4,-1.4,4.91,15.4,69.5,62.0,67.1,53.2,81.3,7.6,16.6,26.8,
BOL,0.693,10.9,6.8,0.7,11.1,1.2,69.1,1.05,51.3,0.687,14.0,14.0,14.0,,,,,,8.9,8.2,9.7,58.2,50.5,59.5,,,68.1,,,4686.0,8737.0,,0.929,0.45,0.665,0.716,90.0,,41.0,51.8,1.46,,53.9,1.16,9.0,17.0,0.7609999999999999,69.5,72.1,67.0,0.5,68.3,6886.0,76.1,21.3,6714.0,0.635,25.7,20.0,31.8,25.2,0.514,0.5489999999999999,0.434,0.569,25.8,,22.2,45.2,56.7,1.9,-5.4,3.48,27.0,50.6,65.3,67.4,55.2,79.9,3.1,6.6,31.3,
BRA,0.759,12.3,145.9,17.9,209.3,14.8,86.3,1.05,31.2,0.6859999999999999,15.4,15.9,14.9,,,,,,7.8,8.0,7.7,60.0,61.0,57.7,,,61.6,,,10073.0,17566.0,38.8,0.992,0.40700000000000003,0.755,0.7609999999999999,120.0,,44.4,11.3,1.35,,67.5,1.14,1.0,3.0,0.857,75.7,79.3,72.1,0.9,111.3,14103.0,2951.7,15.6,13755.0,0.7440000000000001,23.2,22.0,36.7,10.8,0.578,0.535,0.47100000000000003,0.765,23.9,,15.5,62.0,24.1,3.4,-2.5,0.13,10.3,68.8,55.5,63.7,53.2,74.7,12.9,30.5,27.9,24.8
BRB,0.8,22.7,0.2,0.0,0.3,0.0,31.2,1.04,28.9,0.777,15.3,16.7,13.9,,,,,,10.6,10.6,10.4,92.9,94.2,91.6,,,37.3,,,13509.0,18384.0,,1.015,0.284,0.805,0.792,84.0,,50.0,19.6,1.09,,,1.07,10.0,8.0,0.862,76.1,78.4,73.6,0.2,,16978.0,4.9,17.6,15843.0,0.765,15.4,5.5,33.6,7.0,0.669,0.7340000000000001,0.508,0.802,16.4,,17.8,,80.7,,,2.33,2.9,77.9,59.5,65.9,62.3,70.0,9.7,29.0,15.9,
BRN,0.853,6.3,0.3,0.0,0.4,0.0,77.3,1.06,31.8,0.7040000000000001,14.5,14.8,14.1,,,,,,9.1,9.0,9.1,69.7,69.1,70.3,,,10.3,,,63939.0,88204.0,,0.991,0.23600000000000002,0.846,0.8540000000000001,91.0,,42.4,9.1,1.3,,,1.09,1.0,3.0,0.883,77.4,79.1,75.8,0.0,28.6,71809.0,30.8,34.6,76427.0,1.0,,,,5.5,,,,0.8340000000000001,,,34.8,79.1,85.2,,,,0.5,81.8,62.3,67.1,59.0,74.7,7.1,28.2,5.1,
BTN,0.612,7.1,0.6,0.0,0.8,0.1,40.2,1.04,38.7,0.445,12.3,12.4,12.2,,,,,,3.1,2.1,4.2,9.6,6.0,13.7,,,20.3,,,6002.0,9889.0,,0.893,0.47600000000000003,0.5760000000000001,0.645,56.0,,32.1,8.3,1.74,,27.7,1.23,1.0,3.0,0.778,70.6,70.9,70.3,8.0,,8709.0,7.0,47.2,8065.0,0.6629999999999999,26.4,41.7,19.6,17.8,0.446,0.259,0.5329999999999999,0.639,27.2,,47.2,,74.0,-0.4,0.4,1.72,56.8,33.5,65.2,66.8,58.0,74.3,2.4,10.2,71.5,
BWA,0.7170000000000001,6.1,1.5,0.1,2.3,0.3,68.7,1.03,48.6,0.659,12.6,12.8,12.5,,,,,23.0,9.3,9.2,9.5,89.2,88.8,89.6,,,30.0,,,12613.0,18521.0,,0.976,0.434,0.7070000000000001,0.725,84.0,,47.6,9.5,1.46,,46.8,1.2,2.0,3.0,0.733,67.6,70.2,64.9,0.3,17.1,15807.0,36.2,,15534.0,0.762,,,,18.6,,,,0.596,,-3.7,,,,2.3,2.8,0.21,26.2,60.3,58.9,71.9,65.6,78.4,18.1,35.7,15.0,
CAF,0.3670000000000001,6.9,2.5,0.2,4.7,0.7,41.0,1.03,81.3,0.341,7.2,5.9,8.5,,,,,,4.3,3.0,5.6,21.8,13.2,30.8,,,103.8,,,521.0,809.0,,0.78,0.6729999999999999,0.319,0.409,98.0,,29.8,8.6,1.24,,9.7,1.06,31.0,51.0,0.506,52.9,54.8,51.0,545.5,,661.0,3.1,17.7,663.0,0.28600000000000003,41.8,34.5,49.2,41.7,0.212,0.223,0.145,0.295,42.1,,17.7,,44.3,,,,85.6,6.4,67.2,71.5,63.3,80.0,6.0,10.6,67.5,
CAN,0.9259999999999999,25.4,24.5,6.2,36.6,1.9,81.4,1.06,23.9,0.899,16.4,16.9,16.0,,,,,,13.3,13.3,12.9,100.0,100.0,100.0,,,9.4,,,34928.0,52070.0,,0.986,0.092,0.9159999999999999,0.93,105.0,,48.0,30.1,0.8,,99.9,0.89,4.0,11.0,0.9620000000000001,82.5,84.4,80.7,0.1,,44018.0,1615.8,23.0,43433.0,0.917,7.7,1.4,17.4,4.3,0.852,0.887,0.758,0.9209999999999999,8.0,,23.7,90.8,64.1,1.7,-1.7,0.08,2.0,78.4,61.0,65.2,60.7,69.8,6.4,12.3,11.0,
CHE,0.9440000000000001,27.6,5.7,1.6,8.5,0.4,73.8,1.05,22.3,0.897,16.2,16.1,16.3,,,,,,13.4,13.9,12.9,96.8,96.4,97.2,,,3.0,,,47938.0,67490.0,,0.987,0.039,0.937,0.9490000000000001,98.0,,46.8,29.3,1.04,,98.9,0.98,2.0,5.0,0.977,83.5,85.3,81.5,0.0,,57410.0,486.0,24.5,57625.0,0.96,7.5,2.4,16.8,3.5,0.871,0.8759999999999999,0.799,0.9420000000000001,7.8,,23.3,85.7,118.9,5.6,-4.8,0.37,3.5,75.8,65.2,68.4,62.9,74.1,4.8,8.4,9.5,
CHL,0.843,16.2,12.4,2.0,18.1,1.2,87.5,1.04,29.6,0.8,16.4,16.7,16.2,,,,,,10.3,10.2,10.5,80.6,79.0,80.9,,,45.6,,,15137.0,28809.0,,0.961,,0.823,0.856,126.0,,43.1,15.8,1.15,,71.3,1.09,2.0,7.0,0.919,79.7,82.1,77.2,0.5,128.0,22767.0,411.1,21.6,21910.0,0.8140000000000001,14.9,7.5,31.1,6.1,0.71,0.741,0.561,0.863,15.7,,22.1,69.2,55.7,2.3,1.0,0.02,9.6,67.6,58.0,62.3,50.6,74.4,7.0,16.8,23.9,
CHN,0.752,14.8,1010.4,150.0,1409.5,85.1,58.0,1.15,24.7,0.644,13.8,14.0,13.6,,,,,,7.8,7.6,8.3,77.4,74.0,82.0,,,6.4,,,12053.0,18295.0,,0.955,0.152,0.735,0.769,128.0,,42.3,24.2,0.84,,76.4,0.92,1.0,1.0,0.868,76.4,78.0,74.9,207.7,215.2,15309.0,21223.9,41.9,15270.0,0.76,14.2,11.5,23.3,7.9,0.643,0.5710000000000001,0.5820000000000001,0.799,14.5,,43.6,,37.8,1.4,-0.6,0.23,17.5,55.9,65.7,68.9,61.5,76.1,4.7,10.8,33.0,
CIV,0.4920000000000001,5.4,13.3,0.7,24.3,3.9,50.3,1.03,77.7,0.424,9.0,8.1,10.0,,,,,,5.2,4.0,6.2,26.1,17.8,34.1,,,132.7,,,2529.0,4409.0,,0.841,,0.446,0.531,98.0,,46.9,9.2,1.57,,35.6,1.32,1.0,22.0,0.525,54.1,55.7,52.7,40.0,33.8,3601.0,87.5,20.9,3481.0,0.536,36.3,47.4,27.4,34.2,0.311,0.223,0.389,0.345,36.9,,22.6,,48.6,,,0.94,48.3,45.3,55.8,57.3,48.1,66.2,2.6,3.7,73.3,
CMR,0.556,5.8,13.0,0.8,24.1,3.9,55.8,1.03,79.0,0.547,12.2,11.3,13.0,,,,,,6.3,4.7,7.6,36.2,32.5,39.2,,,105.8,,,2751.0,3878.0,,0.866,0.569,0.513,0.593,98.0,,42.5,27.1,1.49,,30.0,1.19,7.0,23.0,0.593,58.6,59.7,57.5,11.0,16.6,3365.0,80.9,21.6,3315.0,0.529,34.2,33.0,35.9,33.7,0.366,0.3670000000000001,0.33899999999999997,0.39299999999999996,34.2,,21.6,,36.9,,,0.8,62.0,28.7,73.0,76.2,71.2,81.2,4.3,8.9,71.7,
COD,0.457,6.0,41.2,2.5,81.3,14.8,43.9,1.03,91.3,0.496,9.8,8.7,10.6,,,,,,6.8,5.3,8.4,50.7,36.7,65.8,,,124.2,,,703.0,889.0,,0.852,0.652,0.42,0.493,98.0,,35.8,8.2,1.39,,24.2,1.11,18.0,20.0,0.616,60.0,61.5,58.5,611.9,,808.0,65.7,20.6,796.0,0.313,30.2,26.3,28.2,36.1,0.319,0.365,0.225,0.39399999999999996,30.4,,20.8,,75.0,,,0.05,81.9,7.0,69.8,72.4,71.4,73.5,3.7,7.3,53.5,
COG,0.606,6.3,2.9,0.2,5.3,0.8,66.5,1.03,77.8,0.526,11.4,11.2,11.5,,,,,,6.3,5.5,6.7,48.4,46.7,51.0,,,111.8,,,4905.0,6483.0,,0.934,0.578,0.583,0.624,105.0,,47.3,14.0,1.14,,21.0,0.98,25.0,30.0,0.6940000000000001,65.1,66.7,63.5,13.3,,4881.0,25.7,26.3,5694.0,0.611,22.6,21.5,21.2,25.1,0.469,0.413,0.48100000000000004,0.52,22.6,,26.6,,138.6,,,,37.2,36.9,62.1,69.7,67.4,72.0,11.0,22.5,74.9,
COL,0.747,11.1,33.8,3.8,49.1,3.7,80.4,1.05,34.1,0.6759999999999999,14.4,14.9,14.3,,,,,,8.3,8.5,8.1,50.2,51.1,49.2,,,47.5,,,10271.0,15692.0,,0.997,0.38299999999999995,0.747,0.7490000000000001,126.0,,46.4,19.8,1.58,,42.5,1.24,6.0,7.0,0.8390000000000001,74.6,78.2,71.0,76.7,,13255.0,650.4,22.9,12938.0,0.735,22.9,19.4,36.2,13.2,0.5710000000000001,0.545,0.46799999999999997,0.7290000000000001,23.6,,23.4,58.2,34.9,4.7,-4.0,1.81,16.1,64.5,64.1,70.4,58.8,82.6,9.0,18.4,47.1,21.9
COM,0.503,5.2,0.5,0.0,0.8,0.1,28.8,1.05,69.5,0.473,11.2,11.1,11.4,,,,,,4.8,3.7,5.6,,,,,,65.4,,,1027.0,1764.0,,0.8759999999999999,,0.465,0.531,98.0,,35.2,6.1,1.15,,17.9,0.89,4.0,10.0,0.6759999999999999,63.9,65.7,62.2,0.6,30.2,1414.0,1.2,212.0,1399.0,0.39899999999999997,44.2,47.6,56.0,28.9,0.275,0.248,0.175,0.48,45.3,,20.9,,619.0,,,21.33,54.9,29.8,41.2,43.1,36.0,50.2,4.3,10.0,63.9,
CPV,0.654,6.8,0.4,0.0,0.5,0.1,65.3,1.03,46.2,0.555,12.6,12.8,12.1,,,,,,6.1,5.9,6.4,29.4,,,,,73.8,,,4295.0,7683.0,,0.9490000000000001,,0.632,0.6659999999999999,60.0,,31.3,20.8,1.16,,,1.11,3.0,4.0,0.815,73.0,74.9,70.9,0.0,86.7,6223.0,3.4,,5983.0,0.618,,23.7,,13.3,,0.423,,0.7070000000000001,,,37.3,,103.1,6.2,-3.1,11.99,67.7,25.4,54.2,60.4,49.6,71.5,10.3,17.8,37.5,
CRI,0.794,13.7,3.4,0.5,4.9,0.3,78.6,1.05,31.4,0.7190000000000001,15.4,15.8,14.9,,,,,,8.8,8.8,8.5,52.9,53.8,51.9,,,53.5,,,10419.0,18851.0,,0.9740000000000001,0.3,0.779,0.8,120.0,,40.6,35.1,1.59,,60.9,1.25,1.0,4.0,0.924,80.0,82.4,77.7,0.2,82.8,15525.0,76.2,17.2,14636.0,0.753,17.3,11.9,32.4,7.5,0.6509999999999999,0.634,0.509,0.8540000000000001,18.0,,18.0,40.2,67.6,5.3,-5.5,0.98,12.0,69.5,54.5,59.5,45.3,73.9,8.5,22.7,14.0,20.1
CUB,0.777,21.3,8.0,1.7,11.5,0.6,77.0,1.06,23.2,0.78,14.0,14.3,13.7,,,,,,11.8,11.6,12.1,86.9,86.7,88.9,,,43.6,,,5001.0,10045.0,,0.9420000000000001,0.301,0.7509999999999999,0.797,,,43.2,48.9,1.3,,,1.0,1.0,1.0,0.922,79.9,81.9,78.0,5.3,,,,,7524.0,0.653,,10.9,,5.3,,0.695,,0.873,,,,,,,,,18.6,64.9,53.0,54.3,41.5,67.3,2.6,5.5,10.3,
CYP,0.8690000000000001,19.2,0.8,0.2,1.2,0.1,66.8,1.07,24.1,0.8079999999999999,14.6,15.0,14.2,,,,,,12.1,12.0,12.2,78.6,76.8,80.7,,,4.6,,,26580.0,36543.0,,0.9840000000000001,0.085,0.861,0.875,126.0,,47.3,17.9,1.06,,90.0,1.11,2.0,10.0,0.9329999999999999,80.7,82.8,78.5,0.0,241.3,32415.0,27.8,21.1,31568.0,0.8690000000000001,11.3,11.7,18.7,3.6,0.769,0.7140000000000001,0.7070000000000001,0.9,11.5,,20.4,84.2,131.6,48.6,-23.0,1.67,3.5,79.4,56.0,62.8,58.1,67.5,10.8,23.1,12.6,
CZE,0.888,29.0,7.0,2.0,10.6,0.5,73.7,1.06,23.4,0.893,16.9,17.6,16.1,,,,,,12.7,12.6,13.1,99.8,99.8,99.8,,,10.0,,,23224.0,38206.0,,0.986,0.124,0.8809999999999999,0.894,196.0,,44.7,21.1,1.39,,78.6,1.06,2.0,3.0,0.9059999999999999,78.9,81.7,76.0,1.3,62.1,32606.0,345.3,25.2,30588.0,0.865,5.2,1.6,10.8,3.3,0.84,0.879,0.7709999999999999,0.8759999999999999,5.3,,26.3,95.2,151.7,4.3,-7.2,1.66,2.9,59.3,58.1,59.9,52.0,68.3,3.1,8.3,14.2,
DEU,0.9359999999999999,32.8,53.8,17.6,82.1,3.6,77.3,1.06,20.0,0.94,17.0,16.9,17.0,,,,,,14.1,13.6,14.5,96.5,96.2,96.8,,,6.5,,,37689.0,54843.0,,0.9670000000000001,0.07200000000000001,0.919,0.951,98.0,,46.8,31.5,0.85,,99.2,0.9,1.0,3.0,0.941,81.2,83.5,78.9,0.1,127.3,45229.0,3740.2,20.3,46136.0,0.927,7.8,2.7,17.7,3.0,0.861,0.915,0.763,0.9129999999999999,8.1,,19.8,86.5,86.9,2.1,7.5,0.46,1.3,71.5,58.2,60.5,55.0,66.2,3.7,6.4,6.0,
DJI,0.47600000000000003,6.5,0.6,0.0,1.0,0.1,77.6,1.04,48.0,0.309,6.2,5.8,6.7,,7.0,64.0,44.0,,4.1,,,,,,,30.0,18.8,,,2491.0,4286.0,,,,,,98.0,,43.2,10.8,1.29,,8.8,1.06,26.0,25.0,0.6559999999999999,62.6,64.4,61.0,1.8,35.0,,,24.9,3392.0,0.532,35.2,47.0,27.7,30.8,0.306,0.16399999999999998,0.385,0.45399999999999996,35.8,,50.4,,108.5,,,3.37,29.8,40.5,55.6,59.0,49.5,68.5,5.8,11.7,39.1,
DMA,0.715,,,,0.1,,70.2,,,0.613,12.7,,,,,,,,7.8,,,,,,,,,,,,,,,,,,84.0,,,25.0,,,,,2.0,23.0,0.893,78.0,,,0.0,32.4,9673.0,0.7,,8344.0,0.6679999999999999,,,,,,,,,,,,,100.4,,,10.43,,,,,,,,,,
DNK,0.929,30.8,3.7,1.1,5.7,0.3,87.8,1.06,25.8,0.92,19.1,19.8,18.4,,,,,,12.6,12.7,12.4,90.7,90.1,91.3,,,4.1,,,40293.0,55624.0,,0.98,0.04,0.919,0.938,126.0,,47.9,37.4,1.15,,100.0,0.92,1.0,3.0,0.937,80.9,82.8,79.0,0.0,200.7,46683.0,269.3,20.4,47918.0,0.932,7.4,4.3,14.4,3.4,0.86,0.88,0.7979999999999999,0.905,7.5,,21.0,76.6,103.4,-0.7,4.3,0.42,2.6,78.6,59.4,63.1,59.2,67.2,5.9,11.4,5.8,
DOM,0.736,11.0,6.9,0.8,10.8,1.1,80.3,1.05,46.0,0.643,13.7,14.5,13.0,,,,,,7.8,8.1,7.5,56.6,58.6,54.4,,,95.0,,,8909.0,18975.0,,0.9890000000000001,0.451,0.728,0.736,98.0,,45.0,24.3,2.16,,54.1,1.49,1.0,14.0,0.8320000000000001,74.0,77.3,71.0,0.4,57.8,14601.0,157.2,21.9,13921.0,0.746,20.9,19.1,28.1,15.4,0.581,0.52,0.536,0.703,21.0,,21.8,,52.9,4.7,-7.2,8.14,12.4,70.2,63.1,66.8,54.4,79.5,5.5,12.4,40.9,
DZA,0.754,9.6,26.7,2.6,41.3,4.7,72.1,1.05,45.4,0.664,14.4,14.6,14.1,,,,,,8.0,7.6,8.6,37.7,37.5,37.9,,,10.1,,,4232.0,23181.0,,0.861,0.442,0.68,0.7909999999999999,98.0,,17.4,21.3,2.07,,29.3,1.14,5.0,12.0,0.866,76.3,77.6,75.1,4.0,66.8,13914.0,574.9,29.9,13802.0,0.7440000000000001,20.1,33.7,11.4,15.1,0.598,0.441,0.66,0.735,20.7,,47.8,,60.4,,,1.23,12.8,40.2,37.3,41.4,15.2,67.3,10.0,23.9,27.9,
ECU,0.752,11.0,10.7,1.2,16.6,1.6,63.7,1.05,44.1,0.6970000000000001,14.7,15.4,13.9,,72.0,104.0,107.0,,8.7,8.6,8.8,52.2,52.1,52.2,82.0,25.0,73.9,,,7388.0,13307.0,35.2,0.978,0.385,0.741,0.757,84.0,,42.7,38.0,1.59,,42.6,1.28,5.0,19.0,0.87,76.6,79.3,73.9,1.3,38.1,10582.0,175.9,24.3,10347.0,0.701,19.4,13.8,30.5,13.9,0.603,0.601,0.48700000000000004,0.7490000000000001,19.8,,25.4,46.6,42.0,0.6,-6.9,2.77,26.9,54.5,64.9,68.3,55.4,81.3,4.9,10.9,45.6,17.6
EGY,0.696,8.4,59.9,5.0,97.6,12.9,42.7,1.06,54.5,0.604,13.1,13.1,13.1,,,,,,7.2,6.5,7.9,64.5,58.2,70.7,,,50.0,,,4081.0,16489.0,,0.872,0.449,0.636,0.7290000000000001,90.0,,16.4,14.9,2.98,,27.0,1.16,5.0,6.0,0.795,71.7,74.0,69.5,22.1,99.0,10550.0,1029.2,14.8,10355.0,0.701,28.3,36.9,36.3,11.6,0.493,0.381,0.446,0.703,29.2,,15.3,,44.8,3.1,-13.2,9.57,24.8,49.6,42.2,48.0,22.2,73.7,12.1,34.4,20.1,
ERI,0.44,6.6,2.8,0.2,5.1,0.7,39.5,1.05,76.5,0.281,5.4,4.9,5.8,,,,,,4.0,,,,,,,,51.6,,,1451.0,2048.0,,,,,,60.0,,28.9,22.0,1.17,,,1.06,3.0,1.0,0.701,65.5,67.7,63.4,464.1,,,,,1750.0,0.4320000000000001,,,,21.4,,,,0.551,,,,,,,,,83.9,9.1,76.2,81.4,75.4,87.4,6.4,11.3,46.3,
ESP,0.8909999999999999,29.5,30.5,9.0,46.4,2.0,80.1,1.06,22.3,0.8240000000000001,17.9,18.2,17.5,,,,,,9.8,9.7,10.0,74.8,72.2,77.6,,,8.6,,,26954.0,41850.0,,0.9790000000000001,0.08,0.879,0.898,112.0,,46.5,38.6,1.18,,91.6,1.01,2.0,4.0,0.9740000000000001,83.3,86.0,80.5,0.0,178.6,34272.0,1596.1,20.6,34258.0,0.882,14.9,18.6,23.3,3.0,0.754,0.6709999999999999,0.6759999999999999,0.945,15.4,,21.1,62.9,65.5,0.3,3.5,0.23,4.1,76.4,47.8,57.8,52.2,63.8,17.4,39.4,11.9,
EST,0.871,30.3,0.8,0.3,1.3,0.1,68.7,1.06,25.5,0.8690000000000001,16.1,16.9,15.3,,,,,,12.7,13.0,12.2,100.0,100.0,100.0,,,12.6,,,21896.0,37043.0,,1.0190000000000001,0.122,0.8759999999999999,0.86,140.0,,49.8,26.7,0.82,,98.4,0.85,6.0,7.0,0.888,77.7,82.0,73.0,0.3,4.8,29481.0,38.8,23.7,28993.0,0.856,8.5,2.3,18.9,4.3,0.794,0.8490000000000001,0.6940000000000001,0.85,8.8,,25.4,89.2,151.6,3.3,8.0,1.93,3.9,66.2,58.5,62.8,56.4,70.3,6.8,13.9,5.7,
ETH,0.46299999999999997,6.3,58.7,3.7,105.0,15.4,20.3,1.04,72.5,0.327,8.5,8.2,9.1,,,,,,2.7,1.6,3.8,15.8,11.2,21.4,,,62.5,,36.5,1304.0,2136.0,,0.846,0.502,0.424,0.501,90.0,,59.0,37.3,2.42,22.8,29.1,1.45,15.0,35.0,0.706,65.9,67.8,64.0,87.5,,1730.0,181.6,39.0,1719.0,0.43,27.3,43.5,13.4,24.9,0.331,0.185,0.3720000000000001,0.53,28.4,,39.0,,31.5,,,1.01,68.2,22.4,78.2,82.5,77.2,87.8,5.2,7.4,88.2,
FIN,0.92,34.0,3.4,1.2,5.5,0.3,85.3,1.05,26.3,0.905,17.6,18.4,16.9,,,,,,12.4,12.6,12.3,100.0,100.0,100.0,,,6.8,,,34504.0,47691.0,,1.0,0.057999999999999996,0.917,0.917,147.0,,49.0,42.0,0.95,,99.6,0.93,2.0,6.0,0.946,81.5,84.3,78.7,0.0,120.8,40586.0,223.7,22.6,41002.0,0.909,5.5,1.9,11.7,2.8,0.868,0.887,0.802,0.92,5.6,,22.8,88.3,76.7,4.3,1.1,0.35,3.9,73.8,53.2,58.3,54.8,61.9,8.7,19.9,10.1,
FJI,0.741,9.5,0.6,0.1,0.9,0.1,55.7,1.06,43.6,0.785,15.3,,,,,,,,10.8,10.9,10.7,76.0,77.3,68.3,,,43.9,,,5604.0,10963.0,,,0.35200000000000004,,,84.0,,34.3,16.0,1.71,,,1.3,1.0,6.0,0.7759999999999999,70.4,73.6,67.5,0.7,120.9,8703.0,7.9,,8324.0,0.6679999999999999,,,,10.9,,,,0.691,,,,,,5.9,-5.1,5.41,39.5,47.2,54.6,58.3,40.8,75.4,6.3,18.8,38.4,
FRA,0.9009999999999999,31.7,40.4,12.8,65.0,3.8,80.2,1.05,29.1,0.84,16.4,16.8,16.0,,,,,,11.5,11.3,11.8,83.2,80.6,85.6,,,8.6,,,32518.0,46218.0,,0.987,0.083,0.894,0.9059999999999999,112.0,,47.7,35.4,0.96,,91.3,0.99,1.0,10.0,0.965,82.7,85.6,79.8,0.1,157.7,38606.0,2591.2,22.5,39254.0,0.902,10.1,8.6,18.1,3.6,0.8079999999999999,0.768,0.7390000000000001,0.93,10.3,,23.5,82.6,62.9,2.0,0.4,0.96,2.9,76.8,49.9,55.2,50.6,60.1,9.7,23.6,7.6,
FSM,0.627,7.7,0.1,0.0,0.1,0.0,22.6,1.06,53.4,0.59,11.7,,,,,,,,8.0,,,,,,,,13.9,,,,,,,,,,,,,0.1,,,,,3.0,24.0,0.759,69.3,70.5,68.1,,,3299.0,0.3,,3843.0,0.551,,,26.4,19.0,,,0.406,0.615,,,,,,,,7.13,,,,,,,,,,
