Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
AFG,0.373,0.259,6.5,2.3,0.564,56.6,1061.0,0.35700000000000004
AGO,0.418,0.312,5.9,4.4,0.451,49.3,3088.0,0.518
ALB,0.682,0.598,10.8,9.0,0.84,74.6,6585.0,0.633
AND,0.78,0.5589999999999999,11.0,7.6,0.915,79.5,45943.0,0.9259999999999999
ARE,0.8079999999999999,0.627,12.3,8.6,0.8420000000000001,74.7,96777.0,1.0
ARG,0.769,0.762,16.4,9.2,0.8340000000000001,74.2,11513.0,0.7170000000000001
ARM,0.6629999999999999,0.66,10.8,10.8,0.802,72.1,3811.0,0.55
ATG,,,,9.0,0.83,74.0,16841.0,0.774
AUS,0.903,0.895,20.6,11.8,0.9259999999999999,80.2,35736.0,0.888
AUT,0.838,0.721,14.7,9.4,0.904,78.8,39405.0,0.903
AZE,0.657,0.653,10.8,10.6,0.7290000000000001,67.4,5130.0,0.595
BDI,0.31,0.19899999999999998,4.7,2.0,0.4920000000000001,52.0,751.0,0.305
BEL,0.879,0.8420000000000001,18.4,10.3,0.897,78.3,38510.0,0.899
BEN,0.419,0.31,7.9,2.7,0.5539999999999999,56.0,1713.0,0.429
BFA,0.29600000000000004,0.147,3.8,1.3,0.483,51.4,1127.0,0.366
BGD,0.483,0.36200000000000004,7.9,4.3,0.715,66.4,1796.0,0.436
BGR,0.7290000000000001,0.691,12.9,10.0,0.8,72.0,10326.0,0.7
BHR,0.7909999999999999,0.6459999999999999,13.2,8.4,0.843,74.8,41256.0,0.91
BHS,0.7809999999999999,0.7040000000000001,12.2,10.9,0.815,73.0,24255.0,0.8290000000000001
BIH,0.6829999999999999,0.574,12.1,7.2,0.843,74.8,7765.0,0.657
BLR,0.696,0.687,13.9,9.1,0.733,67.6,8473.0,0.6709999999999999
BLZ,0.685,0.6779999999999999,12.2,10.2,0.746,68.5,6685.0,0.635
BOL,0.617,0.6409999999999999,14.4,7.2,0.644,61.8,4341.0,0.57
BRA,0.698,0.61,14.8,6.0,0.7829999999999999,70.9,11244.0,0.713
BRB,0.754,0.6970000000000001,14.2,9.1,0.826,73.7,13915.0,0.746
BRN,0.823,0.6509999999999999,13.4,8.4,0.856,75.7,84576.0,1.0
BTN,,,8.4,,0.654,62.5,3948.0,0.555
BWA,0.5660000000000001,0.59,11.8,7.9,0.44799999999999995,49.1,9461.0,0.687
CAF,0.312,0.256,5.6,3.0,0.365,43.7,862.0,0.325
CAN,0.877,0.8220000000000001,15.8,11.5,0.9159999999999999,79.6,37583.0,0.8959999999999999
CHE,0.8909999999999999,0.805,15.0,11.7,0.929,80.4,51994.0,0.945
CHL,0.768,0.685,13.7,9.2,0.8809999999999999,77.3,14439.0,0.7509999999999999
CHN,0.611,0.496,9.9,6.6,0.813,72.8,4276.0,0.5670000000000001
CIV,0.39899999999999997,0.313,7.1,3.4,0.41,46.6,2649.0,0.495
CMR,0.451,0.39399999999999996,8.1,5.1,0.478,51.1,2534.0,0.488
COD,0.34,0.324,7.2,3.7,0.483,51.4,531.0,0.252
COG,0.4970000000000001,0.449,9.4,5.7,0.493,52.0,3938.0,0.555
COL,0.6579999999999999,0.54,11.6,6.5,0.7929999999999999,71.6,8226.0,0.6659999999999999
COM,,,9.2,,0.61,59.6,1472.0,0.406
CPV,0.585,0.451,11.6,3.8,0.7829999999999999,70.9,4252.0,0.5660000000000001
CRI,0.7170000000000001,0.601,12.1,8.0,0.888,77.7,9739.0,0.6920000000000001
CUB,0.6940000000000001,0.6709999999999999,12.8,9.5,0.879,77.1,4234.0,0.5660000000000001
CYP,0.816,0.701,13.0,10.2,0.8959999999999999,78.3,30443.0,0.8640000000000001
CZE,0.813,0.777,14.6,11.1,0.853,75.4,21483.0,0.8109999999999999
DEU,0.883,0.857,16.3,12.1,0.9,78.5,36821.0,0.893
DJI,0.37799999999999995,0.21100000000000002,3.5,3.4,0.573,57.2,1933.0,0.447
DMA,0.696,0.599,12.2,7.8,0.872,76.7,7215.0,0.6459999999999999
DNK,0.883,0.858,16.3,12.1,0.88,77.2,42119.0,0.9129999999999999
DOM,0.664,0.5660000000000001,12.4,6.7,0.784,71.0,7890.0,0.66
DZA,0.664,0.529,11.5,6.3,0.789,71.3,10388.0,0.701
ECU,0.679,0.586,12.6,7.1,0.823,73.5,7412.0,0.65
EGY,0.62,0.484,11.3,5.1,0.753,69.0,7550.0,0.653
ERI,,,5.1,,0.561,56.5,1749.0,0.4320000000000001
ESP,0.83,0.7170000000000001,15.6,8.5,0.92,79.8,31044.0,0.867
EST,0.799,0.83,15.6,11.9,0.789,71.3,17204.0,0.778
ETH,0.306,0.2,5.2,1.7,0.513,53.3,640.0,0.28
FIN,0.867,0.8170000000000001,18.1,9.5,0.897,78.3,36333.0,0.8909999999999999
FJI,0.6890000000000001,0.685,13.3,9.4,0.737,67.9,7313.0,0.648
FRA,0.853,0.764,15.4,10.1,0.9129999999999999,79.3,35825.0,0.888
FSM,0.564,0.465,10.4,5.3,0.731,67.5,3261.0,0.526
