Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
MLT,0.7879999999999999,0.657,13.8,8.2,0.895,78.2,24805.0,0.833
MMR,0.44,0.324,7.8,3.2,0.653,62.5,1431.0,0.402
MNE,,,,,0.8190000000000001,73.2,11056.0,0.711
MNG,0.6,0.557,10.1,8.3,0.6659999999999999,63.3,4703.0,0.5820000000000001
MOZ,0.311,0.253,6.2,2.4,0.444,48.9,595.0,0.26899999999999996
MRT,0.442,0.282,6.5,3.0,0.618,60.1,2656.0,0.495
MUS,0.682,0.561,12.5,6.4,0.792,71.5,11308.0,0.7140000000000001
MWI,0.4,0.38799999999999996,10.2,3.1,0.41100000000000003,46.7,1416.0,0.4
MYS,0.723,0.613,12.0,8.4,0.815,73.0,14980.0,0.757
NAM,0.557,0.521,11.8,5.8,0.535,54.8,6068.0,0.62
NER,0.258,0.12,2.9,1.1,0.469,50.5,755.0,0.305
NGA,,,7.7,,0.408,46.5,2638.0,0.494
NIC,0.5770000000000001,0.46799999999999997,10.7,5.2,0.773,70.2,3339.0,0.53
NLD,0.879,0.8290000000000001,16.7,11.0,0.898,78.4,42010.0,0.912
NOR,0.9159999999999999,0.878,17.1,12.1,0.9079999999999999,79.0,58904.0,0.9640000000000001
NPL,0.447,0.322,8.6,2.5,0.6629999999999999,63.1,1591.0,0.418
NRU,,,8.9,,,,6243.0,0.624
NZL,0.873,0.872,17.5,11.6,0.902,78.6,27123.0,0.846
OMN,0.716,0.4920000000000001,11.0,5.6,0.809,72.6,44804.0,0.922
PAK,0.457,0.27,5.5,3.5,0.6609999999999999,63.0,3442.0,0.535
PAN,0.722,0.637,12.6,8.6,0.85,75.3,10030.0,0.696
PER,0.6859999999999999,0.655,13.9,8.1,0.784,71.0,6452.0,0.629
