Country,Human Development Index (HDI),[Demography] Median age (years),[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),"[Demography] Population, ages 15–64 (millions)","[Demography] Population, ages 65 and older (millions)","[Demography] Population, total (millions)","[Demography] Population, under age 5 (millions)","[Demography] Population, urban (%)",[Demography] Sex ratio at birth (male to female births),[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),[Education] Education Index,[Education] Expected years of schooling (years),"[Education] Expected years of schooling, female (years)","[Education] Expected years of schooling, male (years)",[Education] Government expenditure on education (% of GDP),"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)","[Education] Gross enrolment ratio, primary (% of primary school-age population)","[Education] Gross enrolment ratio, secondary (% of secondary school-age population)","[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)","[Education] Literacy rate, adult (% ages 15 and older)",[Education] Mean years of schooling (years),"[Education] Mean years of schooling, female (years)","[Education] Mean years of schooling, male (years)",[Education] Population with at least some secondary education (% ages 25 and older),"[Education] Population with at least some secondary education, female (% ages 25 and older)","[Education] Population with at least some secondary education, male (% ages 25 and older)",[Education] Primary school dropout rate (% of primary school cohort),"[Education] Pupil-teacher ratio, primary school (number of pupils per teacher)",[Education] Survival rate to the last grade of lower secondary general education (%),[Environmental Sustainability] Carbon dioxide emissions (kg per 2011 PPP $ of GDP),[Environmental Sustainability] Carbon dioxide emissions per capita (tonnes),[Environmental Sustainability] Forest area (% of total land area),[Environmental Sustainability] Fossil fuel energy consumption (% of total energy consumption),[Environmental Sustainability] Fresh water withdrawals (% of total renewable water resources),[Environmental Sustainability] Renewable energy consumption (% of total final energy consumption),"[Gender] Adolescent birth rate (births per 1,000 women ages 15-19)","[Gender] Antenatal care coverage, at least one visit (%)","[Gender] Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)","[Gender] Estimated gross national income per capita, female (2011 PPP$)","[Gender] Estimated gross national income per capita, male (2011 PPP$)",[Gender] Female share of employment in senior and middle management (%),[Gender] Gender Development Index (GDI),[Gender] Gender Inequality Index (GII),"[Gender] Human Development Index (HDI), female","[Gender] Human Development Index (HDI), male","[Gender] Maternal mortality ratio (deaths per 100,000 live births)",[Gender] Proportion of births attended by skilled health personnel (%),"[Gender] Share of employment in nonagriculture, female (% of total employment in nonagriculture)",[Gender] Share of seats in parliament (% held by women),[Gender] Total unemployment rate (female to male ratio),"[Gender] Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",[Gender] Youth unemployment rate (female to male ratio),"[Health] HIV prevalence, adult (% ages 15-49), total","[Health] Infants lacking immunization, DTP (% of one-year-olds)","[Health] Infants lacking immunization, measles (% of one-year-olds)",[Health] Life expectancy Index,[Health] Life expectancy at birth (years),"[Health] Life expectancy at birth, female (years)","[Health] Life expectancy at birth, male (years)","[Health] Mortality rate, female adult (per 1,000 people)","[Health] Mortality rate, infant (per 1,000 live births)","[Health] Mortality rate, male adult (per 1,000 people)","[Health] Mortality rate, under-five (per 1,000 live births)",[Income_composition of resources] Domestic credit provided by financial sector (% of GDP),[Income_composition of resources] Gross domestic product (GDP) per capita (2011 PPP $),"[Income_composition of resources] Gross domestic product (GDP), total (2011 PPP $ billions)",[Income_composition of resources] Gross fixed capital formation (% of GDP),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,[Mobility and communication] International inbound tourists (thousands),"[Mobility and communication] Net migration rate (per 1,000 people)",[Socio-economic sustainability] Adjusted net savings (% of GNI),[Socio-economic sustainability] Gross capital formation (% of GDP),[Socio-economic sustainability] Ratio of education and health expenditure to military expenditure,[Socio-economic sustainability] Rural population with access to electricity (%),"[Socio-economic sustainability] Total debt service (% of exports of goods, services and primary income)",[Trade and financial flows] Exports and imports (% of GDP),"[Trade and financial flows] Foreign direct investment, net inflows (% of GDP)",[Trade and financial flows] Net official development assistance received (% of GNI),[Trade and financial flows] Private capital flows (% of GDP),"[Trade and financial flows] Remittances, inflows (% of GDP)","[Work, employment and vulnerability] Employment in agriculture (% of total employment)","[Work, employment and vulnerability] Employment in services (% of total employment)","[Work, employment and vulnerability] Employment to population ratio (% ages 15 and older)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), female","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), male","[Work, employment and vulnerability] Unemployment, total (% of labour force)","[Work, employment and vulnerability] Unemployment, youth (% ages 15–24)","[Work, employment and vulnerability] Vulnerable employment (% of total employment)"
AZE,0.612,24.6,8.7,4.7,0.4,7.8,0.9,52.2,1.08,55.0,0.618,10.0,10.3,9.7,3.3,19.0,113.0,85.0,18.0,,10.2,9.7,10.8,,,,1.4,19.0,,1.31,4.3,10.4,98.7,,1.4,37.5,,,2590.0,4223.0,,0.9670000000000001,,0.6,0.62,86.0,91.5,45.3,12.0,1.33,,1.07,0.1,21.0,36.0,0.696,65.3,69.4,61.1,115.0,75.1,249.0,94.1,12.5,3320.0,25.5,15.6,3387.0,0.532,,-3.1,,23.8,1.7,95.3,1.3,69.4,10.8,3.9,-10.8,0.1,44.9,44.4,58.6,63.7,56.2,71.9,8.0,19.2,65.6
BDI,0.29600000000000004,15.3,6.2,2.8,0.2,6.0,1.1,7.2,1.03,103.9,0.18100000000000002,4.6,4.2,5.5,5.0,,51.0,,,,1.6,1.1,2.2,3.8,2.4,5.4,,,,0.05,0.0,9.5,,,95.1,48.8,,,757.0,945.0,,0.8320000000000001,,0.272,0.327,1210.0,,22.1,,0.5,,0.71,2.3,14.0,20.0,0.444,48.9,50.5,47.2,334.0,102.4,391.0,169.0,16.0,870.0,5.2,6.4,848.0,0.32299999999999995,34.0,-10.6,-32.4,6.4,1.5,,27.6,40.2,0.2,29.0,-0.1,,92.3,5.6,86.1,87.6,88.0,87.1,1.6,2.9,93.2
BEL,0.852,37.6,24.1,6.7,1.6,10.2,0.6,96.8,1.05,27.0,0.804,17.3,17.5,17.1,3.0,118.0,102.0,147.0,53.0,,9.7,9.5,10.1,67.2,67.5,73.8,,,,0.34,11.1,,77.4,,1.3,10.8,,,22631.0,44531.0,23.1,0.9670000000000001,0.162,0.836,0.8640000000000001,10.0,,40.5,15.8,1.67,,1.1,,3.0,15.0,0.8759999999999999,76.9,80.2,73.6,71.0,6.3,137.0,7.6,,32613.0,330.6,21.3,33350.0,0.878,5560.0,2.1,,21.8,5.7,100.0,,115.5,,,,1.71,2.6,69.9,45.7,50.4,40.5,61.0,9.3,21.6,16.1
BEN,0.373,17.2,6.8,3.0,0.2,5.9,1.1,36.8,1.04,88.7,0.235,5.9,4.3,7.5,,3.0,70.0,,2.0,,2.1,1.2,3.3,12.6,6.7,18.8,48.4,50.0,,0.15,0.2,48.0,3.8,,94.8,126.8,,,1052.0,1929.0,,0.725,0.682,0.311,0.429,550.0,,51.1,7.2,0.28,,0.7,0.9,18.0,35.0,0.542,55.2,56.8,53.5,248.0,96.4,308.0,157.7,10.9,1515.0,8.9,17.6,1482.0,0.40700000000000003,138.0,2.5,-0.3,21.4,,0.3,7.5,63.8,0.6,13.2,2.3,4.56,52.3,40.1,71.8,72.7,59.9,86.6,1.2,1.4,90.9
BFA,,16.3,6.1,5.0,0.3,10.1,1.9,15.1,1.05,94.5,,3.0,2.3,3.7,,1.0,39.0,,1.0,,,,,,,,,51.0,,0.07,0.1,23.9,,,93.1,144.8,,,706.0,1087.0,,,,,,636.0,,40.4,10.8,1.17,,1.09,3.5,21.0,57.0,0.45299999999999996,49.4,50.7,48.0,302.0,97.3,369.0,195.1,5.6,893.0,9.0,22.5,893.0,0.331,124.0,-3.2,,23.9,,0.9,,40.7,0.4,20.7,,3.29,88.6,7.9,78.8,80.9,72.9,89.8,2.6,3.8,91.2
BGD,0.425,19.5,5.9,67.3,4.0,118.7,16.6,21.7,1.05,70.4,0.292,6.6,6.0,7.2,,,,,,,3.3,2.6,4.2,23.5,16.7,29.1,,,,0.13,0.2,11.4,54.4,,63.8,143.5,,,503.0,2427.0,,0.698,0.71,0.335,0.48100000000000004,479.0,13.7,8.9,9.1,0.81,,0.94,0.1,13.0,21.0,0.644,61.9,62.2,61.6,186.0,80.8,186.0,113.9,26.7,1438.0,170.7,19.1,1485.0,0.408,156.0,-1.4,11.6,19.1,,6.8,16.0,28.2,0.0,3.3,0.0,3.17,66.8,22.8,55.3,56.7,24.3,87.8,2.6,6.4,66.9
BGR,0.696,38.2,22.5,5.6,1.3,8.4,0.4,67.8,1.05,26.7,0.647,12.1,12.5,11.7,3.4,60.0,98.0,92.0,36.0,,9.3,8.9,9.2,55.7,65.3,83.0,5.7,,91.0,0.82,6.9,30.3,78.8,,3.1,66.7,,85.9,6649.0,9838.0,,0.991,0.373,0.6890000000000001,0.696,24.0,98.9,49.4,10.8,0.95,,0.95,0.1,2.0,6.0,0.784,70.9,74.6,67.5,100.0,15.5,245.0,19.2,,8446.0,71.0,15.3,8210.0,0.6659999999999999,3466.0,-8.3,3.4,15.7,2.9,100.0,16.5,101.8,0.7,,-0.3,,14.9,50.9,46.2,54.9,50.9,59.2,15.9,32.3,12.8
BHR,0.775,26.4,3.6,0.4,0.0,0.6,0.1,88.4,1.05,44.9,0.619,13.7,14.1,13.3,,35.0,108.0,106.0,17.0,,7.2,6.3,6.9,58.7,51.8,56.6,18.7,20.0,,0.61,26.3,0.4,100.0,,0.0,22.3,97.1,61.8,19643.0,59117.0,,0.9229999999999999,,0.727,0.7879999999999999,22.0,97.6,18.5,,2.34,,1.15,0.1,2.0,5.0,0.8220000000000001,73.4,74.5,72.6,88.0,15.5,113.0,18.1,28.4,42897.0,24.2,17.3,42395.0,0.914,2311.0,2.1,6.0,14.6,,,,152.5,7.4,1.7,-5.7,,1.9,69.4,61.7,65.5,31.7,87.7,5.9,22.7,1.8
BHS,,25.0,7.3,0.2,0.0,0.3,0.0,81.0,1.06,49.0,,11.7,12.1,11.4,,,96.0,87.0,15.0,,,,,,,,,22.0,,0.21,6.0,51.4,,,0.0,69.6,,,24131.0,38356.0,,,,,,49.0,,47.1,19.6,1.16,,1.13,2.3,5.0,10.0,0.79,71.4,74.7,68.0,146.0,15.5,253.0,18.7,74.8,28222.0,7.9,25.4,31159.0,0.867,1598.0,-0.3,29.8,27.7,,88.8,,104.5,3.1,0.1,,,4.3,81.4,67.0,75.2,68.3,82.4,10.8,20.8,13.9
BIH,,33.0,13.4,2.6,0.4,3.8,0.3,40.8,1.07,32.0,,,,,,,,,,,,,,,,,,,,0.49,0.9,42.9,68.0,,33.2,25.6,,,1340.0,2734.0,,,,,,22.0,,33.3,,1.17,,1.11,,22.0,47.0,0.795,71.6,75.1,68.2,95.0,11.7,202.0,14.2,,1826.0,7.0,12.3,2024.0,0.45399999999999996,,-35.0,,20.0,,97.6,,91.9,,59.5,,,48.1,24.9,39.1,50.4,39.5,62.0,22.4,52.6,34.3
