Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
AFG,0.38299999999999995,0.271,6.8,2.4,0.573,57.3,1098.0,0.36200000000000004
AGO,0.429,0.324,6.4,4.4,0.469,50.5,3123.0,0.52
ALB,0.6890000000000001,0.605,11.0,9.0,0.843,74.8,7009.0,0.642
AND,0.82,0.64,10.9,10.1,0.92,79.8,49328.0,0.937
ARE,0.813,0.636,12.4,8.7,0.846,75.0,97812.0,1.0
ARG,0.775,0.7609999999999999,16.3,9.3,0.8370000000000001,74.4,12560.0,0.73
ARM,0.672,0.662,10.9,10.8,0.805,72.3,4354.0,0.57
ATG,,,,9.0,0.833,74.2,17813.0,0.7829999999999999
AUS,0.904,0.893,20.7,11.8,0.93,80.5,36313.0,0.89
AUT,0.8420000000000001,0.728,14.7,9.6,0.909,79.1,39716.0,0.904
AZE,0.6659999999999999,0.66,11.0,10.6,0.735,67.8,5658.0,0.61
BDI,0.316,0.214,5.2,2.1,0.495,52.2,715.0,0.297
BEL,0.882,0.846,18.6,10.4,0.9,78.5,38714.0,0.9
BEN,0.426,0.321,8.3,2.7,0.561,56.4,1718.0,0.43
BFA,0.303,0.151,3.9,1.3,0.4920000000000001,52.0,1180.0,0.373
BGD,0.49,0.37,8.0,4.4,0.723,67.0,1849.0,0.441
BGR,0.738,0.705,13.3,10.1,0.804,72.2,10901.0,0.7090000000000001
BHR,0.7929999999999999,0.6459999999999999,13.2,8.4,0.846,75.0,41847.0,0.912
BHS,0.782,0.706,12.3,10.9,0.8190000000000001,73.3,23701.0,0.826
BIH,0.688,0.5820000000000001,12.3,7.2,0.846,75.0,7964.0,0.6609999999999999
BLR,0.705,0.696,14.1,9.1,0.736,67.8,9167.0,0.6829999999999999
BLZ,0.6920000000000001,0.6890000000000001,12.5,10.2,0.748,68.6,7013.0,0.642
BOL,0.621,0.644,14.6,7.1,0.652,62.4,4325.0,0.569
BRA,0.695,0.595,14.0,6.2,0.789,71.3,11259.0,0.7140000000000001
BRB,0.759,0.7040000000000001,14.4,9.1,0.828,73.8,14208.0,0.7490000000000001
BRN,0.828,0.6609999999999999,13.7,8.4,0.86,75.9,85426.0,1.0
BTN,,,8.8,,0.667,63.3,4104.0,0.561
BWA,0.575,0.596,11.8,8.0,0.45799999999999996,49.8,10141.0,0.698
CAF,0.311,0.262,5.7,3.1,0.3670000000000001,43.8,792.0,0.313
CAN,0.882,0.83,15.8,11.7,0.92,79.8,37890.0,0.897
CHE,0.8959999999999999,0.813,15.1,11.8,0.9329999999999999,80.6,53625.0,0.9490000000000001
CHL,0.774,0.698,13.9,9.4,0.884,77.5,14555.0,0.752
CHN,0.623,0.508,10.2,6.7,0.8190000000000001,73.3,4692.0,0.581
CIV,0.402,0.321,7.3,3.5,0.413,46.9,2588.0,0.491
CMR,0.45799999999999996,0.39899999999999997,8.2,5.1,0.48700000000000004,51.7,2644.0,0.495
COD,0.349,0.33299999999999996,7.3,3.9,0.495,52.1,548.0,0.257
COG,0.498,0.445,9.2,5.7,0.503,52.7,3832.0,0.551
COL,0.657,0.5329999999999999,11.3,6.5,0.797,71.8,8369.0,0.669
COM,,,9.5,,0.611,59.7,1466.0,0.406
CPV,0.589,0.45399999999999996,11.6,4.0,0.789,71.3,4400.0,0.5720000000000001
CRI,0.721,0.605,12.2,7.9,0.89,77.9,9998.0,0.696
CUB,0.7040000000000001,0.693,13.2,9.8,0.883,77.4,4380.0,0.5710000000000001
CYP,0.8240000000000001,0.718,13.4,10.4,0.898,78.4,31060.0,0.867
CZE,0.8220000000000001,0.792,14.9,11.4,0.857,75.7,22299.0,0.8170000000000001
DEU,0.889,0.872,16.4,12.5,0.904,78.8,36649.0,0.892
DJI,0.38799999999999996,0.222,3.7,3.5,0.5760000000000001,57.4,2070.0,0.45799999999999996
DMA,0.7020000000000001,0.602,12.3,7.8,0.873,76.8,7791.0,0.6579999999999999
DNK,0.894,0.885,16.5,12.8,0.884,77.4,42399.0,0.914
DOM,0.6659999999999999,0.573,12.5,6.8,0.7879999999999999,71.2,7586.0,0.654
DZA,0.674,0.542,11.7,6.5,0.797,71.8,11006.0,0.71
ECU,0.682,0.59,12.7,7.1,0.826,73.7,7470.0,0.652
EGY,0.622,0.48700000000000004,11.2,5.3,0.7559999999999999,69.1,7626.0,0.655
ERI,,,5.0,,0.5720000000000001,57.2,1641.0,0.423
