Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
AFG,,0.145,3.2,1.6,0.48200000000000004,51.3,,
AGO,,,3.5,,0.33899999999999997,42.1,1964.0,0.45
ALB,0.61,0.5579999999999999,10.7,7.8,0.797,71.8,2925.0,0.51
AND,,,10.8,,0.875,76.9,38014.0,0.897
ARE,0.742,0.509,10.9,6.2,0.802,72.1,92326.0,1.0
ARG,0.72,0.634,13.2,8.0,0.8,72.0,13051.0,0.736
ARM,0.58,0.636,10.6,10.2,0.738,68.0,1575.0,0.41600000000000004
ATG,,,,,0.797,71.8,15523.0,0.762
AUS,0.868,0.8740000000000001,17.3,11.8,0.885,77.5,27030.0,0.846
AUT,0.805,0.6920000000000001,14.4,8.7,0.863,76.1,32442.0,0.873
AZE,,,10.6,,0.688,64.7,,
BDI,0.297,0.172,4.4,1.5,0.4270000000000001,47.8,1066.0,0.358
BEL,0.825,0.745,15.4,9.5,0.866,76.3,31687.0,0.87
BEN,0.358,0.215,5.5,1.8,0.535,54.8,1409.0,0.4
BFA,,,2.7,,0.452,49.4,875.0,0.32799999999999996
BGD,0.402,0.268,6.0,3.0,0.611,59.7,1378.0,0.396
BGR,0.691,0.635,12.0,9.0,0.7859999999999999,71.1,7940.0,0.6609999999999999
BHR,0.757,0.586,13.3,6.5,0.812,72.8,41426.0,0.91
BHS,,,12.0,,0.785,71.0,26633.0,0.8440000000000001
BIH,,,,,0.778,70.6,1395.0,0.39799999999999996
BLR,,,12.5,,0.765,69.7,7508.0,0.652
BLZ,0.657,0.591,11.0,8.6,0.78,70.7,5925.0,0.617
BOL,0.55,0.546,11.6,6.7,0.557,56.2,3708.0,0.546
BRA,0.622,0.48700000000000004,12.6,4.1,0.71,66.1,10044.0,0.696
BRB,0.718,0.639,13.1,8.3,0.7979999999999999,71.8,12154.0,0.725
BRN,0.792,0.604,12.5,7.7,0.8220000000000001,73.4,86886.0,1.0
BTN,,,5.8,,0.529,54.4,2079.0,0.45799999999999996
BWA,0.5870000000000001,0.486,10.3,6.0,0.617,60.1,8697.0,0.675
CAF,0.299,0.18899999999999997,4.2,2.2,0.429,47.9,890.0,0.33
CAN,0.856,0.8240000000000001,17.2,10.4,0.887,77.6,29094.0,0.857
CHE,0.836,0.706,13.7,9.7,0.8909999999999999,77.9,47347.0,0.9309999999999999
CHL,0.7190000000000001,0.64,13.2,8.2,0.8370000000000001,74.4,9810.0,0.693
CHN,0.521,0.42,8.9,5.2,0.763,69.6,1855.0,0.441
CIV,0.387,0.243,6.1,2.2,0.486,51.6,2577.0,0.491
CMR,0.4320000000000001,0.34299999999999997,7.8,3.7,0.483,51.4,2535.0,0.488
COD,,0.27,6.7,2.5,0.451,49.3,,
COG,0.535,0.457,10.9,4.7,0.539,55.0,6094.0,0.621
COL,0.606,0.457,9.6,5.7,0.748,68.6,7510.0,0.652
COM,,,8.0,,0.579,57.6,1571.0,0.41600000000000004
CPV,,,,,0.701,65.5,2673.0,0.496
CRI,0.67,0.526,10.4,7.1,0.862,76.0,8097.0,0.664
CUB,0.6629999999999999,0.627,12.1,8.8,0.843,74.8,3844.0,0.551
CYP,0.74,0.556,9.3,8.9,0.875,76.9,24674.0,0.8320000000000001
CZE,0.728,0.612,11.7,8.6,0.8059999999999999,72.4,17699.0,0.782
DEU,0.8140000000000001,0.715,14.8,9.1,0.86,75.9,33325.0,0.877
DJI,,,2.8,,0.568,56.9,1987.0,0.452
DMA,,,11.5,,0.863,76.1,6646.0,0.634
DNK,0.809,0.708,14.3,9.3,0.8490000000000001,75.2,33989.0,0.88
DOM,0.612,0.501,11.7,5.3,0.75,68.7,5646.0,0.609
DZA,0.5870000000000001,0.405,9.8,4.0,0.727,67.2,9391.0,0.6859999999999999
ECU,0.65,0.5529999999999999,11.8,6.7,0.769,70.0,7200.0,0.6459999999999999
EGY,0.557,0.4,9.9,3.7,0.698,65.4,5916.0,0.616
ERI,,,,,0.47,50.5,1110.0,0.364
ESP,0.772,0.627,14.5,6.7,0.885,77.5,24217.0,0.8290000000000001
EST,0.7190000000000001,0.6829999999999999,12.8,9.8,0.7509999999999999,68.8,12233.0,0.726
ETH,,,2.6,,0.429,47.9,,
FIN,0.795,0.703,15.8,7.9,0.857,75.7,24833.0,0.833
FJI,0.655,0.647,12.6,8.9,0.7070000000000001,65.9,5862.0,0.615
FRA,0.7979999999999999,0.67,14.8,7.8,0.878,77.1,30322.0,0.863
FSM,,,,,0.7140000000000001,66.4,3207.0,0.524
GAB,0.624,0.48700000000000004,11.9,4.7,0.633,61.2,18450.0,0.7879999999999999
GBR,0.8009999999999999,0.7070000000000001,14.3,9.3,0.863,76.1,26356.0,0.8420000000000001
GEO,,,12.0,,0.772,70.2,3603.0,0.541
GHA,0.46399999999999997,0.386,7.6,5.2,0.5760000000000001,57.4,1967.0,0.45
GIN,0.28300000000000003,0.129,3.1,1.2,0.47700000000000004,51.0,1160.0,0.37
GMB,0.342,0.19399999999999998,5.2,1.5,0.504,52.8,1497.0,0.409
GNB,,,4.3,,0.45899999999999996,49.8,1328.0,0.391
GNQ,,,,,0.44799999999999995,49.1,1489.0,0.408
GRC,0.764,0.623,12.8,8.0,0.879,77.2,21596.0,0.812
GRD,,,13.0,,0.753,68.9,7063.0,0.643
GTM,0.49,0.294,6.7,3.3,0.667,63.4,5232.0,0.598
GUY,0.5479999999999999,0.517,10.3,7.0,0.6709999999999999,63.6,2318.0,0.475
HKG,0.7909999999999999,0.65,13.0,8.6,0.892,78.0,28669.0,0.855
HND,0.513,0.36200000000000004,8.7,3.6,0.733,67.6,2937.0,0.511
HRV,0.664,0.519,10.8,6.5,0.812,72.8,9933.0,0.695
HTI,0.406,0.299,7.3,2.9,0.5429999999999999,55.3,1525.0,0.41200000000000003
