Country,Human Development Index (HDI),[Demography] Median age (years),[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),"[Demography] Population, ages 15–64 (millions)","[Demography] Population, ages 65 and older (millions)","[Demography] Population, total (millions)","[Demography] Population, under age 5 (millions)","[Demography] Population, urban (%)",[Demography] Sex ratio at birth (male to female births),[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),[Education] Education Index,[Education] Expected years of schooling (years),"[Education] Expected years of schooling, female (years)","[Education] Expected years of schooling, male (years)",[Education] Government expenditure on education (% of GDP),"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)","[Education] Gross enrolment ratio, primary (% of primary school-age population)","[Education] Gross enrolment ratio, secondary (% of secondary school-age population)","[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)","[Education] Literacy rate, adult (% ages 15 and older)",[Education] Mean years of schooling (years),"[Education] Mean years of schooling, female (years)","[Education] Mean years of schooling, male (years)",[Education] Population with at least some secondary education (% ages 25 and older),"[Education] Population with at least some secondary education, female (% ages 25 and older)","[Education] Population with at least some secondary education, male (% ages 25 and older)",[Education] Primary school dropout rate (% of primary school cohort),"[Education] Pupil-teacher ratio, primary school (number of pupils per teacher)",[Education] Survival rate to the last grade of lower secondary general education (%),[Environmental Sustainability] Carbon dioxide emissions (kg per 2011 PPP $ of GDP),[Environmental Sustainability] Carbon dioxide emissions per capita (tonnes),[Environmental Sustainability] Forest area (% of total land area),[Environmental Sustainability] Fossil fuel energy consumption (% of total energy consumption),[Environmental Sustainability] Fresh water withdrawals (% of total renewable water resources),[Environmental Sustainability] Renewable energy consumption (% of total final energy consumption),"[Gender] Adolescent birth rate (births per 1,000 women ages 15-19)","[Gender] Antenatal care coverage, at least one visit (%)","[Gender] Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)","[Gender] Maternal mortality ratio (deaths per 100,000 live births)",[Gender] Proportion of births attended by skilled health personnel (%),"[Gender] Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)","[Health] HIV prevalence, adult (% ages 15-49), total","[Health] Infants lacking immunization, DTP (% of one-year-olds)","[Health] Infants lacking immunization, measles (% of one-year-olds)",[Health] Life expectancy Index,[Health] Life expectancy at birth (years),"[Health] Life expectancy at birth, female (years)","[Health] Life expectancy at birth, male (years)","[Health] Mortality rate, female adult (per 1,000 people)","[Health] Mortality rate, infant (per 1,000 live births)","[Health] Mortality rate, male adult (per 1,000 people)","[Health] Mortality rate, under-five (per 1,000 live births)",[Income_composition of resources] Domestic credit provided by financial sector (% of GDP),[Income_composition of resources] Gross domestic product (GDP) per capita (2011 PPP $),"[Income_composition of resources] Gross domestic product (GDP), total (2011 PPP $ billions)",[Income_composition of resources] Gross fixed capital formation (% of GDP),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,"[Mobility and communication] Net migration rate (per 1,000 people)",[Socio-economic sustainability] Adjusted net savings (% of GNI),[Socio-economic sustainability] Gross capital formation (% of GDP),[Socio-economic sustainability] Rural population with access to electricity (%),"[Socio-economic sustainability] Total debt service (% of exports of goods, services and primary income)",[Trade and financial flows] Exports and imports (% of GDP),"[Trade and financial flows] Foreign direct investment, net inflows (% of GDP)",[Trade and financial flows] Net official development assistance received (% of GNI),[Trade and financial flows] Private capital flows (% of GDP),"[Trade and financial flows] Remittances, inflows (% of GDP)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), female","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), male"
CHE,0.8320000000000001,36.9,21.3,4.6,1.0,6.7,0.4,73.9,1.05,24.9,0.695,13.4,12.8,13.9,4.5,90.0,89.0,96.0,26.0,,9.7,9.5,10.9,63.4,57.4,70.0,,,,0.13,6.3,29.1,58.5,,17.1,6.3,,,8.0,,,,4.0,10.0,0.8859999999999999,77.6,80.9,74.1,62.0,6.7,127.0,8.2,158.4,48182.0,323.6,31.1,49018.0,0.9359999999999999,4.0,16.5,32.7,100.0,,83.7,2.1,,0.5,0.36,68.4,57.0,80.5
CHL,0.701,25.6,9.8,8.4,0.8,13.2,1.4,83.3,1.04,47.0,0.626,12.9,12.7,13.0,2.3,81.0,104.0,76.0,,,8.1,7.9,8.2,50.1,49.0,51.0,,,,0.28,2.5,20.5,72.2,,34.0,66.6,,,57.0,,,0.1,2.0,3.0,0.826,73.7,76.7,70.6,97.0,16.0,176.0,19.1,66.9,8992.0,119.1,24.0,8248.0,0.667,-0.3,6.3,25.8,62.9,,61.7,2.0,0.3,-3.1,0.0,53.9,32.1,76.9
CHN,0.502,24.9,8.6,769.0,66.3,1172.4,133.2,26.4,1.08,43.9,0.405,8.8,8.2,9.3,,21.0,127.0,37.0,3.0,77.8,4.8,4.8,5.2,36.4,28.5,43.9,14.9,22.0,88.0,1.41,2.2,16.7,75.7,17.6,34.1,23.5,,,97.0,94.0,,,2.0,2.0,0.758,69.3,71.0,67.7,111.0,42.2,147.0,53.9,88.4,1526.0,1732.8,24.6,1529.0,0.41200000000000003,-0.1,18.0,34.7,89.7,11.7,24.3,1.0,0.6,-0.7,0.05,79.1,73.2,84.8
CIV,0.38799999999999996,17.5,5.1,,0.3,12.3,2.2,39.3,1.03,86.4,0.233,5.9,,,,1.0,70.0,,,,2.0,1.0,2.9,12.7,5.5,18.5,36.8,36.0,80.0,0.13,0.4,32.1,23.7,1.3,73.6,168.0,,,745.0,,,3.3,23.0,44.0,0.5,52.5,54.8,50.6,310.0,104.2,373.0,150.9,44.5,3194.0,39.2,8.5,2765.0,0.501,5.8,,6.7,13.6,35.4,58.8,0.4,7.5,,0.41,67.8,48.5,84.5
CMR,0.44,16.8,7.1,5.9,0.4,11.7,2.2,39.7,1.03,92.4,0.33899999999999997,8.0,7.3,,3.3,12.0,100.0,26.0,3.0,,3.5,2.5,4.5,13.8,8.7,19.7,40.5,51.0,92.0,0.05,0.1,51.4,18.7,,81.6,191.5,,,728.0,,,0.8,30.0,44.0,0.496,52.2,53.7,50.8,327.0,88.5,379.0,143.1,30.9,3020.0,35.4,17.3,2905.0,0.509,-0.4,1.2,17.8,5.5,20.5,37.5,-1.0,4.2,0.6,0.21,77.7,71.5,84.2
COD,0.35600000000000004,17.4,5.7,18.0,1.0,34.6,6.4,30.6,1.03,86.9,0.263,6.8,,,,,62.0,,2.0,,2.3,1.3,3.5,9.2,5.2,18.7,,,,0.09,0.1,70.7,11.2,,92.0,132.8,,,879.0,,,1.7,40.0,62.0,0.447,49.0,50.5,47.6,333.0,118.4,387.0,183.6,25.3,1387.0,48.0,12.8,1285.0,0.386,0.5,,9.1,,,58.7,-0.2,10.5,,,71.7,71.9,71.5
COG,0.536,17.9,7.1,1.3,0.1,2.4,0.4,54.3,1.03,83.0,0.455,11.2,10.3,12.0,,3.0,123.0,47.0,5.0,,4.4,3.1,5.8,30.4,22.0,39.5,,64.0,,0.1,0.5,66.5,34.3,,65.4,133.8,,,603.0,,,3.3,8.0,25.0,0.5529999999999999,56.0,57.5,54.4,309.0,59.3,353.0,90.8,29.1,5140.0,12.5,17.2,5771.0,0.613,0.2,-24.5,15.9,,34.6,70.8,0.8,9.3,0.0,0.16,68.5,65.8,71.3
COL,0.5920000000000001,21.6,7.0,20.4,1.4,34.3,4.3,69.5,1.05,61.1,0.433,9.1,9.3,8.6,,,102.0,,14.0,,5.5,5.3,5.6,34.2,31.0,35.1,,30.0,,0.22,1.7,58.1,67.4,,38.3,75.7,82.0,66.1,118.0,80.6,13.7,0.1,4.0,18.0,0.743,68.3,72.4,64.4,129.0,28.9,262.0,35.1,36.4,7534.0,258.2,16.6,7174.0,0.645,-1.6,7.1,18.5,71.0,43.1,35.4,1.2,0.2,-1.2,1.23,53.5,29.9,78.1
COM,,17.0,6.2,0.2,0.0,0.4,0.1,27.9,1.05,90.3,,7.9,,,,,99.0,,1.0,,,,,,,,,36.0,,0.1,0.2,26.3,0.0,,49.8,118.8,,,635.0,,,0.1,3.0,13.0,0.564,56.7,58.3,55.1,273.0,88.3,328.0,125.8,20.6,1600.0,0.7,11.9,1595.0,0.418,-2.3,1.1,19.7,3.0,2.9,51.4,0.2,18.0,0.3,3.97,42.7,31.6,54.1
CPV,,16.9,8.7,0.2,0.0,0.3,0.1,44.1,1.03,92.7,,,,,,,125.0,21.0,,62.8,,,,,,,,33.0,,0.17,0.3,14.3,0.0,,36.6,109.0,,,256.0,,,0.5,4.0,21.0,0.69,64.9,66.4,63.2,188.0,48.0,235.0,62.5,41.6,1657.0,0.6,,2697.0,0.498,-16.9,,,,9.1,86.0,0.1,34.1,0.0,19.27,61.6,42.3,85.3
CRI,0.6559999999999999,23.1,7.8,1.9,0.1,3.1,0.4,50.0,1.05,58.4,0.505,9.8,,,,30.0,102.0,44.0,27.0,,6.9,6.7,6.8,36.0,33.2,33.7,22.8,32.0,65.0,0.12,1.0,50.2,58.5,,45.4,95.3,,,43.0,,,0.1,2.0,10.0,0.856,75.6,78.3,73.1,83.0,14.3,132.0,16.8,23.7,7787.0,24.1,20.1,7550.0,0.653,1.2,7.7,18.5,94.9,24.5,66.5,2.2,3.2,-1.8,0.16,58.5,32.9,83.9
CUB,0.6759999999999999,27.7,13.0,7.2,0.9,10.6,0.9,73.4,1.06,34.1,0.624,12.3,12.7,11.9,,90.0,100.0,89.0,21.0,,8.5,7.4,8.2,53.9,51.9,59.8,11.1,12.0,86.0,,3.2,19.2,61.7,,42.9,85.7,,,58.0,99.8,,0.1,3.0,6.0,0.841,74.6,76.6,72.8,106.0,10.6,149.0,13.3,,,,24.5,4906.0,0.588,-1.4,,24.8,76.0,,71.1,,0.2,,,50.0,35.9,64.0
CYP,0.732,29.9,15.3,0.5,0.1,0.8,0.1,66.8,1.07,39.5,0.546,9.2,9.4,9.1,3.3,40.0,82.0,64.0,9.0,,8.7,8.0,9.4,51.2,45.4,57.5,,21.0,,0.32,5.7,17.4,99.5,28.6,0.5,34.6,,,16.0,100.0,,,3.0,23.0,0.87,76.6,78.6,74.5,57.0,9.9,106.0,11.1,,23301.0,13.5,24.6,23680.0,0.826,4.7,13.5,27.0,100.0,,108.6,2.3,0.7,-1.5,1.41,59.9,46.2,73.4
CZE,0.73,35.3,19.3,6.8,1.3,10.3,0.6,75.2,1.06,32.8,0.609,11.9,11.4,12.3,,106.0,93.0,91.0,16.0,,8.4,10.7,11.0,58.8,58.4,57.2,,24.0,,,,34.0,91.6,,3.6,50.5,,,14.0,100.0,,0.1,,,0.7979999999999999,71.9,75.6,68.2,95.0,10.3,231.0,12.1,,20023.0,206.9,24.5,20151.0,0.8009999999999999,0.1,,24.2,100.0,,63.8,,,,,60.9,51.9,70.8
DEU,0.8009999999999999,37.6,21.5,54.7,11.8,79.1,4.4,73.1,1.06,23.1,0.6920000000000001,14.4,14.0,14.7,,,,,,,8.8,8.3,9.5,48.9,47.7,53.7,,,,,,32.4,86.8,,2.1,17.0,,,11.0,,,,7.0,25.0,0.8540000000000001,75.5,78.6,72.1,77.0,7.0,158.0,8.5,,31287.0,2485.2,24.4,31793.0,0.87,4.4,,24.7,100.0,,46.0,0.2,,1.3,0.28,58.3,45.2,72.6
DJI,,17.4,4.9,0.3,0.0,0.6,0.1,76.0,1.04,85.9,,2.7,2.3,3.2,,1.0,33.0,10.0,,,,,,,,,21.5,44.0,,,0.5,0.2,0.0,,26.6,50.0,,,517.0,,,0.1,5.0,15.0,0.564,56.7,58.3,55.1,264.0,91.4,319.0,117.6,40.6,,,,2031.0,0.455,35.4,,,87.8,,,,,,,63.4,46.2,80.5
DMA,,,,,,0.1,,63.1,,,,11.4,,,,75.0,103.0,70.0,,,,,,,,,,,,0.12,0.8,66.7,0.0,,14.6,,90.0,,,,,,3.0,12.0,0.856,75.6,,,113.0,14.0,154.0,17.1,59.6,6730.0,0.5,,6335.0,0.627,,,,66.0,6.6,135.1,7.7,12.2,-7.5,8.37,,,
DNK,0.799,37.1,23.2,3.5,0.8,5.1,0.3,84.8,1.06,25.3,0.69,14.1,14.3,13.9,,96.0,98.0,109.0,34.0,,9.0,8.4,9.6,51.1,58.0,72.0,1.1,11.0,,0.29,9.8,12.8,89.6,20.8,7.0,9.2,,,11.0,,,,2.0,16.0,0.845,74.9,77.7,72.1,101.0,7.4,155.0,9.0,,33786.0,173.7,20.4,32969.0,0.8759999999999999,1.3,13.4,20.8,100.0,,67.3,0.8,,-1.8,,67.3,61.1,73.9
DOM,0.598,20.2,6.8,4.1,0.3,7.2,1.0,55.2,1.05,67.4,0.485,11.5,,,,,,,,,5.0,5.2,5.4,29.5,25.9,25.3,,,,0.23,1.3,22.9,76.5,,28.0,110.2,,,198.0,,,0.6,13.0,30.0,0.736,67.9,70.5,65.5,164.0,46.3,235.0,59.9,31.5,5477.0,39.3,24.9,5243.0,0.598,-3.9,10.9,25.1,60.9,12.5,77.5,1.9,1.5,-1.9,4.45,63.8,43.6,84.0
DZA,0.5770000000000001,18.0,6.3,13.8,0.9,25.9,4.0,52.1,1.05,81.3,0.385,9.6,,,,,92.0,59.0,10.0,,3.6,2.2,4.7,16.6,10.4,21.9,9.8,28.0,81.0,0.29,3.0,0.7,99.9,38.0,0.2,33.1,,,216.0,,,0.1,4.0,17.0,0.7190000000000001,66.7,68.3,65.2,152.0,41.4,200.0,49.0,78.4,10237.0,265.3,27.0,9910.0,0.6940000000000001,-0.8,13.4,28.6,96.4,65.1,48.4,0.0,0.6,0.0,0.57,44.2,11.5,76.5
ECU,0.643,20.5,7.4,5.9,0.4,10.2,1.4,55.1,1.05,66.4,0.551,11.9,,,,43.0,124.0,58.0,20.0,88.3,6.6,6.1,6.8,35.3,33.3,37.6,,30.0,,0.22,1.6,52.8,78.2,,24.2,88.7,,,185.0,,,0.1,13.0,40.0,0.754,69.0,71.5,66.6,130.0,44.1,204.0,56.7,10.5,7472.0,76.3,18.3,6887.0,0.639,-0.4,34.7,24.1,77.2,33.2,44.6,0.8,1.1,,0.34,63.5,45.7,81.3
EGY,0.546,19.6,8.3,31.3,2.6,57.4,9.0,43.5,1.06,75.3,0.389,9.8,8.6,10.9,,5.0,89.0,72.0,14.0,,3.5,2.2,4.9,24.5,15.4,33.8,,25.0,,0.22,1.3,0.0,94.1,,8.5,86.1,,,106.0,,,0.1,5.0,14.0,0.6859999999999999,64.6,67.0,62.2,144.0,63.0,231.0,85.9,99.8,5909.0,339.3,26.9,5759.0,0.612,-0.8,11.5,28.8,90.2,28.6,52.8,1.7,14.4,-1.7,9.93,46.6,21.3,72.5
ERI,,17.5,5.3,1.6,0.1,3.1,0.6,18.9,1.05,85.9,,,,,,,23.0,,,,,,,,,,,38.0,,,,,,,,113.4,,,1590.0,,,0.3,,,0.455,49.6,51.3,48.0,358.0,92.7,404.0,150.9,,,,,894.0,0.331,-2.7,,,5.9,,,,,,,82.6,75.2,90.0
ESP,0.754,33.4,20.1,26.2,5.3,39.3,2.1,75.4,1.06,30.0,0.591,14.0,14.3,13.8,3.6,73.0,104.0,101.0,36.0,,6.0,6.0,7.0,33.9,30.1,38.0,,23.0,,0.24,5.6,27.6,77.4,,10.5,15.1,,,6.0,,,0.4,5.0,1.0,0.88,77.2,80.7,73.7,60.0,7.4,145.0,9.1,,23759.0,923.4,25.9,23594.0,0.825,-0.3,12.4,26.7,100.0,,35.6,2.6,,-3.6,0.41,50.2,33.8,67.6
EST,0.733,34.4,17.6,1.0,0.2,1.6,0.1,71.2,1.06,33.5,0.675,13.1,13.3,13.0,,91.0,94.0,105.0,25.0,,9.3,9.3,9.5,58.8,58.5,58.9,,,,,,52.0,43.7,,3.4,44.5,,,42.0,,,,,,0.76,69.4,74.3,64.3,107.0,14.0,300.0,17.7,,,,,15986.0,0.767,2.0,,,100.0,,,,,,,63.4,54.9,73.5
ETH,,16.8,6.2,24.3,1.5,48.1,9.1,12.6,1.04,91.5,,3.1,2.5,3.3,,2.0,35.0,,1.0,,,,,,,,,41.0,,0.1,0.1,15.2,3.5,,96.6,119.3,,4.8,1250.0,,,1.5,27.0,62.0,0.41700000000000004,47.1,48.7,45.6,356.0,120.8,414.0,203.2,39.2,652.0,31.4,,648.0,0.282,3.5,,0.0,,39.0,,,8.3,0.0,0.04,78.0,66.5,89.7
FIN,0.784,36.4,20.0,3.4,0.7,5.0,0.3,79.4,1.05,28.7,0.6659999999999999,15.0,15.7,14.3,5.3,34.0,98.0,114.0,44.0,,7.5,7.1,8.2,44.4,65.9,81.5,1.1,,,0.36,10.4,71.8,55.5,2.1,24.5,12.7,,77.4,6.0,98.8,,,4.0,3.0,0.85,75.3,79.1,71.2,70.0,5.5,183.0,6.7,,28906.0,144.1,29.7,28133.0,0.852,0.7,11.4,30.1,100.0,,45.8,0.6,,-2.3,0.04,65.2,59.0,71.9
FJI,0.643,20.9,5.0,0.4,0.0,0.7,0.1,41.6,1.06,65.6,0.616,12.1,,,,13.0,,,,,8.4,6.4,6.9,52.4,30.3,33.7,,,,0.19,1.1,52.2,0.0,,53.1,63.3,,,63.0,95.3,,0.1,2.0,16.0,0.7,65.5,67.6,63.6,192.0,23.8,265.0,28.4,38.5,5891.0,4.3,12.5,5928.0,0.617,-18.6,-2.9,14.3,41.8,9.2,129.5,6.9,3.8,-5.9,1.64,60.1,39.9,79.8
FRA,0.779,35.0,21.2,37.6,8.0,57.0,3.8,74.1,1.05,30.1,0.632,14.2,14.5,13.9,4.5,108.0,112.0,97.0,37.0,,7.1,7.0,7.8,48.3,44.4,53.0,3.4,,91.0,0.22,6.4,26.4,58.2,,10.4,13.7,,,15.0,,,0.3,3.0,29.0,0.871,76.6,80.8,72.5,69.0,7.4,168.0,9.0,,29515.0,1727.0,23.4,29661.0,0.86,1.7,12.1,24.4,100.0,,42.7,1.0,,-1.0,0.32,55.7,46.3,65.7
FSM,,17.6,6.8,0.1,0.0,0.1,0.0,25.8,1.07,84.3,,,,,,,,,,,,,,,,,,,,,,,,,,53.5,,,183.0,,,,5.0,19.0,0.711,66.2,66.8,65.7,186.0,42.7,208.0,54.6,,2721.0,0.3,,3213.0,0.524,-5.4,,,17.7,,,,,,,,,
GAB,0.62,19.4,11.4,0.5,0.1,1.0,0.2,69.1,1.03,79.3,0.473,11.8,,,,,,,5.0,,4.3,5.2,3.4,23.4,29.8,17.1,,,,0.24,4.7,85.4,32.0,,78.3,199.1,,,422.0,,,1.1,4.0,24.0,0.634,61.2,62.7,59.7,233.0,60.0,279.0,92.4,20.0,19501.0,18.6,21.4,19313.0,0.795,1.1,-22.3,21.7,12.2,6.4,76.9,1.2,2.5,-0.8,0.01,47.3,36.5,58.9
GBR,0.775,35.8,24.2,37.3,9.0,57.2,3.8,78.1,1.05,29.1,0.644,13.7,13.7,13.6,4.1,50.0,107.0,84.0,26.0,,7.9,8.9,8.8,52.2,67.0,53.6,,20.0,,0.36,9.7,11.5,90.7,8.2,0.7,31.7,,,10.0,,,,6.0,13.0,0.857,75.7,78.4,72.8,78.0,7.9,129.0,9.3,109.5,26828.0,1535.8,23.5,26684.0,0.8440000000000001,0.3,8.1,23.0,100.0,,47.0,3.1,,-0.7,0.19,62.6,52.0,74.1
GEO,,31.0,14.1,3.6,0.5,5.4,0.5,55.0,1.08,37.8,,12.4,12.2,12.6,,,,,,,,,,,83.9,88.0,,,,,,39.6,88.8,,12.8,53.8,,,34.0,96.6,,0.1,,,0.773,70.3,73.9,66.3,85.0,40.4,218.0,47.2,,8007.0,38.4,23.3,7589.0,0.654,-1.6,,30.7,96.2,,85.3,,,,,66.3,58.1,75.7
GHA,0.455,17.8,5.2,7.8,0.4,14.6,2.5,36.4,1.05,82.0,0.375,7.6,,,,36.0,72.0,36.0,,,4.9,3.4,6.6,41.4,26.7,55.8,,27.0,,0.14,0.3,37.9,18.2,,80.6,118.0,,,634.0,,,1.5,20.0,39.0,0.565,56.8,57.9,55.7,256.0,79.6,305.0,126.9,17.5,1920.0,28.1,14.4,1897.0,0.445,-0.4,3.6,14.4,,38.8,42.7,0.3,9.7,-0.3,0.1,75.5,72.4,78.6
GIN,0.276,18.2,6.6,3.2,0.2,6.0,1.1,28.0,1.02,83.1,0.121,2.9,1.7,4.2,,,35.0,11.0,1.0,,1.2,,,,,,34.2,38.0,82.0,0.12,0.2,29.6,,,89.3,181.3,,,1040.0,,,0.8,60.0,65.0,0.461,49.9,50.9,49.0,267.0,138.7,306.0,234.8,,1412.0,8.5,22.9,1210.0,0.377,5.8,5.7,24.5,,20.1,64.5,0.7,11.6,,0.67,65.6,63.0,68.2
GMB,0.33299999999999996,17.0,5.4,0.5,0.0,0.9,0.2,38.3,1.03,90.2,0.183,5.1,4.1,6.0,2.8,,57.0,17.0,,,1.2,0.7,1.8,9.8,5.5,14.3,,31.0,,0.13,0.2,43.7,0.0,,61.4,179.2,,11.8,1030.0,44.1,,0.1,2.0,14.0,0.495,52.2,53.5,51.0,293.0,81.7,348.0,167.6,3.4,1506.0,1.4,22.3,1493.0,0.408,11.7,3.1,22.3,2.0,22.2,131.5,4.5,33.4,0.0,,57.3,45.0,69.3
GNB,,16.9,6.3,0.5,0.0,1.0,0.2,30.8,1.03,91.0,,3.7,,,,,,,,,,,,,,,,,,0.11,0.2,78.8,0.0,,88.6,132.1,,,907.0,,,0.2,18.0,47.0,0.447,49.1,51.3,46.9,286.0,129.7,363.0,219.2,77.5,1574.0,1.6,29.9,1335.0,0.392,-5.9,7.8,29.9,,32.3,47.0,0.8,54.2,0.0,0.41,73.5,65.1,82.6
GNQ,,19.1,7.8,0.2,0.0,0.4,0.1,34.7,1.03,81.1,,,,,,,,,,,,,,,,,,,,0.15,0.2,66.3,,,84.7,187.6,,,1310.0,,,2.0,4.0,12.0,0.434,48.2,49.9,46.7,336.0,128.6,393.0,190.7,36.8,1000.0,0.4,117.9,1112.0,0.364,10.2,21.7,117.9,36.5,,203.3,9.9,50.4,-9.9,,61.4,49.4,73.7
GRC,0.753,35.1,20.3,6.8,1.4,10.2,0.6,71.5,1.07,29.6,0.607,12.4,12.4,12.4,2.0,54.0,95.0,91.0,24.0,,7.9,7.2,8.6,40.4,34.9,46.2,,20.0,86.0,0.35,7.3,25.6,94.6,,7.8,30.1,,,5.0,,,,23.0,24.0,0.87,76.6,79.5,73.7,62.0,9.3,128.0,10.5,,20686.0,210.9,24.8,21080.0,0.8079999999999999,3.5,12.2,27.6,100.0,,40.1,1.0,,-1.0,1.86,51.3,36.1,67.1
GRD,,20.4,14.8,0.1,0.0,0.1,0.0,33.4,1.05,73.2,,12.6,,,,,117.0,91.0,,,,,,,,,,25.0,,0.15,1.1,50.0,0.0,,8.3,99.2,100.0,54.3,41.0,,,,7.0,15.0,0.748,68.6,70.8,66.3,148.0,18.0,244.0,22.4,46.7,7242.0,0.7,,6809.0,0.638,-30.6,,,81.6,4.3,83.4,4.6,5.2,-4.6,6.46,,,
GTM,0.478,16.9,6.6,4.7,0.3,9.3,1.6,42.0,1.05,90.3,0.284,6.5,,,,,73.0,,,,3.1,2.7,3.5,12.7,11.9,13.6,,,,0.11,0.5,44.3,27.9,,75.0,130.3,,,205.0,,,0.1,14.0,32.0,0.65,62.3,65.2,59.5,192.0,60.4,310.0,81.8,25.9,5101.0,47.3,13.0,4996.0,0.591,-6.9,-1.8,13.6,38.7,15.4,45.9,0.6,2.7,-0.4,1.55,62.2,38.7,86.9
GUY,0.5379999999999999,21.1,6.6,0.4,0.0,0.7,0.1,29.6,1.05,60.3,0.507,10.1,,,,,,,5.0,,6.8,6.8,6.8,31.4,32.5,30.6,,,,0.54,1.5,84.6,0.0,,42.2,78.5,,,171.0,,,0.1,6.0,27.0,0.6659999999999999,63.3,66.9,60.0,187.0,46.4,305.0,60.1,265.9,2843.0,2.1,27.7,2113.0,0.461,-27.1,,31.1,61.0,,142.6,2.0,61.2,,,59.5,37.3,82.7
HKG,0.7809999999999999,31.0,12.5,4.1,0.5,5.8,0.4,99.5,1.07,29.5,0.64,12.8,,,2.5,85.0,108.0,,,,8.6,7.7,9.4,53.9,47.9,60.1,2.7,,,0.18,4.8,,,,1.1,7.1,,,,,,,,,0.884,77.5,80.3,74.7,60.0,,118.0,,151.9,26974.0,153.9,26.2,26175.0,0.841,8.0,,27.2,100.0,,226.0,,0.1,,,63.5,47.4,79.3
HND,0.506,16.9,6.6,2.5,0.2,5.0,0.9,40.5,1.05,90.4,0.355,8.6,8.8,8.4,,12.0,105.0,,9.0,,3.5,4.2,4.4,19.0,18.6,12.7,,35.0,,0.17,0.5,72.7,30.0,,70.1,133.5,,,272.0,,,0.7,6.0,10.0,0.7190000000000001,66.7,69.0,64.5,176.0,45.1,235.0,58.1,40.9,3172.0,15.7,20.2,2894.0,0.508,-3.2,15.4,23.0,30.3,38.3,77.1,1.4,16.0,-1.4,2.06,65.6,43.2,89.2
HRV,0.67,35.8,16.9,3.3,0.6,4.8,0.3,51.0,1.06,28.8,0.498,10.7,10.8,10.6,,28.0,,,21.0,,6.0,7.9,9.7,46.0,42.3,57.0,,,,,,33.1,81.1,,21.9,34.9,,,10.0,99.8,,0.1,,,0.805,72.3,76.0,68.6,87.0,11.1,216.0,12.8,,,,,14257.0,0.7490000000000001,1.1,,,100.0,,,,,,,57.8,47.3,69.4
HTI,0.409,18.5,7.6,3.8,0.3,7.1,1.2,28.5,1.05,81.6,0.28800000000000003,7.2,,,,,,,,,2.7,1.8,3.8,13.6,10.8,16.8,,,72.0,,0.1,4.2,19.7,,81.1,78.3,,,625.0,,,3.7,34.0,69.0,0.532,54.6,56.1,53.1,297.0,100.4,352.0,144.9,,,,,1904.0,0.445,-4.0,,,10.3,11.9,,,,,,67.4,57.4,78.1
HUN,0.7040000000000001,36.4,20.3,6.9,1.4,10.4,0.6,65.8,1.06,30.9,0.598,11.1,11.2,11.1,,85.0,85.0,87.0,15.0,,8.7,8.2,9.3,40.8,34.8,47.9,1.8,,96.0,,6.7,20.0,81.6,,3.9,45.8,,,24.0,99.4,,,1.0,1.0,0.759,69.3,73.8,65.1,133.0,15.3,305.0,17.3,,,,,16107.0,0.768,-1.7,,,100.0,,,,,,,54.5,47.0,63.0
IDN,0.528,21.3,6.3,108.5,6.9,181.4,22.3,30.6,1.05,60.9,0.389,10.1,9.6,10.5,,17.0,114.0,47.0,8.0,81.5,3.3,2.5,4.1,19.1,13.8,24.4,21.2,23.0,,0.18,0.8,65.4,53.4,3.7,58.6,72.9,,,446.0,,,0.1,18.0,42.0,0.6659999999999999,63.3,64.7,61.9,182.0,62.0,216.0,84.3,50.3,4625.0,839.2,30.6,4293.0,0.568,-0.2,11.1,32.7,48.4,33.5,52.9,1.0,1.7,-0.9,0.16,63.3,44.5,82.3
IND,0.4270000000000001,21.1,6.6,506.8,33.3,870.1,121.4,25.5,1.07,65.1,0.311,7.6,6.4,8.8,,3.0,92.0,,6.0,,3.0,1.7,4.1,24.0,13.4,33.3,,,,0.41,0.7,21.5,53.8,26.2,58.7,106.0,,,556.0,,,0.1,12.0,44.0,0.583,57.9,58.3,57.6,237.0,88.4,281.0,125.9,51.5,1755.0,1527.0,25.7,1733.0,0.431,0.0,14.5,29.0,29.7,33.0,15.7,0.1,0.4,0.0,0.75,60.7,35.1,84.5
IRL,0.763,28.3,18.0,2.2,0.4,3.6,0.3,56.9,1.07,44.8,0.6609999999999999,12.1,12.3,11.9,4.6,98.0,99.0,94.0,27.0,,9.7,9.8,9.7,58.3,59.6,58.3,,27.0,,0.41,8.9,6.8,85.1,,2.3,15.0,,,11.0,,,0.1,15.0,22.0,0.843,74.8,77.7,72.1,80.0,7.7,133.0,9.2,,21453.0,75.4,19.2,19791.0,0.799,-6.5,,21.5,100.0,,104.9,1.3,,,0.58,52.9,35.8,70.6
