Country,Human Development Index (HDI),[Demography] Median age (years),[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),"[Demography] Population, ages 15–64 (millions)","[Demography] Population, ages 65 and older (millions)","[Demography] Population, total (millions)","[Demography] Population, under age 5 (millions)","[Demography] Population, urban (%)",[Demography] Sex ratio at birth (male to female births),[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),[Education] Education Index,[Education] Expected years of schooling (years),"[Education] Expected years of schooling, female (years)","[Education] Expected years of schooling, male (years)",[Education] Government expenditure on education (% of GDP),"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)","[Education] Gross enrolment ratio, primary (% of primary school-age population)","[Education] Gross enrolment ratio, secondary (% of secondary school-age population)","[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)","[Education] Literacy rate, adult (% ages 15 and older)",[Education] Mean years of schooling (years),"[Education] Mean years of schooling, female (years)","[Education] Mean years of schooling, male (years)",[Education] Population with at least some secondary education (% ages 25 and older),"[Education] Population with at least some secondary education, female (% ages 25 and older)","[Education] Population with at least some secondary education, male (% ages 25 and older)",[Education] Primary school dropout rate (% of primary school cohort),"[Education] Pupil-teacher ratio, primary school (number of pupils per teacher)",[Education] Survival rate to the last grade of lower secondary general education (%),[Environmental Sustainability] Carbon dioxide emissions (kg per 2011 PPP $ of GDP),[Environmental Sustainability] Carbon dioxide emissions per capita (tonnes),[Environmental Sustainability] Forest area (% of total land area),[Environmental Sustainability] Fossil fuel energy consumption (% of total energy consumption),[Environmental Sustainability] Fresh water withdrawals (% of total renewable water resources),[Environmental Sustainability] Renewable energy consumption (% of total final energy consumption),"[Gender] Adolescent birth rate (births per 1,000 women ages 15-19)","[Gender] Antenatal care coverage, at least one visit (%)","[Gender] Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)","[Gender] Maternal mortality ratio (deaths per 100,000 live births)",[Gender] Proportion of births attended by skilled health personnel (%),"[Gender] Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)","[Health] HIV prevalence, adult (% ages 15-49), total","[Health] Infants lacking immunization, DTP (% of one-year-olds)","[Health] Infants lacking immunization, measles (% of one-year-olds)",[Health] Life expectancy Index,[Health] Life expectancy at birth (years),"[Health] Life expectancy at birth, female (years)","[Health] Life expectancy at birth, male (years)","[Health] Mortality rate, female adult (per 1,000 people)","[Health] Mortality rate, infant (per 1,000 live births)","[Health] Mortality rate, male adult (per 1,000 people)","[Health] Mortality rate, under-five (per 1,000 live births)",[Income_composition of resources] Domestic credit provided by financial sector (% of GDP),[Income_composition of resources] Gross domestic product (GDP) per capita (2011 PPP $),"[Income_composition of resources] Gross domestic product (GDP), total (2011 PPP $ billions)",[Income_composition of resources] Gross fixed capital formation (% of GDP),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,"[Mobility and communication] Net migration rate (per 1,000 people)",[Socio-economic sustainability] Adjusted net savings (% of GNI),[Socio-economic sustainability] Gross capital formation (% of GDP),[Socio-economic sustainability] Rural population with access to electricity (%),"[Socio-economic sustainability] Total debt service (% of exports of goods, services and primary income)",[Trade and financial flows] Exports and imports (% of GDP),"[Trade and financial flows] Foreign direct investment, net inflows (% of GDP)",[Trade and financial flows] Net official development assistance received (% of GNI),[Trade and financial flows] Private capital flows (% of GDP),"[Trade and financial flows] Remittances, inflows (% of GDP)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), female","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), male"
AZE,,24.1,7.5,4.5,0.3,7.2,0.9,53.7,1.06,53.4,,10.7,10.4,10.9,,21.0,115.0,92.0,24.0,,,,,,,,,,,,,10.2,99.9,,0.7,25.7,,,64.0,97.3,,0.1,,,0.69,64.8,68.8,60.7,114.0,75.4,244.0,94.5,,8513.0,60.9,20.3,8706.0,0.675,-4.6,,26.5,92.5,,83.1,,,,,60.8,52.1,70.2
BDI,0.297,16.4,6.3,2.7,0.2,5.4,1.1,6.3,1.03,95.9,0.171,4.4,3.9,5.0,3.4,,70.0,5.0,1.0,37.4,1.4,0.8,2.1,3.1,1.8,4.6,,66.0,,0.04,0.0,11.3,,,95.2,49.8,,,1220.0,,,0.5,5.0,26.0,0.4320000000000001,48.1,49.7,46.3,340.0,103.0,399.0,170.1,16.8,1087.0,5.9,15.2,1032.0,0.353,-6.0,-20.6,14.5,,43.4,35.6,0.1,23.5,-0.1,,90.6,90.8,90.5
BEL,0.8059999999999999,36.5,22.3,6.7,1.5,10.0,0.6,96.4,1.06,26.7,0.705,14.1,14.1,14.1,,103.0,101.0,101.0,38.0,,9.4,8.7,9.5,63.1,60.9,67.9,,,,0.35,10.6,,75.8,,1.3,11.4,,,9.0,,,,3.0,15.0,0.8590000000000001,75.9,79.2,72.5,75.0,8.3,139.0,10.0,,30648.0,305.5,24.1,30781.0,0.865,0.9,,24.4,100.0,,120.6,,,,1.74,48.3,36.6,60.8
BEN,0.348,17.1,7.4,2.5,0.2,5.0,0.9,34.5,1.04,90.7,0.201,5.3,,,,3.0,51.0,,2.0,,1.6,0.8,2.6,9.6,4.5,14.8,37.0,31.0,,0.1,0.1,51.1,4.8,,93.7,123.1,,,576.0,,,0.2,14.0,21.0,0.52,53.8,55.8,51.7,245.0,107.4,313.0,178.4,21.1,1463.0,7.3,12.6,1432.0,0.402,-0.4,-2.4,14.1,,9.9,45.7,3.2,13.9,-2.9,5.16,72.4,57.4,89.2
BFA,,16.3,6.6,4.4,0.3,8.8,1.7,13.8,1.05,95.5,,2.5,1.9,3.0,,1.0,33.0,7.0,1.0,,,,,,,,29.2,55.0,67.0,0.08,0.1,25.0,,,93.2,150.2,,,727.0,,,3.1,8.0,21.0,0.45299999999999996,49.5,50.5,48.3,296.0,98.6,355.0,198.6,12.2,844.0,7.4,17.7,845.0,0.322,-4.4,,18.9,,9.4,35.4,0.0,10.6,,4.5,83.1,76.2,90.8
BGD,0.387,18.6,5.7,57.9,3.3,106.2,16.5,19.8,1.05,77.6,0.251,5.6,4.7,6.6,1.5,,81.0,20.0,4.0,,2.8,1.9,3.7,20.8,12.3,27.4,,63.0,,0.11,0.1,11.5,45.5,,71.7,169.7,,,569.0,,,0.1,14.0,35.0,0.591,58.4,58.8,58.1,196.0,99.7,197.0,143.8,21.6,1288.0,136.8,16.5,1320.0,0.39,-0.4,6.2,16.5,,34.2,19.0,0.0,6.5,-0.0,2.46,56.5,23.1,88.2
BGR,0.6940000000000001,36.5,19.8,5.9,1.2,8.8,0.6,66.4,1.06,30.6,0.632,12.1,12.1,12.1,4.5,69.0,95.0,99.0,26.0,,8.9,8.2,8.4,50.7,49.1,78.2,5.1,,86.0,0.92,8.5,30.1,84.1,35.2,1.9,75.8,,,25.0,99.1,,0.1,1.0,1.0,0.789,71.3,74.8,68.0,98.0,14.7,219.0,18.4,,9297.0,81.1,21.3,8518.0,0.6709999999999999,-4.1,0.4,25.6,100.0,19.4,69.8,0.0,,-0.0,,58.0,54.5,61.7
BHR,0.746,25.4,3.4,0.3,0.0,0.5,0.1,88.1,1.05,50.2,0.574,13.4,13.7,13.1,,,110.0,87.0,,,6.0,5.7,6.3,48.3,45.5,49.4,,21.0,,0.71,25.1,0.3,,161.1,0.0,32.5,,,26.0,,,0.1,3.0,13.0,0.8059999999999999,72.4,73.7,71.4,98.0,19.5,128.0,23.0,-1.0,35113.0,17.4,18.9,37622.0,0.8959999999999999,5.6,-2.9,16.4,,,210.2,-4.3,3.9,-11.6,,64.9,28.9,88.2
BHS,,23.6,6.8,0.2,0.0,0.3,0.0,79.8,1.06,51.3,,12.1,12.5,11.8,,,98.0,86.0,,,,,,,,,,,,0.25,7.6,51.4,0.0,,0.0,69.8,,,46.0,99.0,,1.0,5.0,14.0,0.78,70.7,74.2,67.3,149.0,19.6,260.0,23.5,58.5,30992.0,7.9,25.6,29221.0,0.858,-0.9,,29.4,82.0,,110.1,-0.5,0.1,,,72.0,64.8,79.4
BIH,,29.8,9.5,3.1,0.3,4.5,0.3,39.2,1.07,34.9,,,,,,,,,,,,,,,,,,,,,,43.3,93.9,,7.3,36.9,,,28.0,97.0,,,,,0.7829999999999999,70.9,74.3,67.4,105.0,16.1,225.0,18.2,,,,,1562.0,0.415,-6.1,,,96.2,,,,,,,52.1,41.2,63.4
