Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
AFG,0.4370000000000001,0.34700000000000003,8.9,3.0,0.619,60.2,1304.0,0.38799999999999996
AGO,0.502,0.39,8.5,4.6,0.557,56.2,4756.0,0.583
ALB,0.7240000000000001,0.6459999999999999,12.2,9.2,0.861,75.9,9193.0,0.6829999999999999
AND,0.831,0.6609999999999999,11.7,10.1,0.932,80.6,47574.0,0.9309999999999999
ARE,0.838,0.6859999999999999,13.2,9.6,0.862,76.0,72409.0,0.995
ARG,0.795,0.753,16.5,8.9,0.85,75.3,18000.0,0.784
ARM,0.727,0.7120000000000001,12.4,11.0,0.815,72.9,8019.0,0.662
ATG,0.777,0.674,13.1,9.3,0.847,75.1,23028.0,0.8220000000000001
AUS,0.92,0.9109999999999999,19.1,12.3,0.9470000000000001,81.6,39729.0,0.904
AUT,0.884,0.809,15.3,11.5,0.9259999999999999,80.2,44815.0,0.922
AZE,0.7190000000000001,0.662,11.6,10.2,0.773,70.2,12383.0,0.728
BDI,0.3720000000000001,0.32299999999999995,8.6,2.5,0.522,53.9,758.0,0.306
BEL,0.899,0.865,19.0,11.0,0.9179999999999999,79.7,42589.0,0.915
BEN,0.462,0.377,10.3,2.8,0.595,58.7,1838.0,0.44
BFA,0.35700000000000004,0.20800000000000002,5.9,1.3,0.5479999999999999,55.6,1395.0,0.39799999999999996
BGD,0.523,0.391,8.4,4.8,0.759,69.3,2426.0,0.48200000000000004
BGR,0.7709999999999999,0.742,14.1,10.5,0.82,73.3,14811.0,0.755
BHR,0.7959999999999999,0.647,13.2,8.4,0.858,75.8,41153.0,0.909
BHS,0.79,0.7140000000000001,12.6,10.9,0.8370000000000001,74.4,23338.0,0.8240000000000001
BIH,0.7190000000000001,0.623,13.3,7.6,0.856,75.6,10188.0,0.698
BLR,0.774,0.804,15.4,11.3,0.764,69.6,14848.0,0.755
BLZ,0.7,0.7,12.7,10.4,0.762,69.5,7022.0,0.642
BOL,0.64,0.636,13.8,7.6,0.6970000000000001,65.3,5038.0,0.5920000000000001
BRA,0.716,0.608,13.8,6.7,0.8170000000000001,73.1,13390.0,0.74
BRB,0.7809999999999999,0.742,15.5,9.3,0.841,74.6,15663.0,0.763
BRN,0.84,0.679,14.1,8.7,0.872,76.7,82725.0,1.0
BTN,0.5429999999999999,0.369,10.5,2.3,0.72,66.8,5441.0,0.604
BWA,0.639,0.626,12.2,8.6,0.568,56.9,12914.0,0.7340000000000001
CAF,0.337,0.294,6.4,3.4,0.40299999999999997,46.2,852.0,0.324
CAN,0.899,0.8540000000000001,15.9,12.4,0.9359999999999999,80.9,40997.0,0.909
CHE,0.917,0.855,15.3,12.9,0.9520000000000001,81.9,52930.0,0.9470000000000001
CHL,0.8059999999999999,0.748,15.0,9.9,0.895,78.2,17652.0,0.7809999999999999
CHN,0.685,0.5770000000000001,12.3,7.0,0.843,74.8,7996.0,0.662
CIV,0.43,0.36,8.1,4.0,0.451,49.3,2576.0,0.491
CMR,0.4920000000000001,0.441,9.6,5.2,0.531,54.5,2882.0,0.508
COD,0.39,0.39799999999999996,8.4,5.0,0.55,55.7,602.0,0.271
COG,0.536,0.484,10.3,6.0,0.59,58.3,3523.0,0.5379999999999999
COL,0.71,0.63,13.9,7.3,0.815,73.0,10155.0,0.698
COM,0.47,0.41100000000000003,10.3,3.7,0.632,61.1,1418.0,0.401
CPV,0.625,0.499,12.2,4.8,0.7979999999999999,71.9,5787.0,0.613
CRI,0.75,0.642,13.1,8.4,0.9,78.5,12597.0,0.731
CUB,0.78,0.838,17.5,10.6,0.903,78.7,6393.0,0.628
CYP,0.852,0.768,14.1,11.3,0.909,79.1,35220.0,0.8859999999999999
CZE,0.8540000000000001,0.836,15.5,12.2,0.879,77.1,27445.0,0.848
DEU,0.917,0.9209999999999999,16.7,13.7,0.92,79.8,41393.0,0.91
DJI,0.435,0.278,5.3,3.9,0.605,59.3,2551.0,0.489
DMA,0.72,0.612,12.7,7.8,0.88,77.2,9809.0,0.693
DNK,0.909,0.897,16.8,12.9,0.904,78.8,46379.0,0.927
DOM,0.695,0.598,12.9,7.2,0.804,72.3,10078.0,0.6970000000000001
