Country,1990,1995,2000,2005,2010,2015
MWI,21.5,-19.4,-0.7,-0.6,-0.5,-0.4
MYS,5.2,3.1,4.5,5.3,5.3,5.3
MDV,-2.5,-2.6,-0.8,9.2,10.5,11.2
MLI,-11.8,-3.8,-2.8,-1.1,-1.4,-3.7
MLT,0.7,2.0,3.3,2.7,3.2,4.5
MRT,-3.2,-2.8,1.0,0.5,0.6,2.1
MUS,-6.9,-1.0,-1.5,-3.2,-2.0,-1.9
MEX,-4.4,-2.9,-4.8,-5.5,-0.4,-0.5
FSM,-5.4,-4.4,-25.3,-24.1,-23.1,-15.8
MDA,-3.9,-6.1,-7.7,-0.6,-2.3,-0.5
MNG,0.0,-7.9,-4.5,-1.2,-1.1,-1.1
MNE,-9.8,-6.6,-7.0,-2.6,-0.2,-1.0
MAR,-3.5,-3.6,-4.0,-4.4,-3.6,-1.8
MOZ,-19.8,9.0,-0.6,0.3,-0.4,-0.2
MMR,-1.0,-3.3,-2.4,-5.3,-5.9,-1.9
NAM,11.7,3.1,4.0,-5.1,-4.8,-0.1
NPL,-2.4,0.8,-4.1,-6.5,-7.8,-2.7
NLD,1.9,2.5,2.3,1.8,0.8,0.7
NZL,-0.6,6.7,2.3,6.7,2.9,4.0
NIC,-7.6,-5.5,-6.0,-6.7,-5.6,-4.6
NER,-2.5,-0.1,0.5,-0.5,-0.4,-0.3
NGA,-0.2,-0.2,-0.2,-0.3,-0.4,-0.4
NOR,1.8,2.2,2.7,3.0,6.9,8.8
OMN,1.3,10.4,-17.3,1.3,19.2,45.2
PAK,0.3,-1.7,-1.1,-0.9,-1.7,-1.3
PSE,-4.1,3.0,4.8,-11.2,-4.7,-2.0
PAN,-0.8,0.1,0.7,1.0,1.3,1.5
PNG,-0.1,-0.1,-0.1,-0.0,-0.0,-0.0
PRY,-0.9,-1.4,-1.7,-1.7,-3.9,-2.7
PER,-1.8,-2.6,-4.3,-4.7,-3.4,-1.6
PHL,-1.0,-1.5,-2.1,-2.7,-3.3,-1.3
POL,-1.6,-0.8,-0.4,-1.0,-0.9,-0.4
PRT,-3.0,3.0,3.4,3.4,1.7,-2.7
QAT,27.1,-4.1,10.7,58.7,127.3,56.5
ROU,-1.7,-4.5,-5.4,-4.3,-7.4,-3.0
RUS,1.2,3.4,3.1,2.4,3.0,1.4
RWA,0.9,-41.0,34.7,-1.7,-1.6,-1.4
LCA,-6.4,-6.7,-1.2,-0.3,3.4,0.0
VCT,-13.4,-16.1,-14.7,-9.6,-9.4,-9.1
WSM,-23.1,-16.5,-20.1,-17.7,-16.8,-13.4
STP,-11.0,-9.3,-12.5,-7.6,-6.8,-6.0
SAU,9.9,-1.3,-3.5,6.5,7.8,10.8
SEN,-1.7,-1.7,-4.5,-2.9,-2.7,-1.4
SRB,-0.6,3.7,-10.2,-5.9,-2.6,-2.2
SYC,-15.1,1.7,-0.3,5.9,-5.6,-4.8
SLE,3.1,-21.0,-6.8,19.6,2.0,-0.6
