Country1_Country2,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,[Socio-economic sustainability] Research and development expenditure (% of GDP)
AFG_AGO,,,0.1792910789587463,,1.0186295222649877,1.0170121278006141,,,
AFG_ALB,,1.959838597126233,1.7032652501080932,1.985657512057492,1.9698001357707038,1.971758206960374,,,
AFG_AND,,,1.8526744825737151,,2.502725514968943,2.501019620407632,,,
AFG_ARE,,1.9704898938497457,2.031965561532462,1.701992153192136,2.0440049354059022,2.044401930374704,,,
AFG_ARG,,2.4977290816635964,2.659484337888075,2.0802126316792773,2.017021371902193,2.0132689060542774,,,
AFG_ARM,,2.332633982449158,1.6136197106287196,2.710580095824513,1.645997373726205,1.6500502889826294,,,
AFG_ATG,,,,,1.9832919175225587,1.9925135565073258,,,
AFG_AUS,,3.754582095038028,4.422513280982415,3.120318947518917,2.590422096355995,2.5944186933689135,,,
AFG_AUT,,2.7799884448366683,3.0778301887918165,2.206286124508325,2.4420124970855994,2.4491312465402535,,,
AFG_AZE,,2.2580749053845732,1.553856017642471,2.6475433494099896,1.2479898120465076,1.2556986475905534,,,
AFG_BDI,,0.042605186894048686,0.0,0.09455511962178553,0.4182452343074785,0.4151069909390259,,,
AFG_BEL,,3.3232045777357873,3.8846400441061766,2.489951483373681,2.4420124970855994,2.4491312465402535,,,
AFG_BEN,,0.2716080664495595,0.4183458509037421,0.09455511962178531,0.16864727189817685,0.17642047114908643,,,
AFG_BFA,,,0.4482276973968662,,0.41149934343155126,0.4047293161655501,,,
AFG_BGD,,0.6017982648784357,0.6574006228487377,0.5042939713161885,0.9444247226297892,0.9443684043862846,,,
AFG_BGR,,2.51903167511062,2.3905477194499545,2.3323596173373717,1.8078987547484549,1.8057154105847641,,,
AFG_BHR,,2.311331389002134,2.689366184381199,1.733510526399398,2.084480280661464,2.0859126294686057,,,
AFG_BHS,,,2.1514929475049596,,1.8618658817558715,1.8679814592256174,,,
AFG_BIH,,,,,1.9495624631429234,1.9510028574134224,,,
AFG_BLR,,2.412518707875499,2.450311412436204,2.111731004886539,1.4908418835798822,1.4943851673804947,,,
AFG_BLZ,,2.327308334087402,2.031965561532462,2.3323596173373717,1.619013810222496,1.6189172646622012,,,
AFG_BOL,,2.0823285094466226,2.3009021799705818,1.6704737799848743,0.50594181569453,0.5085060639003068,,,
AFG_BRA,,1.837348684805844,2.659484337888075,0.9140328230105915,1.5110795562076635,1.5151405169274448,,,
AFG_BRB,,2.529682971834133,2.689366184381199,2.111731004886539,1.9832919175225587,1.9925135565073258,,,
AFG_BRN,,2.3379596308109143,2.480193258929328,1.9541391388502303,2.158685080296662,2.1585563528829357,,,
AFG_BTN,,,0.5976369298624888,,0.4047534525556249,0.4047293161655501,,,
AFG_BWA,,1.8160460913588197,1.8526744825737151,1.575918660363089,0.02698356350370834,0.03113302432042664,,,
AFG_CAF,,0.13314120904390148,0.02988184649312453,0.1891102392435704,0.8162527959871755,0.8094586323311008,,,
AFG_CAN,,3.3817867097151035,3.675467118654305,2.7736168422390364,2.5701844237282137,2.573663343821962,,,
AFG_CHE,,2.934432247327594,2.9583028028193192,2.584506602995466,2.6241515507356303,2.6255517176893397,,,
AFG_CHL,,2.3592622242579386,2.3905477194499545,2.0802126316792773,2.3003487886911307,2.3038437997115953,,,
AFG_CHN,,1.3846685740565778,1.374564938683724,1.2292165550832093,1.7539316277410375,1.753827036717386,,,
AFG_CIV,,0.4047492754934612,0.5378732368762402,0.22062861245083232,0.4991959248186033,0.4981283891268309,,,
AFG_CMR,,0.8308011444339469,0.8068098553143599,0.7564409569742826,0.3980075616796972,0.39435164139207446,,,
AFG_COD,,0.5059365943668261,0.6275187763556134,0.3467021052798793,0.46546647043896794,0.4669953648064047,,,
AFG_COG,,1.4325994093123824,1.7032652501080932,1.0401063158396386,0.08769658138705205,0.08302139818780496,,,
AFG_COL,,1.6402996954208693,1.7630289430943418,1.3552900479122565,1.6797268281058404,1.6915609880765312,,,
AFG_COM,,,1.0458646272593553,,0.5666548335778736,0.5707721125411608,,,
AFG_CPV,,,,,1.4166370839446845,1.4217414439661649,,,
AFG_CRI,,1.9651642454879892,1.9423200220530883,1.7650288996066597,2.408283042705964,2.417998222219827,,,
AFG_CUB,,2.3752391693432067,2.1514929475049596,2.3323596173373717,2.3003487886911307,2.3038437997115953,,,
AFG_CYP,,2.513706026748865,2.3905477194499545,2.3638779905446334,2.4824878423411616,2.490641945634157,,,
AFG_CZE,,2.636195939069254,2.5399569519155767,2.426914736959157,2.091226171537391,2.0962903042420824,,,
AFG_DEU,,3.072899104733252,3.346766807229937,2.489951483373681,2.421774824457818,2.4283758969933036,,,
AFG_DJI,,0.09053602214985279,0.5378732368762398,0.28366535886535593,0.3642781073000614,0.3632186170716478,,,
AFG_DMA,,,2.1514929475049596,,2.361061806574474,2.3661098483524485,,,
AFG_DNK,,3.0515965112862276,3.2272394212574387,2.584506602995466,2.3138405704429856,2.31422147448507,,,
AFG_DOM,,1.8160460913588197,2.211256640491208,1.2922533014977329,1.6932186098576945,1.6915609880765312,,,
AFG_DZA,,1.347389035524285,1.6136197106287196,0.9770695694251151,1.551554901463226,1.556651216021348,,,
