Country1_Country2,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Gender] Share of seats in parliament (% held by women),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
AFG_AGO,,,0.23905477194499536,,,0.9983918496372071,0.9962567782536633,,
AFG_ALB,,1.96516424548799,1.7032652501080925,1.9856575120574924,,1.9563083540188497,1.9510028574134224,,
AFG_AND,,,1.7630289430943415,,,2.4824878423411607,2.4802642708606815,,
AFG_ARE,,1.9704898938497462,1.9722018685462124,1.7650288996066597,,2.0237672627781205,2.0236465808277524,,
AFG_ARG,,2.4924034333018406,2.659484337888075,2.0802126316792773,,1.990037808398485,1.9925135565073258,,
AFG_ARM,,2.337959630810914,1.6435015571218439,2.7105800958245134,,1.652743264602132,1.6500502889826294,,
AFG_ATG,,,,,,1.9630542448947774,1.9613805321868991,,
AFG_AUS,,3.690674314696956,4.571922513448038,3.088800574311655,,2.5701844237282137,2.573663343821962,,
AFG_AUT,,2.7320576095808633,3.0180664958055674,2.1747677513010633,,2.428520715333745,2.428375896993303,,
AFG_AZE,,2.204818421767013,1.4343286316699726,2.6475433494099896,,1.2344980302946533,1.2349432980436033,,
AFG_BDI,,0.10651296723512127,0.11952738597249768,0.09455511962178509,,0.39800756167969764,0.3943516413920751,,
AFG_BEL,,3.2912506875652507,3.824876351119927,2.4584331101664194,,2.41502893358189,2.417998222219827,,
AFG_BEN,,0.24497982464077928,0.35858215791749304,0.09455511962178531,,0.1214260357666872,0.11415442250823227,,
AFG_BFA,,,0.5079913903831144,,,0.44522879781118685,0.4462400152594528,,
AFG_BGD,,0.5911469681549237,0.5976369298624888,0.5042939713161885,,0.9714082861334981,0.9651237539332354,,
AFG_BGR,,2.4764264882165725,2.3307840264637054,2.3323596173373717,,1.7674234094928922,1.764204711490861,,
AFG_BHR,,2.2687262021080854,2.569838798408701,1.7650288996066597,,2.057496717157756,2.054779605148179,,
AFG_BHS,,,2.0917292545187105,,,1.834882318252163,1.8264707601317143,,
AFG_BIH,,,,,,1.9698001357707038,1.971758206960374,,
AFG_BLR,,2.375239169343207,2.3905477194499545,2.111731004886539,,1.4166370839446842,1.4113637691926881,,
AFG_BLZ,,2.311331389002134,1.9722018685462124,2.3638779905446334,,1.538063119711371,1.5358958664743962,,
AFG_BOL,,1.9811411905732577,2.1216111010118346,1.6389554067776126,,0.519433597446384,0.5188837386737825,,
AFG_BRA,,1.8373486848058442,2.62960249139495,0.9455511962178534,,1.5178254470835904,1.5151405169274448,,
AFG_BRB,,2.4870777849400847,2.62960249139495,2.0802126316792773,,1.9563083540188497,1.9613805321868991,,
AFG_BRN,,2.295354443916866,2.420429565943079,1.9541391388502303,,2.1317015167929543,2.137801003335984,,
AFG_BTN,,,0.5677550833693641,,,0.43848290693525915,0.4358623404859776,,
AFG_BWA,,1.8107204429970638,1.8227926360805904,1.6074370335703507,,0.18213905365003136,0.1867981459225616,,
AFG_CAF,,0.10651296723512171,0.0,0.18911023924357062,,0.9174411591260818,0.913235380065857,,
AFG_CAN,,3.269948094118226,3.466294193202434,2.7736168422390373,,2.5432008602245055,2.5425303195015347,,
AFG_CHE,,2.9610604891363743,2.958302802819319,2.6475433494099896,,2.603913878107849,2.604796368142388,,
AFG_CHL,,2.3326339824491584,2.3606658729568304,2.0802126316792773,,2.2801111160633494,2.2830884501646436,,
AFG_CHN,,1.3580403322477979,1.2849193992043504,1.2607349282904712,,1.7404398459891832,1.7330716871704344,,
AFG_CIV,,0.3781210336846812,0.47810954388999116,0.25214698565809424,,0.6206219605852907,0.6226604864085392,,
AFG_CMR,,0.7722190124546304,0.687282469341862,0.7564409569742828,,0.4587205795630409,0.46699536480640425,,
AFG_COD,,0.4686570558345342,0.5677550833693641,0.34670210527987977,,0.5126877065704576,0.5085060639003072,,
AFG_COG,,1.3633659806095535,1.5538560176424703,1.0401063158396386,,0.18888494452595794,0.1867981459225616,,
AFG_COL,,1.6509509921443817,1.792910789587466,1.3552900479122565,,1.6729809372299125,1.6708056385295795,,
AFG_COM,,,0.9562190877799817,,,0.5329253791982381,0.5396390882207341,,
