Country1_Country2,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
ARE_HKG,0.349994133134484,0.5964726165166796,0.5976369298624886,0.5358123445234506,0.6745890875927076,0.6745488602759174,1.2383064971482718,0.31520287518315104
ARE_HND,1.496526638230209,1.198270881395115,0.8068098553143594,1.4183267943267803,0.41149934343155165,0.4047293161655511,3.6867614784879215,2.3911942255273564
ARE_HRV,0.21120335620184416,0.2769337148113159,0.29881846493124437,0.22062861245083276,0.013491781751854837,0.020755349546951574,2.7455408618293964,0.9999539488568948
ARE_HTI,2.2447899573453127,1.5817175634415521,1.404446785176848,1.5759186603630893,1.619013810222497,1.618917264662202,3.8130149017841255,3.135725154839284
ARE_HUN,0.12068763211533962,0.6497291001342405,0.6275187763556134,0.598849090937974,0.2158685080296665,0.20755349546951307,2.704569068597664,0.9727812872031749
ARE_IDN,1.1586012683072588,0.665706045219508,0.44822769739686646,0.7879593301815446,0.8567281412427379,0.8509693314250039,3.493154949629435,1.8586100571144453
ARE_IND,1.6534205599801504,1.182293936309847,0.8068098553143594,1.3868084211195182,1.05910486752055,1.0585228268945168,3.6958064998583957,2.429235951842565
ARE_IRL,0.42240671240368766,1.1290374526922873,1.4044467851768478,0.7564409569742829,0.3912616708037704,0.39435164139207457,1.7372363366731862,0.4836733774362154
ARE_IRN,0.5853350157593961,0.24497982464077878,0.14940923246562215,0.3151837320726179,0.3103109802926456,0.3113302432042696,2.970105053116589,1.1792935157714461
ARE_IRQ,1.1767044131245592,1.027850133818921,0.8665735483006081,1.0716246890469006,0.8162527959871755,0.8094586323311007,3.2251961915291334,1.4455855999779015
ARE_ISL,0.31378784349988287,0.8521037378809713,1.55385601764247,0.25214698565809435,0.5666548335778736,0.5707721125411608,2.052735296381398,0.6141021533740711
ARE_ISR,0.25344402744221295,0.8787319796897517,0.7171643158349863,0.9455511962178536,0.5194335974463848,0.5188837386737829,2.3624734389072244,0.7662690586349024
ARE_ITA,0.1810314481730093,0.45268011074926595,0.9263372412868578,0.031518373207261696,0.5734007244538013,0.581149787314636,1.8736654090111737,0.5380187007436554
ARE_JAM,0.7844696087497063,0.2503054730025348,0.14940923246562215,0.3151837320726179,0.175393162774104,0.17642047114908643,3.456328791192504,1.7879611368147739
ARE_JOR,0.6155069237882309,0.09586167051160999,0.11952738597249785,0.06303674641452384,0.30356508941671767,0.30095256843079454,3.3667400080944727,1.6357942315539415
ARE_JPN,0.2594784090479796,0.564518726346144,0.47810954388999133,0.5673307177307123,0.6948267602204878,0.6953042098228691,1.8938551888559827,0.5488877654051427
ARE_KAZ,0.4767161468555905,0.5538674296226316,0.41834585090374216,0.598849090937974,0.9916459587612795,0.985879103480187,2.9909947453293513,1.1955971127636782
ARE_KEN,1.9008302058165958,1.0757809690747258,0.8964553947937328,1.1346614354614242,1.632505591974351,1.629294939435678,3.7728506997461864,2.820522279656132
ARE_KGZ,1.2491169923937628,0.021302593447024343,0.23905477194499514,0.22062861245083276,0.8432363594908838,0.8405916566515274,3.7558374452636274,2.7172661653719965
ARE_KHM,1.9128989690281295,1.3953198707800898,0.7769280088212351,1.7965472728139216,1.1063261036520398,1.1000335259884186,3.7716662326619574,2.8150877473253884
