Country,2003-2017
AFG,35
ALB,10
DZA,3
AGO,30
ARM,5
AZE,11
BGD,59
BRB,11
BLR,3
BLZ,26
BEN,26
BTN,26
BOL,19
BIH,4
BRA,26
BFA,52
BDI,20
CPV,18
KHM,19
CMR,31
CAF,68
TCD,67
COL,23
COM,32
COG,27
COD,37
CRI,21
CUB,26
CIV,27
DJI,5
DOM,36
ECU,22
EGY,17
SLV,26
GNQ,30
ERI,41
SWZ,5
ETH,40
GAB,22
GMB,30
GEO,14
GHA,21
GTM,30
GIN,51
GNB,24
GUY,30
HTI,18
HND,34
IND,27
IDN,14
IRN,17
IRQ,24
JAM,8
JOR,8
KAZ,7
KEN,23
KIR,20
KGZ,12
LAO,35
LBN,6
LSO,17
LBR,36
MDG,41
MWI,42
MDV,4
MLI,52
MHL,26
MRT,37
MEX,26
MDA,12
MNG,5
MNE,5
MAR,16
MOZ,48
MMR,16
NAM,7
NRU,27
NPL,40
NIC,35
NER,76
NGA,44
PAK,21
PSE,15
PAN,26
PNG,21
PRY,22
PER,22
PHL,15
QAT,4
RWA,7
LCA,8
WSM,11
STP,35
SEN,31
SRB,3
SLE,39
SLB,21
SOM,45
ZAF,6
SSD,52
LKA,12
SDN,34
SUR,19
SYR,13
TJK,12
TZA,31
THA,23
MKD,7
TLS,19
TGO,22
TON,6
TTO,11
TUN,2
TUR,15
TKM,6
TUV,10
UGA,40
UKR,9
URY,25
UZB,7
VUT,21
VNM,11
YEM,32
ZMB,31
ZWE,32
