Country,1990/2015
AFG,0.0
ALB,-2.2
DZA,17.3
AND,0.0
AGO,-5.1
ATG,-4.9
ARG,-22.1
ARM,-0.9
AUS,-2.9
AUT,2.5
AZE,34.6
BHS,0.0
BHR,144.1
BGD,-4.4
BRB,0.0
BLR,10.9
BLZ,-15.5
BEN,-25.2
BTN,34.7
BOL,-12.8
BIH,-1.5
BWA,-21.0
BRA,-9.7
BRN,-8.0
BGR,17.1
BFA,-21.9
BDI,-4.5
CPV,55.7
KHM,-26.9
CMR,-22.6
CAN,-0.3
CAF,-1.7
TCD,-27.3
CHL,16.2
CHN,32.6
COL,-9.2
COM,-24.5
COG,-1.7
COD,-4.9
CRI,7.5
HRV,3.8
CUB,60.5
CYP,7.2
CZE,1.5
CIV,1.8
DNK,13.8
DJI,0.0
DMA,-13.3
DOM,79.5
ECU,-4.4
EGY,65.9
SLV,-29.7
GNQ,-15.7
EST,1.2
SWZ,24.2
ETH,-17.8
FJI,6.7
FIN,1.8
FRA,17.7
GAB,4.5
GMB,10.4
GEO,2.6
DEU,1.1
GHA,8.2
GRC,22.9
GRD,0.0
GTM,-25.4
GIN,-12.4
GNB,-11.0
GUY,-0.8
HTI,-16.4
HND,-43.6
HUN,14.0
ISL,205.6
IND,10.5
IDN,-23.2
IRN,17.8
IRQ,3.3
IRL,62.2
ISR,25.0
ITA,22.5
JAM,-2.7
JPN,0.0
JOR,-0.6
KAZ,-3.3
KEN,-6.6
KIR,0.0
PRK,-38.7
KOR,-3.9
KWT,81.2
KGZ,-23.8
LAO,6.3
LVA,5.8
LBN,4.8
LSO,22.5
LBR,-15.2
LBY,0.0
LIE,6.2
LTU,12.1
MDG,-8.9
MWI,-19.2
MYS,-0.8
MDV,0.0
MLI,-29.5
MLT,0.0
MRT,-45.9
MUS,-6.1
MEX,-5.3
MDA,28.2
MNG,0.1
MNE,32.1
MAR,13.7
MOZ,-12.5
MMR,-25.9
NAM,-21.0
NRU,0.0
NPL,-24.7
NLD,9.2
NZL,5.1
NIC,-31.0
NER,-41.3
NGA,-59.4
NOR,-0.2
OMN,0.0
PAK,-41.7
PSE,1.0
PAN,-8.4
PNG,-0.2
PRY,-27.6
PER,-5.1
PHL,22.7
POL,6.3
PRT,-7.5
QAT,0.0
ROU,7.3
RUS,0.8
RWA,50.9
KNA,0.0
LCA,-6.9
VCT,8.0
WSM,31.5
SMR,0.0
STP,-4.3
SAU,0.0
SEN,-11.5
SRB,9.9
SYC,0.0
SLE,-2.4
SGP,-5.5
SVK,1.0
SVN,5.1
SLB,-6.0
SOM,-23.2
ZAF,0.0
ESP,33.2
LKA,-9.4
SDN,-37.5
SUR,-0.6
SWE,0.8
CHE,9.0
SYR,32.1
TJK,1.8
TZA,-17.6
THA,17.1
MKD,10.3
TLS,-29.0
TGO,-72.6
TON,0.0
TTO,-2.6
TUN,61.9
TUR,21.8
TKM,0.0
TUV,0.0
UGA,-56.4
UKR,4.1
ARE,31.7
GBR,13.2
USA,2.7
URY,131.3
UZB,5.7
VUT,0.0
VEN,-10.3
VNM,65.6
YEM,0.0
ZMB,-7.9
ZWE,-36.6
