"Population using improved sanitation facilities (%)"
"HDI Rank (2017)","Country","2000","","2005","","2010","","2015",""
"168"," Afghanistan","23.9","","28.1","","33.6","","39.2",""
"68"," Albania","88.3","","92.2","","95.6","","97.7",""
"85"," Algeria","83.7","","85.3","","86.6","","87.5",""
"35"," Andorra","100.0","","100.0","","100.0","","100.0",""
"147"," Angola","20.5","","26.7","","33.1","","39.4",""
"70"," Antigua and Barbuda","82.4","","84.4","","86.3","","87.5",""
"47"," Argentina","94.8","","94.8","","94.9","","94.8",""
"83"," Armenia","90.4","","90.8","","91.2","","91.6",""
"3"," Australia","100.0","","100.0","","100.0","","100.0",""
"20"," Austria","100.0","","100.0","","100.0","","100.0",""
"80"," Azerbaijan","65.6","","73.7","","81.6","","89.3",""
"54"," Bahamas","88.6","","90.0","","91.4","","92.0",""
"43"," Bahrain","99.8","","99.9","","100.0","","100.0",""
"136"," Bangladesh","25.3","","32.7","","39.9","","46.9",""
"58"," Barbados","87.9","","90.9","","94.0","","96.5",""
"53"," Belarus","95.0","","94.8","","94.5","","94.3",""
"17"," Belgium","99.5","","99.5","","99.5","","99.5",""
"106"," Belize","82.6","","84.1","","85.6","","87.2",""
"163"," Benin","10.0","","11.2","","12.5","","13.9",""
"134"," Bhutan","53.2","","56.8","","60.0","","62.9",""
"118"," Bolivia (Plurinational State of)","38.3","","43.0","","47.8","","52.6",""
"77"," Bosnia and Herzegovina","94.9","","94.9","","94.8","","94.8",""
"101"," Botswana","54.3","","56.6","","58.6","","60.0",""
"79"," Brazil","73.3","","77.8","","82.0","","86.1",""
"39"," Brunei Darussalam","","","","","96.4","","96.3",""
"51"," Bulgaria","85.8","","85.9","","85.9","","86.0",""
"183"," Burkina Faso","9.6","","13.5","","18.1","","22.5",""
"185"," Burundi","41.5","","44.7","","47.9","","50.5",""
"125"," Cabo Verde","37.5","","48.2","","58.7","","65.2",""
"146"," Cambodia","12.3","","24.4","","36.5","","48.8",""
"151"," Cameroon","39.8","","39.3","","39.0","","38.8",""
"12"," Canada","98.5","","98.5","","98.5","","98.5",""
"188"," Central African Republic","15.0","","18.9","","23.0","","25.1",""
"186"," Chad","9.9","","9.7","","9.6","","9.5",""
"44"," Chile","91.9","","94.9","","97.7","","99.9",""
"86"," China","60.6","","65.1","","70.1","","75.0",""
"90"," Colombia","75.8","","78.9","","81.8","","84.4",""
"165"," Comoros","26.8","","29.4","","32.0","","34.2",""
"137"," Congo","12.7","","13.4","","14.3","","15.0",""
"176"," Congo (Democratic Republic of the)","22.4","","21.4","","20.6","","19.7",""
"63"," Costa Rica","94.2","","95.3","","96.3","","97.1",""
"46"," Croatia","97.1","","97.2","","97.3","","97.5",""
"73"," Cuba","89.2","","89.8","","90.3","","90.8",""
"32"," Cyprus","100.0","","99.9","","99.6","","99.4",""
"27"," Czechia","99.1","","99.1","","99.1","","99.1",""
"170"," Côte d'Ivoire","22.4","","24.8","","27.4","","29.9",""
"11"," Denmark","99.6","","99.6","","99.6","","99.6",""
"172"," Djibouti","51.0","","51.1","","51.2","","51.4",""
"103"," Dominica","64.0","","70.3","","76.6","","77.9",""
