"Rural population with access to electricity (%)"
"HDI Rank (2017)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016",""
"168"," Afghanistan","","","","","","","13.0","","32.4","","33.4","","63.8","","58.4","","87.8","","64.2","","79.0",""
"68"," Albania","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0",""
"85"," Algeria","96.4","","97.2","","97.6","","97.4","","97.6","","97.8","","97.9","","98.2","","98.4","","98.7","","99.0",""
"35"," Andorra","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0",""
"147"," Angola","7.5","","11.3","","14.1","","15.5","","16.2","","5.5","","16.3","","16.3","","3.0","","7.0","","16.0",""
"70"," Antigua and Barbuda","77.0","","81.5","","85.4","","89.0","","92.2","","92.7","","93.7","","94.4","","95.1","","95.8","","96.5",""
"47"," Argentina","90.6","","93.0","","95.1","","96.8","","98.8","","99.2","","99.6","","99.8","","100.0","","100.0","","100.0",""
"83"," Armenia","95.8","","97.6","","98.6","","99.7","","99.8","","99.6","","99.8","","99.9","","100.0","","100.0","","100.0",""
"3"," Australia","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0",""
"20"," Austria","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0",""
"80"," Azerbaijan","92.5","","95.3","","97.8","","98.7","","100.0","","99.9","","100.0","","100.0","","100.0","","100.0","","100.0",""
"54"," Bahamas","82.0","","88.8","","94.9","","99.9","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0",""
"43"," Bahrain","","","","","","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0",""
"136"," Bangladesh","","","6.8","","20.5","","31.2","","42.5","","49.3","","47.6","","54.2","","51.4","","55.5","","68.8",""
