"Concentration index (exports) (value)"
"HDI Rank (2017)","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016",""
"32"," Cyprus","0.183","","0.202","","0.179","","0.184","","0.186","","0.214","","0.234",""
"27"," Czechia","0.105","","0.106","","0.107","","0.106","","0.113","","0.118","","0.124",""
"170"," Côte d'Ivoire","0.369","","0.347","","0.338","","0.309","","0.357","","0.418","","0.376",""
"11"," Denmark","0.083","","0.084","","0.092","","0.094","","0.091","","0.095","","0.097",""
"172"," Djibouti","0.307","","0.262","","0.216","","0.217","","0.227","","0.221","","0.224",""
"103"," Dominica","0.407","","0.380","","0.435","","0.410","","0.404","","0.407","","0.412",""
"94"," Dominican Republic","0.145","","0.132","","0.136","","0.170","","0.191","","0.189","","0.217",""
"86"," Ecuador","0.501","","0.515","","0.518","","0.525","","0.500","","0.372","","0.348",""
"115"," Egypt","0.153","","0.170","","0.175","","0.160","","0.164","","0.144","","0.154",""
"121"," El Salvador","0.216","","0.196","","0.194","","0.203","","0.210","","0.212","","0.221",""
"141"," Equatorial Guinea","0.738","","0.715","","0.735","","0.671","","0.695","","0.677","","0.681",""
"179"," Eritrea","0.137","","0.583","","0.685","","0.416","","0.447","","0.359","","0.402",""
"30"," Estonia","0.120","","0.145","","0.137","","0.107","","0.118","","0.116","","0.110",""
"144"," Eswatini (Kingdom of)","0.258","","0.231","","0.228","","0.249","","0.223","","0.235","","0.229",""
"173"," Ethiopia","0.365","","0.374","","0.354","","0.314","","0.307","","0.300","","0.302",""
"92"," Fiji","0.211","","0.283","","0.272","","0.185","","0.260","","0.214","","0.205",""
"15"," Finland","0.134","","0.134","","0.139","","0.145","","0.142","","0.141","","0.143",""
"24"," France","0.088","","0.083","","0.091","","0.091","","0.092","","0.098","","0.098",""
"110"," Gabon","0.816","","0.806","","0.811","","0.814","","0.807","","0.777","","0.761",""
"174"," Gambia","0.215","","0.239","","0.343","","0.359","","0.357","","0.352","","0.353",""
"70"," Georgia","0.209","","0.231","","0.251","","0.245","","0.222","","0.183","","0.198",""
"5"," Germany","0.097","","0.092","","0.093","","0.093","","0.097","","0.105","","0.106",""
"140"," Ghana","0.484","","0.347","","0.445","","0.417","","0.431","","0.424","","0.428",""
"31"," Greece","0.214","","0.260","","0.338","","0.345","","0.339","","0.253","","0.234",""
"75"," Grenada","0.179","","0.187","","0.186","","0.186","","0.190","","0.191","","0.186",""
"127"," Guatemala","0.142","","0.145","","0.145","","0.139","","0.135","","0.139","","0.133",""
"175"," Guinea","0.423","","0.462","","0.460","","0.448","","0.449","","0.446","","0.448",""
"177"," Guinea-Bissau","0.872","","0.873","","0.873","","0.873","","0.873","","0.875","","0.876",""
"125"," Guyana","0.465","","0.483","","0.499","","0.506","","0.454","","0.365","","0.491",""
"168"," Haiti","0.525","","0.508","","0.509","","0.499","","0.496","","0.517","","0.509",""
"133"," Honduras","0.221","","0.251","","0.234","","0.224","","0.204","","0.213","","0.212",""
