Country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
AFG,1,2,2,1,3,1,5,4,4,6,7,11,9,6,6,10,13,2,7,19
AGO,1,2,2,1,2,2,3,6,4,6,5,11,9,6,8,12,14,6,1,19
ALB,1,1,1,4,1,5,4,1,7,10,11,1,13,1,9,16,16,1,10,11
AND,1,2,1,4,4,3,2,2,1,8,2,1,11,8,11,9,9,3,11,5
ARE,1,2,1,4,4,3,2,2,1,8,2,9,11,8,11,9,17,3,11,5
ARG,1,1,1,4,1,5,4,1,7,8,11,1,13,1,9,16,16,1,10,5
ARM,1,1,1,4,1,5,4,1,7,10,11,1,13,1,9,16,16,1,10,11
ATG,1,1,1,4,1,5,4,1,7,10,11,1,13,1,9,16,16,1,10,11
AUS,1,2,1,4,4,3,2,2,1,8,2,1,11,8,11,9,17,3,11,5
AUT,1,2,1,4,4,3,2,2,1,8,2,1,11,8,11,9,9,3,11,5
AZE,1,1,1,4,1,5,4,1,2,10,11,6,10,3,9,16,16,1,10,14
BDI,1,2,2,1,3,1,5,4,4,1,7,11,9,6,6,10,13,2,7,18
BEL,1,2,1,4,4,3,2,2,1,8,2,1,11,8,11,9,9,3,11,5
BEN,1,2,2,1,3,2,3,6,4,6,5,11,9,6,8,12,14,6,1,19
BFA,1,2,2,1,3,1,5,4,4,1,7,11,9,6,6,10,13,2,7,18
BGD,1,1,2,1,2,2,3,6,2,6,5,11,10,3,8,13,14,6,1,19
BGR,1,1,1,4,4,3,2,2,7,8,2,1,13,1,11,2,9,3,11,5
BHR,1,1,1,4,4,3,2,2,7,8,2,1,13,1,11,2,9,3,11,5
BHS,1,1,1,4,1,5,4,1,7,8,11,1,13,1,9,16,16,1,10,5
BIH,1,1,1,4,1,5,4,1,7,8,11,1,13,1,9,16,16,1,10,11
BLR,1,1,1,4,1,3,2,2,7,8,2,1,13,1,11,2,9,3,11,5
BLZ,1,1,1,4,1,5,4,1,2,10,11,6,10,3,9,16,16,1,10,14
BOL,1,1,1,4,1,5,4,1,2,10,11,6,10,3,9,16,16,1,10,14
BRA,1,1,1,4,1,5,4,1,7,10,11,1,13,1,9,16,16,1,10,11
BRB,1,1,1,4,1,5,4,1,7,8,11,1,13,1,9,16,16,1,10,5
BRN,1,2,1,4,4,3,2,2,1,8,2,1,11,8,11,9,9,3,11,5
BTN,1,1,2,1,2,2,3,6,2,6,5,11,10,3,8,13,14,6,1,19
BWA,1,1,1,4,1,5,4,1,2,10,11,6,10,3,9,16,16,1,10,14
CAF,1,2,2,1,3,6,5,4,3,1,7,3,6,7,6,10,13,2,7,16
CAN,1,2,1,4,4,3,2,2,1,8,2,1,11,8,11,9,9,3,11,5
CHE,1,2,3,3,5,3,1,7,1,3,3,9,11,8,10,15,17,4,9,13
CHL,1,1,1,4,1,5,2,2,7,8,2,1,13,1,9,16,16,3,11,5
CHN,1,2,1,4,4,3,2,2,9,8,2,1,13,13,11,2,12,3,11,5
CIV,1,2,2,1,3,1,5,4,4,6,7,11,9,6,6,10,13,2,7,18
CMR,1,2,2,1,2,2,3,6,4,6,5,11,9,6,8,12,14,6,1,19
COD,1,2,2,1,3,1,5,4,4,6,7,11,9,6,6,10,13,2,7,19
COG,1,1,2,1,2,2,3,6,2,6,5,11,10,3,8,13,14,6,1,19
COL,1,1,1,4,1,5,4,1,2,10,11,6,10,3,9,16,16,1,10,14
COM,1,2,2,1,3,2,3,6,4,6,5,11,9,6,8,12,14,6,1,19
CPV,1,1,2,1,2,2,3,6,2,6,5,11,10,3,8,13,16,6,10,19
CRI,1,1,1,4,1,5,4,1,7,10,11,1,13,1,9,16,16,1,10,11
CUB,1,1,1,4,1,3,2,2,7,8,2,1,13,1,11,2,9,3,11,5
CYP,1,1,1,4,4,3,2,2,7,8,2,1,11,1,11,2,9,3,11,5
CZE,1,2,1,4,4,3,2,2,1,8,2,1,11,8,11,9,9,3,11,5
DEU,1,2,1,4,4,3,2,2,1,8,2,1,11,8,11,9,17,3,9,5
DJI,1,2,2,1,3,1,3,6,4,6,5,11,9,6,6,10,13,6,1,19
DMA,1,1,1,4,1,5,4,1,2,10,11,6,10,3,9,16,16,1,10,14
DNK,1,2,1,4,4,3,2,2,1,8,2,1,11,8,11,9,17,3,11,5
DOM,1,1,1,4,1,5,4,1,2,10,11,6,10,3,9,16,16,1,10,14
DZA,1,1,1,4,1,5,4,1,2,10,11,6,10,3,9,16,16,1,10,14
ECU,1,1,1,4,1,5,4,1,2,10,11,6,10,3,9,16,16,1,10,14
EGY,1,1,2,1,2,2,3,6,2,6,5,11,10,3,8,13,16,6,1,19
ERI,1,2,2,1,3,1,5,4,4,1,7,11,9,6,6,10,13,2,7,18
ESP,1,2,1,4,4,3,2,2,1,8,2,1,11,8,11,9,9,3,11,5
EST,1,1,1,4,4,3,2,2,7,8,2,1,11,1,11,2,9,3,11,5
ETH,1,2,2,1,3,1,5,4,4,1,7,11,9,6,6,10,13,2,7,18
FIN,1,2,1,4,4,3,2,2,1,8,2,1,11,8,11,9,9,3,11,5
FJI,1,1,1,4,1,5,4,1,2,10,11,6,10,3,9,16,16,1,10,14
FRA,1,2,1,4,4,3,2,2,1,8,2,1,11,8,11,9,9,3,11,5
FSM,1,1,2,1,2,2,3,6,2,6,5,11,9,6,8,12,14,6,1,19
GAB,1,1,2,1,2,2,3,6,2,6,5,11,10,3,8,13,14,6,1,19
GBR,1,2,1,4,4,3,2,2,1,8,2,1,11,8,11,9,9,3,11,5
GEO,1,1,1,4,1,5,4,1,7,10,11,1,13,10,9,16,16,1,10,11
GHA,1,1,2,1,2,2,3,6,2,6,5,11,10,3,8,13,14,6,1,19
GIN,1,2,2,1,3,1,5,4,4,1,7,11,9,6,6,10,13,2,7,18
GMB,1,2,2,1,3,2,3,6,4,6,5,11,9,6,8,12,14,6,1,19
GNB,1,2,2,1,3,1,5,4,4,1,7,11,9,6,6,10,13,2,7,18
GNQ,1,2,2,1,3,2,3,6,4,6,5,11,9,6,8,12,14,6,1,19
GRC,1,1,1,4,4,3,2,2,7,8,2,1,13,1,11,2,9,3,11,5
GRD,1,1,1,4,1,5,4,1,7,10,11,1,13,1,9,16,16,1,10,11
GTM,1,1,2,1,2,2,3,6,2,6,5,11,10,3,8,13,14,6,1,19
GUY,1,1,1,4,1,2,4,1,2,10,11,6,10,3,9,16,16,1,10,19
HKG,1,2,3,3,5,3,1,7,1,3,3,9,11,8,10,15,17,4,9,13
HND,1,1,2,1,2,2,3,6,2,6,5,11,10,3,8,13,14,6,1,19
HRV,1,1,1,4,4,3,2,2,7,8,2,1,13,1,11,2,9,3,11,5
HTI,1,2,2,1,3,1,3,6,4,6,5,11,9,6,6,10,13,6,1,19
HUN,1,1,1,4,4,3,2,2,7,8,2,1,13,1,11,2,9,3,11,5
IDN,1,1,1,4,1,5,4,1,2,10,11,6,10,3,9,16,16,1,10,14
IND,1,2,2,1,2,2,3,6,4,1,5,11,10,6,8,12,14,10,1,19
