Country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
AFG,1,1,1,1,2,4,6,5,4,2,3,12,8,12,2,13,9,3,3,10
AGO,1,1,1,1,2,3,1,5,1,1,3,12,8,14,1,13,1,6,3,10
ALB,1,2,3,3,5,2,2,8,7,6,11,6,3,1,3,12,13,9,9,4
AND,1,2,3,3,1,6,5,8,2,9,11,6,3,5,15,12,11,18,9,8
ARE,1,2,3,3,1,6,5,8,2,9,11,6,3,5,15,12,11,18,9,8
ARG,1,2,3,3,5,2,2,8,7,6,11,6,3,1,3,12,13,9,9,4
ARM,1,2,3,3,5,2,2,8,7,6,9,6,3,1,3,12,13,9,9,4
ATG,1,2,3,3,5,2,2,7,7,6,9,10,12,1,3,3,13,9,4,3
AUS,1,2,3,3,1,6,5,8,9,3,11,6,7,5,15,12,11,13,19,8
AUT,1,2,3,3,1,6,5,8,9,3,11,6,3,5,15,12,11,18,9,8
AZE,1,2,3,3,5,2,2,7,7,6,9,10,12,1,3,3,13,9,4,3
BDI,1,1,1,1,2,4,6,5,6,2,8,5,8,12,2,13,9,3,3,10
BEL,1,2,3,3,1,6,5,8,2,9,11,6,3,5,15,12,11,18,9,8
BEN,1,1,1,1,2,3,1,5,1,1,3,12,8,14,1,13,1,6,3,10
BFA,1,1,1,1,2,4,6,5,6,2,8,12,8,12,2,13,9,3,3,10
BGD,1,1,1,1,4,3,1,5,1,1,3,12,8,14,1,13,1,6,3,14
BGR,1,2,3,3,1,6,5,8,2,9,11,6,3,5,15,12,11,18,9,8
BHR,1,2,3,3,5,6,5,8,2,9,11,6,3,5,15,12,11,18,9,4
BHS,1,2,3,3,5,6,5,8,2,9,11,6,3,5,15,12,11,18,9,4
BIH,1,2,3,3,5,2,2,8,7,6,11,6,3,1,3,12,13,9,9,4
BLR,1,2,3,3,1,6,5,8,2,9,11,6,3,5,15,12,11,18,9,8
BLZ,1,2,3,3,5,2,2,7,7,6,9,10,12,1,3,3,13,9,4,3
BOL,1,1,1,1,4,3,1,7,7,6,9,12,12,14,3,3,1,9,4,14
BRA,1,2,3,3,5,2,2,7,7,6,9,10,12,1,3,3,13,9,4,3
BRB,1,2,3,3,5,2,2,8,7,6,11,6,3,1,3,12,13,9,9,4
BRN,1,2,3,3,1,6,5,8,9,3,2,6,3,5,9,5,11,13,19,2
BTN,1,1,1,1,4,3,1,5,1,1,3,12,8,14,1,13,1,6,3,14
BWA,1,1,2,1,3,2,2,7,7,6,9,10,12,1,3,3,13,9,4,3
CAF,1,1,1,2,2,4,6,4,6,2,8,5,1,12,2,10,9,3,14,15
CAN,1,2,3,3,1,6,5,8,9,3,11,6,3,5,15,12,11,18,9,8
CHE,1,2,3,3,1,6,5,3,9,3,2,6,7,5,9,5,11,13,19,2
CHL,1,2,3,3,5,6,5,8,2,9,11,6,3,5,15,12,11,18,9,4
CHN,1,1,2,4,3,2,2,1,5,7,2,2,13,1,15,11,13,12,16,17
CIV,1,1,1,1,2,4,6,5,6,2,8,12,8,12,2,13,9,3,3,10
CMR,1,1,1,1,2,3,1,5,1,1,3,12,8,14,1,13,1,6,3,10
COD,1,1,1,1,2,4,6,5,6,2,8,12,8,12,2,13,9,3,3,10
COG,1,1,1,1,4,3,1,5,1,1,3,12,8,14,1,13,1,6,3,14
COL,1,2,3,3,5,2,2,7,7,6,9,10,12,1,3,3,13,9,4,3
COM,1,1,1,1,4,3,1,5,1,1,3,12,8,14,1,13,1,6,3,14
CPV,1,1,1,1,4,2,2,7,7,6,9,10,12,1,3,3,13,9,4,3
CRI,1,2,3,3,5,2,2,8,7,6,9,10,3,1,3,3,13,9,4,3
CUB,1,2,3,3,5,2,5,8,7,6,11,6,3,5,3,12,11,9,9,4
CYP,1,2,3,3,1,6,5,8,2,9,11,6,3,5,15,12,11,18,9,8
CZE,1,2,3,3,1,6,5,8,2,9,11,6,3,5,15,12,11,18,9,8
DEU,1,2,3,3,1,6,5,3,9,3,2,6,7,5,9,5,11,13,19,8
DJI,1,1,1,1,2,3,6,5,4,2,8,12,8,14,2,13,9,3,3,10
DMA,1,1,2,1,3,2,2,7,7,6,9,10,12,1,3,3,13,9,4,3
DNK,1,2,3,3,1,6,5,3,9,3,2,6,7,5,9,5,11,13,19,8
DOM,1,2,3,3,5,2,2,7,7,6,9,10,12,1,3,3,13,9,4,3
DZA,1,2,3,3,5,2,2,7,7,6,9,10,12,1,3,3,13,9,4,3
ECU,1,2,3,3,5,2,2,7,7,6,9,10,12,1,3,3,13,9,4,3
EGY,1,1,2,1,3,3,1,5,7,6,3,12,12,14,1,13,1,9,5,14
