Country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
LIE,1,1,2,1,5,6,2,3,1,9,4,4,2,14,9,13,5,5,2,15
LKA,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
LSO,1,2,3,2,1,2,3,8,9,2,10,6,4,10,15,14,9,9,19,16
LTU,1,1,1,3,3,4,4,6,4,9,9,7,13,3,10,7,12,7,5,14
LUX,1,1,2,3,5,6,2,3,1,9,4,7,2,3,9,7,5,5,5,14
LVA,1,1,1,3,3,4,4,6,4,9,9,7,13,3,10,7,12,7,5,14
MAR,1,2,1,2,2,3,7,8,9,2,10,6,1,10,15,14,9,9,19,16
MCO,1,1,2,3,5,6,4,6,4,9,9,2,7,3,10,15,12,7,2,14
MDA,1,2,1,4,2,3,5,2,3,1,2,9,1,11,7,16,8,16,8,19
MDG,1,2,3,2,1,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
MDV,1,2,1,4,2,3,5,2,3,1,2,9,1,11,7,16,8,16,8,19
MEX,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
MHL,1,2,1,2,2,3,1,8,3,1,2,6,1,10,15,14,8,16,19,5
MKD,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
MLI,1,1,3,1,4,5,3,4,9,5,11,11,3,10,3,5,17,10,12,7
MLT,1,1,1,3,3,4,4,6,4,9,9,7,13,3,10,7,12,7,5,14
MMR,1,2,3,2,2,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
MNE,1,1,1,3,3,4,4,6,4,9,9,7,13,3,10,7,12,7,5,14
MNG,1,2,1,4,2,3,5,2,3,1,2,9,1,11,7,16,8,16,8,19
MOZ,1,1,3,1,4,5,3,4,2,5,11,11,3,4,3,5,17,10,12,7
MRT,1,2,3,2,1,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
MUS,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
MWI,1,1,3,2,4,5,3,5,9,5,11,11,4,10,15,5,16,10,12,7
MYS,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
NAM,1,2,3,2,1,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
NER,1,1,3,1,4,5,3,4,2,5,11,5,10,4,1,10,3,10,3,7
NGA,1,2,3,2,4,1,3,5,9,2,10,11,4,10,15,5,16,9,12,7
NIC,1,2,1,2,2,3,5,2,3,2,2,6,1,10,7,14,8,16,19,16
NLD,1,1,2,3,5,6,4,6,4,9,9,7,5,3,10,7,12,7,5,14
NOR,1,1,2,1,5,6,2,3,1,9,4,3,2,14,9,12,5,5,2,3
NPL,1,2,3,2,1,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
NRU,1,2,1,2,2,3,1,8,3,1,2,6,1,10,15,14,8,9,19,5
NZL,1,1,1,3,5,4,4,6,4,9,9,7,13,3,10,7,12,7,5,14
OMN,1,2,1,4,2,3,5,2,4,4,2,9,13,3,7,16,8,16,8,19
PAK,1,2,3,2,1,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
PAN,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
PER,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
PHL,1,2,1,4,2,3,5,2,3,2,2,9,1,11,7,16,8,16,8,19
PLW,1,2,1,3,2,3,5,2,4,9,9,9,1,3,7,16,8,7,8,19
PNG,1,2,3,2,1,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
POL,1,1,1,3,3,4,4,6,4,9,9,7,13,3,10,7,12,7,5,14
PRK,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
PRT,1,1,1,3,3,4,4,6,4,9,9,7,13,3,10,7,12,7,5,14
PRY,1,2,1,4,2,3,5,2,3,1,2,9,1,11,7,16,8,16,8,19
PSE,1,2,1,4,2,3,5,2,3,1,2,9,1,11,7,16,8,16,8,19
QAT,1,1,2,1,5,6,2,3,6,9,4,8,2,14,9,13,5,5,2,12
ROU,1,1,1,3,3,4,5,6,4,9,9,7,13,3,10,7,12,7,5,14
RUS,1,1,1,3,3,4,4,6,4,9,9,7,13,3,10,7,12,7,5,14
RWA,1,2,3,2,1,2,3,8,9,2,10,6,4,10,15,14,9,9,19,16
SAU,1,1,1,3,3,4,4,6,4,9,9,7,13,3,10,7,12,7,5,14
SDN,1,2,3,2,1,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
SEN,1,2,3,2,1,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
SGP,1,1,2,3,5,6,2,3,1,9,4,7,2,3,9,7,5,5,5,14
SLB,1,2,3,2,2,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
SLE,1,1,3,1,4,5,3,4,2,5,11,11,3,4,3,5,17,10,12,7
SLV,1,2,1,4,2,3,5,2,3,1,2,9,1,11,7,16,8,16,8,19
SMR,1,1,2,3,5,6,4,6,4,9,9,8,7,3,10,13,12,7,2,14
SOM,1,1,3,1,4,5,3,4,2,5,11,5,3,4,1,10,3,14,18,7
SRB,1,2,1,3,2,3,5,2,4,9,9,9,13,3,10,16,8,7,8,14
SSD,1,1,3,1,4,5,3,4,2,5,11,11,3,4,3,5,17,10,12,7
STP,1,2,3,2,2,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
SUR,1,2,1,4,2,3,5,2,3,1,2,9,1,11,7,16,8,16,8,19
SVK,1,1,1,3,3,4,4,6,4,9,9,7,13,3,10,7,12,7,5,14
SVN,1,1,1,3,5,4,4,6,4,9,9,7,13,3,10,7,12,7,5,14
SWE,1,1,2,3,5,6,4,6,4,9,9,7,13,3,10,7,12,7,5,14
SWZ,1,2,3,2,1,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
SYC,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
SYR,1,2,1,2,2,3,1,8,6,1,10,6,4,10,15,14,9,6,19,5
TCD,1,1,3,1,4,5,3,4,2,5,11,11,3,4,3,5,3,10,12,7
TGO,1,2,3,2,1,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
THA,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
TJK,1,2,1,4,2,3,5,2,3,2,2,9,1,11,7,16,8,16,8,19
TKM,1,2,1,4,2,3,5,2,3,2,2,9,1,11,7,16,8,16,8,19
TLS,1,2,3,2,2,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
TON,1,2,1,4,2,3,5,2,3,1,2,9,1,11,7,16,8,16,8,19
TTO,1,2,1,3,2,3,5,2,4,9,9,9,13,3,10,16,8,7,8,14
TUN,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
TUR,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
TUV,1,2,1,2,2,3,5,2,3,2,2,6,1,10,7,14,8,16,19,16
TZA,1,2,3,2,1,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
UGA,1,2,3,2,1,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
UKR,1,2,1,3,2,3,5,2,4,1,2,9,7,9,10,16,8,16,8,19
URY,1,2,1,4,2,3,5,2,4,4,2,9,1,3,7,16,8,16,8,19
USA,1,1,2,1,5,6,2,3,1,9,4,7,2,3,9,7,5,5,5,14
UZB,1,2,1,4,2,3,5,2,3,2,2,9,1,11,7,16,8,16,8,19
VCT,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
VEN,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
VNM,1,2,1,4,2,3,5,2,3,4,2,9,1,11,7,16,8,16,8,19
VUT,1,2,1,2,2,3,5,2,3,2,2,6,1,10,7,14,8,16,19,16
WSM,1,2,1,4,2,3,5,2,3,1,2,9,1,11,7,16,8,16,8,19
YEM,1,2,3,2,1,2,3,8,9,2,10,6,4,10,15,14,9,9,19,16
ZAF,1,2,1,2,2,3,1,8,3,1,10,6,1,10,15,14,8,6,19,5
ZMB,1,2,3,2,1,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
ZWE,1,2,3,2,1,2,7,8,9,2,10,6,4,10,15,14,9,9,19,16
