Country,2004-2015
Afghanistan,74
Albania,189
Algeria,162
Andorra,72
Angola,106
Antigua and Barbuda,373
Argentina,160
Armenia,130
Australia,151
Austria,95
Azerbaijan,236
Bahamas,363
Bahrain,301
Bangladesh,43
Barbados,322
Belarus,306
Belgium,105
Belize,449
Benin,77
Bhutan,145
Bolivia (Plurinational State of),122
Bosnia and Herzegovina,73
Botswana,188
Brazil,301
Brunei Darussalam,132
Bulgaria,125
Burkina Faso,34
Burundi,93
Cabo Verde,286
Cambodia,105
Cameroon,115
Canada,106
Central African Republic,16
Chad,39
Chile,247
China,119
Colombia,244
Comoros,31
Congo,27
Congo (Democratic Republic of the),32
Costa Rica,352
Croatia,89
Cuba,510
Cyprus,94
Czechia,195
Côte d'Ivoire,52
Denmark,61
Djibouti,68
Dominica,300
Dominican Republic,233
Ecuador,162
Egypt,76
El Salvador,492
Equatorial Guinea,129
Estonia,216
Eswatini (Kingdom of),289
Ethiopia,128
Fiji,174
Finland,57
France,95
Gabon,210
Gambia,58
Georgia,274
Germany,78
Ghana,53
Greece,109
Grenada,398
Guatemala,121
Guinea,26
Guyana,259
Haiti,97
Honduras,196
"Hong Kong, China (SAR)",114
Hungary,187
Iceland,45
India,33
Indonesia,64
Iran (Islamic Republic of),287
Iraq,123
Ireland,80
Israel,256
Italy,86
Jamaica,145
Japan,48
Jordan,150
Kazakhstan,234
Kenya,118
Kiribati,136
Korea (Republic of),101
Kuwait,92
Kyrgyzstan,166
Lao People's Democratic Republic,71
Latvia,239
Lebanon,120
Lesotho,92
Liberia,39
Libya,99
Liechtenstein,21
Lithuania,268
Luxembourg,112
Madagascar,83
Malawi,73
Malaysia,171
Maldives,341
Mali,33
Malta,135
Marshall Islands,66
Mauritania,44
Mauritius,155
Mexico,212
Micronesia (Federated States of),127
Moldova (Republic of),215
Monaco,74
Mongolia,266
Montenegro,174
Morocco,222
Mozambique,61
Myanmar,113
Namibia,144
Nauru,140
Nepal,59
Netherlands,69
New Zealand,194
Nicaragua,171
Niger,39
Nigeria,31
Norway,71
Oman,36
Pakistan,43
Palau,343
Panama,392
Papua New Guinea,61
Paraguay,158
Peru,242
Philippines,121
Poland,191
Portugal,138
Qatar,53
Romania,143
Russian Federation,445
Rwanda,434
Saint Kitts and Nevis,607
Saint Lucia,349
Saint Vincent and the Grenadines,378
Samoa,250
Sao Tome and Principe,101
Saudi Arabia,161
Senegal,62
Serbia,148
Seychelles,799
Sierra Leone,55
Singapore,227
Slovakia,184
Slovenia,73
Solomon Islands,56
South Africa,292
South Sudan,65
Spain,136
Sri Lanka,92
Sudan,50
Suriname,183
Sweden,55
Switzerland,84
Syrian Arab Republic,60
Tajikistan,121
Tanzania (United Republic of),69
Thailand,461
The former Yugoslav Republic of Macedonia,147
Timor-Leste,50
Togo,64
Tonga,166
Trinidad and Tobago,258
Tunisia,212
Turkey,220
Turkmenistan,583
Tuvalu,110
Uganda,115
Ukraine,195
United Arab Emirates,229
United Kingdom,146
United States,698
Uruguay,291
Uzbekistan,150
Vanuatu,87
Venezuela (Bolivarian Republic of),178
Viet Nam,154
Yemen,53
Zambia,125
Zimbabwe,145
