Country,2000,2005,2010,2015
Afghanistan,10.9,11.7,11.1,10.9
Albania,9.8,9.5,7.3,5.3
Algeria,4.8,5.4,5.3,5.0
Angola,36.3,38.5,38.8,38.1
Antigua and Barbuda,4.6,3.2,0.4,0.0
Argentina,22.8,20.5,21.4,23.7
Armenia,6.7,7.3,7.9,8.0
Australia,20.0,16.8,16.6,15.3
Austria,24.9,21.1,19.4,18.5
Azerbaijan,4.8,6.0,6.0,5.3
Bahamas,2.5,1.1,2.6,2.9
Bahrain,9.0,10.2,9.9,9.5
Bangladesh,6.6,5.2,5.0,5.3
Barbados,3.3,3.7,2.3,0.5
Belarus,68.7,56.0,42.8,35.0
Belgium,28.2,24.8,23.8,23.4
Belize,16.5,11.2,11.8,14.7
Benin,21.8,22.9,22.3,22.7
Bhutan,20.0,17.2,14.5,13.9
Bolivia (Plurinational State of),36.7,32.6,29.7,26.7
Bosnia and Herzegovina,14.7,11.1,7.5,7.1
Botswana,23.9,23.2,20.7,19.5
Brazil,9.5,10.1,9.4,9.6
Brunei Darussalam,1.3,2.4,0.9,1.4
Bulgaria,24.4,19.9,18.0,18.3
Burkina Faso,25.9,25.0,24.9,25.1
Burundi,20.3,21.7,21.5,20.3
Cabo Verde,22.6,18.7,18.8,18.5
Cambodia,18.2,17.9,17.2,17.9
Cameroon,23.8,26.4,27.2,27.1
Canada,17.4,16.6,16.1,15.3
Central African Republic,25.8,29.6,32.1,30.3
Chad,17.6,18.7,19.8,20.9
Chile,19.2,17.3,19.0,15.3
China,10.9,9.1,8.2,7.7
Colombia,10.0,9.5,11.6,10.1
Comoros,18.1,18.4,17.9,17.2
Congo,25.8,25.9,20.6,17.9
Congo (Democratic Republic of the),20.3,18.2,17.1,17.3
Costa Rica,13.8,13.5,14.2,12.6
Croatia,27.8,24.3,21.5,19.2
Cuba,21.6,17.0,18.5,17.0
Cyprus,2.3,2.6,6.3,6.7
Czechia,22.9,22.0,20.5,17.7
Côte d'Ivoire,32.2,36.5,37.9,38.8
Denmark,18.7,16.1,12.7,13.5
Djibouti,15.9,15.7,14.2,15.4
Dominican Republic,13.5,17.0,12.5,12.2
Ecuador,9.8,14.8,13.7,11.5
Egypt,5.1,4.5,4.2,4.5
El Salvador,27.3,26.1,21.6,19.2
Equatorial Guinea,41.6,38.3,41.1,39.1
Eritrea,31.4,29.8,26.9,23.4
Estonia,44.7,35.5,26.6,26.4
Eswatini (Kingdom of),32.6,31.8,28.5,27.3
Ethiopia,23.2,20.6,20.4,20.7
Fiji,13.6,14.2,14.6,13.5
Finland,33.2,25.4,25.3,21.4
France,23.9,22.4,21.3,19.0
Gabon,17.8,16.4,18.1,18.1
Gambia,18.1,16.7,15.7,15.5
Georgia,9.7,7.7,9.3,9.7
Germany,17.9,15.8,15.2,13.9
Ghana,15.4,16.2,16.5,17.8
Greece,5.0,5.1,5.1,5.4
Grenada,4.1,5.7,1.6,0.0
Guatemala,7.4,7.0,5.8,4.2
Guinea,13.7,15.8,16.4,15.5
Guinea-Bissau,14.8,14.5,14.7,13.6
Guyana,41.2,44.4,43.4,46.0
Haiti,15.5,15.0,15.9,17.7
Honduras,6.3,7.1,6.7,5.8
Hungary,43.5,34.9,32.7,25.8
Iceland,22.0,13.7,18.6,17.2
India,21.5,20.3,19.5,17.9
Indonesia,4.8,5.0,4.8,4.5
Iran (Islamic Republic of),10.2,10.4,6.9,4.2
Iraq,4.9,4.1,4.3,4.8
Ireland,19.5,17.0,17.0,18.0
Israel,12.0,10.7,11.5,8.7
Italy,8.7,8.2,8.0,8.7
Jamaica,0.4,3.3,0.9,2.6
Japan,27.5,28.5,27.7,21.7
Jordan,6.7,6.2,5.5,5.3
Kazakhstan,70.3,53.3,45.7,48.1
Kenya,18.8,18.1,17.8,17.1
Kiribati,25.8,23.9,24.7,23.6
Korea (Democratic People's Rep. of),23.7,23.6,21.0,17.3
Korea (Republic of),20.8,34.7,39.3,36.1
Kuwait,4.0,3.8,5.0,5.7
Kyrgyzstan,26.4,20.5,15.7,13.4
Lao People's Democratic Republic,23.9,21.5,19.6,18.5
Latvia,57.2,41.1,36.7,31.9
Lebanon,4.4,3.9,3.5,4.0
Lesotho,23.2,21.2,21.2,19.9
Liberia,14.8,17.5,16.7,16.1
Libya,9.7,9.6,9.8,9.2
Lithuania,80.0,64.2,50.4,47.1
Luxembourg,20.0,16.9,14.6,11.6
Madagascar,13.8,13.3,13.4,12.5
Malawi,21.0,18.4,17.8,18.0
Malaysia,11.2,9.6,9.2,9.5
Maldives,26.4,19.9,14.6,13.1
Mali,14.1,14.3,14.7,14.5
Malta,9.1,7.0,12.0,8.2
Mauritania,12.1,12.8,13.8,14.5
Mauritius,19.3,13.7,12.6,14.0
Mexico,6.6,7.3,7.3,8.1
Micronesia (Federated States of),16.1,17.4,15.9,15.7
Moldova (Republic of),30.5,31.7,31.6,22.3
Mongolia,51.6,57.7,55.8,48.2
Montenegro,14.1,15.0,13.1,12.4
Morocco,14.6,11.6,8.2,7.0
Mozambique,23.2,21.8,21.9,20.5
Myanmar,4.7,4.7,5.1,5.9
Namibia,21.5,20.3,18.9,16.4
Nepal,12.8,10.8,9.3,8.2
Netherlands,11.3,11.6,11.5,12.9
New Zealand,20.7,19.4,17.8,18.7
Nicaragua,26.7,25.8,17.2,15.9
Niger,11.2,12.1,12.2,11.5
Nigeria,20.4,20.1,20.3,20.3
Norway,18.8,14.5,14.1,12.9
Oman,8.0,6.4,6.8,6.4
Pakistan,4.1,3.0,2.5,2.5
Panama,12.6,12.9,10.4,10.1
Papua New Guinea,19.9,17.4,18.1,18.1
Paraguay,16.3,14.6,13.0,13.7
Peru,10.7,10.5,10.3,9.2
Philippines,4.7,5.2,6.6,5.8
Poland,32.6,34.3,34.6,32.7
Portugal,9.1,12.6,14.3,14.3
Qatar,4.9,5.1,7.9,7.3
Romania,19.6,17.8,19.7,16.4
Russian Federation,63.1,52.9,40.0,32.2
Rwanda,31.8,30.0,26.2,24.3
Saint Lucia,12.9,5.3,11.5,12.0
Saint Vincent and the Grenadines,13.9,15.1,6.4,4.9
Samoa,17.9,14.7,12.6,11.4
Sao Tome and Principe,4.0,3.6,3.5,3.6
