Country,1990,1995,2000,2005,2010,2015
AFG,15.9,16.0,15.7,16.1,16.0,17.3
ALB,24.1,24.7,27.1,29.2,32.3,36.2
DZA,18.0,19.4,21.7,24.1,26.0,27.5
AGO,15.8,16.0,16.2,16.3,16.3,16.4
ATG,24.4,26.6,28.3,28.5,29.3,30.7
ARG,27.2,27.4,27.9,28.7,29.9,30.8
ARM,27.2,29.4,30.6,31.8,32.9,33.9
AUS,32.1,33.6,35.4,36.6,36.9,37.4
AUT,36.5,36.3,38.2,40.0,41.9,43.2
AZE,24.1,24.6,25.6,27.1,28.7,30.3
BHS,23.6,25.0,27.0,29.1,30.9,32.5
BHR,25.4,26.4,26.6,27.8,30.1,31.2
BGD,18.6,19.5,20.9,22.4,23.9,25.6
BRB,28.3,31.1,33.5,35.2,37.0,38.5
BLR,33.1,34.7,36.5,38.1,38.9,39.6
BEL,36.5,37.6,39.0,40.3,40.9,41.3
BLZ,17.9,18.4,19.2,20.2,21.9,23.5
BEN,17.1,17.2,17.3,17.6,17.9,18.2
BTN,17.9,17.6,18.8,21.4,23.8,26.3
BOL,19.1,19.7,20.5,21.6,22.8,24.1
BIH,29.8,33.0,34.9,36.9,38.9,41.0
BWA,17.5,18.8,20.1,21.5,23.0,24.4
BRA,22.4,23.7,25.1,27.0,29.0,31.3
BRN,23.2,24.0,25.5,26.8,27.5,30.0
BGR,36.5,38.2,39.7,41.2,42.4,43.5
BFA,16.3,16.3,16.4,16.6,16.7,17.0
BDI,16.4,15.3,15.3,16.7,17.6,17.6
CPV,16.9,17.2,18.0,19.7,22.0,23.8
KHM,17.9,17.3,18.1,20.4,22.7,23.9
CMR,16.8,16.9,17.3,17.7,18.0,18.3
CAN,32.9,34.8,36.8,38.6,39.7,40.5
CAF,18.4,18.6,18.6,18.6,18.5,17.8
TCD,16.3,15.9,15.6,15.4,15.6,16.1
CHL,25.6,27.1,28.9,30.6,32.1,33.7
CHN,24.9,27.3,30.1,32.7,35.2,37.0
COL,21.6,23.0,24.4,26.1,28.0,30.1
COM,17.0,17.1,17.7,18.4,19.1,19.7
COG,17.9,18.5,19.0,19.1,19.3,18.9
COD,17.4,17.2,17.1,17.0,16.9,16.8
CRI,23.1,24.3,25.6,27.4,29.2,31.4
HRV,35.8,37.9,38.9,40.5,41.7,42.6
CUB,27.7,30.2,32.8,35.6,38.5,41.1
CYP,29.9,31.0,31.8,32.9,33.9,34.9
CZE,35.3,36.1,37.5,38.7,39.6,41.4
CIV,17.5,17.9,18.0,17.8,17.9,18.3
DNK,37.1,37.7,38.4,39.6,40.6,41.6
DJI,17.4,18.1,19.3,20.1,21.9,23.7
DOM,20.2,21.3,22.4,23.6,24.8,26.1
ECU,20.5,21.6,22.8,23.9,25.2,26.6
EGY,19.6,20.1,21.2,22.6,23.9,24.7
SLV,19.7,21.0,22.0,23.0,24.2,25.8
GNQ,19.1,18.9,19.6,20.6,21.6,22.2
ERI,17.5,16.1,17.1,18.5,18.9,18.9
EST,34.4,36.4,38.0,39.4,40.2,41.6
SWZ,16.0,16.3,17.2,18.0,19.2,20.4
ETH,16.8,16.7,16.6,16.8,17.5,18.6
FJI,20.9,21.6,22.1,25.3,26.5,27.6
FIN,36.4,37.8,39.4,40.9,42.0,42.5
FRA,35.0,36.4,37.7,38.9,40.0,41.2
GAB,19.4,19.2,19.4,20.2,21.5,22.6
GMB,17.0,16.6,16.8,16.8,16.8,17.0
GEO,31.0,32.3,33.8,35.0,36.6,38.0
DEU,37.6,38.4,40.1,42.1,44.3,45.9
GHA,17.8,18.4,18.8,19.3,19.9,20.4
GRC,35.1,36.4,37.8,39.3,41.0,43.3
GRD,20.4,20.9,21.8,23.3,25.0,27.2
GTM,16.9,17.2,17.7,18.5,19.7,21.3
GIN,18.2,17.9,17.8,17.8,18.1,18.4
GNB,16.9,17.0,17.1,17.8,18.4,18.9
GUY,21.1,21.7,22.6,22.9,24.3,24.6
HTI,18.5,18.5,19.1,20.3,21.6,23.0
HND,16.9,17.5,18.4,19.5,21.1,23.0
HKG,31.0,34.0,36.2,39.1,41.2,43.2
HUN,36.4,37.5,38.5,39.1,40.1,41.7
ISL,30.0,31.5,32.9,34.3,34.8,36.0
IND,21.1,21.8,22.7,23.8,25.1,26.7
IDN,21.3,22.8,24.4,25.5,26.7,28.0
IRN,17.2,18.5,20.8,24.1,26.9,29.5
IRQ,16.8,17.5,18.2,18.7,18.9,19.4
IRL,28.3,30.1,31.8,33.3,34.6,36.9
ISR,25.9,27.3,28.0,28.7,30.1,30.2
ITA,37.0,38.7,40.4,42.0,43.8,45.9
JAM,22.3,23.5,24.9,26.2,27.6,29.4
JPN,37.3,39.4,41.2,43.0,44.7,46.3
JOR,16.8,19.2,19.6,20.8,21.5,22.1
KAZ,26.0,27.1,27.8,28.6,28.9,29.3
KEN,15.5,16.4,17.0,17.6,18.2,19.0
KIR,20.4,19.6,19.7,20.8,21.6,22.4
PRK,25.0,27.3,29.4,31.5,33.0,34.0
KOR,26.9,29.3,31.9,34.8,38.0,40.8
KWT,23.5,26.6,27.8,28.2,29.5,33.4
KGZ,21.8,21.6,22.5,23.8,24.0,25.3
LAO,17.6,17.6,18.0,19.1,20.7,22.7
LVA,34.7,36.2,37.9,39.5,40.8,42.5
LBN,23.2,24.5,26.3,26.5,28.5,28.5
LSO,17.7,18.4,18.7,19.4,20.5,21.3
LBR,17.4,17.8,18.1,18.2,18.3,18.6
LBY,18.5,20.2,22.1,24.0,25.8,27.2
LTU,32.7,34.0,35.9,38.5,40.6,42.7
LUX,36.4,36.7,37.3,38.5,38.9,39.3
MDG,17.1,17.2,17.3,17.5,18.0,18.7
MWI,17.1,16.9,16.5,16.4,16.7,17.4
MYS,21.6,22.5,23.8,25.0,26.0,27.7
MDV,16.2,16.7,18.6,22.1,25.0,27.9
MLI,16.5,16.5,16.6,16.5,16.2,16.0
MLT,33.1,35.0,36.2,38.2,40.1,40.9
MRT,17.4,17.6,18.2,18.7,19.2,19.7
MUS,24.9,26.8,29.0,30.5,32.9,35.6
MEX,19.5,21.2,22.7,24.2,25.9,27.5
FSM,17.6,17.8,18.9,19.5,20.2,21.5
MDA,29.9,30.8,31.3,32.4,34.2,35.6
MNG,19.3,20.3,22.0,24.0,25.7,27.1
MNE,29.8,32.2,34.4,35.0,36.4,37.7
MAR,19.8,21.1,22.7,24.4,26.3,27.9
MOZ,16.2,17.5,17.4,17.1,17.0,17.2
MMR,20.8,22.1,23.4,24.7,26.3,27.7
NAM,17.8,18.6,19.5,19.6,19.9,21.0
NPL,18.7,19.0,19.3,20.0,21.3,23.2
NLD,34.6,36.0,37.5,39.0,40.8,42.1
NZL,31.1,32.6,34.3,35.5,36.6,37.3
NIC,16.9,18.0,19.4,21.2,23.1,25.2
NER,15.8,15.9,15.9,15.4,15.0,14.9
NGA,17.4,17.7,17.9,18.0,17.9,17.9
NOR,35.4,36.1,36.9,38.0,38.7,39.2
OMN,17.9,20.9,20.9,22.9,26.2,29.0
PAK,18.5,18.6,19.2,20.2,21.4,22.5
PSE,15.7,15.7,16.0,17.0,18.2,19.3
PAN,21.7,23.1,24.5,25.9,27.2,28.4
PNG,18.7,19.3,19.8,20.4,20.9,21.7
PRY,19.4,19.7,20.5,21.9,23.3,24.9
PER,20.4,21.5,22.8,24.3,25.9,27.5
PHL,19.2,19.8,20.5,21.3,23.1,24.1
POL,32.2,33.6,35.0,36.6,38.1,39.7
PRT,34.2,36.0,37.9,39.5,41.6,43.9
QAT,28.7,29.0,30.5,31.0,31.8,31.3
ROU,32.6,33.9,34.9,37.0,39.4,41.3
RUS,33.4,35.0,36.5,37.3,38.0,38.7
RWA,15.3,17.8,17.3,18.3,19.1,19.4
LCA,21.4,23.1,24.3,26.2,30.3,32.6
VCT,20.4,22.3,24.2,26.3,27.9,29.8
WSM,18.7,19.1,19.5,20.3,20.8,21.2
STP,16.0,16.6,17.3,17.5,17.8,18.1
SAU,19.5,19.4,21.3,23.7,25.9,29.8
SEN,16.4,16.8,17.3,17.8,18.1,18.3
SRB,33.2,34.1,36.1,37.3,38.8,40.0
SYC,21.9,24.5,26.3,29.0,31.3,34.6
SLE,17.4,17.4,17.5,17.6,17.8,18.3
SGP,29.3,31.8,34.1,35.9,37.3,40.0
SVK,31.2,32.4,33.9,35.4,37.3,39.2
SVN,34.1,36.2,38.1,40.0,41.5,43.0
SLB,16.9,17.9,18.7,19.1,19.5,19.9
SOM,17.8,17.4,16.5,16.1,16.1,16.5
ZAF,20.1,21.6,22.8,23.8,24.8,26.1
SSD,17.8,17.7,17.6,17.7,18.1,18.6
ESP,33.4,35.5,37.6,39.1,40.6,43.2
LKA,24.2,25.8,27.6,28.9,30.4,32.3
SDN,17.0,17.7,17.9,18.1,18.3,18.9
SUR,22.8,23.9,25.1,25.9,27.2,28.4
SWE,38.4,38.5,39.4,40.3,40.7,40.9
CHE,36.9,37.2,38.6,40.1,41.6,42.2
SYR,16.3,17.5,18.7,19.7,21.5,20.2
TJK,18.1,17.8,18.3,19.8,21.3,22.4
TZA,16.8,17.0,17.2,17.2,17.2,17.3
THA,24.3,26.6,30.1,32.7,35.5,37.8
MKD,29.2,30.7,32.3,34.0,35.7,37.4
TLS,19.8,19.9,14.8,15.4,17.1,17.4
TGO,16.8,17.0,17.9,18.3,18.6,18.9
TON,19.7,19.8,19.9,21.1,21.2,21.3
TTO,24.1,25.7,27.8,29.9,31.9,33.9
TUN,21.3,23.1,25.1,27.2,29.2,31.1
TUR,22.1,23.5,24.9,26.6,28.3,29.9
TKM,19.6,20.1,21.7,23.0,24.4,25.6
UGA,15.9,15.5,15.2,15.1,15.3,15.8
UKR,35.3,36.4,37.8,39.1,39.5,40.3
ARE,26.7,27.8,28.1,29.8,31.9,33.4
GBR,35.8,36.5,37.6,38.7,39.6,40.2
USA,32.8,34.0,35.2,36.1,36.9,37.6
URY,30.7,31.1,31.6,32.6,33.7,34.9
UZB,19.6,19.8,21.0,22.8,24.5,26.3
VUT,18.1,18.5,18.9,19.8,21.2,22.2
VEN,21.0,22.0,23.1,24.4,25.8,27.4
VNM,21.0,22.2,24.2,26.4,28.5,30.4
YEM,14.3,14.9,15.6,16.8,18.0,19.2
ZMB,16.4,16.5,16.6,16.4,16.5,17.1
ZWE,16.6,17.2,17.8,18.3,18.6,19.0
