Country,2008-2013
ALB,0.9591836734693877
DZA,0.5204081632653061
AND,1.0
ATG,0.8775510204081632
ARG,0.3469387755102041
ARM,1.0
AUT,1.0
AZE,0.25510204081632654
BHR,1.0
BGD,0.030612244897959183
BRB,1.0
BLR,0.6020408163265306
BEL,1.0
BTN,0.41836734693877553
BIH,1.0
BWA,0.21428571428571427
BRA,0.4489795918367347
BRN,1.0
KHM,0.05102040816326531
CHL,0.7755102040816326
COL,0.7040816326530612
CRI,0.37755102040816324
HRV,1.0
CYP,1.0
CZE,1.0
DNK,1.0
DMA,0.7040816326530612
DOM,0.030612244897959183
ECU,0.20408163265306123
EGY,0.47959183673469385
SLV,0.22448979591836735
EST,0.9897959183673469
ETH,0.0
FIN,1.0
GEO,1.0
GRD,0.6020408163265306
GUY,0.02040816326530612
HKG,1.0
HUN,0.9897959183673469
IDN,0.40816326530612246
IRN,0.8673469387755102
JAM,0.9285714285714286
JPN,0.9897959183673469
JOR,0.8469387755102041
KAZ,0.9693877551020408
KOR,1.0
KGZ,0.04081632653061224
LVA,1.0
LSO,0.08163265306122448
LTU,1.0
MYS,0.9081632653061225
MDV,1.0
MLT,1.0
MUS,0.8469387755102041
MEX,0.10204081632653061
MNG,0.9081632653061225
MAR,0.01020408163265306
NPL,0.030612244897959183
NIC,0.04081632653061224
NOR,1.0
OMN,0.8979591836734694
PSE,0.2857142857142857
PAN,0.20408163265306123
PRY,0.07142857142857142
PHL,0.10204081632653061
POL,0.8061224489795918
QAT,0.5204081632653061
RUS,0.7959183673469388
KNA,1.0
LCA,1.0
VCT,0.673469387755102
SEN,0.030612244897959183
SGP,1.0
ESP,1.0
LKA,0.16326530612244897
SDN,0.02040816326530612
SUR,0.04081632653061224
SWE,1.0
THA,0.9795918367346939
TTO,0.5510204081632653
TUN,0.8061224489795918
TUR,0.8571428571428571
GBR,1.0
URY,0.9591836734693877
