Country,2010,2011,2012,2013,2014,2015,2016
AFG,0.267027027027027,0.2248648648648649,0.2454054054054054,0.2248648648648649,0.26054054054054054,0.32864864864864873,0.2886486486486487
ALB,0.15675675675675674,0.17837837837837836,0.22810810810810814,0.2562162162162162,0.2724324324324325,0.18162162162162163,0.1945945945945946
DZA,0.5091891891891892,0.5254054054054054,0.5275675675675676,0.5286486486486487,0.46810810810810816,0.46810810810810816,0.4724324324324325
AND,0.12324324324324326,0.11243243243243244,0.1275675675675676,0.15459459459459463,0.1513513513513514,0.14054054054054055,0.15891891891891888
AGO,0.9654054054054054,0.9621621621621622,0.974054054054054,0.9643243243243244,0.958918918918919,0.9427027027027027,0.9545945945945947
ATG,0.09405405405405406,0.7135135135135136,0.37513513513513513,0.5556756756756758,0.544864864864865,0.5491891891891892,0.547027027027027
ARG,0.10702702702702703,0.10594594594594595,0.10702702702702703,0.1297297297297297,0.14486486486486494,0.1556756756756757,0.15459459459459463
ARM,0.1881081081081081,0.16324324324324327,0.14594594594594595,0.18162162162162163,0.1891891891891892,0.22054054054054056,0.23459459459459459
AUS,0.22594594594594597,0.2454054054054054,0.22054054054054056,0.24864864864864863,0.2313513513513514,0.19027027027027027,0.20756756756756758
AUT,0.0075675675675675675,0.009729729729729724,0.008648648648648642,0.009729729729729724,0.009729729729729724,0.010810810810810806,0.010810810810810806
AZE,0.8864864864864865,0.9091891891891892,0.8789189189189189,0.877837837837838,0.8767567567567568,0.8302702702702702,0.6756756756756758
BHS,0.4637837837837839,0.5081081081081081,0.44108108108108113,0.5643243243243242,0.48540540540540544,0.5156756756756757,0.4951351351351352
BHR,0.3113513513513514,0.3091891891891892,0.3437837837837838,0.292972972972973,0.36540540540540545,0.27891891891891896,0.28972972972972977
BGD,0.38162162162162167,0.38594594594594595,0.3772972972972974,0.38054054054054054,0.37945945945945947,0.38594594594594595,0.3827027027027028
BRB,0.08432432432432432,0.23783783783783788,0.09945945945945948,0.12648648648648647,0.14918918918918922,0.10918918918918918,0.12864864864864867
BLR,0.21081081081081082,0.2572972972972973,0.26054054054054054,0.21189189189189192,0.2140540540540541,0.20864864864864868,0.12540540540540543
BEL,0.04864864864864864,0.046486486486486484,0.049729729729729735,0.059459459459459456,0.056216216216216225,0.04756756756756757,0.046486486486486484
BLZ,0.32216216216216215,0.20432432432432435,0.2302702702702703,0.21189189189189192,0.18054054054054053,0.24864864864864863,0.32864864864864873
BEN,0.30486486486486486,0.2518918918918919,0.3340540540540541,0.25405405405405407,0.34162162162162163,0.2864864864864865,0.2810810810810811
BTN,0.31567567567567567,0.3124324324324325,0.3308108108108108,0.3567567567567568,0.3394594594594595,0.3318918918918919,0.3459459459459461
BOL,0.38918918918918927,0.41081081081081094,0.4281081081081081,0.47675675675675677,0.44864864864864873,0.41837837837837843,0.2940540540540541
BIH,0.061621621621621624,0.059459459459459456,0.05837837837837837,0.057297297297297295,0.059459459459459456,0.05405405405405404,0.056216216216216225
BWA,0.6,0.7708108108108108,0.7794594594594595,0.8216216216216217,0.8389189189189189,0.8162162162162163,0.8908108108108107
BRA,0.10918918918918918,0.1275675675675676,0.10162162162162161,0.10702702702702703,0.1027027027027027,0.08216216216216217,0.08
BRN,0.6799999999999999,0.6799999999999999,0.6529729729729729,0.6627027027027027,0.6367567567567567,0.6454054054054055,0.6237837837837837
BGR,0.06918918918918918,0.07891891891891892,0.09513513513513515,0.08864864864864866,0.057297297297297295,0.044324324324324336,0.03567567567567568
BFA,0.5599999999999999,0.531891891891892,0.6940540540540541,0.5989189189189189,0.5383783783783784,0.6378378378378379,0.7545945945945945
BDI,0.5664864864864866,0.49621621621621625,0.4508108108108108,0.614054054054054,0.5027027027027028,0.4367567567567568,0.4248648648648649
CPV,0.2918918918918919,0.3210810810810811,0.2594594594594595,0.3027027027027028,0.32324324324324333,0.2745945945945946,0.2951351351351352
KHM,0.30486486486486486,0.3027027027027028,0.267027027027027,0.292972972972973,0.29729729729729737,0.27891891891891896,0.25297297297297305
CMR,0.3340540540540541,0.3005405405405406,0.36540540540540545,0.38054054054054054,0.41513513513513517,0.34702702702702704,0.38378378378378386
CAN,0.09297297297297298,0.10702702702702703,0.12216216216216218,0.1275675675675676,0.13621621621621624,0.09513513513513515,0.09297297297297298
CAF,0.3318918918918919,0.3556756756756757,0.3610810810810811,0.37621621621621626,0.4778378378378379,0.40540540540540554,0.44108108108108113
TCD,0.8648648648648648,0.907027027027027,0.8086486486486487,0.918918918918919,0.8713513513513513,0.8691891891891892,0.7416216216216216
CHL,0.37297297297297305,0.35351351351351357,0.3372972972972973,0.31675675675675674,0.30486486486486486,0.2940540540540541,0.2745945945945946
CHN,0.059459459459459456,0.05081081081081081,0.05405405405405404,0.05513513513513514,0.052972972972972966,0.056216216216216225,0.057297297297297295
COL,0.3124324324324325,0.38162162162162167,0.4140540540540541,0.43891891891891893,0.44,0.3264864864864865,0.24756756756756762
COM,0.5113513513513515,0.6335135135135135,0.6227027027027027,0.6021621621621621,0.7027027027027027,0.655135135135135,0.6821621621621621
COG,0.7437837837837837,0.7718918918918918,0.8032432432432433,0.705945945945946,0.6594594594594595,0.6821621621621621,0.6670270270270271
COD,0.3556756756756757,0.3643243243243244,0.46594594594594596,0.41621621621621635,0.4432432432432433,0.47027027027027035,0.4940540540540541
CRI,0.3264864864864865,0.398918918918919,0.4356756756756757,0.44864864864864873,0.41513513513513517,0.19027027027027027,0.22270270270270273
HRV,0.08,0.07351351351351351,0.056216216216216225,0.03567567567567568,0.028108108108108106,0.01837837837837838,0.015135135135135135
CUB,0.1945945945945946,0.1837837837837838,0.18054054054054053,0.16972972972972972,0.1762162162162162,0.1945945945945946,0.212972972972973
CYP,0.14162162162162165,0.16216216216216214,0.1372972972972973,0.14270270270270272,0.14486486486486494,0.17513513513513512,0.19675675675675677
CZE,0.057297297297297295,0.05837837837837837,0.059459459459459456,0.05837837837837837,0.06594594594594595,0.07135135135135136,0.07783783783783783
CIV,0.34270270270270276,0.318918918918919,0.3091891891891892,0.2778378378378379,0.3297297297297298,0.3956756756756757,0.3502702702702703
DNK,0.03351351351351352,0.034594594594594595,0.04324324324324324,0.04540540540540541,0.042162162162162155,0.046486486486486484,0.04864864864864864
DJI,0.2756756756756757,0.22702702702702707,0.17729729729729735,0.17837837837837836,0.1891891891891892,0.1827027027027027,0.18594594594594593
