Country,2005/2017
ALB,0.2459893048128342
ARG,0.1229946524064171
ARM,0.2513368983957219
AUS,0.31016042780748665
AUT,0.35828877005347587
AZE,0.2887700534759358
BGD,0.2887700534759358
BLR,0.25668449197860965
BEL,0.2727272727272727
BEN,1.0
BTN,0.1443850267379679
BOL,0.0
BIH,0.25668449197860965
BWA,0.1764705882352941
BRA,0.1657754010695187
BFA,0.10695187165775402
CPV,0.1764705882352941
CMR,0.5080213903743315
CAN,0.3155080213903743
CAF,0.748663101604278
TCD,0.45989304812834225
CHL,0.18716577540106952
COL,0.22994652406417113
COM,0.15508021390374332
COG,0.374331550802139
COD,0.30481283422459887
CRI,0.2994652406417112
CYP,0.39037433155080214
CZE,0.25668449197860965
CIV,0.3155080213903743
DNK,0.3475935828877005
DJI,0.44385026737967914
DOM,0.18181818181818182
ECU,0.09090909090909091
EGY,0.28342245989304815
SLV,0.07486631016042782
EST,0.2727272727272727
SWZ,0.3262032085561497
ETH,0.6256684491978608
FJI,0.2192513368983957
FIN,0.2887700534759358
FRA,0.36363636363636365
GAB,0.2887700534759358
GMB,0.06417112299465241
GEO,0.2459893048128342
DEU,0.3422459893048128
GHA,0.267379679144385
GRC,0.374331550802139
GTM,0.1443850267379679
GIN,0.11229946524064172
GNB,0.8235294117647057
HND,0.053475935828877
HUN,0.2032085561497326
ISL,0.2245989304812834
IRN,0.1764705882352941
IRL,0.25668449197860965
ISR,0.30481283422459887
ITA,0.3422459893048128
JOR,0.2032085561497326
KAZ,0.03208556149732623
KEN,0.2887700534759358
KGZ,0.1711229946524064
LAO,0.39037433155080214
LVA,0.1711229946524064
LSO,0.3475935828877005
LTU,0.33155080213903737
LUX,0.30481283422459887
MDG,0.3957219251336898
MWI,0.46524064171122986
MYS,0.2994652406417112
MDV,0.2780748663101604
MLI,0.1443850267379679
MRT,0.16042780748663102
MEX,0.1497326203208556
FSM,0.2727272727272727
MDA,0.08556149732620322
MNG,0.2620320855614973
MNE,0.30481283422459887
MAR,0.2887700534759358
MOZ,0.49732620320855614
NAM,0.22994652406417113
NPL,0.11229946524064172
NLD,0.2887700534759358
NIC,0.2406417112299465
NER,0.10160427807486631
NGA,0.3475935828877005
NOR,0.2513368983957219
PAK,0.25668449197860965
PSE,0.267379679144385
PAN,0.18181818181818182
PRY,0.1978609625668449
PER,0.12834224598930483
PHL,0.25668449197860965
POL,0.22994652406417113
PRT,0.2513368983957219
ROU,0.2620320855614973
RUS,0.1925133689839572
RWA,0.2192513368983957
STP,0.2513368983957219
SEN,0.31016042780748665
SRB,0.1229946524064171
SLE,0.16042780748663102
SVK,0.25668449197860965
SVN,0.31016042780748665
SLB,0.10160427807486631
ZAF,0.31016042780748665
ESP,0.427807486631016
LKA,0.267379679144385
SWE,0.3475935828877005
TJK,0.31016042780748665
TZA,0.2620320855614973
THA,0.1978609625668449
TLS,0.13368983957219252
TON,0.25668449197860965
TUN,0.2459893048128342
TUR,0.2459893048128342
UGA,0.2513368983957219
UKR,0.1925133689839572
GBR,0.2406417112299465
USA,0.3155080213903743
VEN,0.016042780748663138
VNM,0.2727272727272727
YEM,0.3475935828877005
ZMB,0.41176470588235287
