Country,2007-2017
Albania,13.4
Algeria,26.9
Angola,9.9
Argentina,9.1
Armenia,7.3
Australia,9.7
Austria,14.3
Azerbaijan,15.2
Bahrain,12.6
Bangladesh,7.9
Belarus,15.5
Belgium,7.7
Belize,11.7
Benin,19.1
Bosnia and Herzegovina,14.7
Brazil,8.7
Brunei Darussalam,23.6
Bulgaria,12.3
Burkina Faso,12.5
Burundi,17.1
Cabo Verde,7.0
Cambodia,6.0
Chile,6.5
Colombia,14.2
Costa Rica,7.0
Croatia,16.0
Cuba,6.1
Cyprus,10.4
Czechia,13.2
Denmark,12.2
Dominican Republic,6.6
Ecuador,8.3
Egypt,7.7
El Salvador,9.5
Estonia,16.3
Ethiopia,7.6
Finland,13.5
France,14.1
Georgia,16.0
Ghana,6.0
Greece,19.5
Grenada,11.0
Guatemala,5.4
Guyana,5.2
Honduras,8.6
Hungary,11.7
Iceland,10.3
India,26.9
Indonesia,14.8
Iran (Islamic Republic of),32.1
Ireland,13.7
Italy,16.0
Jordan,18.4
Kazakhstan,13.7
Korea (Democratic People's Rep. of),22.2
Korea (Republic of),15.4
Kyrgyzstan,9.6
Lao People's Democratic Republic,5.7
Latvia,10.0
Lebanon,18.0
Lesotho,4.5
Lithuania,11.4
Luxembourg,5.3
Madagascar,16.2
Malaysia,23.2
Malta,8.6
Mauritania,16.8
Mexico,16.6
Moldova (Republic of),12.1
Mongolia,12.4
Morocco,17.5
Mozambique,5.9
Myanmar,47.3
Netherlands,6.3
New Zealand,12.5
Norway,10.4
Oman,39.8
"Palestine, State of",12.6
Panama,12.7
Philippines,17.8
Poland,15.3
Portugal,18.3
Qatar,15.8
Romania,20.3
Saudi Arabia,17.4
Serbia,18.2
Seychelles,9.7
Slovakia,12.0
Slovenia,14.0
South Africa,13.4
Spain,12.7
Sudan,12.8
Sweden,14.2
Switzerland,11.4
Syrian Arab Republic,19.2
Thailand,14.1
The former Yugoslav Republic of Macedonia,15.7
Tunisia,37.2
Turkey,14.2
Ukraine,14.6
United Arab Emirates,17.3
United Kingdom,17.4
United States,9.9
Uruguay,10.8
Viet Nam,15.4
Zimbabwe,20.9
