Country,2011,2014,2017
AFG,0.018145161290322582,0.030241935483870965,0.06451612903225806
ALB,0.22076612903225803,0.3306451612903226,0.37600806451612906
DZA,0.19758064516129029,0.3961693548387097,0.2872983870967742
AGO,0.3840725806451613,0.21673387096774194,0.21673387096774194
ARG,0.3125,0.5050403225806451,0.5040322580645161
ARM,0.1743951612903226,0.14012096774193547,0.40423387096774194
AUS,0.9858870967741935,0.9899193548387096,0.9919354838709677
AUT,0.9657258064516129,0.9737903225806452,0.9838709677419355
AZE,0.13608870967741934,0.25302419354838707,0.27116935483870963
BHR,0.48387096774193544,0.6643145161290323,0.7520161290322581
BGD,0.2540322580645161,0.25907258064516125,0.35282258064516125
BLR,0.5776209677419355,0.717741935483871,0.811491935483871
BEL,0.9717741935483871,0.9949596774193549,0.9879032258064516
BLZ,,0.5191532258064516,0.5191532258064516
BEN,0.0907258064516129,0.12903225806451613,0.28024193548387094
BTN,,0.27116935483870963,0.27116935483870963
BOL,0.24495967741935484,0.375,0.5352822580645161
BIH,0.4727822580645162,0.466733870967742,0.5433467741935484
BWA,0.2782258064516129,0.4828629032258065,0.4637096774193548
BRA,0.5060483870967742,0.6451612903225806,0.6723790322580645
BGR,0.5514112903225806,0.6290322580645161,0.7338709677419354
BFA,0.10080645161290322,0.1189516129032258,0.3397177419354839
BDI,0.05141129032258065,0.059475806451612906,0.059475806451612906
KHM,0.029233870967741937,0.19858870967741934,0.20866935483870966
CMR,0.10181451612903225,0.09475806451612902,0.2943548387096774
CAN,0.9717741935483871,0.9919354838709677,0.998991935483871
CAF,0.026209677419354833,,0.08971774193548386
TCD,0.06048387096774193,0.07056451612903225,0.1411290322580645
CHL,0.405241935483871,0.5887096774193549,0.7106854838709677
CHN,0.5967741935483871,0.7610887096774194,0.7620967741935485
COL,0.2479838709677419,0.33467741935483875,0.4203629032258065
COM,0.1723790322580645,0.1723790322580645,0.1723790322580645
COG,0.06854838709677419,0.14314516129032256,0.2036290322580645
COD,0.02016129032258064,0.13608870967741934,0.23588709677419353
CRI,0.40221774193548393,0.5987903225806452,0.6058467741935484
HRV,0.8709677419354839,0.8760080645161291,0.8256048387096775
CYP,0.8296370967741935,0.9022177419354839,0.8991935483870968
CZE,0.8034274193548387,0.7923387096774194,0.784274193548387
CIV,,0.28629032258064513,0.35080645161290325
DNK,0.9949596774193549,1.0,1.0
DJI,0.08064516129032258,0.08064516129032258,0.08064516129032258
DOM,0.3689516129032258,0.5564516129032259,0.5372983870967742
ECU,0.3266129032258065,0.4032258064516129,0.4213709677419355
EGY,0.057459677419354836,0.08568548387096774,0.26411290322580644
SLV,0.09374999999999999,0.313508064516129,0.2379032258064516
EST,0.9727822580645161,0.9747983870967742,0.9838709677419355
SWZ,0.26814516129032256,0.26814516129032256,0.26814516129032256
ETH,,0.2036290322580645,0.2852822580645161
FIN,0.9979838709677419,1.0,0.9959677419354838
FRA,0.9657258064516129,0.9546370967741935,0.9122983870967741
GAB,0.16532258064516128,0.3014112903225806,0.5332661290322581
GEO,0.34375,0.39314516129032256,0.6330645161290323
DEU,0.9868951612903226,0.9939516129032259,0.9919354838709677
GHA,0.2651209677419355,0.38911290322580644,0.5332661290322581
GRC,0.7550403225806452,0.8649193548387096,0.84375
GTM,0.14919354838709675,0.341733870967742,0.41633064516129037
GIN,0.021169354838709672,0.03326612903225806,0.19052419354838707
HTI,0.20463709677419356,0.15423387096774194,0.2943548387096774
HND,0.14213709677419353,0.26411290322580644,0.405241935483871
HKG,0.8901209677419354,0.9627016129032258,0.9465725806451614
HUN,0.7288306451612903,0.7227822580645161,0.7197580645161291
IND,0.25907258064516125,0.4264112903225807,0.7641129032258064
IDN,0.1854838709677419,0.36995967741935487,0.5100806451612904
IRN,0.6159274193548387,0.8719758064516129,0.9153225806451613
IRQ,0.06754032258064516,0.06653225806451614,0.18850806451612903
IRL,0.9213709677419355,0.9475806451612903,0.9526209677419355
ISR,0.9233870967741936,0.8991935483870968,0.936491935483871
ITA,0.6401209677419355,0.8306451612903226,0.9153225806451613
JAM,0.6683467741935484,0.7762096774193549,0.7762096774193549
JPN,0.9677419354838709,0.969758064516129,0.9808467741935484
JOR,0.16733870967741932,0.14818548387096772,0.2600806451612903
KAZ,0.43245967741935487,0.5524193548387097,0.5997983870967741
KEN,0.38709677419354843,0.7086693548387096,0.7752016129032259
KOR,0.9304435483870968,0.933467741935484,0.9465725806451614
KWT,0.7943548387096774,0.6370967741935484,0.7328629032258065
KGZ,0.031249999999999997,0.18245967741935482,0.3840725806451613
LAO,0.2560483870967742,,0.313508064516129
LVA,0.9193548387096774,0.9012096774193549,0.9243951612903226
LBN,0.25302419354838707,0.3235887096774194,0.3235887096774194
LSO,0.16229838709677416,,0.46068548387096775
LBR,0.14012096774193547,,0.2762096774193548
LBY,,,0.592741935483871
LTU,0.7590725806451613,0.777217741935484,0.8084677419354839
LUX,0.9526209677419355,0.966733870967742,0.9818548387096775
MDG,0.03830645161290322,0.07661290322580645,0.15625
MWI,0.16229838709677416,0.13306451612903225,0.2923387096774194
MYS,0.6280241935483871,0.7792338709677419,0.8235887096774194
MLI,0.06149193548387097,0.14012096774193547,0.251008064516129
MLT,0.940524193548387,0.9556451612903225,0.969758064516129
MRT,0.11391129032258063,0.2036290322580645,0.14818548387096772
MUS,0.7449596774193549,0.7983870967741935,0.8699596774193548
MEX,0.21370967741935482,0.3840725806451613,0.3276209677419355
MDA,0.16532258064516128,0.18346774193548385,0.4415322580645162
MNG,0.8225806451612904,0.9314516129032259,0.9495967741935484
MNE,0.4848790322580645,0.5756048387096774,0.6733870967741935
MAR,,,0.16129032258064516
MOZ,,,0.3235887096774194
MMR,,0.16733870967741932,0.2540322580645161
NAM,,0.564516129032258,0.8054435483870969
NPL,0.20564516129032256,0.3074596774193548,0.4112903225806452
NLD,0.9838709677419355,0.9919354838709677,0.9979838709677419
NZL,0.9939516129032259,0.9919354838709677,0.9929435483870968
NIC,0.12096774193548386,0.13709677419354838,0.24193548387096772
NER,0.007056451612903225,0.035282258064516125,0.10181451612903225
NGA,0.2540322580645161,0.33467741935483875,0.26713709677419356
NOR,,1.0,1.0
OMN,0.6320564516129032,0.6320564516129032,0.6320564516129032
PAK,0.02217741935483871,0.04032258064516129,0.0625
