Country,2000,2005,2010,2015
Afghanistan,23.9,28.1,33.6,39.2
Albania,88.3,92.2,95.6,97.7
Algeria,83.7,85.3,86.6,87.5
Andorra,100.0,100.0,100.0,100.0
Angola,20.5,26.7,33.1,39.4
Antigua and Barbuda,82.4,84.4,86.3,87.5
Argentina,94.8,94.8,94.9,94.8
Armenia,90.4,90.8,91.2,91.6
Australia,100.0,100.0,100.0,100.0
Austria,100.0,100.0,100.0,100.0
Azerbaijan,65.6,73.7,81.6,89.3
Bahamas,88.6,90.0,91.4,92.0
Bahrain,99.8,99.9,100.0,100.0
Bangladesh,25.3,32.7,39.9,46.9
Barbados,87.9,90.9,94.0,96.5
Belarus,95.0,94.8,94.5,94.3
Belgium,99.5,99.5,99.5,99.5
Belize,82.6,84.1,85.6,87.2
Benin,10.0,11.2,12.5,13.9
Bhutan,53.2,56.8,60.0,62.9
Bolivia (Plurinational State of),38.3,43.0,47.8,52.6
Bosnia and Herzegovina,94.9,94.9,94.8,94.8
Botswana,54.3,56.6,58.6,60.0
Brazil,73.3,77.8,82.0,86.1
Brunei Darussalam,,,96.4,96.3
Bulgaria,85.8,85.9,85.9,86.0
Burkina Faso,9.6,13.5,18.1,22.5
Burundi,41.5,44.7,47.9,50.5
Cabo Verde,37.5,48.2,58.7,65.2
Cambodia,12.3,24.4,36.5,48.8
Cameroon,39.8,39.3,39.0,38.8
Canada,98.5,98.5,98.5,98.5
Central African Republic,15.0,18.9,23.0,25.1
Chad,9.9,9.7,9.6,9.5
Chile,91.9,94.9,97.7,99.9
China,60.6,65.1,70.1,75.0
Colombia,75.8,78.9,81.8,84.4
Comoros,26.8,29.4,32.0,34.2
Congo,12.7,13.4,14.3,15.0
Congo (Democratic Republic of the),22.4,21.4,20.6,19.7
Costa Rica,94.2,95.3,96.3,97.1
Croatia,97.1,97.2,97.3,97.5
Cuba,89.2,89.8,90.3,90.8
Cyprus,100.0,99.9,99.6,99.4
Czechia,99.1,99.1,99.1,99.1
Côte d'Ivoire,22.4,24.8,27.4,29.9
Denmark,99.6,99.6,99.6,99.6
Djibouti,51.0,51.1,51.2,51.4
Dominica,64.0,70.3,76.6,77.9
Dominican Republic,79.3,80.6,81.8,82.7
Ecuador,70.8,76.1,81.2,86.1
Egypt,92.4,92.7,92.9,93.2
El Salvador,81.9,84.4,87.9,91.1
Equatorial Guinea,80.2,78.0,75.8,74.5
Eritrea,7.5,9.0,10.4,11.3
Estonia,99.1,99.3,99.4,99.6
Eswatini (Kingdom of),49.2,52.1,55.0,58.0
Ethiopia,3.1,4.4,5.7,7.1
Fiji,80.5,84.3,90.1,95.7
Finland,99.4,99.4,99.4,99.4
France,98.7,98.7,98.7,98.7
Gabon,39.0,39.7,40.3,40.9
Gambia,55.2,50.2,45.8,41.7
Georgia,96.5,92.9,88.8,84.9
Germany,99.2,99.2,99.2,99.2
Ghana,11.2,12.2,13.3,14.3
Greece,96.6,97.4,98.2,99.0
Grenada,94.2,89.2,82.4,78.3
Guatemala,59.2,62.0,64.7,67.4
Guinea,9.1,13.3,17.6,22.0
Guinea-Bissau,12.0,15.0,18.2,21.5
Guyana,78.4,80.9,83.5,86.2
Haiti,16.7,21.9,26.8,30.5
Honduras,61.9,68.2,74.2,79.8
"Hong Kong, China (SAR)",97.0,96.8,96.6,96.3
Hungary,98.0,98.0,98.0,98.0
Iceland,98.8,98.8,98.8,98.8
India,21.7,29.2,36.7,44.2
Indonesia,44.2,52.6,60.5,67.9
Iran (Islamic Republic of),87.2,87.7,88.0,88.3
Iraq,75.2,79.3,83.3,85.7
Ireland,88.6,89.8,91.0,92.2
Israel,100.0,100.0,100.0,100.0
Italy,,,99.3,99.3
Jamaica,83.8,84.4,84.9,85.4
Japan,100.0,100.0,100.0,100.0
Jordan,98.5,98.2,97.5,96.7
Kazakhstan,96.9,97.2,97.5,97.8
Kenya,31.0,30.6,30.2,29.8
Kiribati,30.3,34.2,38.1,39.8
Korea (Democratic People's Rep. of),,77.0,77.0,77.1
Korea (Republic of),100.0,100.0,100.0,99.9
Kuwait,100.0,100.0,100.0,100.0
Kyrgyzstan,91.9,93.3,94.9,96.6
Lao People's Democratic Republic,28.0,43.4,58.4,72.6
Latvia,86.5,88.3,90.6,92.9
Lebanon,75.1,79.7,87.6,95.4
Lesotho,7.2,19.6,31.8,43.8
Liberia,13.1,14.3,15.6,16.9
Libya,99.7,99.7,99.7,99.7
Liechtenstein,100.0,100.0,100.0,100.0
Lithuania,84.9,87.7,90.7,93.6
Luxembourg,97.7,97.7,97.6,97.6
Madagascar,4.6,6.2,7.9,9.7
Malawi,34.5,37.5,40.5,43.5
Malaysia,96.8,97.9,98.9,99.6
Maldives,78.1,87.6,95.4,95.9
Mali,19.3,23.3,27.3,31.3
Malta,100.0,100.0,100.0,100.0
Marshall Islands,,86.1,86.5,86.9
Mauritania,23.3,30.2,37.4,44.6
Mauritius,91.4,92.0,92.7,93.1
Mexico,76.3,80.9,85.2,89.2
Micronesia (Federated States of),,,56.2,
Moldova (Republic of),72.1,74.1,76.2,78.4
Monaco,100.0,100.0,100.0,100.0
Mongolia,48.0,52.5,56.5,59.2
Montenegro,,,93.5,95.9
Morocco,68.7,74.2,79.0,83.5
