Country,2010,2011,2012,2013,2014,2015,2016
Afghanistan,0.299,0.26,0.27899999999999997,0.26,0.293,0.35600000000000004,0.319
Albania,0.19699999999999998,0.217,0.263,0.289,0.304,0.22,0.23199999999999998
Algeria,0.523,0.5379999999999999,0.54,0.541,0.485,0.485,0.489
Andorra,0.166,0.156,0.17,0.195,0.192,0.182,0.19899999999999998
Angola,0.945,0.9420000000000001,0.953,0.9440000000000001,0.9390000000000001,0.924,0.935
Antigua and Barbuda,0.139,0.7120000000000001,0.39899999999999997,0.5660000000000001,0.556,0.56,0.5579999999999999
Argentina,0.151,0.15,0.151,0.172,0.18600000000000003,0.196,0.195
Armenia,0.226,0.203,0.187,0.22,0.22699999999999998,0.256,0.26899999999999996
Australia,0.261,0.27899999999999997,0.256,0.282,0.266,0.228,0.244
Austria,0.059000000000000004,0.061,0.06,0.061,0.061,0.062,0.062
Azerbaijan,0.872,0.893,0.865,0.8640000000000001,0.863,0.82,0.677
Bahamas,0.48100000000000004,0.522,0.46,0.574,0.501,0.529,0.51
Bahrain,0.34,0.33799999999999997,0.37,0.32299999999999995,0.39,0.31,0.32
Bangladesh,0.405,0.409,0.401,0.40399999999999997,0.40299999999999997,0.409,0.406
Barbados,0.13,0.272,0.14400000000000002,0.16899999999999998,0.19,0.153,0.171
Belarus,0.247,0.29,0.293,0.248,0.25,0.245,0.168
Belgium,0.09699999999999999,0.095,0.098,0.107,0.10400000000000001,0.096,0.095
Belize,0.35,0.24100000000000002,0.265,0.248,0.21899999999999997,0.282,0.35600000000000004
Benin,0.33399999999999996,0.285,0.361,0.287,0.368,0.317,0.312
Bhutan,0.344,0.341,0.358,0.382,0.366,0.359,0.37200000000000005
Bolivia (Plurinational State of),0.41200000000000003,0.43200000000000005,0.44799999999999995,0.493,0.467,0.439,0.324
Bosnia and Herzegovina,0.109,0.107,0.106,0.105,0.107,0.102,0.10400000000000001
Botswana,0.607,0.765,0.773,0.812,0.828,0.807,0.8759999999999999
Brazil,0.153,0.17,0.146,0.151,0.147,0.128,0.126
Brunei Darussalam,0.6809999999999999,0.6809999999999999,0.6559999999999999,0.665,0.6409999999999999,0.649,0.629
Bulgaria,0.11599999999999999,0.125,0.14,0.134,0.105,0.09300000000000001,0.085
Burkina Faso,0.57,0.544,0.6940000000000001,0.606,0.55,0.642,0.75
Burundi,0.5760000000000001,0.511,0.469,0.62,0.517,0.456,0.445
Cabo Verde,0.322,0.349,0.292,0.332,0.35100000000000003,0.306,0.325
Cambodia,0.33399999999999996,0.332,0.299,0.32299999999999995,0.327,0.31,0.28600000000000003
Cameroon,0.361,0.33,0.39,0.40399999999999997,0.436,0.373,0.40700000000000003
Canada,0.138,0.151,0.165,0.17,0.17800000000000002,0.14,0.138
Central African Republic,0.359,0.381,0.386,0.4,0.494,0.42700000000000005,0.46
Chad,0.852,0.8909999999999999,0.8,0.902,0.858,0.856,0.738
Chile,0.397,0.379,0.364,0.345,0.33399999999999996,0.324,0.306
China,0.107,0.099,0.102,0.10300000000000001,0.10099999999999999,0.10400000000000001,0.105
Colombia,0.341,0.405,0.435,0.45799999999999996,0.45899999999999996,0.354,0.281
Comoros,0.525,0.638,0.628,0.609,0.7020000000000001,0.6579999999999999,0.6829999999999999
Congo,0.74,0.7659999999999999,0.795,0.705,0.662,0.6829999999999999,0.669
Congo (Democratic Republic of the),0.381,0.389,0.483,0.43700000000000006,0.462,0.48700000000000004,0.509
Costa Rica,0.354,0.42100000000000004,0.455,0.467,0.436,0.228,0.258
Croatia,0.126,0.12,0.10400000000000001,0.085,0.078,0.069,0.066
Cuba,0.23199999999999998,0.222,0.21899999999999997,0.209,0.215,0.23199999999999998,0.249
Cyprus,0.183,0.20199999999999999,0.179,0.184,0.18600000000000003,0.214,0.23399999999999999
Czechia,0.105,0.106,0.107,0.106,0.113,0.11800000000000001,0.124
Côte d'Ivoire,0.369,0.34700000000000003,0.33799999999999997,0.309,0.35700000000000004,0.418,0.376
Denmark,0.083,0.084,0.092,0.094,0.091,0.095,0.09699999999999999
Djibouti,0.307,0.262,0.21600000000000003,0.217,0.22699999999999998,0.221,0.22399999999999998
Dominica,0.40700000000000003,0.38,0.435,0.41,0.40399999999999997,0.40700000000000003,0.41200000000000003
Dominican Republic,0.145,0.132,0.136,0.17,0.191,0.18899999999999997,0.217
Ecuador,0.501,0.515,0.518,0.525,0.5,0.37200000000000005,0.348
Egypt,0.153,0.17,0.175,0.16,0.16399999999999998,0.14400000000000002,0.154
El Salvador,0.21600000000000003,0.196,0.19399999999999998,0.203,0.21,0.212,0.221
Equatorial Guinea,0.738,0.715,0.735,0.6709999999999999,0.695,0.677,0.6809999999999999
Eritrea,0.13699999999999998,0.583,0.685,0.41600000000000004,0.447,0.359,0.402
Estonia,0.12,0.145,0.13699999999999998,0.107,0.11800000000000001,0.11599999999999999,0.11
Eswatini (Kingdom of),0.258,0.231,0.228,0.249,0.223,0.235,0.22899999999999998
Ethiopia,0.365,0.374,0.354,0.314,0.307,0.3,0.302
Fiji,0.21100000000000002,0.28300000000000003,0.272,0.185,0.26,0.214,0.205
