Country,2010-2017
Albania,4.3
Algeria,4.0
Angola,9.0
Argentina,9.5
Armenia,5.1
Australia,5.8
Austria,4.9
Azerbaijan,2.3
Bangladesh,4.8
Belarus,3.8
Belgium,4.2
Benin,16.3
Bhutan,6.9
Bolivia (Plurinational State of),12.6
Bosnia and Herzegovina,5.3
Botswana,23.2
Brazil,15.6
Bulgaria,7.3
Burkina Faso,5.3
Burundi,6.7
Cabo Verde,10.7
Cameroon,11.5
Canada,6.2
Central African Republic,18.4
Chad,10.0
Chile,11.2
China,9.2
Colombia,14.3
Comoros,11.2
Congo,12.8
Congo (Democratic Republic of the),8.8
Costa Rica,12.9
Croatia,5.2
Cyprus,5.3
Czechia,3.7
Côte d'Ivoire,8.4
Denmark,4.0
Djibouti,10.2
Dominican Republic,10.4
Ecuador,10.7
Egypt,4.6
El Salvador,7.9
Estonia,5.4
Eswatini (Kingdom of),14.2
Ethiopia,7.1
Fiji,5.8
Finland,3.9
France,5.2
Gabon,8.4
Gambia,5.9
Georgia,6.5
Germany,5.1
Ghana,8.9
Greece,7.1
Guatemala,11.9
Guinea,5.5
Guinea-Bissau,12.6
Haiti,8.6
Honduras,16.9
Hungary,4.9
Iceland,3.6
India,5.3
Indonesia,6.6
Iran (Islamic Republic of),7.2
Iraq,4.4
Ireland,5.1
Israel,9.8
Italy,6.6
Japan,5.4
Jordan,5.2
Kazakhstan,3.7
Kenya,11.5
Kiribati,6.7
Korea (Republic of),5.3
Kyrgyzstan,3.7
Lao People's Democratic Republic,5.9
Latvia,5.8
Lebanon,5.1
Lesotho,20.8
Liberia,5.4
Lithuania,7.2
Luxembourg,5.0
Madagascar,8.7
Malawi,9.4
Malaysia,11.2
Maldives,7.0
Mali,5.2
Malta,4.4
Mauritania,5.4
Mauritius,5.9
Mexico,8.8
Micronesia (Federated States of),8.4
Moldova (Republic of),3.7
Mongolia,5.1
Montenegro,4.8
Morocco,7.4
Mozambique,14.2
Myanmar,6.3
Namibia,20.1
Nepal,5.0
Netherlands,4.4
Nicaragua,10.2
Niger,5.4
Nigeria,9.1
Norway,4.1
Pakistan,4.4
"Palestine, State of",5.5
Panama,16.6
Papua New Guinea,9.3
Paraguay,11.8
Peru,10.6
Philippines,7.2
Poland,5.0
Portugal,6.4
Romania,4.3
Russian Federation,6.6
Rwanda,11.0
Samoa,7.7
Sao Tome and Principe,4.7
Senegal,7.7
Serbia,4.2
Seychelles,9.8
Sierra Leone,5.4
Slovakia,4.1
Slovenia,3.7
Solomon Islands,6.4
South Africa,28.4
South Sudan,13.0
Spain,7.3
Sri Lanka,6.8
Sudan,6.2
Sweden,4.6
Switzerland,5.2
Tajikistan,5.6
Tanzania (United Republic of),6.2
Thailand,6.5
The former Yugoslav Republic of Macedonia,7.3
Timor-Leste,4.1
Togo,9.7
Tonga,6.7
Tunisia,6.4
Turkey,8.5
Tuvalu,7.0
Uganda,7.5
Ukraine,3.5
United Kingdom,5.4
United States,9.4
Uruguay,7.9
Vanuatu,6.7
Venezuela (Bolivarian Republic of),15.8
Viet Nam,5.9
Yemen,6.1
Zambia,21.1
Zimbabwe,8.6
