Country,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,39.3,39.3,39.3,45.0,44.8,44.8,45.4,45.4
Albania,12.7,11.9,11.9,11.9,11.9,11.9,9.1,8.5
Algeria,,,,,,,33.7,33.7
Andorra,,,,,,,,9.4
Angola,26.2,,34.6,34.6,34.6,34.6,34.3,34.3
Argentina,12.1,12.1,12.1,8.6,8.1,8.1,6.1,6.2
Armenia,6.5,6.5,3.7,3.7,3.7,3.7,2.9,2.9
Australia,1.7,1.7,1.7,1.8,1.9,1.9,3.7,2.6
Austria,2.4,2.4,2.5,3.7,3.5,4.3,2.6,2.6
Azerbaijan,12.0,8.3,8.3,8.3,8.3,8.3,4.3,3.8
Bahamas,7.9,7.9,,8.0,,,,6.3
Bahrain,,,,,,,,19.0
Bangladesh,44.8,39.4,39.4,37.8,38.6,37.3,37.3,37.3
Barbados,,,,,5.5,5.5,5.5,5.5
Belarus,8.0,5.4,5.4,4.8,3.7,3.7,3.7,3.7
Belgium,5.2,6.5,7.6,9.2,8.1,8.1,9.3,8.7
Belize,19.8,,,,15.9,15.9,15.9,15.9
Benin,44.1,42.0,42.0,42.0,44.8,44.8,44.8,43.7
Bhutan,,44.8,12.2,13.3,44.8,44.8,44.8,41.7
Bolivia (Plurinational State of),28.7,27.6,27.6,27.6,24.7,20.8,20.6,20.0
Bosnia and Herzegovina,19.4,5.2,5.2,5.2,12.5,12.5,12.5,19.8
Botswana,,,,32.1,32.1,32.1,32.1,
Brazil,25.7,25.7,25.3,24.7,23.6,22.6,22.0,22.0
Bulgaria,8.1,5.9,6.1,5.8,5.5,5.5,6.7,6.5
Burkina Faso,37.3,37.3,36.2,38.5,38.6,38.6,35.7,39.2
Burundi,36.3,,,41.0,36.9,36.9,36.9,39.5
Cabo Verde,30.7,30.7,,18.2,18.2,18.2,22.9,23.7
Cambodia,31.1,31.1,28.3,28.3,28.3,27.3,27.3,27.3
Cameroon,35.3,35.3,35.3,34.8,34.8,34.8,34.8,33.0
Canada,3.2,3.2,3.2,4.0,3.9,3.9,2.1,1.4
Central African Republic,45.9,45.9,45.9,45.9,34.5,34.5,34.5,34.5
Chad,37.8,43.4,43.4,43.4,41.9,41.9,43.0,43.0
Chile,13.3,13.7,13.7,13.7,12.6,8.2,8.2,7.5
China,23.2,23.2,23.2,,,,,11.5
Colombia,23.9,22.8,21.5,22.1,21.3,17.4,17.1,19.4
Comoros,47.4,47.4,47.4,47.4,47.6,47.6,47.6,47.6
Congo,30.0,25.4,25.4,25.4,21.5,21.5,21.5,21.5
Congo (Democratic Republic of the),29.1,31.2,31.2,29.4,27.7,27.7,27.7,26.3
Costa Rica,17.7,17.7,15.7,15.7,15.5,12.4,12.3,11.9
Croatia,10.4,10.4,10.4,10.4,4.3,4.4,5.0,5.0
Cuba,,,,11.0,11.3,10.9,10.9,10.9
Cyprus,15.7,15.0,16.3,14.0,13.1,12.4,12.7,11.7
Czechia,1.3,1.3,1.3,1.4,1.4,1.4,1.6,1.6
Côte d'Ivoire,44.8,43.2,43.2,45.4,45.1,45.1,45.1,47.4
Denmark,3.0,3.1,3.1,3.1,3.0,3.0,4.3,4.3
Djibouti,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
Dominican Republic,22.2,26.8,26.8,24.0,22.9,19.9,21.1,19.1
Ecuador,21.8,22.1,22.1,21.6,21.1,15.5,14.2,13.8
Egypt,43.6,40.9,40.9,40.9,40.9,35.0,36.9,36.9
El Salvador,32.5,32.4,32.4,30.2,30.2,26.6,30.3,30.3
Equatorial Guinea,29.2,29.2,,,,,,
Estonia,3.1,2.7,2.6,2.5,2.4,2.3,2.4,2.3
Eswatini (Kingdom of),38.3,29.8,29.8,26.8,26.8,26.8,24.1,24.1
Ethiopia,38.2,38.2,38.3,44.3,44.3,36.6,36.6,43.5
Fiji,11.0,,,10.5,10.5,10.5,,
Finland,4.7,2.1,2.4,2.1,2.1,2.0,2.0,1.9
France,9.1,9.1,9.4,8.6,8.0,7.5,8.6,8.6
Gabon,7.3,7.3,7.3,23.5,23.5,23.5,23.5,23.5
Gambia,44.7,,,,,,49.3,49.3
Georgia,4.9,3.3,3.3,3.3,3.3,2.2,2.2,2.2
Germany,2.3,1.8,1.8,2.4,2.4,2.6,2.6,2.7
Ghana,7.5,40.9,40.9,35.6,36.7,34.9,34.9,34.9
Greece,5.8,14.3,11.3,11.3,11.6,11.7,14.2,13.1
Guatemala,36.1,36.1,36.1,36.1,36.2,36.2,35.0,35.0
Guinea,42.6,42.0,42.0,42.0,48.3,48.3,48.3,48.3
Guinea-Bissau,40.3,40.3,40.3,40.3,40.3,40.3,41.9,41.9
Guyana,9.6,11.7,10.5,10.5,10.5,10.5,10.7,10.7
Haiti,40.7,40.7,40.7,40.4,38.3,38.3,38.3,38.3
Honduras,31.0,31.8,28.2,29.6,26.4,24.4,23.0,22.7
"Hong Kong, China (SAR)",,,,,,,11.1,10.2
Hungary,4.1,4.0,4.1,3.5,3.2,3.1,3.0,3.2
Iceland,2.6,2.6,2.5,2.5,2.4,2.5,2.6,2.6
India,40.6,40.6,42.4,42.1,42.1,39.4,39.4,38.7
Indonesia,21.4,20.4,20.4,23.2,20.8,20.8,20.8,16.5
Iran (Islamic Republic of),,,,37.3,37.3,37.3,,4.9
Iraq,,,33.0,29.8,30.6,30.6,29.8,27.2
Ireland,3.2,3.2,3.2,5.2,5.4,3.0,2.9,2.9
Israel,7.9,7.9,7.9,7.9,9.9,8.4,8.4,7.0
Italy,11.8,11.4,13.1,11.7,10.6,9.9,11.5,10.5
Jamaica,8.3,8.3,10.6,10.6,5.6,5.6,5.6,5.6
Japan,,,,19.8,19.8,19.8,19.8,1.6
Jordan,25.1,22.4,22.4,22.4,16.9,16.9,16.9,16.9
Kazakhstan,5.3,5.3,6.9,5.9,5.9,5.9,3.2,3.2
Kenya,29.2,30.7,30.7,30.7,26.0,22.9,22.9,22.9
Kiribati,,,,21.4,21.4,21.4,21.4,21.4
Korea (Republic of),25.5,25.5,25.5,28.1,25.5,25.5,18.5,18.5
Kuwait,,,,,,,17.2,17.8
Kyrgyzstan,11.1,11.1,6.5,6.6,5.0,5.0,5.0,5.0
Lao People's Democratic Republic,30.5,30.5,31.2,34.1,34.1,34.1,34.1,34.1
Latvia,3.3,3.8,3.6,3.6,3.5,3.8,3.7,3.7
Lebanon,,24.1,24.1,24.1,24.1,24.1,6.2,6.2
Lesotho,24.9,24.3,24.3,24.3,24.3,24.3,21.9,21.9
Liberia,46.4,46.4,46.4,46.4,46.4,42.9,42.9,42.9
Lithuania,4.3,4.1,5.0,6.1,5.9,5.6,5.4,4.5
Luxembourg,6.2,6.2,6.3,6.0,6.0,5.8,8.1,9.4
Madagascar,30.8,30.1,30.1,30.1,35.0,35.0,35.0,35.0
Malawi,34.7,34.7,30.2,30.2,30.2,28.2,28.4,28.4
Malaysia,,,,,,,,15.6
Maldives,11.5,41.2,41.2,41.2,40.0,40.0,40.0,40.0
Mali,36.9,36.9,36.9,36.9,41.6,41.6,41.6,46.2
Malta,,,5.5,5.7,7.3,6.0,6.7,6.9
Mauritania,43.2,43.2,42.1,45.9,40.8,40.8,40.8,40.8
Mauritius,,13.5,13.5,13.2,13.2,13.2,13.2,13.2
Mexico,17.9,21.9,21.9,21.4,19.7,19.7,17.1,17.1
Micronesia (Federated States of),22.4,22.4,,,,,,
Moldova (Republic of),7.5,6.1,6.1,6.1,7.3,7.3,7.3,7.3
Mongolia,5.8,5.8,8.9,5.2,9.4,9.4,11.9,11.9
Montenegro,9.6,2.5,2.5,2.5,7.4,7.4,7.4,7.4
Morocco,42.7,45.8,45.8,45.8,45.8,45.8,,
Mozambique,28.2,18.2,18.2,18.2,33.8,33.8,33.8,33.8
Myanmar,,,,19.4,19.4,19.4,26.9,26.9
Namibia,27.8,27.8,27.8,27.8,27.8,25.0,25.0,25.0
Nepal,43.3,43.6,43.6,44.0,41.4,43.9,43.9,40.9
Netherlands,4.0,3.9,3.9,4.1,4.1,4.2,4.6,5.3
New Zealand,,,,,,,2.5,1.7
Nicaragua,33.3,33.3,33.3,33.3,29.5,29.5,25.7,25.7
Niger,31.3,39.5,39.5,39.5,35.0,35.0,35.0,35.0
Nigeria,46.0,44.2,45.2,45.2,43.3,43.3,43.8,38.1
Norway,2.4,2.2,2.2,2.4,2.3,2.4,5.3,6.1
Pakistan,46.4,46.4,45.2,45.2,44.4,44.4,44.4,46.2
Palau,,,,12.0,12.0,12.0,12.0,1.9
"Palestine, State of",,,,6.9,16.5,16.5,13.3,14.1
Panama,9.9,17.8,17.8,16.3,16.6,13.6,13.1,12.5
Papua New Guinea,,,,11.5,11.5,11.5,11.5,11.5
Paraguay,19.8,19.8,,17.2,16.2,14.0,13.8,16.7
Peru,30.2,24.0,24.6,25.6,23.3,20.3,16.1,15.3
Philippines,12.9,13.5,13.5,13.5,11.6,11.6,11.6,11.6
Poland,7.1,6.6,6.3,5.6,5.6,5.4,5.4,4.7
Portugal,5.7,5.6,5.6,5.7,5.9,5.9,17.5,16.3
Qatar,,,,,,,11.9,11.4
Romania,13.1,5.0,5.0,5.0,4.7,4.6,6.0,6.3
Russian Federation,11.2,11.2,,2.1,2.3,2.2,2.2,2.2
Rwanda,30.7,30.7,29.4,29.4,29.4,29.3,29.3,29.3
Saint Lucia,,,,,9.2,9.2,9.2,12.6
Samoa,,,,,,,,4.9
Sao Tome and Principe,22.7,19.1,20.0,20.0,21.4,21.4,18.3,18.3
Saudi Arabia,,,,,,,16.4,16.2
Senegal,47.3,45.1,44.6,44.6,44.7,44.7,45.3,46.5
Serbia,11.1,9.9,9.9,10.7,8.1,8.1,9.3,8.1
Sierra Leone,48.2,47.4,47.4,48.7,49.6,47.3,47.3,47.3
Singapore,,,,,,,8.8,8.2
Slovakia,1.7,1.6,1.5,1.5,1.5,1.4,1.6,1.4
Slovenia,4.0,3.1,3.3,2.7,2.6,2.6,2.2,2.2
Solomon Islands,30.2,,,22.8,22.8,22.8,,
Somalia,,,,,43.5,43.5,,
South Africa,20.8,20.8,20.8,18.1,16.1,13.8,14.3,14.3
South Sudan,,,,,39.6,39.6,39.6,39.6
Spain,5.7,5.5,5.5,5.4,5.2,5.1,19.2,18.6
