"International student mobility (% of total tertiary enrolment)"
"HDI Rank (2017)","Country","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"168"," Afghanistan","","","","","","","","","","","","","-7.4","","","","","","",""
"68"," Albania","-13.5","","","","","","-17.8","","-13.9","","-12.0","","-11.7","","-13.5","","-14.9","","",""
"85"," Algeria","","","-2.5","","-1.4","","-1.5","","-1.5","","-1.1","","-1.0","","-1.0","","-0.9","","",""
"35"," Andorra","","","","","","","","","","","-185.7","","","","-218.6","","-198.2","","",""
"70"," Antigua and Barbuda","","","","","-41.8","","-48.9","","-19.3","","","","","","","","","","",""
"47"," Argentina","-0.2","","","","","","","","","","","","","","","","","","",""
"83"," Armenia","","","0.6","","-1.5","","-1.9","","-2.4","","-3.2","","-2.7","","-3.1","","-3.1","","",""
"3"," Australia","","","","","","","","","","","","","","","14.8","","16.8","","",""
"20"," Austria","","","","","14.5","","14.2","","10.4","","13.2","","11.6","","11.8","","12.3","","",""
"80"," Azerbaijan","","","","","-4.7","","-7.7","","-6.6","","-9.5","","-14.4","","-17.5","","-18.3","","",""
"43"," Bahrain","","","-15.4","","","","","","","","","","-0.0","","-0.1","","-1.6","","",""
"136"," Bangladesh","","","-4.6","","","","","","","","","","","","","","","","",""
"58"," Barbados","","","","","3.3","","3.9","","","","","","","","","","","","",""
"53"," Belarus","-1.3","","-1.5","","-4.6","","-5.2","","-5.0","","-4.4","","-3.9","","-2.7","","-2.1","","",""
"17"," Belgium","8.1","","2.8","","5.6","","5.5","","6.2","","7.4","","8.6","","8.5","","","","",""
"163"," Benin","","","","","3.8","","","","","","","","3.4","","3.6","","4.0","","",""
"77"," Bosnia and Herzegovina","","","","","","","-6.1","","-4.6","","-3.1","","-2.1","","-2.7","","-3.9","","",""
"101"," Botswana","","","-44.3","","","","","","","","","","-3.6","","-3.7","","-3.6","","-3.7",""
"79"," Brazil","","","","","-0.2","","-0.2","","-0.2","","","","-0.2","","-0.3","","","","",""
"39"," Brunei Darussalam","-59.7","","-52.7","","-57.5","","-49.5","","-41.1","","","","-27.6","","-26.8","","-30.9","","",""
"51"," Bulgaria","-5.1","","-7.2","","-4.9","","-5.0","","-5.0","","-4.7","","-4.7","","-4.6","","-4.7","","",""
"183"," Burkina Faso","","","-8.0","","","","-3.1","","-3.0","","-2.9","","","","","","","","",""
"185"," Burundi","-12.5","","","","0.6","","-4.5","","2.8","","-3.7","","-1.2","","","","","","",""
"125"," Cabo Verde","","","","","","","-25.4","","-26.0","","-32.1","","-22.4","","-23.4","","-25.8","","",""
"151"," Cameroon","","","-14.8","","-8.8","","-8.2","","-7.3","","","","","","","","","","",""
"188"," Central African Republic","","","","","","","","","4.0","","","","","","","","","","",""
"186"," Chad","","","","","","","-15.5","","","","","","","","","","","","",""
"44"," Chile","-0.4","","-0.9","","0.0","","-0.7","","-0.5","","-0.5","","-0.5","","-0.5","","-0.4","","",""
"86"," China","","","","","-1.6","","-1.8","","-1.9","","-1.8","","-1.6","","-1.6","","-1.6","","",""
"90"," Colombia","","","","","","","","","","","","","-1.1","","-1.1","","-1.0","","",""
"165"," Comoros","","","","","-92.0","","-71.7","","-71.1","","","","-78.8","","","","","","",""
"137"," Congo","","","","","","","-28.9","","","","-22.8","","","","","","","","",""
"176"," Congo (Democratic Republic of the)","","","","","","","-0.7","","","","-0.2","","","","","","","","",""
"46"," Croatia","","","-7.4","","-6.1","","-5.9","","-5.0","","-4.9","","-4.9","","-4.9","","-5.1","","",""
"73"," Cuba","2.8","","2.8","","3.5","","3.8","","4.1","","","","","","","","","","",""
"32"," Cyprus","-140.5","","-82.0","","-52.0","","-56.1","","-61.2","","-67.0","","-31.6","","-50.2","","","","",""
"27"," Czechia","-0.1","","3.5","","5.4","","5.8","","6.2","","6.4","","6.9","","7.4","","","","",""
"170"," Côte d'Ivoire","","","","","-4.7","","-11.4","","","","-0.6","","-3.8","","-3.7","","","","",""
"11"," Denmark","3.4","","2.1","","5.3","","5.5","","6.0","","8.3","","8.1","","8.7","","9.2","","",""
"172"," Djibouti","-720.5","","-131.1","","","","-40.2","","","","","","","","","","","","",""
"94"," Dominican Republic","","","","","","","","","2.7","","","","1.4","","1.2","","1.2","","",""
"86"," Ecuador","","","","","","","","","-1.4","","","","","","-1.5","","","","",""
"115"," Egypt","","","0.9","","1.3","","","","","","1.0","","0.9","","","","0.8","","",""
"121"," El Salvador","-0.9","","-1.4","","-1.6","","-1.0","","-1.4","","-1.3","","-1.4","","-1.8","","-1.8","","",""
"179"," Eritrea","-18.2","","","","","","","","","","","","","","","","","","",""
"30"," Estonia","-5.6","","-3.7","","-4.0","","-4.2","","-4.3","","-3.5","","-3.3","","-2.7","","","","",""
"144"," Eswatini (Kingdom of)","-26.9","","","","","","-48.6","","","","-34.4","","","","","","","","",""
"15"," Finland","-1.6","","0.9","","2.2","","2.6","","3.1","","4.4","","4.6","","4.6","","4.6","","",""
"24"," France","4.3","","8.6","","9.0","","9.2","","9.0","","6.5","","6.4","","6.3","","","","",""
"70"," Georgia","-4.6","","-4.1","","-7.5","","-6.3","","-8.4","","-3.3","","","","-3.2","","-1.7","","",""
"5"," Germany","","","","","","","","","","","2.8","","3.2","","3.8","","","","",""
"140"," Ghana","","","","","","","-1.1","","0.1","","0.4","","1.3","","1.4","","0.9","","",""
"31"," Greece","","","-4.0","","-0.4","","0.5","","-0.8","","-0.9","","","","","","","","",""
"75"," Grenada","","","","","","","","","","","","","","","63.0","","64.1","","",""
"175"," Guinea","","","","","","","-5.8","","-6.2","","","","","","","","","","",""
"125"," Guyana","","","-14.6","","-9.5","","-18.9","","-16.6","","","","","","","","","","",""
"133"," Honduras","","","","","-1.0","","","","-0.9","","-1.0","","-1.3","","-1.4","","","","",""
"7"," Hong Kong, China (SAR)","","","-19.8","","-8.5","","-4.9","","-3.6","","-1.8","","-1.2","","-1.4","","-1.7","","",""
"45"," Hungary","0.9","","1.4","","1.9","","2.2","","2.5","","3.3","","4.1","","3.6","","5.1","","",""
"6"," Iceland","-20.6","","","","-10.6","","-8.4","","-8.2","","-8.3","","-6.3","","","","","","",""
"130"," India","-0.6","","-1.2","","","","-0.7","","-0.6","","-0.6","","-0.6","","-0.7","","-0.7","","",""
"116"," Indonesia","","","-0.9","","-0.6","","","","-0.5","","","","","","","","","","",""
"60"," Iran (Islamic Republic of)","","","-1.2","","-1.0","","-1.0","","-1.0","","-0.9","","-0.8","","-0.8","","-0.7","","",""
"120"," Iraq","0.3","","","","","","","","","","","","","","","","","","",""
"4"," Ireland","-6.4","","-3.4","","-3.4","","0.2","","-3.9","","-1.8","","-0.6","","0.4","","1.2","","",""
"22"," Israel","","","","","-3.0","","-2.8","","-2.7","","-0.9","","-0.9","","","","","","",""
"28"," Italy","-1.0","","0.5","","1.5","","1.5","","1.6","","1.8","","1.8","","1.7","","","","",""
"97"," Jamaica","-11.8","","","","","","","","","","","","","","","","","","",""
"19"," Japan","-0.0","","1.5","","2.6","","3.0","","3.0","","2.6","","2.6","","2.6","","","","",""
"95"," Jordan","-0.4","","3.8","","4.9","","3.5","","3.5","","","","","","5.7","","7.2","","",""
"58"," Kazakhstan","-3.4","","","","-3.8","","-4.2","","-4.2","","-5.9","","-7.7","","-10.4","","-12.4","","-12.1",""
"22"," Korea (Republic of)","-2.3","","-2.7","","-2.1","","-2.0","","-1.9","","-1.8","","-1.7","","-1.6","","","","",""
"122"," Kyrgyzstan","","","9.2","","4.3","","2.9","","1.5","","1.9","","1.4","","1.2","","1.5","","",""
"139"," Lao People's Democratic Republic","-8.6","","-4.7","","-2.7","","-2.7","","-3.0","","-3.2","","-2.0","","-2.4","","-4.6","","",""
"41"," Latvia","3.3","","-1.4","","-2.9","","-3.9","","-3.8","","-3.0","","-1.7","","-0.6","","","","",""
"80"," Lebanon","3.8","","0.3","","8.5","","9.2","","6.8","","","","1.5","","3.0","","1.9","","",""
"159"," Lesotho","","","","","","","","","-10.9","","-11.6","","-12.0","","-12.5","","","","",""
"17"," Liechtenstein","","","","","-47.5","","-20.3","","-17.4","","","","-30.7","","-45.7","","-42.5","","",""
"35"," Lithuania","-3.6","","-3.0","","-2.9","","-3.9","","-5.1","","-5.1","","","","-4.5","","-4.2","","",""
"21"," Luxembourg","","","","","-88.9","","","","-84.3","","","","","","-99.9","","","","",""
"161"," Madagascar","","","-6.5","","-4.0","","-3.8","","-3.6","","-2.6","","-2.0","","-1.9","","","","",""
"171"," Malawi","","","","","-20.3","","","","","","","","","","","","","","",""
"57"," Malaysia","","","","","","","","","","","","","3.2","","3.5","","4.5","","",""
"182"," Mali","-7.3","","","","","","-6.9","","-5.4","","-6.5","","-7.8","","-9.1","","","","",""
"29"," Malta","-4.4","","-2.1","","","","-6.7","","-6.4","","-10.1","","-3.9","","-2.7","","-0.3","","",""
"106"," Marshall Islands","","","","","","","","","-18.0","","","","","","","","","","",""
"159"," Mauritania","","","","","","","","","","","","","","","-19.5","","-19.8","","",""
"65"," Mauritius","","","","","-20.6","","-17.9","","-13.8","","-12.2","","-12.0","","-13.1","","","","-12.8",""
"74"," Mexico","","","","","","","","","","","-0.6","","","","-0.6","","-0.4","","",""
"112"," Moldova (Republic of)","-7.4","","-5.9","","-10.4","","-12.5","","-12.2","","-13.5","","-16.2","","-15.6","","-16.1","","",""
"92"," Mongolia","-4.1","","-3.6","","-5.5","","-5.6","","-5.4","","-4.5","","-4.8","","-4.7","","-5.2","","",""
"123"," Morocco","-14.1","","-11.4","","-7.9","","","","","","-4.3","","-3.6","","-3.4","","-3.0","","",""
"180"," Mozambique","","","","","","","-1.5","","","","-1.1","","-0.9","","","","-0.9","","",""
"148"," Myanmar","","","","","","","-1.1","","-1.1","","","","","","","","","","",""
"129"," Namibia","","","-42.5","","","","","","","","","","","","","","","","",""
"149"," Nepal","","","","","","","-7.7","","","","","","","","","","","","",""
"10"," Netherlands","0.4","","2.9","","2.4","","3.2","","5.4","","","","","","8.4","","8.9","","",""
"16"," New Zealand","1.2","","15.4","","12.4","","13.6","","13.7","","14.0","","16.8","","19.2","","17.9","","",""
"189"," Niger","","","","","-11.0","","-12.1","","-8.5","","","","","","","","","","",""
"1"," Norway","-2.6","","0.3","","0.8","","0.6","","0.8","","-3.5","","-3.4","","-3.5","","-2.9","","",""
"48"," Oman","","","","","-11.1","","-9.0","","","","-8.6","","-8.3","","-9.3","","-8.8","","",""
"60"," Palau","","","","","","","","","","","18.9","","","","","","","","",""
"119"," Palestine, State of","-14.0","","","","-8.0","","-7.9","","-9.0","","-10.0","","-11.5","","-11.9","","-12.7","","",""
"113"," Philippines","","","-0.1","","","","","","","","","","","","","","","","",""
"33"," Poland","-1.2","","-0.9","","-0.6","","-0.4","","-0.2","","0.2","","0.6","","1.2","","1.9","","",""
"41"," Portugal","0.1","","1.2","","-0.5","","","","1.5","","0.9","","0.9","","1.3","","","","",""
"37"," Qatar","","","5.5","","19.0","","22.0","","20.5","","17.3","","21.7","","18.0","","18.1","","",""
"52"," Romania","-0.5","","-1.3","","-1.2","","-1.4","","-2.1","","-1.8","","-1.6","","-1.7","","-1.4","","",""
"49"," Russian Federation","0.1","","0.6","","","","1.3","","1.5","","","","2.3","","2.6","","3.0","","",""
"158"," Rwanda","","","","","","","","","-7.7","","-6.2","","-6.7","","-6.0","","-6.1","","",""
"72"," Saint Kitts and Nevis","","","","","","","","","","","","","61.6","","","","","","",""
"90"," Saint Lucia","","","","","-53.9","","-41.1","","-47.8","","-30.1","","-15.3","","-16.8","","-7.9","","",""
"104"," Samoa","-71.8","","","","","","","","","","","","","","","","","","",""
"39"," Saudi Arabia","-1.0","","-0.0","","-1.7","","-1.6","","-1.5","","-0.9","","-0.8","","-0.9","","-0.3","","",""
"164"," Senegal","","","","","","","-3.1","","2.0","","5.5","","6.3","","7.3","","-0.1","","",""
"67"," Serbia","","","","","-1.5","","-2.3","","-1.6","","-1.6","","-2.1","","-1.6","","-1.6","","",""
"62"," Seychelles","","","","","","","-228.6","","-478.0","","-200.0","","-92.3","","-40.1","","-38.6","","",""
"9"," Singapore","","","","","13.1","","11.2","","12.7","","10.2","","","","","","","","",""
"38"," Slovakia","-3.7","","-9.3","","-9.7","","-10.7","","-10.9","","-11.0","","-10.6","","","","","","",""
"25"," Slovenia","-6.1","","-1.4","","-0.5","","-0.6","","-0.1","","-0.0","","-0.0","","-0.4","","","","",""
"113"," South Africa","","","","","","","","","3.6","","3.4","","3.5","","3.4","","","","",""
"26"," Spain","0.7","","-0.4","","1.7","","1.9","","1.3","","1.4","","","","","","0.9","","",""
"76"," Sri Lanka","","","","","","","-6.7","","-5.9","","-5.1","","-5.1","","-5.3","","-5.9","","",""
"7"," Sweden","3.8","","1.5","","3.5","","4.3","","2.4","","1.7","","1.8","","2.2","","","","",""
"2"," Switzerland","12.0","","13.6","","10.8","","11.6","","12.2","","12.5","","12.9","","12.9","","13.2","","",""
"127"," Tajikistan","3.1","","-1.4","","-2.6","","-2.8","","-2.8","","-4.5","","-5.6","","-6.1","","-7.7","","-6.9",""
"83"," Thailand","","","-0.9","","-0.4","","-0.3","","-0.3","","","","-0.6","","","","","","",""
"80"," The former Yugoslav Republic of Macedonia","-14.2","","-14.8","","","","","","-5.1","","-4.5","","-3.7","","-4.1","","","","",""
"69"," Trinidad and Tobago","-36.6","","","","","","","","","","","","","","","","","","",""
"95"," Tunisia","-4.8","","","","-4.8","","-4.9","","-4.8","","-3.2","","","","-3.9","","-4.5","","",""
"64"," Turkey","","","-1.8","","-0.7","","-0.5","","-0.2","","0.2","","0.0","","0.4","","","","",""
"108"," Turkmenistan","","","","","","","","","","","","","-106.8","","","","","","",""
"162"," Uganda","","","","","","","7.4","","","","","","","","","","","","",""
"88"," Ukraine","","","-0.1","","0.1","","0.0","","0.3","","0.3","","0.5","","-0.6","","-1.3","","",""
"34"," United Arab Emirates","","","","","","","35.4","","37.5","","38.0","","38.2","","39.9","","41.5","","",""
"14"," United Kingdom","9.9","","12.9","","14.7","","15.7","","16.1","","16.3","","16.9","","17.1","","","","",""
"13"," United States","3.3","","3.1","","3.1","","3.1","","3.2","","3.6","","3.9","","4.3","","","","",""
"105"," Uzbekistan","","","","","-8.5","","-8.4","","-7.4","","-7.7","","-9.8","","-10.4","","-11.8","","-11.2",""
"116"," Viet Nam","-1.4","","-1.4","","-2.2","","-2.2","","-2.2","","-2.3","","-2.1","","-2.6","","-2.8","","",""
"178"," Yemen","","","","","","","-1.1","","","","","","","","","","","","",""
"156"," Zimbabwe","","","","","-25.7","","-30.2","","-17.0","","","","","","-12.0","","","","",""
""
