"Net migration rate (per 1,000 people)"
"HDI Rank (2017)","Country","1990","","1995","","2000","","2005","","2010","","2015",""
"101"," Botswana","0.9","","2.4","","3.0","","2.4","","1.9","","1.4"," a"
"79"," Brazil","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"," a"
"39"," Brunei Darussalam","2.4","","2.8","","2.0","","1.9","","-1.1","","1.0"," a"
"51"," Bulgaria","-4.1","","-8.3","","-3.3","","-2.2","","-2.2","","-0.7"," a"
"183"," Burkina Faso","-4.4","","-3.2","","-2.5","","-2.0","","-1.7","","-1.5"," a"
"185"," Burundi","-6.0","","-10.6","","-14.4","","1.5","","2.5","","-1.5"," a"
"125"," Cabo Verde","-16.9","","-3.5","","-2.6","","-4.3","","-7.2","","-4.3"," a"
"146"," Cambodia","-1.9","","8.3","","6.1","","-0.6","","-4.3","","-2.0"," a"
"151"," Cameroon","-0.4","","-0.8","","-0.7","","-0.7","","-0.6","","-0.3"," a"
"12"," Canada","6.5","","4.9","","5.1","","6.5","","7.4","","6.5"," a"
"188"," Central African Republic","-3.2","","3.2","","1.4","","-1.2","","-5.9","","-17.6"," a"
"186"," Chad","0.1","","-0.3","","1.8","","4.8","","1.4","","1.5"," a"
"44"," Chile","-0.3","","0.2","","0.3","","0.5","","0.7","","0.9"," a"
"86"," China","-0.1","","-0.1","","-0.1","","-0.3","","-0.4","","-0.2"," a"
"90"," Colombia","-1.6","","-1.2","","-1.0","","-0.8","","-0.6","","-0.6"," a"
"165"," Comoros","-2.3","","-1.4","","-2.4","","-3.5","","-3.1","","-2.7"," a"
"137"," Congo","0.2","","1.7","","3.3","","2.9","","4.7","","-2.6"," a"
"176"," Congo (Democratic Republic of the)","0.5","","6.8","","-4.5","","-0.9","","-0.1","","0.0"," a"
"63"," Costa Rica","1.2","","4.2","","4.8","","2.0","","1.4","","0.8"," a"
"46"," Croatia","1.1","","-6.1","","-8.3","","-0.1","","-0.5","","-1.5"," a"
"73"," Cuba","-1.4","","-2.2","","-2.4","","-2.6","","-3.2","","-1.3"," a"
"32"," Cyprus","4.7"," d","10.7"," d","11.8"," d","11.7"," d","11.0"," d","4.0"," a,d"
"27"," Czechia","0.1","","0.6","","0.9","","0.9","","4.8","","1.1"," a"
"170"," Côte d'Ivoire","5.8","","5.6","","2.3","","-4.2","","-2.3","","0.6"," a"
