Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.0196969696969697,29.4,16.6,17.2,15.9,7.5,-0.8,2.2,66.0,1.3,0.8,3.7
ALB,3.816666666666667,68.2,8.6,16.9,8.4,4.1,-0.3,1.0,30.0,114.5,12.0,6.1
DZA,0.08888888888888889,33.1,13.4,0.4,24.4,17.7,11.0,3.0,90.0,8.0,1.7,8.3
AND,3.11,62.5,8.3,19.1,7.7,3.5,-0.7,1.0,30.0,93.3,11.4,5.9
AGO,1.1819047619047618,74.1,11.9,0.0,28.8,22.8,16.9,3.5,105.0,124.1,11.0,18.7
ATG,1.679310344827586,54.4,5.3,0.0,27.7,25.1,22.4,2.9,87.0,146.1,12.7,27.5
ARG,0.29150326797385623,47.2,14.3,3.2,24.5,17.3,10.2,5.1,153.0,44.6,5.5,11.6
ARM,3.1571428571428566,62.9,8.0,23.7,4.1,0.1,-3.9,0.7,21.0,66.3,11.7,4.6
AUS,0.13926940639269406,34.2,15.3,0.0,33.0,25.4,17.7,7.3,219.0,30.5,4.7,13.1
AUT,3.5,69.3,6.3,24.9,1.7,-1.4,-4.6,0.4,12.0,42.0,9.9,4.8
AZE,1.6407407407407406,66.8,6.7,11.9,8.2,4.9,1.6,0.9,27.0,44.3,8.5,7.1
BHS,0.6827586206896552,62.5,9.1,0.0,28.1,23.6,19.1,2.9,87.0,59.4,8.0,22.1
BHR,0.0014492753623188404,28.8,13.0,0.0,29.5,23.0,16.5,4.6,138.0,0.2,0.2,14.4
BGD,0.056410256410256425,29.3,10.1,0.0,27.5,22.4,17.3,2.6,78.0,4.4,0.8,21.2
BRB,0.796969696969697,52.5,6.9,0.0,28.8,25.4,21.9,3.3,99.0,78.9,10.8,26.6
BLR,8.733333333333333,82.0,5.6,26.7,-0.9,-3.6,-6.5,0.1,3.0,26.2,13.3,4.8
BEL,7.5777777777777775,76.3,7.4,15.0,8.3,4.6,0.9,0.3,9.0,68.2,16.7,8.1
BLZ,2.6420289855072467,60.4,7.9,0.0,26.9,22.9,18.9,2.3,69.0,182.3,17.3,26.4
BEN,0.13333333333333333,58.9,17.8,0.0,35.2,26.3,17.4,4.1,123.0,16.4,2.1,18.2
BTN,0.06000000000000001,26.4,14.6,20.3,10.4,3.0,-4.3,1.5,45.0,2.7,1.5,5.8
BOL,1.1545454545454543,65.3,12.5,2.0,28.9,22.6,16.4,4.4,132.0,152.4,10.7,20.6
BIH,11.2,74.9,7.6,22.8,4.6,0.8,-3.1,0.4,12.0,134.4,14.9,6.0
BWA,0.3453333333333333,53.2,14.4,0.0,32.2,25.0,17.8,5.0,150.0,51.8,7.9,17.9
BRA,1.5620370370370367,75.1,10.3,0.0,30.5,25.3,20.2,3.6,108.0,168.7,18.0,25.6
BRN,5.2369047619047615,71.9,7.7,0.0,29.3,25.5,21.6,2.8,84.0,439.9,26.8,29.6
BGR,5.706666666666666,74.8,8.5,23.4,5.2,0.9,-3.4,0.5,15.0,85.6,10.8,5.8
BFA,0.029166666666666667,21.5,19.7,0.0,36.7,26.9,17.0,4.8,144.0,4.2,1.3,13.0
BDI,1.8333333333333333,83.6,11.0,0.0,25.1,19.5,14.1,2.7,81.0,148.5,24.3,17.7
CPV,0.2943089430894309,40.4,7.6,0.0,28.7,24.9,21.1,4.1,123.0,36.2,5.8,22.5
KHM,1.6233333333333333,55.4,8.0,0.0,28.4,24.4,20.4,3.0,90.0,146.1,9.5,26.2
CMR,0.7685185185185185,61.1,14.1,0.0,31.3,24.2,17.2,3.6,108.0,83.0,7.9,18.6
CAN,6.4833333333333325,66.0,8.0,28.5,-7.7,-11.7,-15.7,0.2,6.0,38.9,11.0,2.7
CAF,0.3228070175438596,34.8,15.7,0.0,32.2,24.3,16.5,3.8,114.0,36.8,5.7,19.0
TCD,0.001851851851851852,12.4,17.4,0.1,32.4,23.6,14.9,5.4,162.0,0.3,0.1,9.5
CHL,0.2933333333333333,49.6,10.9,10.4,14.2,8.8,3.3,3.5,105.0,30.8,2.6,7.1
CHN,0.7472222222222222,41.6,12.5,20.9,6.0,-0.2,-6.5,1.2,36.0,26.9,6.3,4.7
COL,2.480952380952381,70.9,9.4,0.1,28.3,23.6,18.9,2.8,84.0,208.4,17.1,26.0
