Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.09365079365079364,28.8,16.6,21.0,13.3,5.0,-3.2,2.1,63.0,5.9,1.6,2.3
ALB,8.59,70.4,8.4,8.0,12.7,8.4,4.2,1.0,30.0,257.7,18.3,8.8
DZA,0.05053763440860215,33.1,13.3,0.1,25.8,19.2,12.6,3.1,93.0,4.7,1.4,8.9
AND,1.0962962962962963,62.5,8.3,18.4,8.0,3.8,-0.4,0.9,27.0,29.6,8.1,6.4
AGO,1.3833333333333333,74.1,11.9,0.0,28.5,22.5,16.6,3.4,102.0,141.1,11.5,19.9
ATG,2.2547008547008547,54.4,8.1,0.0,30.6,26.5,22.4,3.9,117.0,263.8,17.1,26.4
ARG,0.21257861635220124,45.6,14.5,2.8,25.2,17.9,10.7,5.3,159.0,33.8,5.0,11.7
ARM,0.7592592592592593,57.8,10.8,19.6,9.5,4.1,-1.3,0.9,27.0,20.5,8.3,5.3
AUS,0.16255707762557078,37.6,14.7,0.0,33.3,25.9,18.6,7.3,219.0,35.6,5.3,13.6
AUT,4.36,72.5,5.3,20.0,3.9,1.2,-1.4,0.5,15.0,65.4,13.5,5.7
AZE,1.227777777777778,64.3,8.4,7.4,12.6,8.4,4.2,1.2,36.0,44.2,8.8,8.0
BHS,0.806896551724138,61.8,9.2,0.0,27.9,23.2,18.6,2.9,87.0,70.2,8.3,21.6
BHR,0.124822695035461,29.7,13.0,0.0,30.3,23.8,17.3,4.7,141.0,17.6,7.0,14.8
BGD,0.10123456790123456,27.8,10.6,0.0,28.2,22.9,17.6,2.7,81.0,8.2,1.3,20.8
BRB,2.25,52.5,6.9,0.0,30.0,26.5,23.1,3.6,108.0,243.0,17.9,27.8
BLR,10.266666666666667,88.4,4.2,18.1,4.0,1.8,-0.3,0.2,6.0,61.6,19.2,6.7
BEL,2.891666666666667,76.5,6.4,12.7,8.2,5.0,1.8,0.4,12.0,34.7,13.4,8.2
BLZ,1.092753623188406,59.6,7.9,0.0,26.8,22.8,18.9,2.3,69.0,75.4,9.8,26.1
BEN,0.08115942028985508,58.9,17.6,0.0,38.2,29.4,20.6,4.6,138.0,11.2,1.3,18.3
BTN,0.060416666666666674,25.0,13.3,18.5,10.7,4.0,-2.6,1.6,48.0,2.9,0.8,5.7
BOL,0.7916666666666666,66.5,12.2,1.2,30.6,24.5,18.4,4.8,144.0,114.0,9.8,21.2
BIH,8.423809523809524,78.3,6.7,12.8,8.5,5.1,1.8,0.7,21.0,176.9,17.7,7.3
BWA,0.12767295597484274,53.2,14.7,0.0,33.6,26.3,19.0,5.3,159.0,20.3,4.8,17.7
BRA,1.318918918918919,75.1,10.5,0.0,31.0,25.8,20.5,3.7,111.0,146.4,16.4,25.7
BRN,3.8137931034482766,71.9,6.8,0.0,29.8,26.4,23.0,2.9,87.0,331.8,23.5,30.3
BGR,4.545833333333333,77.1,7.7,10.1,10.6,6.8,2.9,0.8,24.0,109.1,11.0,8.3
BFA,0.013333333333333334,21.5,18.2,0.0,38.7,29.6,20.5,5.0,150.0,2.0,1.0,13.2
BDI,2.7487179487179487,83.6,10.9,0.0,24.8,19.4,14.0,2.6,78.0,214.4,26.7,18.7
CPV,0.2593495934959349,40.4,7.6,0.0,29.2,25.4,21.7,4.1,123.0,31.9,2.8,23.2
KHM,0.901010101010101,54.9,7.4,0.0,29.8,26.1,22.5,3.3,99.0,89.2,6.9,27.3
CMR,0.4092592592592593,61.1,11.0,0.0,31.4,25.9,20.4,3.6,108.0,44.2,5.6,21.1
CAN,7.2666666666666675,67.2,7.4,28.7,-8.3,-11.9,-15.6,0.2,6.0,43.6,10.6,2.7
CAF,0.1264957264957265,34.8,14.9,0.0,32.1,24.6,17.2,3.9,117.0,14.8,2.7,19.3
TCD,0.0006060606060606062,12.4,17.3,0.1,33.0,24.4,15.8,5.5,165.0,0.1,0.0,9.7
CHL,0.34954954954954953,46.3,11.1,9.1,15.1,9.5,4.0,3.7,111.0,38.8,2.9,7.1
CHN,0.4972222222222222,43.1,11.9,21.1,5.1,-0.9,-6.9,1.2,36.0,17.9,5.2,4.6
COL,2.3666666666666667,70.0,10.0,0.0,29.9,24.9,20.0,3.2,96.0,227.2,17.4,25.9
COM,0.125,51.4,7.7,0.0,32.3,28.5,24.7,5.2,156.0,19.5,4.6,27.3
COG,2.7666666666666666,80.2,9.1,0.0,29.1,24.5,20.0,2.7,81.0,224.1,16.2,25.8
COD,1.865555555555556,75.4,10.5,0.0,29.4,24.1,18.9,3.0,90.0,167.9,14.5,23.4
CRI,4.204761904761905,58.0,9.4,0.0,27.5,22.7,18.1,2.8,84.0,353.2,20.6,25.0
CIV,0.8147058823529412,62.5,11.3,0.0,33.6,27.9,22.2,3.4,102.0,83.1,8.6,25.2
HRV,9.123809523809523,75.3,7.0,11.0,9.7,6.2,2.7,0.7,21.0,191.6,16.8,7.9
CUB,1.8185185185185184,57.0,8.6,0.0,28.0,23.6,19.3,2.7,81.0,147.3,11.8,24.2
CYP,1.4402777777777778,40.1,9.5,0.1,21.8,17.0,12.3,2.4,72.0,103.7,9.8,12.4
CZE,2.64,87.1,4.8,18.0,4.6,2.1,-0.3,0.5,15.0,39.6,14.0,6.2
DNK,7.833333333333332,75.4,4.8,14.7,5.8,3.4,1.0,0.2,6.0,47.0,14.7,7.5
DJI,0.14242424242424245,30.3,8.6,0.0,30.7,26.4,22.2,4.4,132.0,18.8,1.8,23.6
DMA,5.322619047619048,53.8,8.0,0.0,26.8,22.8,18.8,2.8,84.0,447.1,19.4,24.3
DOM,1.3655913978494625,58.2,9.8,0.0,29.2,24.3,19.4,3.1,93.0,127.0,13.2,23.5
ECU,1.2990196078431373,78.4,13.8,1.4,28.9,21.9,15.1,3.4,102.0,132.5,14.1,20.8
EGY,0.04583333333333333,24.8,14.3,0.0,27.7,20.5,13.3,4.0,120.0,5.5,0.7,11.7
SLV,0.12761904761904766,44.0,11.5,0.0,28.0,22.3,16.6,3.5,105.0,13.4,2.5,20.4
GNQ,2.6266666666666665,85.0,7.8,0.0,28.5,24.6,20.7,2.5,75.0,197.0,16.1,27.4
ERI,0.1449612403100775,19.7,12.6,0.0,31.0,24.7,18.4,4.3,129.0,18.7,3.3,18.7
EST,10.866666666666667,90.9,3.5,15.8,4.1,2.3,0.6,0.2,6.0,65.2,19.7,6.8
ETH,0.5391666666666667,31.7,12.8,0.2,27.9,21.5,15.1,4.0,120.0,64.7,8.7,16.0
FJI,1.1052631578947372,71.8,6.1,0.0,27.4,24.3,21.2,3.8,114.0,126.0,12.1,23.7
FIN,18.33333333333333,85.0,4.7,22.9,1.2,-1.2,-3.6,0.1,3.0,55.0,18.1,5.2
FRA,2.9285714285714284,73.4,7.4,10.9,10.1,6.3,2.6,0.7,21.0,61.5,12.9,8.3
GAB,3.061333333333333,89.6,8.1,0.0,29.2,25.1,21.1,2.5,75.0,229.6,17.3,27.1
GMB,0.0,30.9,14.9,0.0,35.4,27.9,20.5,4.1,123.0,0.0,0.3,22.6
GEO,1.856666666666667,66.3,9.2,17.7,8.1,3.5,-1.1,1.0,30.0,55.7,11.5,5.8
DEU,2.95,83.2,5.1,15.1,5.9,3.4,0.9,0.4,12.0,35.4,13.0,7.1
GHA,0.3747747747747748,56.8,12.5,0.0,35.7,29.5,23.2,3.7,111.0,41.6,8.3,23.5
GRC,4.0809523809523816,54.5,8.0,1.7,17.4,13.4,9.4,1.4,42.0,171.4,13.2,11.3
GRD,2.1685185185185185,51.3,7.5,0.0,30.9,27.1,23.4,3.6,108.0,234.2,17.8,29.0
GTM,0.2726190476190476,53.2,9.8,0.1,26.0,21.1,16.2,2.8,84.0,22.9,3.4,21.3
GIN,0.3333333333333333,49.1,13.2,0.0,32.7,26.1,19.5,3.9,117.0,39.0,5.0,21.6
GNB,0.18547008547008548,32.5,11.8,0.0,33.5,27.6,21.7,3.9,117.0,21.7,4.7,26.1
GUY,0.8166666666666667,58.1,9.5,0.0,31.1,26.4,21.6,3.8,114.0,93.1,12.9,23.7
HTI,2.2533333333333334,58.2,9.6,0.0,29.0,24.2,19.4,3.0,90.0,202.8,14.9,23.3
HND,1.325,53.7,8.3,0.0,25.6,21.4,17.3,2.8,84.0,111.3,12.2,22.3
HKG,0.20344827586206896,53.8,7.9,0.0,25.5,21.5,17.6,2.9,87.0,17.7,5.4,18.8
HUN,6.153333333333332,82.6,6.1,13.1,7.7,4.7,1.6,0.5,15.0,92.3,17.2,7.5
ISL,8.8,74.0,5.5,22.1,3.0,0.2,-2.6,0.3,9.0,79.2,16.2,5.3
IND,0.2388888888888889,21.4,13.2,2.1,26.8,20.2,13.6,3.0,90.0,21.5,1.1,14.7
IDN,2.035135135135135,64.8,9.6,0.0,31.3,26.5,21.7,3.7,111.0,225.9,17.9,27.8
IRN,0.22272727272727272,40.0,14.4,9.0,19.1,11.9,4.8,2.2,66.0,14.7,3.4,6.6
IRQ,0.6209876543209876,32.9,12.9,0.7,24.0,17.5,11.1,2.7,81.0,50.3,7.5,10.4
IRL,6.2666666666666675,73.9,5.4,7.6,9.4,6.6,3.9,0.4,12.0,75.2,16.2,9.0
ISR,0.7938271604938272,33.3,12.5,0.0,24.9,18.6,12.3,2.7,81.0,64.3,9.5,12.1
ITA,2.9972222222222222,61.3,6.7,4.8,13.8,10.4,7.1,1.2,36.0,107.9,13.2,10.0
JAM,8.917948717948716,61.4,8.3,0.0,28.1,23.9,19.8,2.6,78.0,695.6,19.9,26.1
JPN,3.0794871794871788,69.8,8.1,9.3,12.1,8.0,4.0,1.3,39.0,120.1,18.1,8.5
JOR,0.14444444444444446,28.7,13.9,0.3,23.1,16.1,9.2,3.0,90.0,13.0,3.8,8.6
KAZ,0.8666666666666667,59.0,10.2,27.8,0.8,-4.3,-9.4,0.6,18.0,15.6,7.0,3.4
KEN,0.8103174603174603,64.4,10.9,0.1,29.6,24.1,18.7,4.2,126.0,102.1,14.4,20.3
KIR,,72.4,6.0,0.0,31.7,28.7,25.8,,,59.0,14.0,28.8
PRK,0.34444444444444444,44.6,10.1,24.0,5.0,-0.0,-5.1,1.2,36.0,12.4,5.5,3.9
KOR,1.3307692307692307,56.5,9.0,9.8,12.4,7.8,3.3,1.3,39.0,51.9,8.7,7.6
KWT,0.3099099099099099,35.6,12.5,0.0,27.6,21.3,15.1,3.7,111.0,34.4,6.9,12.6
KGZ,1.1708333333333334,49.3,12.4,29.6,-4.3,-10.5,-16.8,0.8,24.0,28.1,6.2,0.4
LAO,0.9358024691358025,51.0,9.3,0.0,26.3,21.6,17.0,2.7,81.0,75.8,6.7,20.0
LVA,22.46666666666667,92.1,3.4,16.2,3.9,2.1,0.4,0.1,3.0,67.4,19.8,7.0
LBN,1.6217391304347828,40.2,10.7,1.2,20.5,15.2,9.8,2.3,69.0,111.9,9.5,10.7
LSO,0.4643939393939394,54.3,14.8,2.1,22.4,15.0,7.6,4.4,132.0,61.3,10.6,9.6
LBR,1.5343137254901962,68.1,10.5,0.0,31.4,26.1,20.9,3.4,102.0,156.5,13.5,24.9
LBY,0.090990990990991,19.8,14.0,0.0,26.1,19.1,12.1,3.7,111.0,10.1,1.6,9.7
LIE,4.073333333333333,73.9,5.2,21.5,3.5,0.9,-1.7,0.5,15.0,61.1,12.2,5.4
LTU,21.133333333333333,91.7,3.4,15.6,4.1,2.3,0.7,0.1,3.0,63.4,18.9,7.1
LUX,2.7916666666666665,79.9,6.1,15.8,6.7,3.7,0.6,0.4,12.0,33.5,13.0,7.3
MDG,0.2409090909090909,56.8,9.3,0.0,30.8,26.1,21.5,4.4,132.0,31.8,7.3,26.5
MWI,0.3819444444444444,60.2,11.0,0.0,30.9,25.3,19.9,4.8,144.0,55.0,5.6,20.1
MYS,4.265476190476192,76.1,7.8,0.0,29.4,25.5,21.6,2.8,84.0,358.3,26.1,28.4
MDV,,59.1,6.0,0.0,30.0,27.0,24.0,,,238.0,14.3,28.8
MLI,0.008843537414965987,37.2,16.1,0.0,35.6,27.5,19.5,4.9,147.0,1.3,0.2,9.4
MLT,,51.3,7.1,0.0,21.9,18.4,14.9,,,26.3,5.8,15.5
MHL,,65.4,5.8,0.0,30.5,27.6,24.8,,,223.7,17.3,29.2
MRT,0.0022222222222222227,27.0,14.4,0.0,33.7,26.5,19.4,4.5,135.0,0.3,0.2,10.3
MUS,0.6458333333333334,63.5,7.5,0.0,29.3,25.5,21.7,4.8,144.0,93.0,15.8,21.7
MEX,0.07254901960784314,42.5,16.2,2.9,26.3,18.2,10.1,3.4,102.0,7.4,1.3,13.2
MDA,2.6666666666666665,79.2,6.3,13.3,7.8,4.7,1.6,0.5,15.0,40.0,11.2,7.7
MCO,2.4452380952380954,54.6,7.4,2.7,13.9,10.2,6.5,1.4,42.0,102.7,10.3,8.7
MNG,0.36666666666666653,34.8,12.4,30.0,-5.5,-11.7,-17.9,0.5,15.0,5.5,4.1,1.6
MNE,7.2666666666666675,75.0,6.4,14.4,7.7,4.5,1.3,1.0,30.0,218.0,18.2,6.1
MAR,0.4803030303030303,42.6,10.0,0.6,21.2,16.2,11.2,2.2,66.0,31.7,5.7,12.7
MOZ,0.25066666666666665,57.9,11.5,0.0,32.5,26.7,21.0,5.0,150.0,37.6,5.2,22.8
MMR,0.37777777777777777,38.2,11.3,0.6,28.0,22.3,16.7,2.7,81.0,30.6,4.1,20.4
NAM,0.1351851851851852,43.9,14.4,0.0,30.5,23.3,16.2,5.4,162.0,21.9,5.1,12.7
NRU,,74.4,6.4,0.0,31.3,28.1,24.9,,,211.2,24.0,29.3
NPL,0.02291666666666667,34.0,14.2,17.4,10.6,3.5,-3.6,1.6,48.0,1.1,0.3,5.2
NLD,5.7666666666666675,83.7,5.6,11.4,7.9,5.1,2.3,0.3,9.0,51.9,15.5,8.3
NZL,1.2188888888888891,66.7,10.4,3.2,17.2,12.0,6.8,3.0,90.0,109.7,11.8,10.5
NIC,2.552222222222222,52.3,8.4,0.0,27.2,23.0,18.8,3.0,90.0,229.7,19.4,23.8
NER,0.0,12.2,18.1,0.0,34.7,25.7,16.6,6.0,180.0,0.0,0.0,7.8
NGA,0.1111111111111111,51.5,15.4,0.0,35.8,28.1,20.4,5.1,153.0,17.0,1.5,17.3
NOR,11.033333333333333,72.3,4.9,24.1,0.0,-2.4,-4.9,0.3,9.0,99.3,19.8,4.4
OMN,0.023577235772357718,26.0,10.3,0.0,29.8,24.6,19.4,4.1,123.0,2.9,0.4,20.1
PAK,0.025,13.9,16.8,6.1,23.3,14.9,6.5,2.4,72.0,1.8,0.4,8.1
PLW,2.9744444444444444,74.4,7.2,0.0,30.5,26.8,23.3,3.0,90.0,267.7,18.2,29.2
PAN,4.45625,63.8,8.1,0.0,29.0,24.9,20.9,3.2,96.0,427.8,23.0,26.0
PNG,1.8541666666666667,69.5,11.1,0.0,31.6,26.0,20.5,4.0,120.0,222.5,17.0,26.4
