Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
SLV,3.358870967741935,57.6,9.5,0.0,27.7,22.9,18.2,3.2,99.2,333.2,27.8,23.8
GNQ,4.369032258064516,91.5,7.7,0.0,28.6,24.8,21.0,2.5,77.5,338.6,21.7,26.5
ERI,0.08415147265077139,25.4,12.0,0.0,30.8,24.7,18.7,4.6,142.6,12.0,2.8,20.4
EST,1.817204301075269,80.4,4.9,3.8,10.8,8.4,5.9,0.9,27.9,50.7,14.4,9.0
ETH,0.3093465674110835,44.4,12.9,0.2,27.9,21.4,15.0,3.9,120.9,37.4,5.0,17.3
FJI,3.294354838709677,67.9,6.6,0.0,27.5,24.2,20.9,4.0,124.0,408.5,26.6,22.2
FIN,3.367741935483872,79.6,5.6,14.7,6.6,3.8,1.0,0.5,15.5,52.2,18.1,7.0
FRA,1.5741935483870968,64.7,8.1,1.0,16.8,12.8,8.8,1.5,46.5,73.2,12.2,11.5
GAB,2.842431761786601,92.0,8.2,0.0,29.8,25.7,21.6,2.6,80.6,229.1,18.1,26.7
GMB,0.8894009216589862,34.0,11.6,0.0,34.0,28.2,22.4,4.2,130.2,115.8,13.4,27.1
GEO,1.6185958254269448,53.9,11.2,11.4,14.6,9.0,3.5,1.7,52.7,85.3,13.3,8.0
DEU,0.313782991202346,74.3,9.2,4.0,15.0,10.4,5.8,1.1,34.1,10.7,6.4,10.3
GHA,1.3431085043988271,67.1,9.6,0.0,31.8,27.0,22.2,3.3,102.3,137.4,18.3,26.5
GRC,0.6812903225806451,41.6,8.6,0.1,22.6,18.3,14.0,2.5,77.5,52.8,6.7,14.2
GRD,1.7173174872665535,53.8,7.9,0.0,31.3,27.3,23.4,3.8,117.8,202.3,15.4,29.3
GTM,7.243604004449388,60.9,7.9,0.0,26.6,22.6,18.7,2.9,89.9,651.2,27.8,24.3
GIN,1.6584440227703985,59.5,10.6,0.0,30.6,25.2,20.0,3.4,105.4,174.8,15.2,24.1
GNB,2.200165425971877,41.1,9.4,0.0,31.8,27.1,22.5,3.9,120.9,266.0,16.4,27.5
GUY,0.4697088906372935,57.2,9.8,0.0,32.0,27.1,22.3,4.1,127.1,59.7,8.5,24.7
HTI,2.7026209677419355,62.9,8.9,0.0,29.8,25.3,20.9,3.2,99.2,268.1,17.9,25.6
HND,3.5816532258064515,55.9,8.4,0.0,27.1,22.8,18.7,3.2,99.2,355.3,25.5,24.2
HKG,0.3489736070381232,61.1,8.4,0.0,29.1,24.9,20.7,3.3,102.3,35.7,6.6,24.8
HUN,0.22350230414746544,55.0,10.6,2.5,17.4,12.0,6.8,1.4,43.4,9.7,4.0,10.7
ISL,10.169354838709676,76.0,4.3,18.4,4.0,1.9,-0.3,0.4,12.4,126.1,20.5,6.1
IND,0.7911714770797963,28.7,11.7,1.6,29.7,23.8,18.0,3.8,117.8,93.2,4.1,18.6
IDN,1.979075850043592,62.9,10.1,0.0,30.7,25.6,20.5,3.7,114.7,227.0,17.7,27.2
IRN,0.07465437788018432,38.2,15.5,1.8,25.8,18.1,10.3,3.5,108.5,8.1,2.6,8.4
IRQ,0.05147563486616336,26.3,15.3,0.1,32.8,25.1,17.5,4.7,145.7,7.5,2.7,12.3
IRL,4.688172043010753,75.0,6.3,1.6,13.7,10.6,7.4,0.9,27.9,130.8,22.7,11.3
ISR,0.10669975186104218,25.8,10.6,0.0,29.5,24.2,18.9,3.9,120.9,12.9,3.8,17.1
ITA,1.2951612903225806,51.3,7.4,1.0,19.9,16.2,12.6,2.0,62.0,80.3,10.1,13.7
JAM,5.598924731182795,63.6,8.0,0.0,28.8,24.8,20.9,3.0,93.0,520.7,21.9,27.0
JPN,2.960950764006791,63.6,9.2,2.1,18.2,13.6,9.0,1.9,58.9,174.4,18.8,12.1
JOR,0.024372759856630826,20.3,14.2,0.0,30.1,23.0,15.9,4.5,139.5,3.4,1.7,12.0
KAZ,0.2597623089983022,50.5,12.6,17.8,12.4,6.1,-0.1,1.9,58.9,15.3,5.9,5.3
KEN,0.14893617021276595,63.3,12.0,0.1,30.5,24.5,18.6,4.7,145.7,21.7,5.3,19.6
KIR,,66.9,6.1,0.0,32.4,29.4,26.3,,,111.7,18.7,28.4
PRK,1.0303605313092978,36.3,12.6,12.0,14.9,8.6,2.3,1.7,52.7,54.3,8.7,8.8
KOR,1.2661290322580645,42.7,11.8,2.4,19.7,13.7,7.9,2.0,62.0,78.5,8.9,11.8
KWT,0.0,28.9,15.1,0.0,34.8,27.2,19.6,5.4,167.4,0.0,0.0,15.1
KGZ,0.4209677419354839,37.8,14.4,26.0,8.5,1.3,-5.9,2.0,62.0,26.1,5.7,0.9
LAO,0.21505376344086025,66.3,7.8,0.0,27.8,23.8,20.0,2.7,83.7,18.0,2.6,25.3
LVA,0.8673835125448028,81.1,5.4,4.0,11.2,8.5,5.8,0.9,27.9,24.2,9.4,9.1
LBN,0.1622119815668203,31.3,10.9,0.0,26.7,21.2,15.8,3.5,108.5,17.6,4.3,14.7
LSO,1.4524617996604414,50.5,13.1,3.8,19.4,12.8,6.3,3.8,117.8,171.1,16.0,8.1
LBR,2.842741935483871,75.8,10.0,0.0,30.4,25.4,20.4,3.2,99.2,282.0,20.7,25.1
LBY,0.028462998102466795,24.6,14.5,0.0,31.7,24.4,17.2,5.1,158.1,4.5,1.4,12.0
LIE,0.0032258064516129032,62.5,6.6,5.2,11.7,8.4,5.1,1.0,31.0,0.1,1.2,8.9
LTU,0.3935483870967741,79.7,6.0,4.0,11.8,8.8,5.8,1.0,31.0,12.2,7.8,9.2
LUX,0.8660049627791564,76.7,9.8,4.1,15.5,10.6,5.7,1.3,40.3,34.9,10.2,10.0
MDG,0.11959087332808813,51.0,10.0,0.0,27.5,22.5,17.5,4.1,127.1,15.2,4.1,20.6
MWI,0.002346041055718475,45.5,13.4,0.0,31.0,24.3,17.6,5.5,170.5,0.4,0.3,16.2
MYS,3.534562211981567,78.0,8.7,0.0,29.5,25.1,20.8,2.8,86.8,306.8,23.8,28.3
MDV,,63.9,5.6,0.0,29.3,26.5,23.7,,,300.4,17.9,28.2
MLI,0.119727047146402,42.9,14.3,0.0,37.0,29.8,22.7,5.2,161.2,19.3,2.3,14.4
MLT,,49.0,7.6,0.0,26.0,22.2,18.4,,,66.5,7.0,19.2
MHL,,61.3,6.0,0.0,30.8,27.8,24.8,,,292.6,19.4,29.5
MRT,0.03660049627791564,29.3,13.0,0.0,36.1,29.6,23.1,5.2,161.2,5.9,2.9,13.3
MUS,0.6171477079796265,61.3,7.3,0.0,25.1,21.4,17.8,3.8,117.8,72.7,16.1,19.8
MEX,0.8172043010752689,52.4,13.2,0.3,28.0,21.3,14.8,3.6,111.6,91.2,6.6,17.1
MDA,0.5118279569892473,51.6,10.1,3.4,16.2,11.1,6.1,1.5,46.5,23.8,7.0,9.8
MCO,1.4032258064516128,45.4,6.7,0.0,20.1,16.7,13.4,2.4,74.4,104.4,10.3,12.6
MNG,0.0903225806451613,27.3,15.3,27.2,8.5,0.9,-6.8,1.5,46.5,4.2,2.7,3.4
MNE,1.021505376344086,52.8,7.7,2.9,15.0,11.2,7.4,1.8,55.8,57.0,8.7,9.2
MAR,0.3548387096774194,43.3,11.7,0.3,23.5,17.6,11.8,3.2,99.2,35.2,6.5,12.0
MOZ,0.028535980148883373,49.8,12.8,0.0,32.3,25.8,19.4,5.2,161.2,4.6,1.4,20.3
MMR,0.8320355951056729,56.5,9.1,0.3,28.8,24.2,19.7,2.9,89.9,74.8,6.7,25.2
NAM,0.006086427267194157,38.9,16.4,0.0,30.6,22.4,14.2,5.3,164.3,1.0,0.7,10.6
NRU,,69.4,6.6,0.0,32.4,29.0,25.7,,,177.0,19.8,28.7
NPL,0.3660589060308556,40.1,13.6,13.9,15.9,9.0,2.2,2.3,71.3,26.1,2.4,8.0
NLD,0.7903225806451613,78.6,8.1,2.1,15.1,11.0,7.0,1.0,31.0,24.5,11.1,11.5
NZL,2.389901823281908,64.0,8.8,6.9,13.6,9.2,4.8,2.3,71.3,170.4,16.1,9.1
NIC,3.3870967741935485,57.6,8.6,0.0,28.3,24.0,19.7,3.1,96.1,325.5,22.2,26.5
NER,0.0030241935483870967,18.7,15.5,0.0,36.8,29.0,21.2,6.4,198.4,0.6,0.1,12.2
NGA,0.9181746656176241,62.2,11.4,0.0,32.9,27.2,21.5,4.1,127.1,116.7,8.2,23.4
NOR,7.496774193548387,75.9,5.1,15.2,5.9,3.3,0.8,0.5,15.5,116.2,20.9,6.8
OMN,0.010752688172043013,27.6,10.7,0.0,30.9,25.5,20.2,4.5,139.5,1.5,0.4,22.9
PAK,0.028770706190061026,8.1,15.9,3.4,28.8,20.9,12.9,3.7,114.7,3.3,0.4,11.7
PLW,3.1532258064516134,75.0,7.2,0.0,30.4,26.9,23.3,3.2,99.2,312.8,19.2,29.3
PAN,3.4594330400782014,64.5,8.4,0.0,29.3,25.1,20.9,3.3,102.3,353.9,20.4,26.8
PNG,2.5326331582895723,64.8,11.0,0.0,31.1,25.6,20.1,4.3,133.3,337.6,22.0,24.8
PRY,1.0754838709677421,55.7,12.8,0.0,32.2,25.8,19.4,5.0,155.0,166.7,10.1,20.6
PER,0.9227504244482172,70.6,12.9,3.0,27.8,21.3,14.9,3.8,117.8,108.7,9.4,19.3
PHL,2.9399332591768634,73.7,8.3,0.0,29.5,25.4,21.3,2.9,89.9,264.3,17.9,27.7
POL,0.3020527859237537,66.9,8.6,4.4,14.1,9.8,5.5,1.1,34.1,10.3,5.4,10.0
PRT,1.2082111436950147,61.9,9.1,0.2,20.3,15.8,11.3,2.2,68.2,82.4,11.8,13.1
QAT,0.0,27.5,12.7,0.0,34.6,28.3,22.0,5.7,176.7,0.0,0.0,20.5
ROU,0.5622119815668203,55.0,10.8,5.2,16.4,10.9,5.6,1.4,43.4,24.4,5.7,10.4
RUS,1.8172043010752683,73.9,8.5,25.3,1.9,-2.3,-6.5,0.6,18.6,33.8,14.4,4.3
RWA,1.1313364055299542,78.7,12.5,0.0,24.1,17.8,11.6,2.8,86.8,98.2,17.9,15.6
KNA,2.850094876660341,58.8,7.2,0.0,28.8,25.2,21.6,3.4,105.4,300.4,20.4,26.5
LCA,,56.3,6.7,0.0,29.6,26.2,22.9,,,232.5,16.3,29.2
VCT,1.5344376634699215,55.0,7.1,0.0,31.0,27.4,23.9,3.7,114.7,176.0,15.3,29.8
WSM,2.2646815550041355,66.8,5.8,0.0,29.4,26.5,23.6,3.9,120.9,273.8,5.0,28.8
SMR,2.2144212523719164,51.7,6.4,0.0,17.6,14.4,11.2,1.7,52.7,116.7,11.8,12.3
