Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.6429824561403509,48.2,13.9,10.1,17.6,10.6,3.7,3.8,114.0,73.3,9.9,4.9
ALB,2.2115942028985507,64.4,9.6,6.0,14.7,9.9,5.2,2.3,69.0,152.6,18.8,9.2
DZA,0.023214285714285715,40.2,14.6,0.2,30.6,23.3,16.0,5.6,168.0,3.9,1.2,8.4
AND,0.9507936507936507,65.0,9.5,14.5,10.6,5.8,1.1,2.1,63.0,59.9,13.9,6.7
AGO,1.7559139784946238,64.3,12.4,0.0,28.8,22.5,16.3,3.1,93.0,163.3,11.6,19.8
ATG,1.0007246376811594,53.8,7.3,0.0,28.6,25.0,21.4,4.6,138.0,138.1,11.7,24.0
ARG,0.3583333333333333,43.8,12.8,4.0,21.1,14.7,8.3,2.8,84.0,30.1,4.5,11.2
ARM,0.9906666666666666,63.0,11.5,15.2,12.4,6.6,0.8,2.5,75.0,74.3,14.5,5.2
AUS,0.12318840579710146,27.3,14.7,0.3,28.3,21.0,13.7,4.6,138.0,17.0,3.2,12.8
AUT,2.1750000000000003,74.8,7.7,14.0,9.0,5.1,1.3,1.6,48.0,104.4,16.6,7.1
AZE,0.5282051282051282,66.9,10.8,6.3,15.7,10.3,5.0,2.6,78.0,41.2,9.0,8.0
BHS,0.6878787878787879,50.6,10.3,0.0,29.0,23.8,18.7,4.4,132.0,90.8,7.4,21.8
BHR,0.02523809523809524,39.6,13.2,0.0,32.9,26.3,19.7,7.0,210.0,5.3,3.4,16.0
BGD,0.7013333333333334,42.2,11.1,0.0,33.5,27.9,22.4,5.0,150.0,105.2,4.6,23.5
BRB,0.8044444444444444,55.7,7.8,0.0,29.5,25.6,21.8,4.5,135.0,108.6,11.6,24.8
BLR,1.03,66.8,10.1,10.1,13.0,7.9,2.8,2.0,60.0,61.8,14.8,7.7
BEL,1.707936507936508,69.1,7.9,5.0,13.1,9.1,5.2,2.1,63.0,107.6,21.3,8.7
BLZ,0.7577777777777778,49.7,9.7,0.0,31.0,26.2,21.4,4.5,135.0,102.3,8.8,27.2
BEN,0.22592592592592595,71.0,11.7,0.0,37.8,31.9,26.1,5.4,162.0,36.6,4.5,23.7
BTN,0.6988888888888889,47.7,11.6,11.3,14.6,8.8,3.0,3.0,90.0,62.9,4.9,7.1
BOL,0.9611111111111112,57.6,13.4,3.3,28.0,21.3,14.6,3.6,108.0,103.8,8.4,19.0
BIH,2.53,76.8,8.9,7.5,13.0,8.5,4.1,2.0,60.0,151.8,18.3,8.2
