Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.01895424836601307,21.8,17.3,2.8,27.0,18.3,9.7,5.1,153.0,2.9,1.1,5.6
ALB,0.4526881720430108,41.8,13.5,0.3,24.6,17.8,11.1,3.1,93.0,42.1,6.7,13.8
DZA,0.012280701754385965,37.3,14.1,0.0,36.5,29.4,22.3,5.7,171.0,2.1,0.9,12.7
AND,1.1666666666666667,52.5,10.4,0.4,19.1,13.9,8.7,2.6,78.0,91.0,10.4,11.7
AGO,0.2533333333333333,55.6,15.2,0.0,29.9,22.3,14.7,4.0,120.0,30.4,2.3,14.4
ATG,2.115833333333333,58.8,6.6,0.0,29.3,26.0,22.7,4.0,120.0,253.9,17.7,26.8
ARG,0.15625,45.3,14.0,9.8,18.0,11.0,4.0,3.2,96.0,15.0,3.2,7.7
ARM,0.1973684210526316,32.7,15.1,0.5,25.4,17.9,10.3,3.8,114.0,22.5,4.8,8.8
AUS,0.14487179487179488,26.3,14.9,1.1,26.2,18.7,11.3,5.2,156.0,22.6,4.4,10.3
AUT,1.4385964912280702,58.8,9.1,2.1,16.6,12.1,7.6,1.9,57.0,82.0,11.9,11.4
AZE,0.1649122807017544,42.4,12.2,0.6,27.8,21.7,15.6,3.8,114.0,18.8,3.4,14.3
BHS,1.4470085470085472,63.4,9.8,0.0,31.9,27.0,22.2,3.9,117.0,169.3,13.1,26.7
BHR,0.0,24.9,14.8,0.0,40.8,33.4,26.0,8.1,243.0,0.0,0.0,18.4
BGD,3.147126436781609,79.8,6.2,0.0,31.0,27.8,24.8,2.9,87.0,273.8,12.4,30.7
BRB,1.5719298245614035,57.5,7.3,0.0,29.4,25.8,22.2,3.8,114.0,179.2,16.3,27.0
BLR,1.2425925925925925,61.8,9.6,0.8,17.7,12.9,8.2,1.8,54.0,67.1,15.1,11.7
BEL,1.9483333333333333,66.4,9.4,0.1,19.5,14.8,10.1,2.0,60.0,116.9,20.1,13.5
BLZ,1.9297297297297296,64.2,8.4,0.0,31.3,27.1,23.0,3.7,111.0,214.2,18.3,30.3
BEN,2.0385416666666667,79.9,10.2,0.0,31.0,25.9,20.8,3.2,96.0,195.7,16.4,25.5
BTN,2.3289855072463768,77.4,9.7,5.1,17.8,12.9,8.1,2.3,69.0,160.7,12.7,10.9
BOL,0.6305555555555555,53.2,14.6,3.3,29.4,22.1,14.9,4.8,144.0,90.8,6.4,17.0
BIH,0.6564102564102564,49.4,12.2,0.5,21.8,15.7,9.6,2.6,78.0,51.2,8.7,12.7
BWA,0.04393939393939394,36.1,18.4,0.2,30.5,21.3,12.1,4.4,132.0,5.8,1.6,12.0
BRA,0.6236842105263157,65.5,12.1,0.0,30.8,24.7,18.7,3.8,114.0,71.1,10.3,22.7
BRN,2.381720430107527,75.1,7.2,0.0,30.0,26.4,22.9,3.1,93.0,221.5,18.1,30.0
BGR,0.21555555555555556,45.2,13.9,0.3,24.1,17.1,10.2,3.0,90.0,19.4,4.2,13.4
BFA,1.1925925925925926,46.8,11.9,0.0,33.6,27.6,21.7,4.5,135.0,161.0,14.8,24.6
BDI,0.581081081081081,66.8,12.8,0.0,27.0,20.6,14.2,3.7,111.0,64.5,10.3,16.2
CPV,0.6265151515151516,48.0,6.7,0.0,29.7,26.3,23.0,4.4,132.0,82.7,5.3,26.4
