"Programme for International Student Assessment (PISA) score in science"
"HDI Rank","Country","2015"
"68"," Albania","427  a"
"85"," Algeria","376  a"
"47"," Argentina","475  a,b"
"3"," Australia","510  a"
"20"," Austria","495  a"
"17"," Belgium","502  a"
"79"," Brazil","401  a"
"51"," Bulgaria","446  a"
"12"," Canada","528  a"
"44"," Chile","447  a"
"86"," China","518  a,c"
"90"," Colombia","416  a"
"63"," Costa Rica","420  a"
"46"," Croatia","475  a"
"32"," Cyprus","433  a"
"27"," Czechia","493  a"
"11"," Denmark","502  a"
"94"," Dominican Republic","332  a"
"30"," Estonia","534  a"
"15"," Finland","531  a"
"24"," France","495  a"
"70"," Georgia","411  a"
"5"," Germany","509  a"
"31"," Greece","455  a"
"7"," Hong Kong, China (SAR)","523  a"
"45"," Hungary","477  a"
"6"," Iceland","473  a"
"116"," Indonesia","403  a"
"4"," Ireland","503  a"
"22"," Israel","467  a"
"28"," Italy","481  a"
"19"," Japan","538  a"
"95"," Jordan","409  a"
"22"," Korea (Republic of)","516  a"
"41"," Latvia","490  a"
"80"," Lebanon","386  a"
"35"," Lithuania","475  a"
"21"," Luxembourg","483  a"
"29"," Malta","465  a"
"74"," Mexico","416  a"
"112"," Moldova (Republic of)","428  a"
"50"," Montenegro","411  a"
"10"," Netherlands","509  a"
"16"," New Zealand","513  a"
"1"," Norway","498  a"
"89"," Peru","397  a"
"33"," Poland","501  a"
"41"," Portugal","501  a"
"37"," Qatar","418  a"
"52"," Romania","435  a"
"49"," Russian Federation","487  a"
"9"," Singapore","556  a"
"38"," Slovakia","461  a"
"25"," Slovenia","513  a"
"26"," Spain","493  a"
"7"," Sweden","493  a"
"2"," Switzerland","506  a"
"83"," Thailand","421  a"
"80"," The former Yugoslav Republic of Macedonia","384  a"
"69"," Trinidad and Tobago","425  a"
"95"," Tunisia","386  a"
"64"," Turkey","425  a"
"34"," United Arab Emirates","437  a"
"14"," United Kingdom","509  a"
"13"," United States","496  a"
"55"," Uruguay","435  a"
"116"," Viet Nam","525  a"
"<a name="a"></a>a: Average score for OECD countries is 493.<br /><a name="a"></a>b: Refers to the adjudicated region of Ciudad Autónoma de Buenos Aires.<br /><a name="a"></a>c: Refers to the provinces of Beijing, Guangdong, Jiangsu and Shanghai.<br />"
