"Gross enrolment ratio, tertiary (% of tertiary school-age population)"
"HDI Rank (2017)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"168"," Afghanistan","2","","","","","","","","","","4","","","","","","8","","","","","","",""
"68"," Albania","8","","10","","16","","23","","45","","50","","61","","68","","70","","66","","61","","",""
"85"," Algeria","10","","10","","","","21","","30","","31","","32","","34","","34","","37","","43","","",""
"147"," Angola","1","","","","","","2","","","","6","","","","9","","","","9","","","","",""
"70"," Antigua and Barbuda","","","","","","","","","15","","13","","22","","","","","","","","","","",""
"47"," Argentina","","","","","53","","64","","74","","77","","79","","80","","83","","86","","","","",""
"83"," Armenia","23","","19","","36","","40","","53","","53","","46","","46","","47","","47","","51","","",""
"3"," Australia","35","","70","","","","","","","","","","","","","","","","120","","122","","",""
"20"," Austria","33","","45","","","","","","76","","79","","79","","79","","79","","81","","83","","",""
"80"," Azerbaijan","24","","18","","","","","","19","","20","","20","","21","","23","","25","","27","","",""
"54"," Bahamas","","","15","","","","","","","","","","","","","","","","","","","","",""
"43"," Bahrain","","","17","","","","24","","","","44","","43","","40","","41","","43","","47","","",""
"136"," Bangladesh","4","","","","5","","6","","","","13","","13","","","","13","","","","17","","",""
"58"," Barbados","17","","","","41","","","","70","","65","","","","","","","","","","","","",""
"53"," Belarus","49","","41","","55","","67","","79","","86","","91","","93","","90","","88","","87","","",""
"17"," Belgium","38","","53","","58","","61","","68","","70","","71","","72","","73","","75","","","","",""
"106"," Belize","","","","","","","16","","22","","22","","24","","24","","","","23","","24","","",""
"163"," Benin","2","","2","","4","","6","","14","","13","","14","","16","","16","","14","","13","","",""
"134"," Bhutan","","","","","","","5","","7","","8","","9","","11","","","","","","","","",""
"77"," Bosnia and Herzegovina","","","","","21","","","","","","","","","","","","","","","","","","",""
"101"," Botswana","","","5","","7","","9","","20","","18","","22","","","","26","","28","","24","","23",""
"79"," Brazil","","","","","","","26","","","","43","","45","","46","","49","","51","","","","",""
"39"," Brunei Darussalam","","","","","13","","15","","15","","17","","22","","24","","32","","31","","31","","",""
"51"," Bulgaria","26","","36","","44","","45","","58","","59","","61","","64","","68","","70","","71","","",""
