"Gross enrolment ratio, pre-primary (% of preschool-age children)"
"HDI Rank (2017)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"68"," Albania","56","","37","","44","","51","","65","","70","","78","","83","","84","","87","","88","","",""
"85"," Algeria","","","2","","3","","6","","84","","79","","","","","","","","","","","","",""
"147"," Angola","15","","","","","","","","85","","73","","","","","","","","","","","","",""
"70"," Antigua and Barbuda","","","","","53","","","","76","","75","","80","","","","","","86","","","","",""
"47"," Argentina","","","","","60","","64","","68","","68","","70","","72","","73","","74","","","","",""
"83"," Armenia","48","","32","","26","","32","","","","52","","55","","50","","50","","52","","52","","",""
"3"," Australia","70","","94","","","","86","","79","","96","","108","","109","","114","","125","","169","","",""
"20"," Austria","72","","79","","80","","89","","101","","101","","104","","100","","101","","102","","104","","",""
"80"," Azerbaijan","21","","19","","19","","25","","26","","27","","25","","26","","23","","24","","23","","",""
"54"," Bahamas","","","","","16","","","","","","","","","","","","","","","","32","","",""
"43"," Bahrain","","","35","","34","","38","","50","","51","","51","","54","","57","","56","","55","","",""
"136"," Bangladesh","","","","","17","","11","","13","","25","","","","32","","","","31","","34","","",""
"58"," Barbados","","","","","69","","84","","79","","76","","","","","","84","","84","","80","","",""
"53"," Belarus","95","","82","","85","","103","","102","","105","","103","","104","","103","","101","","99","","",""
"17"," Belgium","103","","118","","110","","119","","119","","121","","120","","119","","118","","117","","","","",""
"106"," Belize","23","","28","","26","","28","","43","","43","","47","","49","","50","","50","","50","","",""
"163"," Benin","3","","3","","6","","6","","17","","19","","19","","20","","21","","24","","","","",""
"134"," Bhutan","","","1","","1","","1","","2","","5","","9","","13","","17","","20","","25","","",""
"118"," Bolivia (Plurinational State of)","31","","38","","49","","52","","48","","55","","60","","63","","68","","71","","74","","",""
"101"," Botswana","","","","","","","16","","","","","","16","","19","","20","","","","","","",""
"79"," Brazil","","","","","","","","","","","54","","56","","86","","89","","92","","","","",""
"39"," Brunei Darussalam","","","52","","47","","59","","67","","68","","70","","70","","71","","70","","70","","",""
"51"," Bulgaria","69","","60","","70","","85","","82","","82","","82","","83","","84","","84","","81","","",""
"183"," Burkina Faso","1","","1","","","","","","3","","3","","4","","4","","4","","4","","3","","",""
"185"," Burundi","","","","","1","","2","","11","","8","","9","","9","","11","","14","","14","","",""
"125"," Cabo Verde","","","","","","","60","","64","","68","","66","","66","","66","","70","","72","","",""
"146"," Cambodia","6","","5","","6","","11","","13","","12","","15","","15","","18","","18","","19","","",""
"151"," Cameroon","12","","10","","13","","19","","26","","27","","30","","","","35","","38","","40","","",""
"12"," Canada","62","","64","","","","","","","","","","","","","","","","","","","","",""
"188"," Central African Republic","","","","","","","3","","","","5","","","","","","","","","","","","",""
"186"," Chad","","","0","","","","","","2","","2","","1","","","","","","","","","","",""
"44"," Chile","81","","98","","83","","80","","104","","110","","112","","79","","82","","84","","85","","",""
"86"," China","21","","25","","44","","","","55","","61","","70","","74","","78","","80","","84","","",""
"90"," Colombia","","","28","","42","","46","","54","","55","","","","","","","","","","","","",""
"165"," Comoros","","","","","2","","","","","","","","","","23","","21","","","","","","",""
"137"," Congo","3","","1","","3","","7","","11","","11","","13","","","","","","","","","","",""
"176"," Congo (Democratic Republic of the)","","","","","","","","","3","","4","","4","","4","","4","","4","","","","",""
"63"," Costa Rica","30","","36","","46","","72","","77","","77","","76","","78","","79","","78","","78","","",""
"46"," Croatia","28","","36","","52","","46","","62","","63","","63","","62","","61","","63","","63","","",""
"73"," Cuba","90","","88","","103","","107","","103","","105","","107","","93","","99","","102","","","","",""
"32"," Cyprus","40","","59","","57","","65","","79","","79","","78","","79","","77","","80","","","","",""
"27"," Czechia","106","","90","","90","","116","","102","","104","","104","","104","","104","","105","","","","",""
"170"," Côte d'Ivoire","1","","2","","2","","","","","","4","","5","","6","","6","","7","","8","","",""
"11"," Denmark","96","","81","","91","","95","","100","","100","","102","","97","","96","","96","","96","","",""
"172"," Djibouti","1","","1","","1","","","","","","5","","4","","","","","","5","","5","","7",""
"103"," Dominica","75","","","","71","","98","","105","","102","","95","","99","","85","","87","","84","","",""
"94"," Dominican Republic","","","24","","34","","32","","38","","37","","39","","42","","44","","44","","44","","",""
"86"," Ecuador","43","","48","","64","","76","","46","","49","","53","","56","","63","","71","","71","","72",""
"115"," Egypt","5","","7","","11","","16","","27","","24","","24","","24","","30","","","","30","","",""
"121"," El Salvador","","","30","","44","","57","","63","","63","","63","","64","","66","","66","","66","","",""
"141"," Equatorial Guinea","","","","","24","","30","","","","54","","52","","","","","","43","","","","",""
"179"," Eritrea","","","4","","6","","15","","16","","18","","17","","17","","16","","14","","","","",""
"30"," Estonia","91","","65","","92","","119","","87","","87","","88","","","","","","","","","","",""
"144"," Eswatini (Kingdom of)","13","","","","","","","","22","","25","","","","","","","","","","","","",""
"173"," Ethiopia","2","","1","","2","","2","","4","","5","","18","","","","25","","30","","","","",""
"92"," Fiji","13","","12","","11","","","","","","","","","","","","","","","","","","",""
"15"," Finland","34","","38","","48","","60","","68","","69","","70","","81","","80","","80","","83","","",""
"24"," France","108","","113","","111","","116","","109","","108","","108","","108","","109","","109","","","","",""
"110"," Gabon","","","","","","","","","","","35","","","","","","","","","","","","",""
"174"," Gambia","","","","","","","","","29","","","","","","32","","39","","39","","39","","39",""
"70"," Georgia","","","25","","37","","51","","","","","","","","","","","","","","","","",""
"5"," Germany","","","83","","97","","96","","113","","114","","115","","107","","108","","107","","","","",""
"140"," Ghana","36","","","","62","","60","","","","112","","112","","114","","113","","119","","117","","",""
"31"," Greece","54","","60","","66","","63","","72","","75","","73","","48","","46","","47","","","","",""
"75"," Grenada","","","68","","","","87","","99","","","","","","94","","91","","86","","89","","",""
"127"," Guatemala","","","33","","49","","57","","69","","68","","64","","44","","45","","46","","45","","",""
"175"," Guinea","","","","","","","9","","12","","15","","","","","","","","","","","","",""
"177"," Guinea-Bissau","","","","","4","","","","7","","","","","","","","","","","","","","",""
"125"," Guyana","","","85","","90","","91","","80","","87","","92","","","","","","","","","","",""
"133"," Honduras","12","","14","","21","","31","","41","","42","","41","","40","","41","","40","","41","","",""
"7"," Hong Kong, China (SAR)","85","","85","","","","","","","","","","114","","112","","107","","107","","108","","",""
"45"," Hungary","85","","79","","80","","87","","85","","88","","88","","88","","86","","81","","82","","",""
"6"," Iceland","100","","","","85","","99","","96","","96","","96","","96","","98","","97","","","","",""
"130"," India","3","","4","","","","6","","7","","8","","8","","10","","12","","12","","13","","",""
"116"," Indonesia","17","","19","","24","","31","","41","","42","","49","","53","","56","","","","60","","",""
"60"," Iran (Islamic Republic of)","12","","8","","17","","45","","41","","41","","35","","38","","42","","51","","","","",""
"120"," Iraq","","","","","5","","","","","","","","","","","","","","","","","","",""
"4"," Ireland","98","","108","","","","","","","","","","102","","108","","107","","97","","113","","",""
"22"," Israel","86","","77","","88","","94","","97","","104","","102","","112","","110","","111","","111","","",""
"28"," Italy","90","","95","","97","","103","","100","","100","","100","","100","","99","","99","","","","",""
"97"," Jamaica","76","","77","","83","","92","","","","","","","","98","","78","","87","","76","","",""
"19"," Japan","46","","48","","83","","87","","87","","85","","86","","87","","86","","86","","","","",""
"95"," Jordan","19","","23","","29","","","","","","","","","","","","","","","","","","",""
"58"," Kazakhstan","81","","38","","20","","33","","","","48","","53","","57","","57","","60","","59","","54",""
"142"," Kenya","34","","36","","42","","47","","","","","","60","","","","73","","76","","77","","",""
"n.a"," Korea (Democratic People's Rep. of)","","","","","","","","","","","","","","","","","","","50","","","","",""
"22"," Korea (Republic of)","55","","86","","","","","","","","","","","","92","","93","","95","","","","",""
"56"," Kuwait","47","","68","","","","","","84","","83","","82","","77","","71","","68","","68","","",""
"122"," Kyrgyzstan","34","","9","","10","","13","","19","","20","","24","","26","","25","","28","","31","","",""
"139"," Lao People's Democratic Republic","7","","7","","8","","9","","20","","22","","25","","28","","32","","35","","40","","",""
"41"," Latvia","54","","37","","56","","91","","85","","86","","89","","91","","90","","87","","","","",""
"80"," Lebanon","","","83","","80","","73","","85","","85","","83","","85","","95","","78","","86","","",""
"159"," Lesotho","","","","","19","","29","","35","","40","","40","","36","","31","","34","","33","","",""
"181"," Liberia","","","","","74","","","","","","","","","","","","158","","156","","","","",""
"17"," Liechtenstein","","","","","","","","","104","","95","","99","","","","106","","104","","103","","",""
"35"," Lithuania","62","","34","","52","","67","","79","","80","","81","","83","","86","","89","","90","","",""
"21"," Luxembourg","91","","103","","78","","87","","89","","89","","92","","93","","94","","93","","","","",""
