"Primary school dropout rate (% of primary school cohort)"
"HDI Rank (2017)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016",""
"68"," Albania","","","18.0","","10.4","","","","2.1","","1.2","","1.3","","1.3","","4.3","","11.2","","",""
"85"," Algeria","9.8","","10.1","","5.4","","9.1","","5.4","","7.2","","3.8","","6.6","","6.2","","6.4","","",""
"35"," Andorra","","","","","","","","","","","","","","","29.3","","28.8","","","","",""
"147"," Angola","65.4","","","","","","","","","","","","","","","","","","","","",""
"47"," Argentina","","","","","9.2","","5.5","","6.9","","3.7","","5.4","","4.0","","4.7","","","","",""
"83"," Armenia","","","","","","","1.5","","4.0","","5.8","","","","9.8","","0.7","","5.3","","",""
"20"," Austria","","","","","","","","","0.6","","0.3","","0.4","","0.5","","0.6","","0.4","","",""
"80"," Azerbaijan","","","1.4","","4.0","","3.1","","2.8","","1.8","","1.2","","2.7","","2.4","","1.1","","",""
"54"," Bahamas","","","","","","","18.6","","","","","","","","","","","","","","",""
"43"," Bahrain","","","18.7","","7.7","","","","","","2.2","","","","","","","","1.4","","",""
"58"," Barbados","","","","","","","8.9","","6.6","","","","","","","","","","","","",""
"53"," Belarus","","","2.4","","1.1","","0.8","","1.8","","0.9","","1.3","","1.7","","1.6","","1.2","","",""
"106"," Belize","","","30.0","","16.4","","9.3","","9.1","","","","9.1","","5.3","","1.2","","","","",""
"163"," Benin","37.0","","48.4","","24.3","","","","44.2","","40.7","","46.8","","46.6","","42.7","","","","",""
"134"," Bhutan","","","","","18.6","","15.7","","9.0","","5.1","","21.1","","","","","","","","",""
"118"," Bolivia (Plurinational State of)","","","","","","","","","13.1","","9.8","","3.3","","5.3","","3.5","","4.1","","",""
"77"," Bosnia and Herzegovina","","","","","","","","","19.4","","16.7","","17.2","","13.5","","3.0","","4.4","","",""
"101"," Botswana","","","14.3","","15.5","","13.2","","","","","","6.0","","","","","","","","",""
"79"," Brazil","","","","","19.9","","","","","","","","","","","","","","","","",""
"39"," Brunei Darussalam","","","","","","","3.5","","3.4","","3.6","","","","","","","","","","",""
"51"," Bulgaria","5.1","","5.7","","5.3","","5.2","","3.4","","3.1","","4.0","","2.2","","3.9","","6.5","","",""
"183"," Burkina Faso","29.2","","","","38.7","","35.6","","","","31.0","","30.9","","30.5","","33.8","","31.2","","",""
"185"," Burundi","","","","","46.2","","","","49.3","","56.2","","51.0","","47.4","","55.4","","55.7","","",""
"125"," Cabo Verde","","","","","","","12.5","","10.7","","","","8.6","","9.4","","11.0","","9.9","","",""
"146"," Cambodia","","","","","45.3","","44.9","","38.7","","34.1","","35.8","","53.1","","","","26.5","","",""
"151"," Cameroon","40.5","","","","","","","","42.9","","30.2","","","","","","34.2","","42.9","","",""
"188"," Central African Republic","71.6","","","","","","","","53.5","","53.4","","","","","","","","","","",""
"186"," Chad","57.9","","68.1","","53.1","","69.9","","50.7","","61.9","","49.0","","","","","","","","",""
"44"," Chile","","","","","","","","","2.1","","1.3","","","","0.5","","0.4","","0.6","","",""
"86"," China","14.9","","7.8","","","","","","","","","","","","","","","","","","",""
