"Programme for International Student Assessment (PISA) score in reading"
"HDI Rank","Country","2015"
"68"," Albania","405  a"
"85"," Algeria","350  a"
"47"," Argentina","475  a,b"
"3"," Australia","503  a"
"20"," Austria","485  a"
"17"," Belgium","499  a"
"79"," Brazil","407  a"
"51"," Bulgaria","432  a"
"12"," Canada","527  a"
"44"," Chile","459  a"
"86"," China","494  a,c"
"90"," Colombia","425  a"
"63"," Costa Rica","427  a"
"46"," Croatia","487  a"
"32"," Cyprus","443  a"
"27"," Czechia","487  a"
"11"," Denmark","500  a"
"94"," Dominican Republic","358  a"
"30"," Estonia","519  a"
"15"," Finland","526  a"
"24"," France","499  a"
"70"," Georgia","401  a"
"5"," Germany","509  a"
"31"," Greece","467  a"
"7"," Hong Kong, China (SAR)","527  a"
"45"," Hungary","470  a"
"6"," Iceland","482  a"
"116"," Indonesia","397  a"
"4"," Ireland","521  a"
"22"," Israel","479  a"
"28"," Italy","485  a"
"19"," Japan","516  a"
"95"," Jordan","408  a"
"22"," Korea (Republic of)","517  a"
"41"," Latvia","488  a"
"80"," Lebanon","347  a"
"35"," Lithuania","472  a"
"21"," Luxembourg","481  a"
"29"," Malta","447  a"
"74"," Mexico","423  a"
"112"," Moldova (Republic of)","416  a"
"50"," Montenegro","427  a"
"10"," Netherlands","503  a"
"16"," New Zealand","509  a"
"1"," Norway","513  a"
"89"," Peru","398  a"
"33"," Poland","506  a"
"41"," Portugal","498  a"
"37"," Qatar","402  a"
"52"," Romania","434  a"
"49"," Russian Federation","495  a"
"9"," Singapore","535  a"
"38"," Slovakia","453  a"
"25"," Slovenia","505  a"
"26"," Spain","496  a"
"7"," Sweden","500  a"
"2"," Switzerland","492  a"
"83"," Thailand","409  a"
"80"," The former Yugoslav Republic of Macedonia","352  a"
"69"," Trinidad and Tobago","427  a"
"95"," Tunisia","361  a"
"64"," Turkey","428  a"
"34"," United Arab Emirates","434  a"
"14"," United Kingdom","498  a"
"13"," United States","497  a"
"55"," Uruguay","437  a"
"116"," Viet Nam","487  a"
"<a name="a"></a>a: Average score for OECD countries is 493.<br /><a name="a"></a>b: Refers to the adjudicated region of Ciudad Autónoma de Buenos Aires.<br /><a name="a"></a>c: Refers to the provinces of Beijing, Guangdong, Jiangsu and Shanghai.<br />"
