"Survival rate to the last grade of lower secondary general education (%)"
"HDI Rank (2017)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016",""
"68"," Albania","","","96","","92","","","","96","","97","","99","","98","","96","","93","","",""
"85"," Algeria","81","","79","","80","","78","","72","","75","","72","","74","","72","","75","","",""
"35"," Andorra","","","","","","","","","80","","82","","86","","88","","90","","93","","",""
"70"," Antigua and Barbuda","","","","","","","","","","","","","","","","","84","","","","",""
"47"," Argentina","","","","","88","","83","","81","","84","","83","","84","","85","","","","",""
"83"," Armenia","","","","","","","98","","","","","","","","","","","","","","",""
"20"," Austria","","","","","","","99","","99","","100","","100","","100","","100","","100","","",""
"80"," Azerbaijan","","","","","93","","97","","95","","96","","97","","96","","97","","96","","",""
"54"," Bahamas","","","","","","","91","","","","","","","","","","","","","","",""
"43"," Bahrain","","","","","90","","93","","98","","98","","99","","99","","99","","99","","",""
"136"," Bangladesh","","","","","81","","75","","84","","","","","","","","","","87","","",""
"58"," Barbados","","","","","96","","98","","","","","","","","","","","","","","",""
"53"," Belarus","98","","92","","99","","99","","97","","99","","100","","99","","99","","99","","",""
"17"," Belgium","","","","","","","96","","98","","96","","100","","94","","96","","","","",""
"106"," Belize","","","","","66","","63","","65","","67","","67","","64","","66","","69","","",""
"163"," Benin","","","","","77","","63","","","","","","","","68","","76","","","","",""
"134"," Bhutan","","","","","78","","84","","91","","90","","80","","83","","","","","","",""
"118"," Bolivia (Plurinational State of)","95","","95","","94","","92","","93","","94","","96","","96","","96","","96","","",""
"77"," Bosnia and Herzegovina","","","","","","","","","98","","99","","98","","98","","97","","96","","",""
"101"," Botswana","","","","","95","","93","","","","","","93","","99","","","","","","",""
"79"," Brazil","","","","","","","","","74","","","","","","","","","","","","",""
"39"," Brunei Darussalam","","","","","","","95","","99","","99","","99","","99","","98","","100","","",""
"51"," Bulgaria","86","","91","","","","65","","46","","44","","44","","46","","44","","46","","",""
"183"," Burkina Faso","67","","","","56","","64","","69","","68","","70","","71","","72","","72","","",""
"185"," Burundi","","","","","","","75","","85","","73","","77","","79","","78","","72","","",""
"125"," Cabo Verde","","","","","","","75","","84","","81","","80","","77","","78","","80","","",""
"146"," Cambodia","","","","","66","","64","","66","","63","","61","","64","","63","","67","","",""
"151"," Cameroon","92","","","","","","","","","","","","89","","90","","90","","89","","",""
"188"," Central African Republic","54","","","","","","","","","","40","","","","","","","","","","",""
"186"," Chad","66","","60","","","","","","56","","53","","84","","","","","","","","",""
"44"," Chile","","","","","","","","","100","","100","","100","","97","","96","","99","","",""
"86"," China","88","","89","","","","","","97","","","","92","","","","","","","","",""
"90"," Colombia","","","","","","","80","","80","","68","","51","","69","","70","","71","","",""
"165"," Comoros","","","","","","","","","","","","","","","67","","","","","","",""
"137"," Congo","","","","","","","","","79","","81","","","","","","","","","","",""
"176"," Congo (Democratic Republic of the)","","","","","","","","","","","","","84","","90","","","","","","",""
"63"," Costa Rica","65","","57","","61","","59","","62","","69","","50","","67","","68","","67","","",""
"46"," Croatia","","","97","","99","","99","","99","","99","","","","","","","","","","",""
