Country,2010,2011,2012,2013,2014,2015,2016,2017
AFG,,,,31.4,31.4,31.9,29.6,29.6
ALB,12.7,13.9,13.9,13.4,13.4,13.5,12.3,10.0
DZA,,,,,,,,20.7
AGO,39.9,,43.9,44.0,37.0,37.0,32.4,32.4
ARG,19.8,19.6,19.6,15.8,15.0,15.6,14.5,14.3
ARM,10.9,10.8,11.0,10.4,10.2,9.3,8.7,10.0
AUS,7.9,7.9,7.9,7.8,8.2,8.2,8.6,8.2
AUT,7.5,7.4,6.6,7.2,7.7,8.7,7.6,8.0
AZE,13.8,11.4,11.4,11.8,13.2,13.2,10.2,10.0
BHS,14.4,14.8,,14.3,,,,
BGD,29.4,27.4,27.4,29.1,29.4,28.9,28.1,24.1
BRB,,,,,,,,16.4
BLR,9.3,8.3,8.3,7.6,7.1,6.4,6.5,6.5
BEL,8.4,7.6,8.0,8.5,7.9,8.3,8.9,8.7
BLZ,28.7,,,,22.7,22.7,22.3,22.3
BEN,35.2,35.8,35.8,34.6,37.4,37.4,36.7,36.6
BTN,,,20.0,20.4,29.8,29.4,28.6,27.2
BOL,38.1,34.1,34.2,29.6,28.6,29.0,26.6,25.8
BIH,20.4,11.6,11.5,10.6,13.3,13.3,13.0,15.5
BWA,,,,38.2,38.2,38.0,37.4,
BRA,27.1,27.8,27.2,27.1,26.3,25.6,24.5,23.9
BGR,11.3,11.4,9.9,11.0,10.6,10.7,12.1,12.7
BFA,36.2,35.1,34.2,35.0,35.0,33.6,30.8,32.1
BDI,37.0,,,33.9,32.6,31.6,30.5,33.3
CPV,,,,19.7,19.7,20.1,21.7,
KHM,28.8,27.2,25.9,24.7,24.7,22.5,19.4,19.4
CMR,34.0,33.4,33.4,32.8,32.8,32.8,30.7,34.2
CAN,8.6,8.6,8.6,7.6,8.9,8.9,8.2,8.0
CAF,42.0,40.6,40.6,40.4,43.5,43.5,42.1,42.1
TCD,39.3,40.1,40.1,37.8,39.9,40.0,38.3,38.3
CHL,19.0,19.0,19.0,19.6,19.3,18.2,16.6,15.7
CHN,23.0,22.3,22.3,,,,,14.5
COL,28.6,32.5,27.8,26.7,24.7,24.6,23.4,23.6
