Country,2010,2011,2012,2013,2014,2015,2016,2017
MDG,30.8,30.1,30.1,30.1,35.0,35.0,35.0,35.0
MWI,34.7,34.7,30.2,30.2,30.2,28.2,28.4,28.4
MYS,,,,,,,,15.6
MDV,11.5,41.2,41.2,41.2,40.0,40.0,40.0,40.0
MLI,36.9,36.9,36.9,36.9,41.6,41.6,41.6,46.2
MLT,,,5.5,5.7,7.3,6.0,6.7,6.9
MRT,43.2,43.2,42.1,45.9,40.8,40.8,40.8,40.8
MUS,,13.5,13.5,13.2,13.2,13.2,13.2,13.2
MEX,17.9,21.9,21.9,21.4,19.7,19.7,17.1,17.1
FSM,22.4,22.4,,,,,,
MDA,7.5,6.1,6.1,6.1,7.3,7.3,7.3,7.3
MNG,5.8,5.8,8.9,5.2,9.4,9.4,11.9,11.9
MNE,9.6,2.5,2.5,2.5,7.4,7.4,7.4,7.4
MAR,42.7,45.8,45.8,45.8,45.8,45.8,,
MOZ,28.2,18.2,18.2,18.2,33.8,33.8,33.8,33.8
MMR,,,,19.4,19.4,19.4,26.9,26.9
NAM,27.8,27.8,27.8,27.8,27.8,25.0,25.0,25.0
NPL,43.3,43.6,43.6,44.0,41.4,43.9,43.9,40.9
NLD,4.0,3.9,3.9,4.1,4.1,4.2,4.6,5.3
NZL,,,,,,,2.5,1.7
NIC,33.3,33.3,33.3,33.3,29.5,29.5,25.7,25.7
NER,31.3,39.5,39.5,39.5,35.0,35.0,35.0,35.0
NGA,46.0,44.2,45.2,45.2,43.3,43.3,43.8,38.1
NOR,2.4,2.2,2.2,2.4,2.3,2.4,5.3,6.1
PAK,46.4,46.4,45.2,45.2,44.4,44.4,44.4,46.2
PLW,,,,12.0,12.0,12.0,12.0,1.9
PSE,,,,6.9,16.5,16.5,13.3,14.1
PAN,9.9,17.8,17.8,16.3,16.6,13.6,13.1,12.5
PNG,,,,11.5,11.5,11.5,11.5,11.5
PRY,19.8,19.8,,17.2,16.2,14.0,13.8,16.7
PER,30.2,24.0,24.6,25.6,23.3,20.3,16.1,15.3
PHL,12.9,13.5,13.5,13.5,11.6,11.6,11.6,11.6
POL,7.1,6.6,6.3,5.6,5.6,5.4,5.4,4.7
PRT,5.7,5.6,5.6,5.7,5.9,5.9,17.5,16.3
QAT,,,,,,,11.9,11.4
ROU,13.1,5.0,5.0,5.0,4.7,4.6,6.0,6.3
RUS,11.2,11.2,,2.1,2.3,2.2,2.2,2.2
RWA,30.7,30.7,29.4,29.4,29.4,29.3,29.3,29.3
LCA,,,,,9.2,9.2,9.2,12.6
WSM,,,,,,,,4.9
STP,22.7,19.1,20.0,20.0,21.4,21.4,18.3,18.3
SAU,,,,,,,16.4,16.2
SEN,47.3,45.1,44.6,44.6,44.7,44.7,45.3,46.5
SRB,11.1,9.9,9.9,10.7,8.1,8.1,9.3,8.1
SLE,48.2,47.4,47.4,48.7,49.6,47.3,47.3,47.3
SGP,,,,,,,8.8,8.2
SVK,1.7,1.6,1.5,1.5,1.5,1.4,1.6,1.4
SVN,4.0,3.1,3.3,2.7,2.6,2.6,2.2,2.2
SLB,30.2,,,22.8,22.8,22.8,,
SOM,,,,,43.5,43.5,,
ZAF,20.8,20.8,20.8,18.1,16.1,13.8,14.3,14.3
SSD,,,,,39.6,39.6,39.6,39.6
ESP,5.7,5.5,5.5,5.4,5.2,5.1,19.2,18.6
LKA,17.9,17.9,14.6,14.6,12.8,12.8,12.8,12.8
SDN,,,,,42.7,42.7,42.5,42.5
SUR,20.1,20.1,20.1,19.5,19.0,19.0,15.2,15.6
SWE,3.6,3.9,3.8,3.6,3.5,3.4,3.5,3.7
CHE,2.0,2.0,2.0,5.8,5.7,5.7,2.4,2.4
SYR,31.5,31.5,31.5,31.5,31.5,31.5,31.5,
TJK,9.4,9.4,12.2,12.2,6.5,6.5,6.5,6.5
TZA,28.7,32.8,28.3,29.5,28.5,28.5,27.0,27.0
THA,18.0,18.0,18.0,16.1,16.1,16.1,16.6,13.3
MKD,17.5,17.5,12.3,10.6,10.6,10.6,10.5,10.5
TLS,44.3,47.4,47.6,47.6,47.6,47.6,47.6,44.9
TGO,41.5,41.5,41.5,37.6,38.9,38.9,38.9,38.9
TON,5.1,,,,,,,4.5
TTO,6.6,6.6,6.6,6.6,6.6,6.6,6.6,
TUN,38.7,38.7,,,34.6,34.6,34.6,34.6
TUR,27.4,27.4,27.4,14.1,14.2,14.2,14.2,13.5
