Country,2015
ALB,405
DZA,350
ARG,475
AUS,503
AUT,485
BEL,499
BRA,407
BGR,432
CAN,527
CHL,459
CHN,494
COL,425
CRI,427
HRV,487
CYP,443
CZE,487
DNK,500
DOM,358
EST,519
FIN,526
FRA,499
GEO,401
DEU,509
GRC,467
HKG,527
HUN,470
ISL,482
IDN,397
IRL,521
ISR,479
ITA,485
JPN,516
JOR,408
KOR,517
LVA,488
LBN,347
LTU,472
LUX,481
MLT,447
MEX,423
MDA,416
MNE,427
NLD,503
NZL,509
NOR,513
PER,398
POL,506
PRT,498
QAT,402
ROU,434
RUS,495
SGP,535
SVK,453
SVN,505
ESP,496
SWE,500
CHE,492
THA,409
MKD,352
TTO,427
TUN,361
TUR,428
ARE,434
GBR,498
USA,497
URY,437
VNM,487
