1,3,3,8,13,6
1,3,3,8,13,6
3,4,6,4,10,7
2,5,4,5,4,12
2,5,1,11,14,12
3,4,4,5,10,7
3,4,6,4,10,10
3,4,6,4,10,10
2,6,5,3,14,16
2,6,5,3,14,16
3,4,6,4,10,10
1,3,3,10,9,6
2,6,5,3,14,16
1,3,3,8,13,6
1,3,3,10,9,6
1,2,9,6,15,11
3,4,4,5,10,7
2,5,4,5,4,7
2,5,4,5,4,7
3,4,6,4,10,7
2,5,4,5,4,7
3,1,8,4,2,4
3,1,8,7,5,4
3,1,6,4,2,10
3,4,4,4,10,7
2,6,1,11,14,1
1,2,9,6,15,11
3,2,8,7,5,2
1,3,3,10,9,6
2,6,5,3,14,16
2,6,5,3,14,16
3,4,4,5,10,7
3,1,8,11,5,2
1,3,3,10,13,6
1,3,3,8,13,6
1,3,3,8,13,6
1,2,9,6,15,11
3,1,6,4,2,4
1,3,9,8,13,11
3,1,8,7,5,4
3,4,6,4,10,10
3,4,4,5,10,7
2,5,4,5,4,12
2,5,5,3,4,12
2,6,5,3,14,16
1,3,3,8,13,6
3,1,6,4,2,10
2,6,5,3,14,16
3,1,8,7,2,4
3,1,8,7,2,10
3,1,6,4,2,10
3,1,8,7,5,4
1,3,3,8,13,6
2,5,5,3,4,12
2,5,4,5,4,12
1,3,3,10,9,6
2,6,5,3,14,16
3,1,6,4,2,10
2,6,5,3,14,16
3,2,8,7,5,4
3,2,8,7,5,2
2,6,5,3,14,16
3,4,6,4,10,10
1,2,9,6,15,11
1,3,3,10,9,6
1,3,3,8,13,6
1,3,3,8,13,6
1,3,3,8,13,6
2,5,4,5,4,12
3,4,6,4,10,10
1,2,9,6,15,11
3,1,8,7,5,4
2,6,5,3,14,16
1,2,9,6,15,11
2,5,4,5,4,7
1,3,3,8,13,6
2,5,4,5,4,12
3,1,8,7,5,4
1,2,9,6,15,2
2,6,5,3,14,16
3,1,6,4,2,10
3,2,8,7,5,2
2,6,5,3,14,16
2,5,5,3,4,12
2,5,5,3,4,12
3,1,6,4,2,4
3,1,6,4,2,10
2,6,5,3,14,16
3,4,4,5,10,7
1,2,9,6,15,11
3,1,8,7,5,4
1,2,9,6,15,11
1,2,9,6,15,11
3,4,6,4,10,10
2,5,5,3,4,12
2,6,1,11,14,1
1,2,9,6,15,11
3,1,6,4,2,10
1,3,3,8,13,6
3,1,8,7,2,4
3,1,6,4,2,10
2,6,1,11,14,1
3,4,6,4,2,10
1,3,3,8,13,6
2,5,4,5,4,12
2,6,1,11,14,1
2,5,4,5,4,12
3,2,8,7,5,2
2,5,4,5,4,7
3,1,6,4,2,10
1,3,3,8,13,6
3,1,8,7,5,4
3,1,6,4,2,10
3,1,8,7,5,4
3,4,6,4,10,10
1,3,3,10,9,6
2,5,4,5,4,12
1,2,9,6,15,11
2,4,4,5,4,7
3,1,6,4,2,10
1,3,3,10,9,6
1,3,3,8,13,6
3,4,6,4,10,10
1,3,3,8,13,6
3,4,6,4,10,7
1,2,9,6,15,11
1,3,3,10,9,6
1,3,3,8,13,6
3,2,8,7,5,4
2,6,5,3,14,16
2,6,1,11,14,1
1,2,9,6,15,11
3,1,8,7,5,4
2,5,5,3,4,16
3,4,4,5,10,7
1,3,3,8,13,11
3,4,6,4,2,10
3,1,6,4,2,10
3,1,8,7,2,4
3,4,4,5,10,7
1,3,9,8,13,11
2,5,4,5,4,12
3,1,8,7,5,2
2,5,4,5,4,12
3,1,8,7,2,4
3,1,8,7,2,4
2,6,1,11,14,1
3,4,4,5,10,7
2,5,4,5,4,12
1,3,3,8,13,6
2,5,4,5,4,12
1,3,3,8,13,6
1,3,3,8,13,6
2,6,1,11,14,1
1,2,9,6,15,11
1,3,3,10,9,6
3,1,8,7,5,4
2,5,4,5,4,7
1,3,3,10,9,6
3,4,6,5,10,7
1,3,3,10,9,6
1,2,9,6,15,11
3,1,8,7,2,4
2,5,4,5,4,12
2,5,5,3,4,12
2,6,5,3,14,16
1,3,3,8,13,6
3,4,6,4,10,10
1,2,9,6,15,2
1,3,3,10,9,6
1,3,3,8,13,6
3,1,6,4,2,4
3,1,8,7,5,4
3,1,8,7,5,4
1,2,9,6,15,11
3,1,8,7,2,4
3,4,4,5,10,7
3,1,6,4,2,10
3,4,6,4,10,10
3,1,8,7,2,4
1,3,3,8,13,6
1,3,3,8,13,6
3,4,6,4,10,7
3,4,6,4,10,7
2,6,1,11,14,1
3,1,8,7,2,4
3,1,6,4,2,10
3,4,6,4,10,10
3,1,8,7,5,4
3,2,9,6,15,11
3,1,8,7,2,4
1,3,3,8,13,6
3,1,8,7,5,2
1,3,9,8,13,11
1,3,3,8,13,6
